"Segment"	"en-ZZ"	"mk-MK"	"ID"	"File"
"3716"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R559_question01_q01itemDirections_5c9d225a094583.08629248_1_0"	"PISA_mkd-MKD_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"5190"	"Refer to both sources on the right by clicking on each of the tabs."	"Погледни ги двата извори од десната страна со кликнување на секое од јазичињата."	"R568_question10_q10itemDirections_5c9d225b9f0d59.48638070_0_0"	"PISA_mkd-MKD_REA_R568-SpaceDebris_en21_MS2022.xlf"
"4939"	"Click on the choices in the table to answer the question."	"Кликни на изборите во табелата за да одговориш на прашањето."	"R567_question09_q09itemDirections_5c9d225b667296.26876893_1_0"	"PISA_mkd-MKD_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"2557"	"Type your answer to the questions.&lt;/i&gt;"	"Напишете го вашиот одговор на прашањата.&lt;/i&gt;"	"R547_question9_itemDirections_5c9d219f211822.28206430_1_0"	"PISA_mkd-MKD_REA_R547-BookSurvey_en21_MS2022.xlf"
"3885"	"Read the information below."	"Прочитај ги информациите подолу."	"q00bbody_q00bitemDirections_5c9d225a3256a8.05350415_0_0"	"PISA_mkd-MKD_REA_R560-GarbagePatch_en21_MS2022.xlf"
"2030"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R543_question1_itemDirections_5c9d219e7968e9.01052398_1_0"	"PISA_mkd-MKD_REA_R543-Nobel_en21_MS2022.xlf"
"4755"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R566_question03_q03itemDirections_5c9d225b2b2f50.49516650_1_0"	"PISA_mkd-MKD_REA_R566-SkelligRocks_en21_MS2022.xlf"
"1745"	"False"	"Неточна"	"Q07_question_tr1th3_5c9d219e3bd982.51503571_0"	"PISA_mkd-MKD_REA_R541-Plastic_en21_MS2022.xlf"
"2758"	"Click on the choices in the table to answer the question."	"Кликни на опциите во табелата за да одговориш на прашањето."	"R549_question09_q09itemDirections_5c9d219f52dd35.44656995_1_0"	"PISA_mkd-MKD_REA_R549-MessageInABottle_en21_MS2022.xlf"
"2054"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R543_question2_itemDirections_5c9d219e7d71b2.22721691_1_0"	"PISA_mkd-MKD_REA_R543-Nobel_en21_MS2022.xlf"
"2499"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R547_question2_itemDirections_5c9d219f17c6f8.51935753_1_0"	"PISA_mkd-MKD_REA_R547-BookSurvey_en21_MS2022.xlf"
"519"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe."	"На 1ви јуни 1910 год. еден англиски екипаж, составен од шеесет и пет мажи, седумнаесет пони коњи и триесет кучиња, се качил на стар шкотски брод за ловење китови, наречен „Тера Нова&quot;, и отпловил од европскиот континент."	"R220_stimulus_p1_5c3f6272b11007.06647238_0_0"	"PISA_mkd-MKD_REA_R220-SouthPole_en21_MS2022.xlf"
"2342"	"False"	"Неточна"	"R545_question03_Q03tr1th3_5c9d219edb2a87.32228063_0"	"PISA_mkd-MKD_REA_R545-MachuPicchu_en21_MS2022.xlf"
"1352"	"WORK RIGHT"	"Тип-топ Офис"	"R466_stimulus_stimulus_1_5c3f627ecb8b16.05981106_0"	"PISA_mkd-MKD_REA_R466-WorkRight_en21_MS2022.xlf"
"1948"	"Tuesday"	"Вторник"	"Q09R542_question_Q09r3c1_5c9d219e5fafa2.87807513_0"	"PISA_mkd-MKD_REA_R542-BulletinBoard_en21_MS2022.xlf"
"4904"	"on the right."	"десно&quot;."	"R567_question04_q04itemDirections_5c9d225b5e6145.15954865_1_0"	"PISA_mkd-MKD_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"2540"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Кликни на изборите во табелата за да одговориш на прашањето&lt;/i&gt;."	"R547_question7_itemDirections_5c9d219f1f6623.95886149_1_0"	"PISA_mkd-MKD_REA_R547-BookSurvey_en21_MS2022.xlf"
"4978"	"Click on the NEXT arrow to read the webpage."	"Кликни на стрелката СЛЕДНО да ја прочиташ веб-страницата."	"q0a-body_q0a-p3_5c9d225b68bf31.21236283_0"	"PISA_mkd-MKD_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3631"	"Click on a choice to answer the question.&lt;/i&gt;"	"Притисни на избор за да го одговориш прашањето.&lt;/i&gt;"	"R558_question5_itemDirections_5c9d2259db4ee2.88569696_1_0"	"PISA_mkd-MKD_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"3999"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R561_question01_q01itemDirections_5c9d225a515840.43883744_1_0"	"PISA_mkd-MKD_REA_R561-OlympicFlag_en21_MS2022.xlf"
"361"	"S"	"Н"	"R219_stimulus_stimulus_10_5c3f627120fb02.83437259_0"	"PISA_mkd-MKD_REA_R219-Employment_en21_MS2022.xlf"
"4398"	"Subject:"	"Предмет:"	"R563_question10_r2c1_5c9d225aba44d4.28425682_0"	"PISA_mkd-MKD_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2264"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на избор и потоа напиши објаснување за да одговориш на прашањето.&lt;/i&gt;"	"R544_question6_itemDirections_5c9d219eb685e2.41999055_1_0"	"PISA_mkd-MKD_REA_R544-Tesla_en21_MS2022.xlf"
"4459"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R564_question03_q03itemDirections_5c9d225ad99568.65149557_1_0"	"PISA_mkd-MKD_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"2510"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R547_question01_itemDirections_5c9d219f193cb0.19049584_1_0"	"PISA_mkd-MKD_REA_R547-BookSurvey_en21_MS2022.xlf"
"4448"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R564_question02_q02itemDirections_5c9d225ad871c4.82679481_1_0"	"PISA_mkd-MKD_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"4389"	"Refer to the different webpages of the website on the right."	"Погледнете ги различните веб-страници на веб-сајтот десно."	"R563_question10_q10itemDirections_5c9d225aba3a33.94198593_0_0"	"PISA_mkd-MKD_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2065"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R543_question3_itemDirections_5c9d219e7f2af3.30104921_1_0"	"PISA_mkd-MKD_REA_R543-Nobel_en21_MS2022.xlf"
"5471"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R570_question01_q01itemDirections_5c9d225be5e855.55796963_1_0"	"PISA_mkd-MKD_REA_R570-TheFavour_en21_MS2022.xlf"
"2088"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R543_question6_itemDirections_5c9d219e841e59.06022258_1_0"	"PISA_mkd-MKD_REA_R543-Nobel_en21_MS2022.xlf"
"5451"	"Read the information below."	"Прочитај ги информациите подолу."	"q00b-body_q00b-itemDirections_5c9d225be38126.14757364_0_0"	"PISA_mkd-MKD_REA_R570-TheFavour_en21_MS2022.xlf"
"4734"	"Click on the NEXT arrow to read the website."	"Кликни на стрелката СЛЕДНО за да го прочиташ веб-сајтот."	"q00b-body_q00b-p2_5c9d225b254bc8.65241268_0"	"PISA_mkd-MKD_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2341"	"True"	"Точна"	"R545_question03_Q03tr1th2_5c9d219edb29c7.50298633_0"	"PISA_mkd-MKD_REA_R545-MachuPicchu_en21_MS2022.xlf"
"4330"	"Refer to the different webpages of the website on the right."	"Погледнете ги различните веб-страници на веб-сајтот десно."	"R563_question01_q01itemDirections_5c9d225aa81f50.68031492_0_0"	"PISA_mkd-MKD_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4339"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R563_question02_q02itemDirections_5c9d225aa9b1d6.23322413_1_0"	"PISA_mkd-MKD_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4471"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R564_question04_q04itemDirections_5c9d225adaca53.72529344_1_0"	"PISA_mkd-MKD_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"1744"	"True"	"Точна"	"Q07_question_tr1th2_5c9d219e3bd888.60190118_0"	"PISA_mkd-MKD_REA_R541-Plastic_en21_MS2022.xlf"
"4010"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R561_question03_q03itemDirections_5c9d225a55d7e2.08697913_1_0"	"PISA_mkd-MKD_REA_R561-OlympicFlag_en21_MS2022.xlf"
"5191"	"Click on a choice and type an explanation to answer the question."	"Кликни на избор и напиши објаснување за да одговориш на прашањето."	"R568_question10_q10itemDirections_5c9d225b9f0d59.48638070_1_0"	"PISA_mkd-MKD_REA_R568-SpaceDebris_en21_MS2022.xlf"
"4617"	"Click on a choice to answer the question.&lt;/i&gt;"	"Притисни на избор за да го одговориш прашањето.&lt;/i&gt;"	"R565_question7_itemDirections_5c9d225b067290.45114409_1_0"	"PISA_mkd-MKD_REA_R565-SittingDisease_en21_MS2022.xlf"
"4362"	"Refer to the different webpages of the website on the right."	"Погледнете ги различните веб-страници на веб-сајтот десно."	"R563_question05_q05itemDirections_5c9d225aaed320.38553670_0_0"	"PISA_mkd-MKD_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4628"	"Click on a choice to answer the question.&lt;/i&gt;"	"Притисни на избор за да го одговориш прашањето.&lt;/i&gt;"	"R565_question8_itemDirections_5c9d225b080195.44434060_1_0"	"PISA_mkd-MKD_REA_R565-SittingDisease_en21_MS2022.xlf"
"4731"	"Read the information below."	"Прочитај ги информациите подолу."	"q00b-body_q00b-itemDirections_5c9d225b2548f7.48007221_0_0"	"PISA_mkd-MKD_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5519"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R570_question06_q06itemDirections_5c9d225bece499.21816193_1_0"	"PISA_mkd-MKD_REA_R570-TheFavour_en21_MS2022.xlf"
"4116"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R562_question01_q01itemDirections_5c9d225a8485a4.12121265_1_0"	"PISA_mkd-MKD_REA_R562-OpeningNight_en21_MS2022.xlf"
"1739"	"Click on the choices in the table to answer the question."	"Кликни на опциите во табелата за да одговориш на прашањето."	"Q07_question_Q07itemDirections_5c9d219e3bd283.68280238_1_0"	"PISA_mkd-MKD_REA_R541-Plastic_en21_MS2022.xlf"
"3888"	"Click on the NEXT arrow to read the article."	"Кликни на стрелката СЛЕДНО и прочитај го написот."	"q00bbody_q00bp2_5c9d225a325971.00134322_0"	"PISA_mkd-MKD_REA_R560-GarbagePatch_en21_MS2022.xlf"
"5461"	"Read the information below."	"Прочитај ги информациите подолу."	"q00c-body_q00c-itemDirections_5c9d225be4b0a6.34337423_0_0"	"PISA_mkd-MKD_REA_R570-TheFavour_en21_MS2022.xlf"
