"Segment"	"en-ZZ"	"zh-TW"	"ID"	"File"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; 凡購買6000元至14999元，正旦行將回饋你&lt;span id=&quot;q3key&quot;&gt;2000&lt;/span&gt;元&lt;br /&gt; &gt; 凡購買15000元至29999元，正旦行將回饋你5000元。&lt;br /&gt; &gt; 凡購買30000元或以上，正旦行將回饋你10000元。&lt;br /&gt;"	"R466_stimulus_line5_50d37b1899ad40.83736330_0"	"PISA_zho-TAP_REA_R466-WorkRight_en15_MS2022.xlf"
"301"	"T"	"四"	"R219_stimulus_stimulus_7_50d36da741c056.68670634_0"	"PISA_zho-TAP_REA_R219-Employment_en15_MS2022.xlf"
"574"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"1911年12月14日，&lt;u&gt;阿曼森&lt;/u&gt;和他的同伴到達了傳奇的90。在1912年1月25日，這支勝利的隊伍回到了&lt;u&gt;法明翰&lt;/u&gt;，回程共花了97天完成。"	"R220_stimulus_p4_50d37467471453.22020675_0"	"PISA_zho-TAP_REA_R220-SouthPole_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"根據手冊，此敘述是對或錯？"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_zho-TAP_REA_R545-MachuPicchu_en18_MS2022.xlf"
"6171"	"Click &lt;b&gt;YES&lt;/b&gt; if the sentence makes sense."	"如果句子合乎情理，請點擊&lt;b&gt;是&lt;/b&gt;；"	"q3R590_question_q3p1_56fd23111960a4.54446684_1_0"	"PISA_zho-TAP_REA_R590-Sentences01_en18_MS2022.xlf"
"2758"	"Hours"	"&lt;b&gt;開放時間&lt;/b&gt;"	"R550_map_map_l7_56fc785cd19538.42274869_0"	"PISA_zho-TAP_REA_R550-CliffPalace_en18_MS2022.xlf"
"5542"	"True"	"對"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_zho-TAP_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1312"	"True"	"對"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_zho-TAP_REA_R541-Plastic_en18_MS2022.xlf"
"2103"	"False"	"錯"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_zho-TAP_REA_R545-MachuPicchu_en18_MS2022.xlf"
"571"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1910年6月1日，由一群&lt;u&gt;英國&lt;/u&gt;人所組成的戴路華隊（共六十五名男子，十七頭小馬和三十隻狗）乘坐一艘老舊的蘇格蘭捕鯨船，從歐洲大陸出發。事前準備工作已花了將近一年。這次遠征有雙重目的：進行科學研究計劃，而且當然，征服南極。突然間，史考特發現他要面對一個難以應付的對手，就是&lt;u&gt;挪威&lt;/u&gt;人&lt;u&gt;阿曼森&lt;/u&gt;。"	"R220_stimulus_p1_50d37467470895.54184593_0"	"PISA_zho-TAP_REA_R220-SouthPole_en15_MS2022.xlf"
"5269"	"True"	"對"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_zho-TAP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"304"	"S"	"日"	"R219_stimulus_stimulus_10_50d36da741cba4.18319681_0"	"PISA_zho-TAP_REA_R219-Employment_en15_MS2022.xlf"
"573"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"當他們到達山頂後，&lt;u&gt;阿曼森&lt;/u&gt;把多餘的狗殺掉，只留下十八隻狗以拖三部雪撬。12月10日，他們距離南極只有112公里。海拔正在下降中。"	"R220_stimulus_p3_50d374674710c5.75137418_0"	"PISA_zho-TAP_REA_R220-SouthPole_en15_MS2022.xlf"
"5786"	"Park"	"公園"	"q2R569_question_source2_56fc78794f5ed5.21217846_0"	"PISA_zho-TAP_REA_R569-TheCleanup_en18_MS2022.xlf"
