"Segment"	"en-ZZ"	"ko-KR"	"ID"	"File"
"2109"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"시뮬레이션에서, 이 집단에 있는 각 사람은 항상 다음 3가지 중 하나의 상태에 있을 것이다."	"question000_1_q000P2_5193fde5990fa4.58817131_0"	"PISA_kor-KOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;물음에  대한 답을 하나 선택하여 클릭하시오.&lt;/i&gt;"	"S603_question4_itemDirections4_515e3a720a7b99.14171118_0"	"PISA_kor-KOR_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2316"	"Phytoplankton"	"식물성 플랑크톤"	"S635_question1_source1_51940bae3c3771.42343859_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2377"	"."	"한다."	"question5_1_q05sp2_51940bae44c2c2.21571675_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1651"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;토네이도&lt;/b&gt;&lt;br /&gt; 문제"	"S620_question1_qitemTitle1_517407139e39a4.61105010_0"	"PISA_kor-KOR_SCI_S620-Tornadoes_en15_MS2022.xlf"
"936"	"lower"	"더 낮기"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_kor-KOR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2085"	"Solar Cooker"	"태양광 조리기"	"S629_stimulus1_attr_alt_attr_stimulus1_2_515e3a729164b8.81962885_0"	"PISA_kor-KOR_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2657"	"Incandescent"	"백열"	"sim_1_q02sim2_51940c102b16e1.40689421_0"	"PISA_kor-KOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2246"	"High"	"많음"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1053"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;코끼리와 아카시아 나무&lt;/b&gt;&lt;br /&gt;질문"	"S603_question5_itemTitle5_515e3a720cc5f5.49479568_0"	"PISA_kor-KOR_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1705"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;토네이도&lt;/b&gt;&lt;br /&gt; 문제"	"S620_Q5_QitemTitle5_51740713a4cac8.00241652_0"	"PISA_kor-KOR_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"이 시뮬레이션을 실행하기 위해 다음 조절기를 사용할 수 있습니다."	"menu_1_menuP2_51940c101d3cd5.29603890_0"	"PISA_kor-KOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2997"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;침입종&lt;/b&gt;&lt;br /&gt; 문제"	"S657_question3_itemTitleqS3_518050dc4485a9.75889405_0"	"PISA_kor-KOR_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;i&gt;  &lt;b&gt;&lt;/b&gt; &lt;/i&gt;  &amp;check; &lt;i&gt;반드시 &lt;b&gt;한 개 또는 그 이상&lt;/b&gt;을 선택하시오.&lt;/i&gt;"	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_kor-KOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2870"	"Habitable Zone"	"생명 거주 &lt;br/&gt;가능 지역"	"S648_Q0_Qlable1_1_517407af696281.39035562_0"	"PISA_kor-KOR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2894"	"."	"과/와 가장 비슷한 평균 표면 온도를 가질 것으로 예측된다."	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_kor-KOR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2453"	"High"	"많음"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2695"	"Incandescent"	"백열"	"stimulus_1_stimuluslb1label_51940c102e5782.07661572_0"	"PISA_kor-KOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1029"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;물음에  대한 답을 하나 선택하여 클릭하시오.&lt;/i&gt;"	"S603_question3_itemDirections3_515e3a72087b46.40019747_0"	"PISA_kor-KOR_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2419"	"Phytoplankton"	"식물성 플랑크톤"	"S635_stimulus1_cap1_51940bae4c0ce1.80478055_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"935"	"higher"	"더 높기"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_kor-KOR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"이 시뮬레이션을 실행하기 위해 다음 조절기를 사용할 수 있습니다."	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_kor-KOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2108"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"이 시뮬레이션에서는 질병에 노출된 집단에서 감염성 질병의 확산에 대한 백신 접종의 효과를 탐구한다."	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_kor-KOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"한 번 더 실행하려면 1개 행의 자료를 삭제하시오."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1311"	"."	"할 가능성이 크다."	"S607_question3_p31_5174071346b042.73247137_0"	"PISA_kor-KOR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"잘 했습니다! &lt;br /&gt; 계속하려면 [다음 화면] 버튼을 클릭하시오."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_kor-KOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"잘 하셨습니다!&lt;br /&gt; 계속하려면 [&lt;b&gt;다음 화면&lt;/b&gt;] 버튼을 클릭하시오."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;i&gt;  &lt;b&gt;&lt;/b&gt; &lt;/i&gt;  &amp;check; &lt;i&gt;반드시 &lt;b&gt;한 개 또는 그 이상&lt;/b&gt;을 선택하시오.&lt;/i&gt;"	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1055"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;물음에  대한 답을 하나 선택하여 클릭하시오.&lt;/i&gt;"	"S603_question5_itemDirections5_515e3a720ccc26.65539143_0"	"PISA_kor-KOR_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"이 시뮬레이션을 실행하기 위해 다음 조절기를 사용할 수 있습니다."	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2346"	"."	"한다."	"question3_1_q03sp1_51940bae405453.46459374_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"보통"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2984"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;침입종&lt;/b&gt;&lt;br /&gt; 문제"	"S657_question2_itemTitleqS2_518050dc425b41.03457307_0"	"PISA_kor-KOR_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2317"	"Zooplankton"	"동물성 플랑크톤"	"S635_question1_source2_51940bae3c39d9.80447115_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1700"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;토네이도&lt;/b&gt;&lt;br /&gt; 문제"	"S620_question3_qitemTitle3_51740713a2f160.58346726_0"	"PISA_kor-KOR_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2456"	"Low"	"적음"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2424"	"Phytoplankton"	"식물성 플랑크톤"	"stimulus2_1_stimulus2_5_51940bae4f3f40.02716657_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;도입부를 읽고, [&lt;b&gt;다음 화면&lt;/b&gt;]  버튼을 클릭하시오.&lt;/i&gt;"	"S638_question0_itemDirections0_51804fe179a0d0.36675138_0"	"PISA_kor-KOR_SCI_S638-OilSpills_en15_MS2022.xlf"
