"Segment"	"en-ZZ"	"pt-PT"	"ID"	"File"
"2662"	"Ancestral Puebloans"	"&lt;i&gt;Pueblos&lt;/i&gt; Ancestrais"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"4818"	"Click on a choice to answer the question.&lt;/i&gt;"	"Para responderes à questão, seleciona uma opção. &lt;/i&gt;"	"R565_question01_itemDirections_56fc785d59a4c9.01449593_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
"4106"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_por-PRT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4029"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_1_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3943"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R560_question03_q03itemDirections_56fc784a7ad263.50990820_1_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3262"	"Click on a choice to answer the question.&lt;/i&gt;"	"Para responderes à questão, seleciona uma opção. &lt;/i&gt;"	"R553_question4_q04itemDirections_56fc784a5fe943.11595551_1_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"3967"	"&lt;b&gt;Great Pacific Garbage Patch&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grande Mancha de Lixo do Pacífico&lt;/b&gt; &lt;br&gt;"	"R560_question05_q05itemTitle_56fc784a7dd103.93375260_0_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4162"	"Click on the choices in the table to answer the question."	"Para responderes à questão, seleciona as opções na tabela."	"R561_question04_q04itemDirections_56fc785d2bb824.31060928_1_0"	"PISA_por-PRT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4457"	"Date"	"Data"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3786"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R559_question01_q01itemDirections_56fc783b245423.47469729_1_0"	"PISA_por-PRT_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"Lê a informação abaixo."	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_por-PRT_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3971"	"Click on the choices in the table to answer the question."	"Para responderes à questão, seleciona as opções na tabela."	"R560_question05_q05itemDirections_56fc784a7dd823.73528927_1_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2833"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R550_question04_q04itemDirections_56fc785ce36323.12198026_1_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"3237"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Fórum sobre a saúde dos adolescentes&lt;/b&gt;&lt;br /&gt;"	"R553_question2_q02itemTitle_56fc784a5d5d98.95342202_0_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"3223"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Fórum sobre a saúde dos adolescentes&lt;/b&gt;&lt;br /&gt;"	"R553_question01_q01itemTitle_56fc784a5c01d7.46254344_0_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"4888"	"Click on a choice to answer the question.&lt;/i&gt;"	"Para responderes à questão, seleciona uma opção. &lt;/i&gt;"	"R565_question7_itemDirections_56fc785d61d9f9.86494574_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
"325"	"TO"	"A"	"R219_stimulus_sect4Line3span4_50c7b7d99a3035.01111673_0"	"PISA_por-PRT_REA_R219-Employment_en15_MS2022.xlf"
"5600"	"Click on the choices in the table to answer the question."	"Para responderes à questão, seleciona as opções na tabela."	"R568_question07_q07itemDirections_56fc784aab9398.42636422_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2797"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R550_question01_q01itemDirections_56fc785cdd5b03.75076790_1_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"2785"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"4902"	"Click on a choice to answer the question.&lt;/i&gt;"	"Para responderes à questão, seleciona uma opção. &lt;/i&gt;"	"R565_question8_itemDirections_56fc785d634c08.07217589_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Clica na seta SEGUINTE para leres o  &lt;i&gt;site&lt;/i&gt;."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_por-PRT_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4225"	"Type your answer to the question."	"Escreve a resposta à questão."	"R561_question09_q09itemDirections_56fc785d33ecc7.05935368_1_0"	"PISA_por-PRT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5144"	"Web Search"	"Pesquisa na  &lt;i&gt;internet&lt;/i&gt;"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_por-PRT_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Considera a pesquisa na internet, apresentada à direita."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_por-PRT_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5640"	"Do you have any idea how much space debris is already in orbit?”"	"Tem noção de quantos detritos espaciais já estão em órbita?»."	"R568_question09_q09p1_56fc784aaf54f2.48102179_2_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4664"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q00body_q00itemDirections_56fc783b5aea95.72363860_1_0"	"PISA_por-PRT_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4113"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q00b-body_q00b-p1_56fc785d264c41.70943658_1_0"	"PISA_por-PRT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4508"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2862"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R550_question06_q06itemDirections_56fc785ce7bab6.58395989_1_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"2753"	"Home"	"Página Inicial"	"R550_map_map_l1_56fc785cd177d9.30991384_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"3990"	"&lt;b&gt;Great Pacific Garbage Patch&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grande Mancha de Lixo do Pacífico&lt;/b&gt; &lt;br&gt;"	"R560_question06_q06itemTitle_56fc784a7f6229.47876409_0_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1545"	"Tutors for All"	"O Apoio Para Todos"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_por-PRT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2684"	"Home"	"Página Inicial"	"R550_cliff_palace_cp_l1_56fc785ccaeae5.87924992_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"6158"	"Read the information below."	"Lê a informação apresentada abaixo."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_0_0"	"PISA_por-PRT_REA_R590-Sentences01_en18_MS2022.xlf"
"4516"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_1_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"6147"	"Read the introduction."	"Lê a introdução."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_0_0"	"PISA_por-PRT_REA_R590-Sentences01_en18_MS2022.xlf"
"4617"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4860"	"Click on a choice to answer the question.&lt;/i&gt;"	"Para responderes à questão, seleciona uma opção. &lt;/i&gt;"	"R565_question5_itemDirections_56fc785d5ef754.99956789_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
"3227"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R553_question01_q01itemDirections_56fc784a5c0894.93353663_1_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"4008"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R560_question07_q07itemDirections_56fc784a80bb23.32450086_1_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"301"	"T"	"Q"	"R219_stimulus_stimulus_7_50c7b7d9996ec7.99076568_0"	"PISA_por-PRT_REA_R219-Employment_en15_MS2022.xlf"
"2657"	"Home"	"Página Inicial"	"R550_ancestral_ancestral_l1_56fc785cc8d224.57710597_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"3953"	"&lt;b&gt;Great Pacific Garbage Patch&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grande Mancha de Lixo do Pacífico&lt;/b&gt; &lt;br&gt;"	"R560_question04_q04itemTitle_56fc784a7bfda0.64010781_0_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Depois clica na seta SEGUINTE. &lt;/i&gt;"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"3842"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R559_question05_q05itemDirections_56fc783b2928b3.13861690_1_0"	"PISA_por-PRT_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3994"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R560_question06_q06itemDirections_56fc784a7f68d8.83936530_1_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4701"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R564_question03_q03itemDirections_56fc783b5e5cd1.57939726_1_0"	"PISA_por-PRT_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3251"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Fórum sobre a saúde dos adolescentes&lt;/b&gt;&lt;br /&gt;"	"R553_question_q03itemTitle_56fc784a5eb650.18801947_0_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"500"	"his disappointment"	"a deceção que sentiu"	"R220_stimulus_stimulusH_5_50c7c0a5a95e05.14118116_0"	"PISA_por-PRT_REA_R220-SouthPole_en15_MS2022.xlf"
"4832"	"Type your answer to the question.&lt;/i&gt;"	"Escreve a resposta à questão. &lt;/i&gt;"	"R565_question2_itemDirections_56fc785d5accf1.97912779_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
"2770"	"Home"	"Página Inicial"	"R550_tours_tours_l1_56fc785cd39f45.21730838_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"4603"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5664"	"Who's in the Chat"	"Quem está no &lt;i&gt;Chat&lt;/i&gt;"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_por-PRT_REA_R569-TheCleanup_en18_MS2022.xlf"
"4529"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1560"	"Tuesday"	"Terça-feira"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_por-PRT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4020"	"Read the Introduction."	"Lê a introdução."	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_0_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4673"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R564_question01_q01itemDirections_56fc783b5be821.70996521_1_0"	"PISA_por-PRT_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"490"	"Scott, the Englishman, and"	"Scott, o inglês; e"	"R220_stimulus_li1_50c7c0a5a937a2.18993893_0"	"PISA_por-PRT_REA_R220-SouthPole_en15_MS2022.xlf"
"5467"	"Image Credit: NASA"	"Direitos da imagem: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2784"	"Read the Introduction."	"Lê a introdução."	"q00body_q00itemDirections_56fc785cdb7056.90765917_0_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"5622"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R568_question08_q08itemDirections_56fc784aadc160.19925657_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"6172"	"Click &lt;b&gt;NO&lt;/b&gt; if the sentence does not make sense."	"Se a frase não faz sentido, clica em &lt;b&gt;NÃO&lt;/b&gt;."	"q3R590_question_q3p1_56fd23111960a4.54446684_2_0"	"PISA_por-PRT_REA_R590-Sentences01_en18_MS2022.xlf"
"3708"	"Click on a search result to answer the question.&lt;/i&gt;"	"Para responderes à questão, clica num dos resultados da pesquisa.&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_por-PRT_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2711"	"Home"	"Página Inicial"	"R550_general_info_gi_l1_56fc785ccd89f9.96697154_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"4147"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R561_question03_q03itemDirections_56fc785d2a1ae0.05518128_1_0"	"PISA_por-PRT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4105"	"Read the Introduction."	"Lê a introdução."	"q00a-body_q00a-p1_56fc785d252639.73865870_0_0"	"PISA_por-PRT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4018"	"&lt;b&gt;Great Pacific Garbage Patch&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grande Mancha de Lixo do Pacífico&lt;/b&gt;&lt;br /&gt;"	"q00abody_itemTitle00_56fc784a8202e8.20275697_0_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4663"	"Read the Introduction."	"Lê a introdução."	"q00body_q00itemDirections_56fc783b5aea95.72363860_0_0"	"PISA_por-PRT_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"506"	"courageously"	"corajosamente"	"R220_stimulus_stimulusH_9_50c7c0a5a97586.10217359_0"	"PISA_por-PRT_REA_R220-SouthPole_en15_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5538"	"Click on the choices in the table to answer the question."	"Para responderes à questão, seleciona as opções na tabela."	"R568_question02_q02itemDirections_56fc784aa47285.37561152_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3932"	"&lt;b&gt;Great Pacific Garbage Patch&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grande Mancha de Lixo do Pacífico&lt;/b&gt; &lt;br&gt;"	"R560_question2_q02itemTitle_56fc784a79c377.86813802_0_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"6171"	"Click &lt;b&gt;YES&lt;/b&gt; if the sentence makes sense."	"Se a frase faz sentido, clica em &lt;b&gt;SIM&lt;/b&gt;."	"q3R590_question_q3p1_56fd23111960a4.54446684_1_0"	"PISA_por-PRT_REA_R590-Sentences01_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Considera ambas as fontes de informação, apresentadas à direita, clicando em cada um dos separadores."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3241"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R553_question2_q02itemDirections_56fc784a5d6452.10662812_1_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"3957"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R560_question04_q04itemDirections_56fc784a7c0426.30672562_1_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3939"	"&lt;b&gt;Great Pacific Garbage Patch&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grande Mancha de Lixo do Pacífico&lt;/b&gt; &lt;br&gt;"	"R560_question03_q03itemTitle_56fc784a7acb52.28242958_0_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Para responderes à questão, seleciona uma opção e depois escreve uma justificação."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_por-PRT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2264"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Inquérito sobre livros&lt;/b&gt; &lt;br /&gt;"	"R547_question2_itemTitle_56fc782e071323.16058035_0_0"	"PISA_por-PRT_REA_R547-BookSurvey_en18_MS2022.xlf"
"4944"	"Website"	"&lt;i&gt;Site&lt;/i&gt;"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_por-PRT_REA_R566-SkelligRocks_en18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b7d99979f8.87567676_0"	"PISA_por-PRT_REA_R219-Employment_en15_MS2022.xlf"
"4275"	"Read the Introduction."	"Lê a introdução."	"q00body_q00itemDirections_56fc783b3f8a36.71119956_0_0"	"PISA_por-PRT_REA_R562-OpeningNight_en18_MS2022.xlf"
"4004"	"&lt;b&gt;Great Pacific Garbage Patch&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grande Mancha de Lixo do Pacífico&lt;/b&gt; &lt;br&gt;"	"R560_question07_q07itemTitle_56fc784a80b473.91187726_0_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1561"	"Wednesday"	"Quarta-feira"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_por-PRT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Considera a pesquisa na internet, apresentada à direita."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_por-PRT_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4567"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_1_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Para responderes à questão, seleciona uma opção e depois escreve uma justificação."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_por-PRT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"6148"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_1_0"	"PISA_por-PRT_REA_R590-Sentences01_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Considera ambas as fontes de informação, apresentadas à direita, clicando em cada um dos separadores."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5649"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4942"	"Website"	"&lt;i&gt;Site&lt;/i&gt;"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_por-PRT_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3814"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R559_question03_q03itemDirections_56fc783b26ca61.80059891_1_0"	"PISA_por-PRT_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"2723"	"Home"	"Página Inicial"	"R550_hours_hours_l1_56fc785ccf6140.31847109_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Considera a pesquisa na internet apresentada à direita."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_por-PRT_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4874"	"Click on a choice to answer the question.&lt;/i&gt;"	"Para responderes à questão, seleciona uma opção. &lt;/i&gt;"	"R565_question6_itemDirections_56fc785d6051c6.45976345_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
