"Segment"	"en-ZZ"	"uk-UA"	"ID"	"File"
"4598"	"A"	"А"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Виберіть відповіді на запитання та клікніть на них."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_ukr-UKR_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Виберіть одну або більше відповідей на запитання та клікніть на неї / них."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_ukr-UKR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5072"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q1MA161_question_q1itemDirections_5c9d2137a0db16.80720504_1_0"	"PISA_ukr-UKR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3534"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q1CMA138_question_q1itemDirections_5c9d2164836508.25884822_1_0"	"PISA_ukr-UKR_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"3201"	"A"	"А"	"Q1MA134_question_Q01tr3td1SELECT1o1_5c9d2164318d73.43327422_0"	"PISA_ukr-UKR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1446"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_ukr-UKR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Уведіть Ваші відповіді на запитання, скориставшись цифровими клавішами."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_ukr-UKR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"Уведіть відповідь на запитання, скориставшись цифровими клавішами."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_ukr-UKR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Щоб відповісти на запитання, скористайтеся методом перетягування."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_ukr-UKR_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3630"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA140_question3_q3itemDirections_5c9d21649dbe63.73800094_1_0"	"PISA_ukr-UKR_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Виберіть відповіді на запитання та клікніть на них."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_ukr-UKR_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"3383"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA136_question03_q3itemDirections_5c9d2164634b07.90090842_1_0"	"PISA_ukr-UKR_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4295"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q2MA150_question_q2itemDirections_5c9d216538ee88.41324335_1_0"	"PISA_ukr-UKR_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1251"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA115_question02_q02itemDirections_5c9d214a9187a5.96523157_1_0"	"PISA_ukr-UKR_MAT_MA115-Iceberg_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA143_question04_q4itemDirections_5c9d2164c0e144.21102801_1_0"	"PISA_ukr-UKR_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Виберіть одну або більше відповідей на запитання та клікніть на неї / них."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_ukr-UKR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"827"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"Q2M111_question_Q2itemDirections_5c9d214a59d864.67731521_1_0"	"PISA_ukr-UKR_MAT_MA111-HealthApp_en21_MS2022.xlf"
"3545"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q2CMA138_question_q2itemDirections_5c9d21648472a1.52007146_1_0"	"PISA_ukr-UKR_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_ukr-UKR_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4656"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q2MA156_question_q2itemDirections_5c9d21656a4d34.03623252_1_0"	"PISA_ukr-UKR_MAT_MA156-Points_en21_MS2022.xlf"
"1239"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA115_question01_q01itemDirections_5c9d214a9065d9.24249905_1_0"	"PISA_ukr-UKR_MAT_MA115-Iceberg_en21_MS2022.xlf"
"1401"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA117_question01_q01itemDirections_5c9d214aacc999.01242355_1_0"	"PISA_ukr-UKR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3619"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA140_question2_q2itemDirections_5c9d21649c7fa5.69809185_1_0"	"PISA_ukr-UKR_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"3444"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"xxCMA137_question_q1itemDirections_5c9d21646f0047.88877228_1_0"	"PISA_ukr-UKR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4945"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q3MA160_question_q3itemDirections_5c9d21377f8251.32216410_1_0"	"PISA_ukr-UKR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4177"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q1MA148_question_q1itemDirections_5c9d21651b0cc9.30517555_1_0"	"PISA_ukr-UKR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2953"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_1_0"	"PISA_ukr-UKR_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"4604"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q1MA154_question_q1itemDirections_5c9d21655bcda0.49975962_1_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Виберіть одну або більше відповідей на запитання та клікніть на неї / них."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_ukr-UKR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3590"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"xxCMA139_question_q2itemDirections_5c9d2164919bd5.42007175_1_0"	"PISA_ukr-UKR_MAT_MA139-TabletCover_en21_MS2022.xlf"
"4252"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q2MA149_question_q2itemDirections_5c9d21652c3193.71873749_1_0"	"PISA_ukr-UKR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4581"	"A"	"А"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4124"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA147q4_question_q4itemDirections_5c9d21650b66f4.19975110_1_0"	"PISA_ukr-UKR_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3195"	"A"	"А"	"Q1MA134_question_Q01tr2td1SELECT1o1_5c9d2164318520.98922600_0"	"PISA_ukr-UKR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2790"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA131_question1_q1itemDirections_5c9d214ba1ed50.83741588_1_0"	"PISA_ukr-UKR_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"1194"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA114_question2_itemDirections2_5c9d214a83b1e3.67009864_1_0"	"PISA_ukr-UKR_MAT_MA114-Honey_en21_MS2022.xlf"
"1412"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA117_question02_Q02itemDirections_5c9d214aae26f7.68113286_1_0"	"PISA_ukr-UKR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3949"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA145_question2_q2itemDirections_5c9d2164e0e799.91065994_1_0"	"PISA_ukr-UKR_MAT_MA145-Shadows_en21_MS2022.xlf"
"5189"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_1_0"	"PISA_ukr-UKR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5345"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q2MA161_question_q2itemDirections_5c9d2137d316f3.78151292_1_0"	"PISA_ukr-UKR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4591"	"A"	"А"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1902"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA128_question2_q2itemDirections_5c9d214b330089.68340793_1_0"	"PISA_ukr-UKR_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"1531"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA120_question1_itemDirections1_5c9d214ae25a25.45268216_1_0"	"PISA_ukr-UKR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3903"	"4%"	"4 %"	"q2MA144_question_question02_4_5c9d2164cfd643.79201671_0"	"PISA_ukr-UKR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3981"	"Litres"	"Літри"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_ukr-UKR_MAT_MA146-Fuel_en21_MS2022.xlf"
"5146"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_1_0"	"PISA_ukr-UKR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4214"	"A"	"А"	"MA149_stimulus1_img1Lbl1_5c9d2165288f09.35660227_0"	"PISA_ukr-UKR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Щоб скористатися калькулятором, дійте так:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_ukr-UKR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"Уведіть відповідь на запитання, скориставшись цифровими клавішами."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_ukr-UKR_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Уведіть Ваші відповіді на запитання, скориставшись цифровими клавішами."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_ukr-UKR_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_ukr-UKR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Виберіть відповіді на запитання та клікніть на них."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_ukr-UKR_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Щоб відповісти на запитання, виберіть відповіді з випадних меню."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_ukr-UKR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3783"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA143_question03_q3itemDirections_5c9d2164bfa911.33589323_1_0"	"PISA_ukr-UKR_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Клікніть на &lt;b&gt;Так&lt;/b&gt; або &lt;b&gt;Ні&lt;/b&gt; для кожного твердження."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_ukr-UKR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Виберіть відповідь на запитання з випадного меню."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_ukr-UKR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_ukr-UKR_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"3760"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA143_question01_q1itemDirections_5c9d2164bd09f7.43448559_1_0"	"PISA_ukr-UKR_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Уведіть відповідь на запитання, скориставшись цифровими клавішами."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_ukr-UKR_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"Уведіть відповідь на запитання, скориставшись цифровими клавішами."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_ukr-UKR_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3686"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q4CMA141_question_q4itemDirections_5c9d2164a9ca08.40004442_1_0"	"PISA_ukr-UKR_MAT_MA141-WaterBill_en21_MS2022.xlf"
"4132"	"42%"	"42 %"	"MA147q4_question_question04_7_5c9d21650b7306.73251190_0"	"PISA_ukr-UKR_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"586"	"degrees"	"градусів"	"MA108q01_question_degreeLbl_5c9d2136c0c917.91142403_0"	"PISA_ukr-UKR_MAT_MA108-Fountains_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ukr-UKR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1839"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA121_question03_Q03itemDirections_5c9d214b07d797.77931049_1_0"	"PISA_ukr-UKR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3359"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA136_question01_q1itemDirections_5c9d216460bbf5.70131128_1_0"	"PISA_ukr-UKR_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1322"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA116_question1_itemDirections1_5c9d214a99d4f5.42965308_1_0"	"PISA_ukr-UKR_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"5397"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q3MA160_question_q3itemDirections_5c9d2137d54ae4.61371872_1_0"	"PISA_ukr-UKR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5133"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q2MA161_question_q2itemDirections_5c9d2137a35226.15708627_1_0"	"PISA_ukr-UKR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4225"	"A"	"А"	"MA149_stimulus2_img2Lbl1_5c9d2165299540.34702392_0"	"PISA_ukr-UKR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2803"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA131_question2_q2itemDirections_5c9d214ba31f93.93028518_1_0"	"PISA_ukr-UKR_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"1949"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA124_question1_itemDirections1_5c9d214b402246.10061217_1_0"	"PISA_ukr-UKR_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4578"	"A"	"А"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Виберіть відповідь на запитання з випадного меню."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_ukr-UKR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_ukr-UKR_MAT_MA146-Fuel_en21_MS2022.xlf"
"3275"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q2CMA135_question_q2itemDirections_5c9d2164502f75.93836961_1_0"	"PISA_ukr-UKR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"5332"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q1MA162_question_q1itemDirections_5c9d2137d16d37.11041740_1_0"	"PISA_ukr-UKR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Виберіть дві відповіді на запитання та клікніть на них."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ukr-UKR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4917"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_1_0"	"PISA_ukr-UKR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2537"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"Q1MA129_question_Q1ItmDirP1Id_5c9d214b77ec40.66176260_1_0"	"PISA_ukr-UKR_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1183"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA114_question1_itemDirections1_5c9d214a82a650.54712226_1_0"	"PISA_ukr-UKR_MAT_MA114-Honey_en21_MS2022.xlf"
"2204"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA126_question01_itemDirectionsQ01_5c9d214b506370.60535880_1_0"	"PISA_ukr-UKR_MAT_MA126-Robot_en21_MS2022.xlf"
"5019"	"Mean"	"Середнє арифметичне"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_ukr-UKR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"441"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"M105_question5_itemDirections5_5c9d2136771724.04274916_1_0"	"PISA_ukr-UKR_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_ukr-UKR_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"Уведіть відповідь на запитання, скориставшись цифровими клавішами."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_ukr-UKR_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4696"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q2MA157_question_q2itemDirections_5c9d216572eb83.90804733_1_0"	"PISA_ukr-UKR_MAT_MA157-Tyres_en21_MS2022.xlf"
"4577"	"D"	"Р"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2300"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA126_question04_itemDirectionsQ04_5c9d214b568386.90812819_1_0"	"PISA_ukr-UKR_MAT_MA126-Robot_en21_MS2022.xlf"
"4189"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q2MA148_question_q2itemDirections_5c9d21651c5dd5.51806474_1_0"	"PISA_ukr-UKR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4086"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA147q1_question_q1itemDirections_5c9d2165076508.53769328_1_0"	"PISA_ukr-UKR_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4112"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA147q3_question_q3itemDirections_5c9d21650a0484.20685545_1_0"	"PISA_ukr-UKR_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Щоб відповісти на запитання, виберіть відповіді з випадних меню."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_ukr-UKR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Виберіть одну або більше відповідей на запитання та клікніть на неї / них."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_ukr-UKR_MAT_MA114-Honey_en21_MS2022.xlf"
"1145"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"Q03MA113_question_Q03itemDirections_5c9d214a6e0c82.46175181_1_0"	"PISA_ukr-UKR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4616"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q2MA154_question_q2itemDirections_5c9d21655d41c9.81604829_1_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1119"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"Q01MMA113_question_Q01itemDirections_5c9d214a6aa466.58921399_1_0"	"PISA_ukr-UKR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2568"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_ukr-UKR_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"2289"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA126_question03_itemDirectionsQ03_5c9d214b54ba12.68549963_1_0"	"PISA_ukr-UKR_MAT_MA126-Robot_en21_MS2022.xlf"
