"Segment"	"en-ZZ"	"ms-MY"	"ID"	"File"
"5075"	"Statement"	"Soalan"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_msa-MYS_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawapan dan kemudian taipkan penjelasan untuk menjawab soalan."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_msa-MYS_MAT_MA156-Points_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_msa-MYS_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Klik pada satu atau lebih petak untuk menjawab soalan."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_msa-MYS_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Klik pada pilihan jawapan di dalam jadual untuk menjawab soalan."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_msa-MYS_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klik pada &lt;b&gt;Benar&lt;/b&gt; atau &lt;b&gt;Palsu&lt;/b&gt; untuk setiap pernyataan berikut."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_msa-MYS_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Klik pada satu atau lebih petak untuk menjawab soalan."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_msa-MYS_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawapan dan kemudian taipkan penjelasan untuk menjawab soalan."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_msa-MYS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Klik pada dua petak untuk menjawab soalan."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_msa-MYS_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klik pada &lt;b&gt;Benar&lt;/b&gt; atau &lt;b&gt;Palsu&lt;/b&gt; untuk setiap pernyataan berikut."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_msa-MYS_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klik pada &lt;b&gt;Benar&lt;/b&gt; atau &lt;b&gt;Palsu&lt;/b&gt; bagi setiap pernyataan."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_msa-MYS_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawapan dan kemudian taipkan penjelasan untuk menjawab soalan."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_msa-MYS_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Guna tarik dan letak untuk menjawab soalan."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_msa-MYS_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Klik pada pilihan jawapan di dalam jadual untuk menjawab soalan."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_msa-MYS_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_msa-MYS_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_msa-MYS_MAT_MA111-HealthApp_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Terangkan jawapan anda dan masukkan nilai berangka untuk menyokong penerangan anda."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_msa-MYS_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klik pada &lt;b&gt;Ya&lt;/b&gt; atau &lt;b&gt;Tidak&lt;/b&gt; bagi setiap pernyataan."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_msa-MYS_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawapan dan kemudian taipkan penjelasan untuk menjawab soalan."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_msa-MYS_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"Taip jawapan anda untuk soalan ini."	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_msa-MYS_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Pilih daripada menu ke bawah untuk menjawab soalan berikut."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_msa-MYS_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Klik pada pilihan jawapan di dalam jadual untuk menjawab soalan."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_msa-MYS_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓Sila pilih &lt;b&gt;satu atau lebih&lt;/b&gt; petak."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_msa-MYS_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5278"	"Mean"	"Min"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_msa-MYS_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5019"	"Mean"	"Min"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_msa-MYS_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_msa-MYS_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Gunakan tarik dan letak untuk menjawab soalan ini."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_msa-MYS_MAT_MA157-Tyres_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Klik pada pilihan jawapan di dalam jadual untuk menjawab soalan."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_msa-MYS_MAT_MA151-MovingOut_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Gunakan tarik dan letak untuk menjawab soalan ini."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_msa-MYS_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Pilih daripada menu ke bawah untuk menjawab soalan berikut."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_msa-MYS_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Untuk menggunakan kalkulator, ikut langkah-langkah berikut:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_msa-MYS_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓Sila pilih &lt;b&gt;satu atau lebih&lt;/b&gt; petak."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_msa-MYS_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_msa-MYS_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Jumlah &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_msa-MYS_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawapan dan kemudian taipkan penjelasan untuk menjawab soalan."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_msa-MYS_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawapan dan kemudian taipkan penjelasan untuk menjawab soalan."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_msa-MYS_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Pilih daripada menu ke bawah untuk menjawab soalan berikut."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_msa-MYS_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Untuk menjalankan kalkulator ini, ikut langkah-langkah berikut:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_msa-MYS_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Guna tarik dan letak untuk menjawab soalan."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_msa-MYS_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Terangkan jawapan anda dan masukkan nilai berangka untuk menyokong penerangan anda."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_msa-MYS_MAT_MA146-Fuel_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawapan dan kemudian taipkan penjelasan untuk menjawab soalan."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_msa-MYS_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_msa-MYS_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_msa-MYS_MAT_MA144-Yogurt_en21_MS2022.xlf"
