"Segment"	"en-ZZ"	"es-CL"	"ID"	"File"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_esp-CHL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_esp-CHL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1048"	"65+"	"66+"	"MA113S02_stimulus_T02tr3td7_5c9d214a6674b1.26334003_0"	"PISA_esp-CHL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Explica tu respuesta e incluye valores numéricos que la respalden."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_esp-CHL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Usando las teclas de números, digita tus respuestas a la pregunta."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_esp-CHL_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"948"	"Height"	"Estatura"	"js_translation_colHeader3_5c9d2136e7a755.97366509_0"	"PISA_esp-CHL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4850"	"Mean"	"Media"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_esp-CHL_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5075"	"Statement"	"Pregunta"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_esp-CHL_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_esp-CHL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_esp-CHL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; para cada afirmación."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_esp-CHL_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; para cada afirmación."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_esp-CHL_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; para cada una de las afirmaciones de la tabla siguiente."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_esp-CHL_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_esp-CHL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_esp-CHL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Haz clic en dos casilleros para responder la pregunta."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_esp-CHL_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"990"	"65+"	"66+"	"MA113S02_stimulus_tr3td7_5c9d214a662766.11417679_0"	"PISA_esp-CHL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"5019"	"Mean"	"Media"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_esp-CHL_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_esp-CHL_MAT_MA144-Yogurt_en21_MS2022.xlf"
