"Segment"	"en-ZZ"	"es-PE"	"ID"	"File"
"1048"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Work Right products* on the same day from your usual retailer between 15th December  and 31st January:&lt;br /&gt;"	"&lt;b&gt;1/ Compre &lt;/b&gt; el mismo día uno o más productos* de Oficentro en su tienda habitual entre el 15 de diciembre y el 31 de enero:&lt;br /&gt;"	"R466_stimulus_section2_50c7c8c815d784.76209898_0"	"PISA_esp-PER_REA_R466-WorkRight_en15_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b6f55f0ab9.96017871_0"	"PISA_esp-PER_REA_R219-Employment_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Por compras de S/. 600 a S/. 1499,99, Oficentro le reembolsará S/. &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;.&lt;br /&gt; &gt;Por compras de S/. 1500 a S/. 2999,90, Oficentro le reembolsará S/. 500.&lt;br /&gt; &gt; Por compras de S/. 3000 o más, Oficentro le reembolsará S/. 1000.&lt;br /&gt;"	"R466_stimulus_line5_50c7c8c815daa8.41926863_0"	"PISA_esp-PER_REA_R466-WorkRight_en15_MS2022.xlf"
"3425"	"&lt;i&gt;Refer to “What is Microlending?” on the right."	"&lt;i&gt;Lee el artículo &quot;¿Qué son los microcréditos?&quot; de la derecha."	"R556_question3_itemDirections_56fc783ac55ff8.32442383_0_0"	"PISA_esp-PER_REA_R556-Microlending_en18_MS2022.xlf"
"5012"	"Read the information below."	"Lee la información a continuación."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_0_0"	"PISA_esp-PER_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5013"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_1_0"	"PISA_esp-PER_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Haz  clic en un resultado de la búsqueda para responder a la pregunta."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"516"	"20 hours&lt;br /&gt;of darkness"	"20 horas de&lt;br /&gt;oscuridad"	"R220_stimulus_label3_50c7bfc7a4e661.98984925_0"	"PISA_esp-PER_REA_R220-SouthPole_en15_MS2022.xlf"
"22"	"&lt;i&gt;Refer to &quot;Drugged Spiders Drop Stitches&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Lee &quot;A las arañas drogadas se les van las puntadas&quot;, que está a la derecha. Escribe tu respuesta a la pregunta. &lt;/i&gt;"	"R055_question_itemDirections_50c7b286b28c87.53414827_0"	"PISA_esp-PER_REA_R055-DruggedSpiders_en15_MS2022.xlf"
"4474"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"PUBLICACIÓN DE LA I.E. ZEDLANDIA"	"R563-stimulus-news_news-caption_56fc786b3a39f3.22500385_0"	"PISA_esp-PER_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4106"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_esp-PER_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4415"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"PUBLICACIÓN DEL I.E.S. ZEDLANDIA"	"R563-stimulus-communtity_news-caption_56fc786b364c68.26906186_0"	"PISA_esp-PER_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Haz clic en la flecha SIGUIENTE para leer el sitio web."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_esp-PER_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4386"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"PUBLICACIÓN DEL I.E.S. ZEDLANDIA"	"R563-stimulus-communtity_news-caption_56fc786b34c954.74055948_0"	"PISA_esp-PER_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"517"	"16 hours&lt;br /&gt;of darkness"	"16 horas de&lt;br /&gt;oscuridad"	"R220_stimulus_label4_50c7bfc7a4e953.43230965_0"	"PISA_esp-PER_REA_R220-SouthPole_en15_MS2022.xlf"
"5928"	"Read the information below."	"Lee la información a continuación."	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_0_0"	"PISA_esp-PER_REA_R570-TheFavour_en18_MS2022.xlf"
"3956"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Lee el artículo  &quot;La Gran mancha de basura del Pacífico&quot; a la derecha."	"R560_question04_q04itemDirections_56fc784a7c0426.30672562_0_0"	"PISA_esp-PER_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1848"	"Click on the NEXT arrow to read the first source."	"Haz clic en la flecha SIGUIENTE para leer la primera fuente."	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_esp-PER_REA_R544-Tesla_en18_MS2022.xlf"
"4029"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_1_0"	"PISA_esp-PER_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5386"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_1_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4112"	"Read the information below."	"Lee la información a continuación."	"q00b-body_q00b-p1_56fc785d264c41.70943658_0_0"	"PISA_esp-PER_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5924"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_1_0"	"PISA_esp-PER_REA_R570-TheFavour_en18_MS2022.xlf"
"494"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"Cuando llegaron a la cumbre, Amundsen sacrificó a los perros innecesarios, y mantuvo sólo dieciocho para tres trineos. El 10 de diciembre, estaban a sólo 112 kilómetros del Polo Sur. La altitud iba decreciendo."	"R220_stimulus_p3_50c7bfc7a23c08.62998316_0"	"PISA_esp-PER_REA_R220-SouthPole_en15_MS2022.xlf"
"1631"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"question0b_1_itemDirections00_56fc7821309e26.00768085_1_0"	"PISA_esp-PER_REA_R543-Nobel_en18_MS2022.xlf"
"6171"	"Click &lt;b&gt;YES&lt;/b&gt; if the sentence makes sense."	"Haz clic en&lt;b&gt;SÍ&lt;/b&gt; si la oración tiene sentido."	"q3R590_question_q3p1_56fd23111960a4.54446684_1_0"	"PISA_esp-PER_REA_R590-Sentences01_en18_MS2022.xlf"
"5008"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_1_0"	"PISA_esp-PER_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; para cada afirmación."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"520"	"continuous&lt;br /&gt;daylight"	"Luz de día &lt;br /&gt;continua"	"R220_stimulus_label7_50c7bfc7a4f235.85212739_0"	"PISA_esp-PER_REA_R220-SouthPole_en15_MS2022.xlf"
"1854"	"Click on the NEXT arrow to read the second source."	"Haz clic en la flecha SIGUIENTE para leer la segunda fuente de información."	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_esp-PER_REA_R544-Tesla_en18_MS2022.xlf"
"2858"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Cliff Palace&lt;/b&gt;&lt;br /&gt;"	"R550_question06_q06itemTitle_56fc785ce7b166.46111037_0_0"	"PISA_esp-PER_REA_R550-CliffPalace_en18_MS2022.xlf"
"2540"	"Refer to “Message in a Bottle” on the right."	"Lee el artículo &quot;Mensaje en una botella&quot; a la derecha."	"R549_question04_q04itemDirections_56fc786ad05882.39043317_0_0"	"PISA_esp-PER_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4369"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"PUBLICACIÓN DEL I.E.S. ZEDLANDIA"	"R563-stimulus-culture_news-caption_56fc786b3339c1.99962589_0"	"PISA_esp-PER_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5643"	"Read the information below."	"Lee la información a continuación."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_0_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Lee ambas fuentes de la derecha haciendo clic en cada pestaña."	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_esp-PER_REA_R544-Tesla_en18_MS2022.xlf"
"2492"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_1_0"	"PISA_esp-PER_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Clases de reforzamiento para Todos"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_esp-PER_REA_R542-BulletinBoard_en18_MS2022.xlf"
"6148"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_1_0"	"PISA_esp-PER_REA_R590-Sentences01_en18_MS2022.xlf"
"588"	"continuous&lt;br /&gt;daylight"	"Luz de día &lt;br /&gt;continua"	"R220_stimulus_label6_50c7bfc7ac5023.09050652_0"	"PISA_esp-PER_REA_R220-SouthPole_en15_MS2022.xlf"
"6159"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_1_0"	"PISA_esp-PER_REA_R590-Sentences01_en18_MS2022.xlf"
"2894"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Cliff Palace&lt;/b&gt;&lt;br /&gt;"	"R550_question09_q09itemTitle_56fc785ced8fa6.72873403_0_0"	"PISA_esp-PER_REA_R550-CliffPalace_en18_MS2022.xlf"
"5312"	"True"	"Verdadera"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5313"	"False"	"Falsa"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5649"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_1_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1760"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Lee ambas fuentes de la derecha haciendo clic en cada pestaña."	"R543_question9_itemDirections_56fc78213f7142.41939392_0_0"	"PISA_esp-PER_REA_R543-Nobel_en18_MS2022.xlf"
"2512"	"Refer to “Message in a Bottle” on the right."	"Lee el artículo &quot;Mensaje en una botella&quot; a la derecha."	"R549_question02_q02itemDirections_56fc786acd2da2.66365134_0_0"	"PISA_esp-PER_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1630"	"Read the information below."	"Lee la siguiente información."	"question0b_1_itemDirections00_56fc7821309e26.00768085_0_0"	"PISA_esp-PER_REA_R543-Nobel_en18_MS2022.xlf"
"2486"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_1_0"	"PISA_esp-PER_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5747"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_1_0"	"PISA_esp-PER_REA_R569-TheCleanup_en18_MS2022.xlf"
"5939"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_1_0"	"PISA_esp-PER_REA_R570-TheFavour_en18_MS2022.xlf"
"5929"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_1_0"	"PISA_esp-PER_REA_R570-TheFavour_en18_MS2022.xlf"
"4500"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_esp-PER_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3778"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00body_q00itemDirections_56fc783b2348f3.80349298_1_0"	"PISA_esp-PER_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5269"	"True"	"Verdadera"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5542"	"True"	"Verdadera"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Lee las dos fuentes de la derecha haciendo clic en cada pestaña."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_esp-PER_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5740"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00a-body_q00a-itemDirections_56fc78794b5369.48599087_1_0"	"PISA_esp-PER_REA_R569-TheCleanup_en18_MS2022.xlf"
"5374"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_1_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3537"	"&lt;i&gt;Refer to all three articles on the right by clicking on each of the tabs."	"&lt;i&gt;Lee los tres artículos de la derecha haciendo clic en cada pestaña."	"R556_question11_itemDirections_56fc783ae151e7.17163175_0_0"	"PISA_esp-PER_REA_R556-Microlending_en18_MS2022.xlf"
"2887"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Cliff Palace&lt;/b&gt;&lt;br /&gt;"	"R550_question08_q08itemTitle_56fc785ceb8fd9.58889268_0_0"	"PISA_esp-PER_REA_R550-CliffPalace_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;¡Importante! No olvide adjuntar:&lt;/b&gt;&lt;br /&gt; &amp;mdash; Una copia de su comprobante de pago&lt;br /&gt; &amp;mdash; Los código(s) de barras o la(s) etiqueta(s) con el precio de los productos originales&lt;br /&gt;"	"R466_stimulus_sect3right_50c7c8c8163626.64665393_0"	"PISA_esp-PER_REA_R466-WorkRight_en15_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Haz en clic en &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; en cada afirmación."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"515"	"16 hours&lt;br /&gt;of darkness"	"16 horas de&lt;br /&gt;oscuridad"	"R220_stimulus_label2_50c7bfc7a4e375.71235032_0"	"PISA_esp-PER_REA_R220-SouthPole_en15_MS2022.xlf"
"4021"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_1_0"	"PISA_esp-PER_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1661"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Lee ambas fuentes de la derecha haciendo clic en cada pestaña..."	"R543_question11_itemDirections_56fc782133db85.09049416_0_0"	"PISA_esp-PER_REA_R543-Nobel_en18_MS2022.xlf"
"589"	"continuous&lt;br /&gt;daylight"	"Luz de día &lt;br /&gt;continua"	"R220_stimulus_label7_50c7bfc7ac5318.15653441_0"	"PISA_esp-PER_REA_R220-SouthPole_en15_MS2022.xlf"
"1068"	"Between £60 and £149.99&lt;br /&gt;"	"Entre S/. 600 y S/. 1499,90&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c8c8162a79.47575223_0"	"PISA_esp-PER_REA_R466-WorkRight_en15_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"Lee las dos fuentes de información de la derecha haciendo clic en cada pestaña."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4944"	"Website"	"Sitio Web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_esp-PER_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4276"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00body_q00itemDirections_56fc783b3f8a36.71119956_1_0"	"PISA_esp-PER_REA_R562-OpeningNight_en18_MS2022.xlf"
"1312"	"True"	"Verdadera"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_esp-PER_REA_R541-Plastic_en18_MS2022.xlf"
"2873"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Cliff Palace&lt;/b&gt;&lt;br /&gt;"	"R550_question07_q07itemTitle_56fc785ce9a365.24704799_0_0"	"PISA_esp-PER_REA_R550-CliffPalace_en18_MS2022.xlf"
"4664"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00body_q00itemDirections_56fc783b5aea95.72363860_1_0"	"PISA_esp-PER_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2785"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_esp-PER_REA_R550-CliffPalace_en18_MS2022.xlf"
"4113"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00b-body_q00b-p1_56fc785d264c41.70943658_1_0"	"PISA_esp-PER_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5543"	"False"	"Falsa"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Utiliza arrastrar y soltar para responder a la pregunta."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_esp-PER_REA_R569-TheCleanup_en18_MS2022.xlf"
"6158"	"Read the information below."	"Lee la información a continuación."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_0_0"	"PISA_esp-PER_REA_R590-Sentences01_en18_MS2022.xlf"
"4028"	"Read the information below."	"Lee la información a continuación."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_0_0"	"PISA_esp-PER_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4942"	"Website"	"Sitio Web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_esp-PER_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5385"	"Read the information below."	"Lee la información a continuación."	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_0_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5938"	"Read the information below."	"Lee la información a continuación."	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_0_0"	"PISA_esp-PER_REA_R570-TheFavour_en18_MS2022.xlf"
"1902"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt; Lee ambas fuentes de la derecha haciendo clic en cada pestaña."	"R544_question12_itemDirections_56fc78216b9a04.98619256_0_0"	"PISA_esp-PER_REA_R544-Tesla_en18_MS2022.xlf"
"1056"	"Given Name:"	"Nombre:"	"R466_stimulus_line8_50c7c8c815f388.67862689_0"	"PISA_esp-PER_REA_R466-WorkRight_en15_MS2022.xlf"
"6045"	"How should Charles respond?"	"¿Cómo debería responder Carlos?"	"R570_question07_q07p2_56fc787980d795.85902410_0"	"PISA_esp-PER_REA_R570-TheFavour_en18_MS2022.xlf"
"2491"	"Read the information below."	"Lee la información a continuación."	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_0_0"	"PISA_esp-PER_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Haz clic en la flecha SIGUIENTE para leer la página web."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Lee las dos fuentes de la derecha haciendo clic en cada pestaña."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_esp-PER_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"519"	"continuous&lt;br /&gt;daylight"	"Luz de día &lt;br /&gt;continua"	"R220_stimulus_label6_50c7bfc7a4ef28.35126760_0"	"PISA_esp-PER_REA_R220-SouthPole_en15_MS2022.xlf"
"2103"	"False"	"Falsa"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_esp-PER_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2526"	"Refer to “Message in a Bottle” on the right."	"Lee el artículo &quot;Mensaje en una botella&quot; a la derecha."	"R549_question03_q03itemDirections_56fc786ace3d99.90483432_0_0"	"PISA_esp-PER_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"Lee las dos fuentes de información de la derecha haciendo clic en cada pestaña."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50c7b6f55efca5.19157791_0"	"PISA_esp-PER_REA_R219-Employment_en15_MS2022.xlf"
"5644"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1313"	"False"	"Falsa"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_esp-PER_REA_R541-Plastic_en18_MS2022.xlf"
