"Segment"	"en-ZZ"	"lt-LT"	"ID"	"File"
"2125"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Nepamirškite pasirinkti  &lt;b&gt;vieno ar kelių&lt;/b&gt; atsakymų."	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"2942"	"Venus"	"Venera"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_lit-LTU_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1903"	"Sound in Marine Habitats"	"SGarsas jūros areale"	"S626_stimulus3_attr_alt_attr_stimulus3_1_515e3a72776832.81768625_0"	"PISA_lit-LTU_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2920"	"Explain your answer."	"Paaiškinkite atsakymą."	"S648_question4_q4p2_517407af762523.27161688_0"	"PISA_lit-LTU_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"Norėdami atlikti dar vieną bandymą, įštrinkite duomenų eilutę."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Vidu-&lt;br /&gt;tinis"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Perskaitykite įvadą ir spustelėkite rodyklę TOLIAU. &lt;/i&gt;"	"question0_1_itemDirections00_51940c10345e61.42502127_0"	"PISA_lit-LTU_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2894"	"."	"paviršiaus temperatūrai."	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_lit-LTU_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Puiku!&lt;br /&gt;  Norėdami tęsti, spustelėkite rodyklę TOLIAU."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"279"	"Low"	"Mažas"	"S413_question3_q3t4tr6td2_50ec42b8d9af41.31631832_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1232"	"S605 Geothermal Energy"	"S605 Geoterminė energija Q03"	"S605_stimulus3_unknownID_515e3a7222f3d5.31439290_0"	"PISA_lit-LTU_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"2207"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Skiepijimas ir ligos plitimas&lt;/b&gt;&lt;br /&gt;  Klausimas"	"CS634_Q05_itemTitle05_5193fde5a48808.24424360_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"2455"	"None"	"Nėra"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"636"	"Earltown"	"Aukštamiestis"	"S466_stimulus2_label4_50ed2454088593.50287111_0"	"PISA_lit-LTU_SCI_S466-ForestFires_en15_MS2022.xlf"
"266"	"High"	"Didelis"	"S413_question3_q3t3tr5td2_50ec42b8d96ca4.69325161_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Atsakant į šį klausimą simuliatoriaus naudoti nereikės. Pasirinkite atsakymą ir įrašykite paaiškinimą.  &lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_lit-LTU_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2376"	"decrease"	"sumažėja"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"82"	"Fats"	"Riebalų"	"S326_stimulus2_t2tr2td1_50ec4a7b9c7162.76055781_0"	"PISA_lit-LTU_SCI_S326-Milk_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"Šis simuliatorius leidžia ištirti, kokią įtaką menkių ir silkių žvejybos intensyvumas turi kiekvieno įlankoje gyvenančio organizmo biomasei po 5 metų."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Ar moksliniai eksperimentai gali atsakyti į šį klausimą?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_lit-LTU_SCI_S638-OilSpills_en15_MS2022.xlf"
"2632"	"LED light bulbs"	"LED lemputės"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_lit-LTU_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"Paaiškinkite kodėl.&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_lit-LTU_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2361"	"Explain your answer."	"Paaiškinkite atsakymą."	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"637"	"Dairytown"	"Žemamiestis"	"S466_stimulus2_label5_50ed24540887d2.52728246_0"	"PISA_lit-LTU_SCI_S466-ForestFires_en15_MS2022.xlf"
"88"	"Proteins"	"Baltymų"	"S326_stimulus2_t3tr2td2_50ec4a7b9c9c33.87500158_0"	"PISA_lit-LTU_SCI_S326-Milk_en15_MS2022.xlf"
"1844"	"S626 Sound in Marine Habitats"	"S626 Garsas jūros areale"	"S626_stimulus2_unknownID_515e3a72732e69.96402716_0"	"PISA_lit-LTU_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1344"	"Caterpillars hatch and eat leaves"	"Vikšrai išsirita ir graužia lapus."	"S607_stimulus1_sl01_517407135cced4.30298235_0"	"PISA_lit-LTU_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1005"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Drambliai ir akacijos&lt;/b&gt;&lt;br /&gt; Klausimas"	"S603_question2_itemTitle2_515e3a7205e4b9.11233983_0"	"PISA_lit-LTU_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"250"	"High"	"Didelis"	"S413_question3_q3t2tr3td2_50ec42b8d91ed9.04600754_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Naudodamiesi simuliatoriumi ir žemiau pateikta informacija, surinkite reikiamus duomenis. Tuomet pasirinkite atsakymą ir įrašykite paaiškinimą. &lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_lit-LTU_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakterijas"	"S478_question1_question1_3_50ed1de1632f75.34528909_0"	"PISA_lit-LTU_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2246"	"High"	"Maksi-&lt;br /&gt;malus"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1040"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Drambliai ir akacijos&lt;/b&gt;&lt;br /&gt; Klausimas"	"S603_question4_itemTitle4_515e3a720a7527.26314932_0"	"PISA_lit-LTU_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2371"	"increase"	"padidėja"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Teikti pagalbą stichinių nelaimių aukoms"	"S514_question3_tr4td1_50ed2a47319c72.86972002_0"	"PISA_lit-LTU_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1879"	"S626 Sound in Marine Habitats"	"S626 Garsas jūros areale"	"S626_stimulus3_unknownID_515e3a7276cfb5.29733817_0"	"PISA_lit-LTU_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2453"	"High"	"Maksi-&lt;br /&gt;malus"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"611"	"&lt;b&gt;Forest Fires&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;MIŠKŲ GAISRAI&lt;/b&gt;&lt;br /&gt; Klausimas"	"S466_question3_itemTitle3_50ed2454055999.68517278_0"	"PISA_lit-LTU_SCI_S466-ForestFires_en15_MS2022.xlf"
"243"	"Low"	"Mažas"	"S413_question3_q3t1tr5td2_50ec42b8d8fff2.88221305_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2153"	"Select"	"pasirinkite"	"question2_1_CS634Q02SELECT10_5193fde59decc4.35520469_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"2173"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Skiepijimas ir ligos plitimas&lt;/b&gt;&lt;br /&gt;  Klausimas"	"question3_1_itemTitle03_5193fde5a01601.20351783_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"264"	"Low"	"Mažas"	"S413_question3_q3t3tr4td2_50ec42b8d961f4.41156310_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"254"	"High"	"Didelis"	"S413_question3_q3t2tr5td2_50ec42b8d93215.28560501_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Perskaitykite įvadą ir spustelėkite rodyklę TOLIAU.&lt;/i&gt;"	"S638_question0_itemDirections0_51804fe179a0d0.36675138_0"	"PISA_lit-LTU_SCI_S638-OilSpills_en15_MS2022.xlf"
"2945"	"Uranus"	"Uranas"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_lit-LTU_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2450"	"None"	"Nėra"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2319"	"Cod"	"Menkė"	"S635_question1_source4_51940bae3c3e86.87842788_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2209"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Pasirinkite vieną ar kelis atsakymus.&lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fde5a492d6.48884888_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Perskaitykite įvadą ir spustelėkite rodyklę TOLIAU.&lt;/i&gt;"	"S648_Q0_itemDirections0_517407af694fe9.03906983_0"	"PISA_lit-LTU_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Fluorescencinės lemputės"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_lit-LTU_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2944"	"Mars"	"Marsas"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_lit-LTU_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2456"	"Low"	"Mini-&lt;br /&gt;malus"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"87"	"Fats"	"Riebalų"	"S326_stimulus2_t3tr2td1_50ec4a7b9c9766.05017686_0"	"PISA_lit-LTU_SCI_S326-Milk_en15_MS2022.xlf"
"1722"	"S620 Tornadoes"	"S6020 Tornadai"	"S620_stimulus1_unknownID_51740713aa1ef5.74731796_0"	"PISA_lit-LTU_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"Naudodami simuliatorių sužinosite kaip veikia skirtingo tipo ir įvairios galios elektros lemputės. Lempučių testeris matuos šviesos srautą (matuojamą liumenais) ir lemputės efektyvumą (matuojamą liumenais vatui)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_lit-LTU_SCI_S643-LightBulbs_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"Stichinių nelaimių numatymui pasitelkti mokslinius metodus"	"S514_question3_tr2td1_50ed2a47318c55.23722823_0"	"PISA_lit-LTU_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1053"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Drambliai ir akacijos&lt;/b&gt;&lt;br /&gt; Klausimas"	"S603_question5_itemTitle5_515e3a720cc5f5.49479568_0"	"PISA_lit-LTU_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"273"	"Low"	"Mažas"	"S413_question3_q3t4tr3td2_50ec42b8d99177.74489228_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1345"	"Newly hatched birds are in nests"	"Išsiritę paukščiukai&lt;/b&gt;&lt;br /&gt; būna lizduose"	"S607_stimulus1_sl02_517407135cd2c7.40077453_0"	"PISA_lit-LTU_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2943"	"Earth"	"Žemė"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_lit-LTU_SCI_S648-HabitableZone_en15_MS2022.xlf"
"256"	"Low"	"Mažas"	"S413_question3_q3t2tr6td2_50ec42b8d93cf6.88825255_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"935"	"higher"	"didesnė"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_lit-LTU_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2244"	"Low"	"Mini-&lt;br /&gt;malus"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Nepamirškite pasirinkti  &lt;b&gt;vieno ar kelių&lt;/b&gt; atsakymų."	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"936"	"lower"	"mažesnė"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_lit-LTU_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Nepamirškite pasirinkti  &lt;b&gt;vieno ar kelių&lt;/b&gt; atsakymų."	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"2242"	"Cod"	"Menkė"	"js_translation_tableH2C6_51940bae349551.48958113_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2196"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Skiepijimas ir ligos plitimas&lt;/b&gt;&lt;br /&gt;  Klausimas"	"question4_1_itemTitle04_5193fde5a250d0.49857825_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"2158"	"Select"	"pasirinkite"	"question2_1_CS634Q02SELECT20_5193fde59dfa40.58672075_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"1027"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Drambliai ir akacijos&lt;/b&gt;&lt;br /&gt; Klausimas"	"S603_question3_itemTitle3_515e3a72087006.23988915_0"	"PISA_lit-LTU_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1355"	"Newly hatched birds are in nests"	"Išsiritę paukščiukai &lt;/b&gt;&lt;br /&gt;būna lizduose"	"S607_stimulus1_sl12_517407135d10a1.35506100_0"	"PISA_lit-LTU_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2973"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Nutempkite paveikslėlius į reikiamas vietas. &lt;/i&gt;"	"S657_question1_itemDirections1_518050dc4052f0.99989837_0"	"PISA_lit-LTU_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Norėdami ištrinti duomenų eilutę, spustelėkite šalia jos esantį trynimui skirtą mygtuką.  &lt;br /&gt; &lt;br /&gt;"	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_lit-LTU_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2421"	"Herring"	"Silkė"	"S635_stimulus1_cap3_51940bae4c1698.60208534_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2375"	"increase"	"padidėja"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2318"	"Herring"	"Silkė"	"S635_question1_source3_51940bae3c3c30.86104136_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Perskaitykite įvadą ir spustelėkite rodyklę TOLIAU.&lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"2633"	"Halogen light bulbs"	"Halogeninės lemputės"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_lit-LTU_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2427"	"Cod"	"Menkė"	"stimulus2_1_stimulus2_17_51940bae4f50f0.47687150_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2144"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Skiepijimas ir ligos plitimas&lt;/b&gt;&lt;br /&gt;  Klausimas"	"question2_1_itemTitle02_5193fde59dc0c3.50064933_0"	"PISA_lit-LTU_SCI_S634-Vaccination_en15_MS2022.xlf"
"1354"	"Caterpillars hatch and eat leaves"	"Vikšrai išsirita ir graužia lapus."	"S607_stimulus1_sl11_517407135d0c78.97389268_0"	"PISA_lit-LTU_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Kaitrinės lemputės"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_lit-LTU_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2245"	"Medium"	"Vidu-&lt;br /&gt;tinis"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Nepamirškite pasirinkti &lt;b&gt;vieno ar kelių&lt;/b&gt; atsakymų.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_lit-LTU_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2372"	"decrease"	"sumažėja"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1909"	"S626 Sound in Marine Habitats"	"S626 Garsas jūros areale"	"S626_stimulus4_unknownID_515e3a727a7b87.05998946_0"	"PISA_lit-LTU_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"634"	"Greytown"	"Naujamiestis"	"S466_stimulus2_label2_50ed2454088105.73955837_0"	"PISA_lit-LTU_SCI_S466-ForestFires_en15_MS2022.xlf"
"2451"	"Low"	"Mini-&lt;br /&gt;malus"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Maksi-&lt;br /&gt;malus"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2243"	"None"	"Nėra"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
