"Segment"	"en-ZZ"	"sq-XK"	"ID"	"File"
"1436"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"Q05R542_question_Q05itemDirections_56fc78210d1328.39002237_1_0"	"PISA_sqi-KSV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1556"	"Introduction"	"Hyrje"	"question0a_1_itemTitle00_56fc78212fb5e6.04639324_1_0"	"PISA_sqi-KSV_REA_R543-Nobel_en18_MS2022.xlf"
"3057"	"Click on a choice and then type an explanation to answer the question."	"Kliko një alternativë dhe pastaj shtyp një shpjegim për t’iu përgjigjur pyetjes."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_sqi-KSV_REA_R552-FestiRock_en18_MS2022.xlf"
"1362"	"Question"	"Pyetje"	"Q01R542_question_Q01itemTitle_56fc7821069ed6.41094343_1_0"	"PISA_sqi-KSV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4359"	"Posted: Today, 9:33 A.M."	"Postuar: Sot, ora 9:33."	"R563-stimulus-communtity_music-post-date_56fc786b366fc3.04616235_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4878"	"Website"	"Ueb-sajti"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_sqi-KSV_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4248"	"Type your answer to the question."	"Shtyp përgjigjen tënd për pyetjen."	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_sqi-KSV_REA_R562-OpeningNight_en18_MS2022.xlf"
"5151"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Mos harro të zgjedhësh &lt;b&gt;një apo më shumë&lt;/b&gt; kuti.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_sqi-KSV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5884"	"I have a big favour to ask."	"Kam për të kërkuar një nder të madh."	"R570_question01_question01_4_56fc787977ce60.34207445_0"	"PISA_sqi-KSV_REA_R570-TheFavour_en18_MS2022.xlf"
"1424"	"Question"	"Pyetje"	"Q04R542_question_Q04itemTitle_56fc78210a6a43.04423541_1_0"	"PISA_sqi-KSV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1200"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"Q03_question_Q03itemDirections_56fc7820d02020.47983670_1_0"	"PISA_sqi-KSV_REA_R541-Plastic_en18_MS2022.xlf"
"3673"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Referoju të dy burimeve në të djathtë duke klikuar secilën prej ikonave."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_sqi-KSV_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5909"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"R570_question03_q03itemDirections_56fc78797a3fe7.10691677_1_0"	"PISA_sqi-KSV_REA_R570-TheFavour_en18_MS2022.xlf"
"3651"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Referoju të dy burimeve në të djathtë duke klikuar secilën prej ikonave."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_sqi-KSV_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4232"	"Type your answer to the question."	"Shtyp përgjigjen tënd për pyetjen."	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_sqi-KSV_REA_R562-OpeningNight_en18_MS2022.xlf"
"2447"	"Click on a choice to answer the question."	"Kliko një altenativë për t'iu përgjigjur pyetjes."	"R549_question02_q02itemDirections_56fc786acd2da2.66365134_1_0"	"PISA_sqi-KSV_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5992"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"R570_question08_q08itemDirections_56fc787985fd79.79010288_1_0"	"PISA_sqi-KSV_REA_R570-TheFavour_en18_MS2022.xlf"
"1460"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"Q08R542_question_Q08itemDirections_56fc78211030b8.65907280_1_0"	"PISA_sqi-KSV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3652"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Kliko alternativat në tabelë për t'iu përgjigjur pyetjes.&lt;/i&gt;"	"R558_question8_itemDirections_56fc786b1259f5.61081922_1_0"	"PISA_sqi-KSV_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1495"	"Wednesday"	"E Mërkurë"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_sqi-KSV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5244"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Kliko ose tek  &lt;b&gt;E Vërtetë&lt;/b&gt; ose &lt;b&gt;E Gabuar&lt;/b&gt; për secilën thënie."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_sqi-KSV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4218"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"R562_question01_q01itemDirections_56fc783b408936.21098071_1_0"	"PISA_sqi-KSV_REA_R562-OpeningNight_en18_MS2022.xlf"
"3359"	"&lt;i&gt;Refer to “What is Microlending?” on the right."	"&lt;i&gt;Referoju pjesës “Çka është Mikrokredia?” në të djathtë."	"R556_question3_itemDirections_56fc783ac55ff8.32442383_0_0"	"PISA_sqi-KSV_REA_R556-Microlending_en18_MS2022.xlf"
"4773"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t'iu përgjigjur pyetjes.&lt;/i&gt;"	"R565_question_itemDirections_56fc785d5c2e04.42459264_1_0"	"PISA_sqi-KSV_REA_R565-SittingDisease_en18_MS2022.xlf"
"2461"	"Click on a choice to answer the question."	"Kliko një altenativë për t'iu përgjigjur pyetjes."	"R549_question03_q03itemDirections_56fc786ace3d99.90483432_1_0"	"PISA_sqi-KSV_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4607"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"R564_question01_q01itemDirections_56fc783b5be821.70996521_1_0"	"PISA_sqi-KSV_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2036"	"True"	"E Vërtetë"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_sqi-KSV_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4876"	"Website"	"Ueb-sajti"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_sqi-KSV_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4449"	"Refer to the different webpages of the website on the right."	"Referoju ueb-faqeve të ndryshme në ueb-sajtin në të djathtë."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3161"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"R553_question01_q01itemDirections_56fc784a5c0894.93353663_1_0"	"PISA_sqi-KSV_REA_R553-HealthForum_en18_MS2022.xlf"
"1247"	"False"	"E Gabuar"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_sqi-KSV_REA_R541-Plastic_en18_MS2022.xlf"
"5246"	"True"	"E Vërtetë"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_sqi-KSV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3863"	"Click on a search result to answer the question."	"Kliko një rezultat i kërkimit për t’iu përgjigjur pyetjes."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_sqi-KSV_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4538"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_1_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"6108"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Lexo informatën më poshtë."	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_sqi-KSV_REA_R590-Sentences01_en18_MS2022.xlf"
"6006"	"Type your answer to the question."	"Shhtyp përgjigjen tënde për pyetjen."	"R570_question09_q09itemDirections_56fc7879881e32.81696271_1_0"	"PISA_sqi-KSV_REA_R570-TheFavour_en18_MS2022.xlf"
"5695"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"q1R569_question_q01itemDirections_56fc78794dc632.42190211_1_0"	"PISA_sqi-KSV_REA_R569-TheCleanup_en18_MS2022.xlf"
"2035"	"Is the statement true or false?"	"Sipas broshurë a është thënia e vërtetë apo e gabuar?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_sqi-KSV_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1497"	"Friday"	"E Premte"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_sqi-KSV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2018"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"R545_question02_Q02itemDirections_56fc7821ac1062.96206955_1_0"	"PISA_sqi-KSV_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4349"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"BOTIM I SHKOLLËS SË MESME NË ZEDTOWN"	"R563-stimulus-communtity_news-caption_56fc786b364c68.26906186_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"271"	"S"	"D"	"R219_stimulus_stimulus_10_569170a97fefd2.64316962_0"	"PISA_sqi-KSV_REA_R219-Employment_en18_MS2022.xlf"
"1263"	"Refer to the webpage on the right."	"Referoju ueb-faqes në të djathtë"	"Q05_question_Q05itemDirections_56fc7820d65671.48215910_0_0"	"PISA_sqi-KSV_REA_R541-Plastic_en18_MS2022.xlf"
"3337"	"&lt;i&gt;Refer to “What is Microlending?” on the right."	"&lt;i&gt;Referoju pjesës “Çka është Mikrokredia?” në të djathtë."	"R556_question2_itemDirections_56fc783ac2dd82.36710021_0_0"	"PISA_sqi-KSV_REA_R556-Microlending_en18_MS2022.xlf"
"2718"	"Read the Introduction."	"Lexo hyrjen."	"q00body_q00itemDirections_56fc785cdb7056.90765917_0_0"	"PISA_sqi-KSV_REA_R550-CliffPalace_en18_MS2022.xlf"
"4854"	"Web Search"	"Kërkim në Ueb"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_sqi-KSV_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1227"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"Q05_question_Q05itemDirections_56fc7820d2f8a9.56273558_1_0"	"PISA_sqi-KSV_REA_R541-Plastic_en18_MS2022.xlf"
"4500"	"Refer to the different webpages of the website on the right."	"Referoju ueb-faqeve të ndryshme në ueb-sajtin në të djathtë."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5876"	"Click on the NEXT arrow to read the story."	"Kliko shigjetën TJETËR për ta lexuar përrallën."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_sqi-KSV_REA_R570-TheFavour_en18_MS2022.xlf"
"5714"	"Location"	"Lokacioni"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_sqi-KSV_REA_R569-TheCleanup_en18_MS2022.xlf"
"4251"	"Question"	"Pyetje"	"R562_question05_q05itemTitle_56fc783b44dd42.19551287_1_0"	"PISA_sqi-KSV_REA_R562-OpeningNight_en18_MS2022.xlf"
"4596"	"Introduction"	"Hyrje"	"q00body_itemTitle00_56fc783b5ae715.23065375_1_0"	"PISA_sqi-KSV_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4068"	"Type your answer to the question."	"Kliko një alternativë dhe më pas shtyp përgjigjen tënde për pyetjen."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_sqi-KSV_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1277"	"Refer to the webpage on the right."	"Referoju ueb-faqes në të djathtë"	"Q09_question_Q09itemDirections_56fc7820d7dce5.98398486_0_0"	"PISA_sqi-KSV_REA_R541-Plastic_en18_MS2022.xlf"
"4140"	"Click on a choice and then type an explanation to answer the question."	"Kliko një alternativë dhe pastaj shtyp një shpjegim për t’u përgjigjur pyetjes."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_sqi-KSV_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4303"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"BOTIM I SHKOLLËS SË MESME NË ZEDTOWN"	"R563-stimulus-culture_news-caption_56fc786b3339c1.99962589_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4136"	"&lt;b&gt;Olympic Flag&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Flamuri olimpik &lt;/b&gt;&lt;br /&gt;"	"R561_question07_q07itemTitle_56fc785d30d464.51064667_0_0"	"PISA_sqi-KSV_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1692"	"Question"	"Pyetje"	"R543_question9_itemTitle_56fc78213f6ac2.65302754_1_0"	"PISA_sqi-KSV_REA_R543-Nobel_en18_MS2022.xlf"
"6109"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Pastaj kliko shigjetën TJETËR.&lt;/i&gt;"	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_sqi-KSV_REA_R590-Sentences01_en18_MS2022.xlf"
"5895"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"R570_question02_q02itemDirections_56fc787978f2e5.90111872_1_0"	"PISA_sqi-KSV_REA_R570-TheFavour_en18_MS2022.xlf"
"4492"	"About Us"	"Për ne"	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2976"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"R552_question02_q02itemDirections_56fd79425f4d97.71214953_1_0"	"PISA_sqi-KSV_REA_R552-FestiRock_en18_MS2022.xlf"
"3962"	"Read the information below."	"Lexo informatën e mëposhtme."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_0_0"	"PISA_sqi-KSV_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2074"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"R545_question02_Q07itemDirections_56fc7821b1ae23.99363686_1_0"	"PISA_sqi-KSV_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5680"	"Read the information below."	"Lexo informatën më poshtë."	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_0_0"	"PISA_sqi-KSV_REA_R569-TheCleanup_en18_MS2022.xlf"
"3483"	"Web Search"	"Ueb Kërkimi"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_sqi-KSV_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4416"	"About Us"	"Për ne"	"R563-stimulus-news_stimulus_news_5_56fc786b3a5726.69858954_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2495"	"Click on a choice to answer the question."	"Kliko një altenativë për t'iu përgjigjur pyetjes."	"R549_question06_q06itemDirections_56fc786ad2b6d6.09014130_1_0"	"PISA_sqi-KSV_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5204"	"False"	"E Gabuar"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_sqi-KSV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5401"	"Image Credit: NASA"	"Fotot: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_sqi-KSV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5581"	"&lt;b&gt;Space Debris&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Mbetjet në Gjithësis&lt;/b&gt;&lt;br /&gt;"	"q0b-body_itemTitle0b_56fc784ab1fd13.59797946_0"	"PISA_sqi-KSV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5862"	"Read the information below."	"Lexo informatën më poshtë."	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_0_0"	"PISA_sqi-KSV_REA_R570-TheFavour_en18_MS2022.xlf"
"5477"	"False"	"E Gbauar"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_sqi-KSV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3204"	"Products made from honey"	"Produktet e bëra nga mjalti"	"R553_question4_question04_4_56fc784a600149.50110116_1_0"	"PISA_sqi-KSV_REA_R553-HealthForum_en18_MS2022.xlf"
"4046"	"Read the information below."	"Lexo informatën e mëposhtme:"	"q00b-body_q00b-p1_56fc785d264c41.70943658_0_0"	"PISA_sqi-KSV_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2862"	"-----Original Message -----"	"-----Mesazhi origjinal  ------"	"pg1_stimulus_pg1-li3-1_56fd79425717a1.64071273_0"	"PISA_sqi-KSV_REA_R552-FestiRock_en18_MS2022.xlf"
"1669"	"Question"	"Pyetje"	"R543_question7_itemTitle_56fc78213d97d8.64382516_1_0"	"PISA_sqi-KSV_REA_R543-Nobel_en18_MS2022.xlf"
"5577"	"Read the information below."	"Lexo informatën e mëposhtme."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_0_0"	"PISA_sqi-KSV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2991"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"R552_question03_q03itemDirections_56fd794260f3e6.11870453_1_0"	"PISA_sqi-KSV_REA_R552-FestiRock_en18_MS2022.xlf"
"5078"	"Web Search"	"Ueb Kërkimi"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_sqi-KSV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3468"	"&lt;b&gt;Microlending&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Mikrokredia&lt;/b&gt;&lt;br /&gt;"	"R556_question11_itemTitle_56fc783ae14b38.98364868_0_0"	"PISA_sqi-KSV_REA_R556-Microlending_en18_MS2022.xlf"
"4485"	"Refer to the different webpages of the website on the right."	"Referoju ueb-faqeve të ndryshme në ueb-sajtin në të djathtë."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4311"	"About Us"	"Për ne"	"R563-stimulus-culture_stimulus_culture_5_56fc786b3355c9.89235823_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4433"	"Read the Introduction."	"Lexo Hyrjen"	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_0_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5872"	"Read the information below."	"Lexo informatën më poshtë."	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_0_0"	"PISA_sqi-KSV_REA_R570-TheFavour_en18_MS2022.xlf"
"4935"	"Read the Introduction."	"Lexo Hyrjen"	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_0_0"	"PISA_sqi-KSV_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4418"	"Posted: Today, 9:33 A.M."	"Postuar: Sot, ora 9:33."	"R563-stimulus-news_news-post-date_56fc786b3a5f28.43179551_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3560"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t'iu përgjigjur pyetjes.&lt;/i&gt;"	"R558_question01_itemDirections_56fc786b088cb0.75370623_1_0"	"PISA_sqi-KSV_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4956"	"Click on one or more boxes to answer the question."	"Kliko një apo më shumë kuti për t'iu përgjigjur pyetjes."	"R566_question01_q01itemDirections_56fc786b7efb09.20390208_1_0"	"PISA_sqi-KSV_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5728"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"q3R569_question_q03itemDirections_56fc7879509f05.07375639_1_0"	"PISA_sqi-KSV_REA_R569-TheCleanup_en18_MS2022.xlf"
"5573"	"“No, I don’t believe this idea is the solution."	"“Jo, nuk besoj se kjo ide është zjgidhja."	"R568_question09_q09p1_56fc784aaf54f2.48102179_1_0"	"PISA_sqi-KSV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2481"	"Click on a choice to answer the question."	"Kliko një altenativë për t'iu përgjigjur pyetjes."	"R549_question05_q05itemDirections_56fc786ad175f6.19547762_1_0"	"PISA_sqi-KSV_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5097"	"Web Search"	"Ueb Kërkimi"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_sqi-KSV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5185"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"R567_question04_q04itemDirections_56fc78790f8a73.23597526_1_0"	"PISA_sqi-KSV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"6092"	"Read the information below."	"Lexo informatën më poshtë."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_0_0"	"PISA_sqi-KSV_REA_R590-Sentences01_en18_MS2022.xlf"
"3143"	"Introduction"	"Hyrje"	"question00a_1_itemTitle0a_56fc784a5a2385.32112185_1_0"	"PISA_sqi-KSV_REA_R553-HealthForum_en18_MS2022.xlf"
"4977"	"Click on a choice to answer the question."	"Kliko një alternativë për t'iu përgjigjur pyetjes."	"R566_question03_q03itemDirections_56fc786b848714.63479915_1_0"	"PISA_sqi-KSV_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1837"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Kliko një alternativë dhe më pas shtyp një shpjegim për t’iu përgjigjur pyetjes.&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_sqi-KSV_REA_R544-Tesla_en18_MS2022.xlf"
"1604"	"Question"	"Pyetje"	"R543_question2_itemTitle_56fc7821350fe0.69070974_1_0"	"PISA_sqi-KSV_REA_R543-Nobel_en18_MS2022.xlf"
"5580"	"Click on the NEXT arrow to read the webpage."	"Klikoni tek shigjeta TJETËR për të lexuar faqen e Internetit."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_sqi-KSV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1264"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"Q05_question_Q05itemDirections_56fc7820d65671.48215910_1_0"	"PISA_sqi-KSV_REA_R541-Plastic_en18_MS2022.xlf"
"4442"	"Refer to the different webpages of the website on the right."	"Referoju ueb-faqeve të ndryshme në ueb-sajtin në të djathtë."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2230"	"Type your answer to the question.&lt;/i&gt;"	"Jep përgjigjen tënde për pyetjen.&lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_sqi-KSV_REA_R547-BookSurvey_en18_MS2022.xlf"
"2781"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"R550_question05_q05itemDirections_56fc785ce59224.28868554_1_0"	"PISA_sqi-KSV_REA_R550-CliffPalace_en18_MS2022.xlf"
"3647"	"Click on a search result to answer the question."	"Kliko rezultatin e kërkimit për t'iu përgjigjur pyetjes."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_sqi-KSV_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
