"Segment"	"en-ZZ"	"ru-QZ"	"ID"	"File"
"5370"	"Colombia"	"Колумбия"	"q2MA161_question_question02_27_5c9d2137d33800.90193832_0"	"PISA_rus-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1567"	"5 stars"	"5 звёзд"	"Page01_stimulus_S01tr2td1_5c9d214aee4117.90212647_0"	"PISA_rus-QAZ_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"5084"	"India"	"Страна Е"	"q1MA161_question_question01_14_5c9d2137a0ea44.92736787_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5116"	"Germany"	"Страна Г"	"q1MA161_question_question01_46_5c9d2137a11e08.74558694_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5360"	"Peru"	"Перу"	"q2MA161_question_question02_17_5c9d2137d32893.11880220_0"	"PISA_rus-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5228"	"United States"	"Страна П"	"js_translation_country15_5c9d2137aa3743.16644633_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5127"	"United States"	"Страна П"	"q1MA161_question_question01_57_5c9d2137a12f80.49194124_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5123"	"Portugal"	"Страна Л"	"q1MA161_question_question01_53_5c9d2137a12917.72235168_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5156"	"Greece"	"Страна Д"	"q3MA160_question_question03_10_5c9d2137a55b03.72130510_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5106"	"Portugal"	"Страна Л"	"q1MA161_question_question01_36_5c9d2137a10ad3.79306113_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5162"	"Portugal"	"Страна Л"	"q3MA160_question_question03_16_5c9d2137a56200.56607674_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5217"	"Germany"	"Страна Г"	"js_translation_country4_5c9d2137a9d1a5.72871813_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5155"	"Germany"	"Страна Г"	"q3MA160_question_question03_9_5c9d2137a559e3.56875301_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4597"	"D"	"П"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_rus-QAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt; «Нет»&lt;/b&gt; для каждого утверждения."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_rus-QAZ_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5082"	"Germany"	"Страна Г"	"q1MA161_question_question01_12_5c9d2137a0e814.22619275_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5174"	"India"	"Страна Е"	"q3MA160_question_question03_27_5c9d2137a57233.47908983_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4577"	"D"	"П"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_rus-QAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5075"	"Statement"	"Вопрос"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5083"	"Greece"	"Страна Д"	"q1MA161_question_question01_13_5c9d2137a0e932.88946673_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5099"	"Germany"	"Страна Г"	"q1MA161_question_question01_29_5c9d2137a100a9.69583010_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_rus-QAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5117"	"Greece"	"Страна Д"	"q1MA161_question_question01_47_5c9d2137a11fa4.62486581_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5374"	"Peru"	"Перу"	"q2MA161_question_question02_31_5c9d2137d33d65.41011613_0"	"PISA_rus-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5384"	"Colombia"	"Колумбия"	"q2MA161_question_question02_41_5c9d2137d34f77.16696908_0"	"PISA_rus-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
