"Segment"	"en-ZZ"	"tr-TR"	"ID"	"File"
"936"	"lower"	"daha düşüktür."	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_tur-TUR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2945"	"Uranus"	"Uranüs"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_tur-TUR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2344"	"increase"	"artacaktır"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"artacaktır"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2455"	"None"	"Hiç"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔  &lt;b&gt;Bir ya da daha fazla&lt;/b&gt; kutucuğu seçmeyi unutmayınız."	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; Giriş bölümünü okuyunuz.  Sonra İLERİ ok tuşuna tıklayınız. &lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_tur-TUR_SCI_S634-Vaccination_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakteri"	"S478_question1_question1_3_50ed1d29484f29.39116665_0"	"PISA_tur-TUR_SCI_S478-Antibiotics_en15_MS2022.xlf"
"736"	"Yes"	"EVET"	"S498_question3_question3_1_50ec5cabb99673.58345047_0"	"PISA_tur-TUR_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"1447"	"Species A"	"A türü"	"S608_stimulus2_le21_515e3a72353145.75321740_0"	"PISA_tur-TUR_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2894"	"."	"ortalama yüzey sıcaklığının birbirine daha benzer olması beklenir."	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_tur-TUR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1788"	"Wildfires and the Fire Triangle"	"Kontrol Edilemeyen Yangınlar ve Yangın Üçgeni"	"S625_stimulus1_attr_alt_attr_stimulus1_1_515e3a7263baa0.29159962_0"	"PISA_tur-TUR_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"1985"	"S627 Car Tyres"	"S627 Araba Lastikleri"	"S627_stimulus2_unknownID_51740713b9a6d6.96511638_0"	"PISA_tur-TUR_SCI_S627-CarTyres_en15_MS2022.xlf"
"2339"	"select"	"Seçiniz"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
