"Segment"	"en-ZZ"	"zh-CN"	"ID"	"File"
"1763"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; 注意：本题有&lt;b&gt;一个或多个&lt;/b&gt;正确选项。 &lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_zho-CHN_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"1431"	"100"	"1"	"S608_stimulus1_x5_515e3a7232a662.72903677_0"	"PISA_zho-CHN_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2359"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;保护鱼类&lt;/b&gt;&lt;br /&gt;问题"	"question5_1_itemTitle05_51940bae449ce5.58200238_0"	"PISA_zho-CHN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2355"	"Explain your answer."	"解释你的答案。"	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_zho-CHN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2679"	"Please click on the NEXT arrow to continue."	"请点击“下一步”箭头继续。"	"sim_1_automationMsg2_51940c102ba4f1.09359315_0"	"PISA_zho-CHN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1584"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;认识海啸&lt;/b&gt;&lt;br /&gt;问题"	"question5_1_itemTitle05_5193d3562f5950.25689113_0"	"PISA_zho-CHN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2102"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"你可以利用这个模拟来探究在一群接触某种传染性疾病的人当中，接种疫苗对该疾病传播的影响。"	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_zho-CHN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2519"	"Can this question be answered by scientific experiments?"	"通过科学实验，该问题可以得到解答吗？"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_zho-CHN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2452"	"High"	"高"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_zho-CHN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2844"	"No"	"不可以"	"question6_1_question6_8_51940c103ef681.03421965_0"	"PISA_zho-CHN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"955"	"S602 Urban Heat Island Effect"	"S602城市热岛效应"	"S602_stimulus2_unknownID_515e3a71f23b87.73675307_0"	"PISA_zho-CHN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1539"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;认识海啸&lt;/b&gt;&lt;br /&gt;背景介绍"	"question1_1_itemTitle01_5193d35626b6b4.37345644_0"	"PISA_zho-CHN_SCI_S615-Tsunami_en15_MS2022.xlf"
"1047"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大象与金合欢树&lt;/b&gt;&lt;br /&gt; 问题"	"S603_question5_itemTitle5_515e3a720cc5f5.49479568_0"	"PISA_zho-CHN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"665"	"&lt;i&gt;Refer to &quot;Antibiotics&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;参考右侧的材料“抗生素”，在表中点击选项回答问题。&lt;/i&gt;"	"S478_question3_itemDirections3_519442b32297e4.20656762_0"	"PISA_zho-CHN_SCI_S478-Antibiotics_en15_MS2022.xlf"
"77"	"S326 Milk"	"S326 奶"	"S326_stimulus2_unknownID_519442b27535d3.23878946_0"	"PISA_zho-CHN_SCI_S326-Milk_en15_MS2022.xlf"
"2913"	"No"	"不可能"	"S648_question4_question4_2_517407af761f92.59952877_0"	"PISA_zho-CHN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"273"	"Low"	"弱"	"S413_question3_q3t4tr6td2_519442b298f4a2.22970524_0"	"PISA_zho-CHN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2240"	"High"	"高"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_zho-CHN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2517"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;在表中点击选项回答问题。&lt;/i&gt;"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_zho-CHN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2888"	"."	"。"	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_zho-CHN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1132"	"Explain why.&lt;br /&gt;"	"解释原因。&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_zho-CHN_SCI_S604-WaterFromFog_en15_MS2022.xlf"
