"Segment"	"en-ZZ"	"es-CL"	"ID"	"File"
"589"	"continuous&lt;br /&gt;daylight"	"Luz de día&lt;br /&gt;continua"	"R220_stimulus_label7_50c7c0c25b8aa6.53666054_0"	"PISA_esp-CHL_REA_R220-SouthPole_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Escribe tu respuesta a la pregunta."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_esp-CHL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1066"	"What is the total value of the Work Right office supplies* that you have purchased?&lt;br /&gt;"	"¿Cuál es el valor total de los artículos de oficina* Office Center  que ha comprado ?&lt;br /&gt;"	"R466_stimulus_section3_50c7c9bb6feaa2.34603798_0"	"PISA_esp-CHL_REA_R466-WorkRight_en15_MS2022.xlf"
"572"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen quería la victoria en el Polo Sur. El 14 de enero de 1911, desembarcó en la Antártida, en la Bahía de las Ballenas. Se preparó para pasar el invierno con ocho compañeros y 116 perros en Framheim, una base construida en la Barrera de Ross. El 20 de octubre de 1911, Amundsen y cuatro de sus hombres abandonaron Framheim para conquistar el Polo Sur, con doce perros por trineo. El 17 de noviembre, aproximadamente a 85º   Sur, llegaron al pie de un cordón cordillerano, el Cordón Transantártico, y en ese momento, tuvieron que buscar un camino para cruzarlo. Entonces, empezaron la terrible escalada de un glaciar, el Axel Heiberg, lleno de grietas."	"R220_stimulus_p2_50c7c0c2586aa8.58411332_0"	"PISA_esp-CHL_REA_R220-SouthPole_en15_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Haz clic en un resultado de búsqueda para responder la pregunta."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5431"	"Web Search"	"Búsqueda en Internet"	"R568_stimulus1_pg01h1_56fc784a9d2fe7.94994728_0"	"PISA_esp-CHL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5543"	"False"	"Falsa"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_esp-CHL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"Consulta las dos fuentes a la derecha haciendo clic en cada pestaña."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_esp-CHL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Por compras entre $60.000 y $149.990, Office Center le devuelve $&lt;span id=&quot;q3key&quot;&gt;20.000&lt;/span&gt;.&lt;br /&gt; &gt; Por compras entre $150.000 y $299.990, Office Center le devuelve $50.000.&lt;br /&gt; &gt; Por compras iguales o superiores a $300.000, Office Center le devuelve $100.000.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9bb6fa712.96031567_0"	"PISA_esp-CHL_REA_R466-WorkRight_en15_MS2022.xlf"
"2245"	"Then click on the Next arrow."	"A continuación, haz clic en la flecha Siguiente."	"q00bbody_question00b_1_56fc782e013a23.58004393_1_0"	"PISA_esp-CHL_REA_R547-BookSurvey_en18_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; en cada afirmación."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5270"	"False"	"Falsa"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50c7b7f72283d8.02160799_0"	"PISA_esp-CHL_REA_R219-Employment_en15_MS2022.xlf"
"3618"	"Then click on the NEXT arrow.&lt;/i&gt;"	"A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_esp-CHL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; en cada afirmación."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_esp-CHL_REA_R552-FestiRock_en18_MS2022.xlf"
"1312"	"True"	"Verdadera"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_esp-CHL_REA_R541-Plastic_en18_MS2022.xlf"
"5542"	"True"	"Verdadera"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_esp-CHL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5312"	"True"	"Verdadera"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1313"	"False"	"Falsa"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_esp-CHL_REA_R541-Plastic_en18_MS2022.xlf"
"3211"	"Then click on the NEXT arrow.&lt;/i&gt;"	"A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;."	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_esp-CHL_REA_R553-HealthForum_en18_MS2022.xlf"
"5313"	"False"	"Falsa"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
