"Segment"	"en-ZZ"	"ka-GE"	"ID"	"File"
"2354"	"None"	"არანაირი"	"js_translation_none_56f9ce167395d0.99605103_0"	"PISA_geo-GEO_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"781"	"&lt;i&gt;Refer to &quot;Extinction of the Dinosaurs&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;გამოიყენეთ მარჯვენა მხარეს მოცემული „დინოზავრების გადაშენება”. შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ცხრილში მოცემულ სასურველ ვარიანტებზე.&lt;/i&gt;"	"S527_question2_itemDirections2_56c6ec7fa199d6.53186532_0"	"PISA_geo-GEO_SCI_S527-ExtinctionOfTheDinosaurs_en18_MS2022.xlf"
"2867"	"Habitable Zone"	"საცოვრებლად ვარგისი ზონა"	"S648_Q0_Qlable1_1_56f9ce16ad2192.13397638_0"	"PISA_geo-GEO_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1315"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"S603_question5_itemDirections5_56f9ce15e87764.54150643_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"849"	"Rural"	"სოფელი"	"S602_stimulus2_le3_56f9ce15b6f208.10136884_0"	"PISA_geo-GEO_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"2469"	"Disadvantage"	"უარყოფითი მხარე"	"S638_question2_header2_56f9ce167ff926.62520375_0"	"PISA_geo-GEO_SCI_S638-OilSpills_en18_MS2022.xlf"
"2810"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"პასუხისთვის მწკრივის მოსანიშნად, დააწკაპუნეთ მწკრივზე ნებისმიერ ადგილას. არჩეული მწკრივ(ები)ვარსკვლავით მოინიშნება."	"menu_1_menuP5_56f9ce16a5cac8.50618805_0"	"PISA_geo-GEO_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2272"	"increase"	"მოიმატებს"	"question3_1_o3b_1_56f9ce166ae2e0.28750180_0"	"PISA_geo-GEO_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2268"	"increase"	"მოიმატებს"	"question3_1_o3_1_56f9ce166ad8d2.57152476_0"	"PISA_geo-GEO_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1219"	"Species A&lt;br /&gt;branches with ants"	"A სახეობა&lt;br /&gt;ტოტები ჭიანჭველებით"	"S603_stimulus1_le3_56f9ce15deb6d9.62826282_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2492"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ცხრილში მოცემულ სასურველ ვარიანტებზე.&lt;/i&gt;"	"S638_question4_itemDirections4_56f9ce1682a848.09442940_0"	"PISA_geo-GEO_SCI_S638-OilSpills_en18_MS2022.xlf"
"1670"	"May"	"მაი."	"S620_Q2_xq25_56f9ce161e3631.80104798_0"	"PISA_geo-GEO_SCI_S620-Tornadoes_en18_MS2022.xlf"
"1220"	"Species B&lt;br /&gt;branches with ants"	"B სახეობა&lt;br /&gt;ტოტები ჭიანჭველებით"	"S603_stimulus1_le4_56f9ce15deb940.35048755_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2225"	"None"	"არანაირი"	"stimulus2_1_stimulus2_35_56f9ce16668159.97907761_0"	"PISA_geo-GEO_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1696"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"S620_Q5_itemDirections5_56f9ce1620d4d6.08244072_0"	"PISA_geo-GEO_SCI_S620-Tornadoes_en18_MS2022.xlf"
"797"	"&lt;i&gt;Refer to &quot;Extinction of the Dinosaurs&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;გამოიყენეთ მარჯვენა მხარეს მოცემული „დინოზავრების გადაშენება”. შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ცხრილში მოცემულ სასურველ ვარიანტებზე.&lt;/i&gt;"	"S527_question3_itemDirections3_56c6ec7fa2f8a7.36206295_0"	"PISA_geo-GEO_SCI_S527-ExtinctionOfTheDinosaurs_en18_MS2022.xlf"
"977"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"S603_question3_itemDirections3_56f9ce15c68491.54901858_0"	"PISA_geo-GEO_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2230"	"None"	"არანაირი"	"stimulus2_1_stimulus2_43_56f9ce16669716.56482764_0"	"PISA_geo-GEO_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2512"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;ჩაწერეთ თქვენი პასუხი შეკითხვაზე.&lt;/i&gt;"	"S638_question5_itemDirections5_56f9ce16840557.63927843_0"	"PISA_geo-GEO_SCI_S638-OilSpills_en18_MS2022.xlf"
"990"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"S603_question4_itemDirections4_56f9ce15c7db21.50138191_0"	"PISA_geo-GEO_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"1225"	"Time of Exposure (minutes)"	"დაკვირვების დრო (წუთი)"	"S603_stimulus1_p25_56f9ce15dec732.12301105_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1317"	"The researchers did another experiment that involved selecting two similar areas of the savannah that had both species of acacia trees. One of the two areas was enclosed by a fence that is known to keep out elephants but does not keep smaller animals out. The researchers checked the trees in both areas for damage once every six months.&lt;br /&gt;&lt;br /&gt;Which of the following questions is the experiment designed to answer?"	"მკვლევარებმა კიდევ ერთი ექსპერიმენტი ჩაატარეს, რისთვისაც სავანაში ერთმანეთის მსგავსი ტერიტორები შეარჩიეს, სადაც თითოეულში აკაციების ორივე სახეობა იყო. აქედან ერთი ტერიტორია ისე შემოღობეს, რომ სპილოები ვერ შესულიყვნენ, თუმცა პატარა ცხოველების შესვლაში ხელი არ შეეშალა. მკვლევარები ხეების დაზიანების ხარისხს, ორივე ტერიტორიაზე, ყოველ ექვს თვეში ერთხელ ამოწმებდნენ. &lt;br /&gt;&lt;br /&gt; ჩამოთვლილი კითხვებიდან, რომელს უნდა გასცეს პასუხი ამ ექსპერიმენტმა?"	"S603_question5_p52_56f9ce15e87e71.71587596_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2181"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;დაავადებული:&lt;/b&gt; ინდივიდები, რომლებიც დაავადებულები არიან და შეიძლება სხვას გადადონ."	"menu_1_aMenutr2td2_56f9ce16620b06.98424078_0"	"PISA_geo-GEO_SCI_S634-Vaccination_en18_MS2022.xlf"
"121"	"&lt;i&gt;Refer to &quot;Wild Oat Grass&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;გამოიყენეთ მარჯვნივ მოცემული ტექსტი „ველური შვრია”. შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"S408_question4_itemDirections_4_56c6ec7f5c4434.99920361_0"	"PISA_geo-GEO_SCI_S408-WildOatGrass_en18_MS2022.xlf"
"1196"	"Newly hatched birds are in nests"	"ახლადგამოჩეკილი ბარტყები ბუდეებში სხედან"	"S607_stimulus1_sl12_56f9ce15dd6728.77600338_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2801"	"Delete some data to run more trials."	"მეტი ცდისთვის წაშალეთ ზოგიერთი მონაცემი."	"js_translation_deleteMsg_56f9ce16a498c3.89421006_0"	"PISA_geo-GEO_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2807"	"The Run button to display the results."	"ღილაკი „გაშვება“ შედეგების სანახავად."	"menu_1_menuLi3_56f9ce16a5c0a2.15687788_0"	"PISA_geo-GEO_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1003"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"S603_question5_itemDirections5_56f9ce15c92572.26992135_0"	"PISA_geo-GEO_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"608"	"Bacteria"	"ბაქტერიებზე"	"S478_question1_question1_3_56c6ec7f8e6544.57065045_0"	"PISA_geo-GEO_SCI_S478-Antibiotics_en18_MS2022.xlf"
"2947"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;აიღეთ და ჩააგდეთ ობიექტები, რათა გასცეთ პასუხი შეკითხვას.&lt;/i&gt;"	"S657_question1_itemDirections1_56f9ce16b74424.88807059_0"	"PISA_geo-GEO_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"2461"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;აიღეთ და ჩააგდეთ ობიექტი, რათა გასცეთ პასუხი შეკითვას.&lt;/i&gt;"	"S638_question2_itemDirections2_56f9ce167fd159.06185330_0"	"PISA_geo-GEO_SCI_S638-OilSpills_en18_MS2022.xlf"
