"Segment"	"en-ZZ"	"de-DE"	"ID"	"File"
"2244"	"Low"	"Gering"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"Um diese Simulation durchzuführen, kannst du folgende Steuerelemente verwenden:"	"menu_1_menuP2_51940c101d3cd5.29603890_0"	"PISA_deu-DEU_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2243"	"None"	"Keine"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Mäßig"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"Gering"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1308"	"increase"	"steigen wird"	"S607_question3_S607Q03SELECT21_5174071346a174.96935374_0"	"PISA_deu-DEU_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2371"	"increase"	"zunehmen"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Sehr gut!&lt;br /&gt; Bitte klicke auf den WEITER-Pfeil, um fortzufahren."	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_deu-DEU_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"87"	"Fats"	"Fett"	"S326_stimulus2_t3tr2td1_50ec4a46d0d940.23005763_0"	"PISA_deu-DEU_SCI_S326-Milk_en15_MS2022.xlf"
"2340"	"increase"	"zunehmen"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2339"	"select"	"wähle"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"261"	"Density"	"Dichte:"	"S413_question3_q3t3tr3td1_50ec4280721154.98541984_0"	"PISA_deu-DEU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"935"	"higher"	"höher"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_deu-DEU_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"Um diese Simulation auszuführen, kannst zu folgende Steuerelemente verwenden:"	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_deu-DEU_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1310"	"stay the same"	"gleich bleiben wird"	"S607_question3_S607Q03SELECT23_5174071346abe7.58595054_0"	"PISA_deu-DEU_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"83"	"Proteins"	"Eiweiß"	"S326_stimulus2_t2tr2td2_50ec4a46d0c310.04276648_0"	"PISA_deu-DEU_SCI_S326-Milk_en15_MS2022.xlf"
"2375"	"increase"	"zunehmen"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"276"	"Resistance to UV-radiation"	"Beständigkeit gegenüber UV- Strahlung:"	"S413_question3_q3t4tr5td1_50ec4280726a19.81180414_0"	"PISA_deu-DEU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"253"	"Resistance to UV-radiation"	"Beständigkeit gegenüber UV- Strahlung:"	"S413_question3_q3t2tr5td1_50ec428071eb38.92616584_0"	"PISA_deu-DEU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"272"	"Density"	"Dichte:"	"S413_question3_q3t4tr3td1_50ec4280725375.92541955_0"	"PISA_deu-DEU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2723"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Kohlendioxid in der Erdatmosphäre&lt;/b&gt;&lt;br /&gt; Frage"	"S645_question3_itemTitle3_5180507a8047c6.16315276_0"	"PISA_deu-DEU_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Zur Ausführung dieser Simulation kannst zu folgende Steuerelemente verwenden:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_deu-DEU_SCI_S634-Vaccination_en15_MS2022.xlf"
"2370"	"select"	"wähle"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1309"	"decrease"	"sinken wird"	"S607_question3_S607Q03SELECT22_5174071346a6b7.14780014_0"	"PISA_deu-DEU_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2451"	"Low"	"Gering"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2894"	"."	"am ähnlichsten ist."	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_deu-DEU_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2341"	"decrease"	"abnehmen"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Groß"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2453"	"High"	"Groß"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2455"	"None"	"Keine"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"88"	"Proteins"	"Eiweiß"	"S326_stimulus2_t3tr2td2_50ec4a46d0dc22.92434780_0"	"PISA_deu-DEU_SCI_S326-Milk_en15_MS2022.xlf"
"2343"	"select"	"wähle"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Mäßig"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Groß"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2245"	"Medium"	"Mäßig"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
