"Segment"	"en-ZZ"	"uz-UZ"	"ID"	"File"
"4238"	"Click on one or more boxes to answer the question."	"Savolga javob berish uchun bir yoki bir nechta katakchalarni bosing."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_uzb-UZB_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1239"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA115_question01_q01itemDirections_5c9d214a9065d9.24249905_1_0"	"PISA_uzb-UZB_MAT_MA115-Iceberg_en21_MS2022.xlf"
"1322"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA116_question1_itemDirections1_5c9d214a99d4f5.42965308_1_0"	"PISA_uzb-UZB_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"3545"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q2CMA138_question_q2itemDirections_5c9d21648472a1.52007146_1_0"	"PISA_uzb-UZB_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"2187"	"Then click on the NEXT arrow."	"So`ngra KEYINGI tugmasini bosing."	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_1_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"3989"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA146q1_question_q1itemDirections_5c9d2164eb6c14.66337389_1_0"	"PISA_uzb-UZB_MAT_MA146-Fuel_en21_MS2022.xlf"
"2300"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA126_question04_itemDirectionsQ04_5c9d214b568386.90812819_1_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"2265"	"Select"	"Tanlang"	"MA126_question02_S02tr9o0_5c9d214b528bc8.97835627_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_uzb-UZB_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"3470"	"Select"	"Tanlang"	"q2CMA137_question_q1C0_5c9d216470b966.73073198_0"	"PISA_uzb-UZB_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib savolga javobingizni yozing."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_uzb-UZB_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Savolga javob berish uchun siljiting va joylang."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_uzb-UZB_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4189"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q2MA148_question_q2itemDirections_5c9d21651c5dd5.51806474_1_0"	"PISA_uzb-UZB_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3383"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA136_question03_q3itemDirections_5c9d2164634b07.90090842_1_0"	"PISA_uzb-UZB_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"3708"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA142_questionq1_q1itemDirections_5c9d2164b33733.31465748_1_0"	"PISA_uzb-UZB_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib savolga javobingizni yozing."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_uzb-UZB_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4295"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q2MA150_question_q2itemDirections_5c9d216538ee88.41324335_1_0"	"PISA_uzb-UZB_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib savolga javobingizni yozing."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_uzb-UZB_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Raqamli tugmalardan foydalanib, savollarga javobingizni yozing."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_uzb-UZB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5278"	"Mean"	"O'rta qiymat"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_uzb-UZB_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"2270"	"Select"	"Tanlang"	"MA126_question02_S02tr10o0_5c9d214b529a89.07692092_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"3194"	"Select"	"Tanlang"	"Q1MA134_question_Q01tr2td1SELECT1o0_5c9d2164318406.38896392_0"	"PISA_uzb-UZB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3377"	"Explain your answer."	"Javobingizni izohlang."	"MA136_question02_q2p4_5c9d21646200b3.63337441_0"	"PISA_uzb-UZB_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Kalkulyatordan foydalanish uchun mazkur bosqichlarni bajaring:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_uzb-UZB_MAT_MA112-Metabolism_en21_MS2022.xlf"
"827"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"Q2M111_question_Q2itemDirections_5c9d214a59d864.67731521_1_0"	"PISA_uzb-UZB_MAT_MA111-HealthApp_en21_MS2022.xlf"
"4656"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q2MA156_question_q2itemDirections_5c9d21656a4d34.03623252_1_0"	"PISA_uzb-UZB_MAT_MA156-Points_en21_MS2022.xlf"
"1902"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA128_question2_q2itemDirections_5c9d214b330089.68340793_1_0"	"PISA_uzb-UZB_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"1471"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA119_question1_itemDirections1_5c9d214ad702a0.84429473_1_0"	"PISA_uzb-UZB_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Raqamli tugmalardan foydalanib, savolga javobingizni yozing."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_uzb-UZB_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2280"	"Select"	"Tanlang"	"MA126_question02_S02tr12o0_5c9d214b52b310.84213382_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Har bir mulohaza uchun &lt;b&gt;to'g'ri&lt;/b&gt; yoki &lt;b&gt;noto'g'ri&lt;/b&gt; tanlovini bosing."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_uzb-UZB_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3475"	"Select"	"Tanlang"	"q2CMA137_question_q1D0_5c9d216470c463.55070529_0"	"PISA_uzb-UZB_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2749"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA130_question03_itemDirectionsQ03_5c9d214b8dfe44.39422320_1_0"	"PISA_uzb-UZB_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3949"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA145_question2_q2itemDirections_5c9d2164e0e799.91065994_1_0"	"PISA_uzb-UZB_MAT_MA145-Shadows_en21_MS2022.xlf"
"4395"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q2MA151_question_q2itemDirections_5c9d216543c0a5.48560059_1_0"	"PISA_uzb-UZB_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib savolga javobingizni yozing."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_uzb-UZB_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3619"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA140_question2_q2itemDirections_5c9d21649c7fa5.69809185_1_0"	"PISA_uzb-UZB_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"2527"	"Then click on the NEXT arrow."	"So`ngra KEYINGI tugmasini bosing."	"question0a_1_itemDirections00_5c9d214b76c282.48085737_1_0"	"PISA_uzb-UZB_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"2953"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_1_0"	"PISA_uzb-UZB_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"3235"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"Q3MA134_question_Q3ItmDirP1Id_5c9d2164359530.23831900_1_0"	"PISA_uzb-UZB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4445"	"Select"	"Tanlang"	"q2MA152_question_q2o0_5c9d216550cbf7.56001817_0"	"PISA_uzb-UZB_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Savolga javob berish uchun ochiladigan menyudan javobni tanlang."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_uzb-UZB_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2245"	"Select"	"Tanlang"	"MA126_question02_S02tr5o0_5c9d214b526582.27106050_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Raqamli tugmalardan foydalanib, savollarga javobingizni yozing."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_uzb-UZB_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"2289"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA126_question03_itemDirectionsQ03_5c9d214b54ba12.68549963_1_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"2225"	"Select"	"Tanlang"	"MA126_question02_S02tr1o0_5c9d214b524626.30637212_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"4270"	"Explain your answer."	"Javobingizni izohlang."	"q3MA149_question_q3p4_5c9d21652d7a87.93218968_0"	"PISA_uzb-UZB_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4850"	"Mean"	"O'rta qiymat"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_uzb-UZB_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Savolga javob berish uchun ochiladigan menyudan javobni tanlang."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_uzb-UZB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2204"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA126_question01_itemDirectionsQ01_5c9d214b506370.60535880_1_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"3938"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA145_question1_q1itemDirections_5c9d2164dfb137.21186139_1_0"	"PISA_uzb-UZB_MAT_MA145-Shadows_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_uzb-UZB_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3674"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q3CMA141_question_q3itemDirections_5c9d2164a87c86.43889590_1_0"	"PISA_uzb-UZB_MAT_MA141-WaterBill_en21_MS2022.xlf"
"4207"	"Explain your answer."	"Javobingizni izohlang."	"q3MA148_question_q3p3_5c9d21651da120.58575580_0"	"PISA_uzb-UZB_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"5075"	"Statement"	"Savol"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_uzb-UZB_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1145"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"Q03MA113_question_Q03itemDirections_5c9d214a6e0c82.46175181_1_0"	"PISA_uzb-UZB_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4312"	"Explain your answer."	"Javobingizni izohlang."	"q3MA150_question_q3p4_5c9d21653a0672.84676440_0"	"PISA_uzb-UZB_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1446"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_uzb-UZB_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"733"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"Q1M110_question_Q1itemDirections_5c9d214a49be54.59438497_1_0"	"PISA_uzb-UZB_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Savolga javob berish uchun tanlovni bosing va so'ngra izoh kiriting."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_uzb-UZB_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4616"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q2MA154_question_q2itemDirections_5c9d21655d41c9.81604829_1_0"	"PISA_uzb-UZB_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Savolga javob berish uchun siljiting va joylang."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_uzb-UZB_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1183"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA114_question1_itemDirections1_5c9d214a82a650.54712226_1_0"	"PISA_uzb-UZB_MAT_MA114-Honey_en21_MS2022.xlf"
"4177"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q1MA148_question_q1itemDirections_5c9d21651b0cc9.30517555_1_0"	"PISA_uzb-UZB_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2235"	"Select"	"Tanlang"	"MA126_question02_S02tr3o0_5c9d214b525521.10669663_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Har bir mulohaza uchun &lt;b&gt;To'g'ri&lt;/b&gt; yoki &lt;b&gt;Noto'g'ri&lt;/b&gt; ni bosing."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_uzb-UZB_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3783"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA143_question03_q3itemDirections_5c9d2164bfa911.33589323_1_0"	"PISA_uzb-UZB_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"1119"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"Q01MMA113_question_Q01itemDirections_5c9d214a6aa466.58921399_1_0"	"PISA_uzb-UZB_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q1MA150_question_q1itemDirections_5c9d216537c7b0.77693579_1_0"	"PISA_uzb-UZB_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4097"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA147q2_question_q2itemDirections_5c9d216508ba43.16937301_1_0"	"PISA_uzb-UZB_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Har bir mulohaza uchun &lt;b&gt;Ha&lt;/b&gt; yoki &lt;b&gt;Yo'q&lt;/b&gt; ni bosing."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_uzb-UZB_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_uzb-UZB_MAT_MA144-Yogurt_en21_MS2022.xlf"
"984"	"Age"	"Yosh"	"MA113S02_stimulus_tr2td3_5c9d214a6622b3.32961817_0"	"PISA_uzb-UZB_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3534"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q1CMA138_question_q1itemDirections_5c9d2164836508.25884822_1_0"	"PISA_uzb-UZB_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"1042"	"Age"	"Yosh"	"MA113S02_stimulus_T02tr2td3_5c9d214a666ba4.72309842_0"	"PISA_uzb-UZB_MAT_MA113-HeartRate_en21_MS2022.xlf"
