"Segment"	"en-ZZ"	"el-CY"	"ID"	"File"
"5826"	"Football Field"	"Το γήπεδο ποδοσφαίρου"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_ell-QCY_REA_R569-TheCleanup_en18_MS2022.xlf"
"2635"	"Type your answer to the question."	"Να πληκτρολογήσεις την απάντησή σου στην ερώτηση. &lt;/i&gt;"	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_1_0"	"PISA_ell-QCY_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2316"	"Click on a choice to answer the question.&lt;/i&gt;"	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε μία επιλογή. &lt;/i&gt;"	"R547_question6_itemDirections_56fc782e0d8454.46459147_1_0"	"PISA_ell-QCY_REA_R547-BookSurvey_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Για κάθε δήλωση, να κάνεις κλικ στο &lt;b&gt; Ναι&lt;/b&gt; ή στο &lt;b&gt; Όχι&lt;/b&gt;."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_ell-QCY_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3125"	"Pierre"	"O Πιέρ"	"R552_question08_question08_3_56fd79426a2c25.00826446_0"	"PISA_ell-QCY_REA_R552-FestiRock_en18_MS2022.xlf"
"1464"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt; Μιχάλης:&lt;/b&gt;"	"Q02R542_question_Convp3_56fc782107f394.57451295_0_0"	"PISA_ell-QCY_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4558"	"About Us"	"Ποιοι Είμαστε"	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2591"	"Click on the choices in the table to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ στις επιλογές στον πίνακα. &lt;/i&gt;"	"R549_question08_q08itemDirections_56fc786ad56205.34088832_1_0"	"PISA_ell-QCY_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4355"	"About Us"	"Ποιοι Είμαστε"	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Να πληκτρολογήσεις την απάντησή σου στην ερώτηση."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4445"	"News"	"Νέα"	"R563-stimulus-communtity_stimulus_culture_sports_3_56fc786b380134.34465128_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"304"	"S"	"Κ"	"R219_stimulus_stimulus_10_50c7b795090fa8.56611010_0"	"PISA_ell-QCY_REA_R219-Employment_en15_MS2022.xlf"
"572"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Ο Αμούνδσεν ήθελε τη νίκη στον Νότιο Πόλο δική του. Στις 14 Ιανουαρίου 1911, αποβιβάστηκε στην Ανταρκτική, στον κόλπο των Φαλαινών. Ετοιμάστηκε να ξεχειμωνιάσει, μαζί με οκτώ συντρόφους και εκατόν δεκαέξι σκύλους, στο Φραμχάιμ, βάση που κατασκευάστηκε πάνω στο Φράγμα του Ρος. Στις 20 Οκτωβρίου 1911, ο Αμούνδσεν και τέσσερις από τους άντρες του άφησαν το Φραμχάιμ για την κατάκτηση του Νότιου Πόλου, με δώδεκα σκύλους για κάθε έλκηθρο. Στις 17 Νοεμβρίου, 85° Νότια, έφθασαν στους πρόποδες της Υπερανταρκτικής Oροσειράς. Χρειάστηκε να βρουν ένα πέρασμα, για να τη διασχίσουν. Άρχισε τότε η τρομερή ανάβαση σε έναν παγετώνα γεμάτο ρήγματα, τον Άξελ Χάιμπεργκ."	"R220_stimulus_p2_50c7c0633d5380.67250641_0"	"PISA_ell-QCY_REA_R220-SouthPole_en15_MS2022.xlf"
"2657"	"Home"	"Αρχική Σελίδα"	"R550_ancestral_ancestral_l1_56fc785cc8d224.57710597_0"	"PISA_ell-QCY_REA_R550-CliffPalace_en18_MS2022.xlf"
"409"	"&lt;i&gt;Refer to the documents in &quot;South Pole&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Να ανατρέξεις στα τεκμήρια του θέματος &quot;Νότιος Πόλος&quot; στα δεξιά. Για να απαντήσεις την ερώτηση, να κάνεις κλικ σε μία επιλογή.&lt;/i&gt;"	"R220_question_itemDirections_50c7c0632ed057.30981915_0"	"PISA_ell-QCY_REA_R220-SouthPole_en15_MS2022.xlf"
"3217"	"&lt;i&gt;Read the information below."	"Να διαβάσεις τις παρακάτω πληροφορίες."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_ell-QCY_REA_R553-HealthForum_en18_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Για κάθε δήλωση, να κάνεις κλικ στο &lt;b&gt; Σωστό &lt;/b&gt; ή στο &lt;b&gt; Λάθος&lt;/b&gt;."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_ell-QCY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε μία επιλογή και μετά να πληκτρολογήσεις μία εξήγηση."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_ell-QCY_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2723"	"Home"	"Αρχική Σελίδα"	"R550_hours_hours_l1_56fc785ccf6140.31847109_0"	"PISA_ell-QCY_REA_R550-CliffPalace_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Για κάθε δραστηριότητα, να κάνεις κλικ στο &lt;b&gt; Ναι&lt;/b&gt; ή στο &lt;b&gt; Όχι&lt;/b&gt;."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_ell-QCY_REA_R570-TheFavour_en18_MS2022.xlf"
"4392"	"News"	"Νέα"	"R563-stimulus-communtity_stimulus_culture_community_3_56fc786b34df40.11808256_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1041"	"WORK RIGHT"	"&lt;span class=&quot;black&quot;&gt;Το&lt;/span&gt; ΠΛΑΝΟ"	"R466_stimulus_stimulus2_1_50c7c8c815c249.17867514_0"	"PISA_ell-QCY_REA_R466-WorkRight_en15_MS2022.xlf"
"4942"	"Website"	"Ιστoσελίδα"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_ell-QCY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Να ανατρέξεις και στις δύο πηγες στα δεξιά, κάνοντας κλικ στην κάθε καρτέλα (tab)."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_ell-QCY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4418"	"Culture"	"ΠΟΛΙΤΙΣΜΟΣ"	"R563-stimulus-communtity_graphic-list_56fc786b365486.06241842_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2802"	"Winter"	"Χειμώνα"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_ell-QCY_REA_R550-CliffPalace_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Για κάθε δήλωση, να κάνεις κλικ στο &lt;b&gt; Ναι&lt;/b&gt; ή στο &lt;b&gt; Όχι&lt;/b&gt;."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_ell-QCY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"576"	"The worst has happened"	"&quot;Το χειρότερο συνέβη"	"R220_stimulus_stimulusHQ4_3_50c7c0633d61a5.08268917_0"	"PISA_ell-QCY_REA_R220-SouthPole_en15_MS2022.xlf"
"4423"	"About Us"	"Ποιοι Είμαστε"	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4421"	"News"	"Νέα"	"R563-stimulus-communtity_stimulus_culture_music_3_56fc786b365f07.14084271_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5825"	"Playground"	"Η παιδική χαρά"	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_ell-QCY_REA_R569-TheCleanup_en18_MS2022.xlf"
"4442"	"Culture"	"ΠΟΛΙΤΙΣΜΟΣ"	"R563-stimulus-communtity_graphic-list_56fc786b37f6d4.00851936_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"6147"	"Read the introduction."	"Να διαβάσεις την Εισαγωγή."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_0_0"	"PISA_ell-QCY_REA_R590-Sentences01_en18_MS2022.xlf"
"4389"	"Culture"	"ΠΟΛΙΤΙΣΜΟΣ"	"R563-stimulus-communtity_graphic-list_56fc786b34d424.89029454_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"Να διαβάσεις τις παρακάτω πληροφορίες."	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_ell-QCY_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4944"	"Website"	"Ιστoσελίδα"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_ell-QCY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4457"	"Date"	"Ημερομηνία"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1014"	"WORK RIGHT"	"&lt;span class=&quot;black&quot;&gt;Το&lt;/span&gt; ΠΛΑΝΟ"	"R466_stimulus_stimulus_1_50c7c8c813d474.26842162_0"	"PISA_ell-QCY_REA_R466-WorkRight_en15_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε ένα αποτέλεσμα αναζήτησης."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_ell-QCY_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Για κάθε δήλωση, να κάνεις κλικ στο &lt;b&gt; Ναι&lt;/b&gt; ή στο &lt;b&gt; Όχι&lt;/b&gt;."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_ell-QCY_REA_R552-FestiRock_en18_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε ένα αποτέλεσμα αναζήτησης."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_ell-QCY_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2770"	"Home"	"Αρχική Σελίδα"	"R550_tours_tours_l1_56fc785cd39f45.21730838_0"	"PISA_ell-QCY_REA_R550-CliffPalace_en18_MS2022.xlf"
"2613"	"Click on the choices in the table to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ στις επιλογές στον πίνακα. &lt;/i&gt;"	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_1_0"	"PISA_ell-QCY_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Για αγορές από €60 έως €149,99 το ΠΛΑΝΟ σας επιστρέφει €&lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;.&lt;br /&gt; &gt; Για αγορές από €150 έως €299,99 το ΠΛΑΝΟ σας επιστρέφει €50.&lt;br /&gt; &gt; Για αγορές από €300 και πάνω το ΠΛΑΝΟ σας επιστρέφει €100.&lt;br /&gt;"	"R466_stimulus_line5_50c7c8c815daa8.41926863_0"	"PISA_ell-QCY_REA_R466-WorkRight_en15_MS2022.xlf"
"1530"	"&lt;b&gt;Peter:&lt;/b&gt;"	"&lt;b&gt; Πέτρος:&lt;/b&gt;"	"Q08R542_question_Conv2p4_56fc7821103af9.50001219_0_0"	"PISA_ell-QCY_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ στις επιλογές στον πίνακα.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_ell-QCY_REA_R547-BookSurvey_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Για να διαβάσεις το διαφημιστικό φυλλάδιο, να κάνεις κλικ στο βελάκι ΕΠΟΜΕΝΗ."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_ell-QCY_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"639"	"Then click on the NEXT arrow to view the first question."	"Μετά να κάνεις κλικ στο βελάκι ΕΠΟΜΕΝΗ για να δεις την πρώτη ερώτηση."	"R404_question_introBullet3_50c7c7b1f1e0a0.39556479_0"	"PISA_ell-QCY_REA_R404-Sleep_en15_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Για να διαβάσεις το παραμύθι, να κάνεις κλικ στο βελάκι ΕΠΟΜΕΝΗ."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_ell-QCY_REA_R570-TheFavour_en18_MS2022.xlf"
"491"	"Amundsen, the Norwegian"	"τον Νορβηγό Αμούνδσεν."	"R220_stimulus_li2_50c7c06336e597.76670245_0"	"PISA_ell-QCY_REA_R220-SouthPole_en15_MS2022.xlf"
"320"	"LOCATION"	"ΤΟΠΟΣ"	"R219_stimulus_sect4Line2span2_50c7b79509a197.94199594_0"	"PISA_ell-QCY_REA_R219-Employment_en15_MS2022.xlf"
"1631"	"Then click on the NEXT arrow."	"Μετά να κάνεις κλικ στο βελάκι ΕΠΟΜΕΝΗ.&lt;/i&gt;"	"question0b_1_itemDirections00_56fc7821309e26.00768085_1_0"	"PISA_ell-QCY_REA_R543-Nobel_en18_MS2022.xlf"
"3863"	"Web Search"	"Αναζήτηση στο διαδίκτυο"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_ell-QCY_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5731"	"Total"	"Συνολο"	"R569_stimulus_pg2-tr7td1_56fc78794a0917.76386481_0"	"PISA_ell-QCY_REA_R569-TheCleanup_en18_MS2022.xlf"
"2268"	"Click on a choice to answer the question.&lt;/i&gt;"	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε μία επιλογή. &lt;/i&gt;"	"R547_question2_itemDirections_56fc782e072020.06902189_1_0"	"PISA_ell-QCY_REA_R547-BookSurvey_en18_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε ένα αποτέλεσμα αναζήτησης."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_ell-QCY_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2643"	"Home"	"Αρχική Σελίδα"	"R550_stimulus01_stimulus1_1_56fc785cc5fc61.08831919_0"	"PISA_ell-QCY_REA_R550-CliffPalace_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Να ανατρέξεις στην Αναζήτηση στο Διαδίκτυο στα δεξιά."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_ell-QCY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Για κάθε δήλωση, να κάνεις κλικ στο &lt;b&gt; Σωστό &lt;/b&gt; ή στο &lt;b&gt; Λάθος&lt;/b&gt;."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_ell-QCY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"587"	"Antarctic Circle"	"Ανταρκτικός Κύκλος"	"R220_stimulus_label5_50c7c063404e75.27212246_0"	"PISA_ell-QCY_REA_R220-SouthPole_en15_MS2022.xlf"
"3549"	"Web Search"	"Διαδικτυακή Αναζήτηση"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_ell-QCY_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Σύμφωνα με το ενημερωτικό φυλλάδιο, η δήλωση είναι σωστή ή λανθασμένη;"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_ell-QCY_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Να ανατρέξεις στην Αναζήτηση στο Διαδίκτυο στα δεξιά."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_ell-QCY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"301"	"T"	"Π"	"R219_stimulus_stimulus_7_50c7b7950901d9.37733153_0"	"PISA_ell-QCY_REA_R219-Employment_en15_MS2022.xlf"
"4375"	"News"	"Νέα"	"R563-stimulus-culture_stimulus_culture_3_56fc786b334d96.68891684_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"493"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Ο Αμούνδσεν ήθελε τη νίκη στον Νότιο Πόλο δική του. Στις 14 Ιανουαρίου 1911, αποβιβάστηκε στην Ανταρκτική, στον κόλπο των Φαλαινών. Ετοιμάστηκε να ξεχειμωνιάσει, μαζί με οκτώ συντρόφους και εκατόν δεκαέξι σκύλους, στο Φραμχάιμ, βάση που κατασκευάστηκε πάνω στο Φράγμα του Ρος. Στις 20 Οκτωβρίου 1911, ο Αμούνδσεν και τέσσερις από τους άντρες του άφησαν το Φραμχάιμ για την κατάκτηση του Νότιου Πόλου, με δώδεκα σκύλους για κάθε έλκηθρο. Στις 17 Νοεμβρίου, 85° Νότια, έφθασαν στους πρόποδες της Υπερανταρκτικής Oροσειράς. Χρειάστηκε να βρουν ένα πέρασμα, για να τη διασχίσουν. Άρχισε τότε η τρομερή ανάβαση σε έναν παγετώνα γεμάτο ρήγματα, τον Άξελ Χάιμπεργκ."	"R220_stimulus_p2_50c7c06336f234.70582048_0"	"PISA_ell-QCY_REA_R220-SouthPole_en15_MS2022.xlf"
"1526"	"Click on a choice to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε μία επιλογή.&lt;/i&gt;"	"Q08R542_question_Q08itemDirections_56fc78211030b8.65907280_1_0"	"PISA_ell-QCY_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε μία επιλογή και μετά να πληκτρολογήσεις μία εξήγηση."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_ell-QCY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4377"	"About Us"	"Ποιοι Είμαστε"	"R563-stimulus-culture_stimulus_culture_5_56fc786b3355c9.89235823_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Να ανατρέξεις στην Αναζήτηση στο Διαδίκτυο στα δεξιά."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_ell-QCY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4444"	"Politics"	"ΠΟΛΙΤΙΚΗ"	"R563-stimulus-communtity_graphic-list_56fc786b37fa25.46044740_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4391"	"Politics"	"ΠΟΛΙΤΙΚΗ"	"R563-stimulus-communtity_graphic-list_56fc786b34d811.67567656_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Μετά να κάνεις κλικ στο βελάκι ΕΠΟΜΕΝΗ."	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_ell-QCY_REA_R556-Microlending_en18_MS2022.xlf"
"514"	"latitude"	"Γεωγραφικό πλάτος"	"R220_stimulus_label1_50c7c06339ae80.51992190_0"	"PISA_ell-QCY_REA_R220-SouthPole_en15_MS2022.xlf"
"4374"	"Politics"	"ΠΟΛΙΤΙΚΗ"	"R563-stimulus-culture_graphic-list_56fc786b3346f1.95613759_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2711"	"Home"	"Αρχική Σελίδα"	"R550_general_info_gi_l1_56fc785ccd89f9.96697154_0"	"PISA_ell-QCY_REA_R550-CliffPalace_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Ο χώρος στάθμευσης"	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_ell-QCY_REA_R569-TheCleanup_en18_MS2022.xlf"
"4920"	"Web Search"	"Αναζήτηση στο διαδίκτυο"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_ell-QCY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5431"	"Web Search"	"Αναζήτηση στο διαδίκτυο"	"R568_stimulus1_pg01h1_56fc784a9d2fe7.94994728_0"	"PISA_ell-QCY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Οι Βοηθοί για Όλους"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_ell-QCY_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4394"	"About Us"	"Ποιοι Είμαστε"	"R563-stimulus-communtity_stimulus_culture_community_5_56fc786b34e7e8.94779133_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5889"	"The Daisy"	"H Μαργαρίτα"	"pg3_stimulus_pg3h1_56fc7879739352.62132842_0"	"PISA_ell-QCY_REA_R570-TheFavour_en18_MS2022.xlf"
"5780"	"Location"	"Τοποθεσία"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_ell-QCY_REA_R569-TheCleanup_en18_MS2022.xlf"
"4353"	"News"	"Νέα"	"R563-stimulus-about_stimulus_about_3_56fc786b31f933.35394495_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4475"	"News"	"Νεα"	"R563-stimulus-news_graphic-list_56fc786b3a3f91.77685757_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4482"	"About Us"	"Ποιοι Είμαστε"	"R563-stimulus-news_stimulus_news_5_56fc786b3a5726.69858954_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4420"	"Politics"	"ΠΟΛΙΤΙΚΗ"	"R563-stimulus-communtity_graphic-list_56fc786b3657c1.53148409_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Για να διαβάσεις την ιστοσελίδα, να κάνεις κλικ στο βελάκι ΕΠΟΜΕΝΗ."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_ell-QCY_REA_R566-SkelligRocks_en18_MS2022.xlf"
