"Segment"	"en-ZZ"	"pt-BR"	"ID"	"File"
"2187"	"Then click on the NEXT arrow."	"Em seguida clique na seta PRÓXIMO."	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_1_0"	"PISA_por-BRA_MAT_MA126-Robot_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_por-BRA_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"As afirmações a seguir são verdadeiras ou falsas?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_por-BRA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Clique em &lt;b&gt;Verdadeira&lt;/b&gt; ou &lt;b&gt;Falsa&lt;/b&gt; para cada afirmação."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_por-BRA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_por-BRA_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_por-BRA_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"Em seguida clique na seta PRÓXIMO."	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_por-BRA_MAT_MA114-Honey_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Selecione nos menus suspensos para responder à questão."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_por-BRA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_por-BRA_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_por-BRA_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_por-BRA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Selecione nos menus suspensos para responder à questão."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_por-BRA_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Clique nas opções na tabela para responder à questão."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_por-BRA_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Clique nas opções na tabela para responder à questão."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_por-BRA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Para usar a calculadora, siga estas etapas:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_por-BRA_MAT_MA112-Metabolism_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_por-BRA_MAT_MA111-HealthApp_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Selecione nos menus suspensos para responder à questão."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_por-BRA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5075"	"Statement"	"Questão"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_por-BRA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Clique em &lt;b&gt;Verdadeira&lt;/b&gt; ou &lt;b&gt;Falsa&lt;/b&gt; para cada afirmação."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_por-BRA_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Para usar a calculadora, siga estas etapas:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_por-BRA_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_por-BRA_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"Em seguida clique na seta PRÓXIMO."	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_por-BRA_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Clique em &lt;b&gt;Verdadeira&lt;/b&gt; ou &lt;b&gt;Falsa&lt;/b&gt; para cada afirmação."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_por-BRA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_por-BRA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Use o teclado numérico e digite suas respostas para a questão."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_por-BRA_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Clique em duas opções para responder à questão."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_por-BRA_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"Digite sua resposta para à questão."	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_por-BRA_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_por-BRA_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Clique nas opções na tabela para responder à questão."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_por-BRA_MAT_MA151-MovingOut_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_por-BRA_MAT_MA141-WaterBill_en21_MS2022.xlf"
"2527"	"Then click on the NEXT arrow."	"Em seguida clique na seta PRÓXIMO."	"question0a_1_itemDirections00_5c9d214b76c282.48085737_1_0"	"PISA_por-BRA_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
