"Segment"	"en-ZZ"	"pt-BR"	"ID"	"File"
"1619"	"Medium"	"Médio"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_por-BRA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Execute a simulação para coletar dados com base nas informações abaixo. Clique em uma opção e depois digite uma explicação para responder à questão. &lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_por-BRA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"Para executar essa simulação, você pode usar os seguintes controles:"	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_por-BRA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2458"	"High"	"Alto"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2403"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Salve os peixes&lt;/b&gt;&lt;br /&gt; Questão"	"S662_question7_itemTitle7_51940bae49abf4.68310676_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"Baixo"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Alto"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2354"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Salve os peixes&lt;/b&gt;&lt;br /&gt; Questão"	"question4_1_itemTitle04_51940bae427422.58951946_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Assistência para que as pessoas se recuperem dos efeitos decorrentes das catástrofes naturais."	"S514_question3_tr4td1_50ed2a61524887.66717154_0"	"PISA_por-BRA_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Leia a introdução. Então clique na seta &quot;PRÓXIMO&quot;.&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_por-BRA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2685"	"Please click on the NEXT arrow to continue."	"Para continuar, clique na seta PRÓXIMO."	"sim_1_automationMsg2_51940c102ba4f1.09359315_0"	"PISA_por-BRA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2110"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Em Risco:&lt;/b&gt; Pessoas nessa condição não estão vacinadas para prevenir a doença e podem contrair a doença."	"question000_1_t1tr1td2_5193fde5991607.39636409_0"	"PISA_por-BRA_SCI_S634-Vaccination_en15_MS2022.xlf"
"315"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Clique nas opções na tabela para responder à questão.&lt;/i&gt;"	"S415_question3_itemDirections3_50ec3e12206124.79522062_0"	"PISA_por-BRA_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"2343"	"select"	"Selecione"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2433"	"1000"	"1 000"	"stimulus2_1_ylabel_1000p_51940bae4f6304.12006161_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"935"	"higher"	"maiores"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_por-BRA_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Para executar a simulação, você pode usar os seguintes controles:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_por-BRA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2586"	"To see how all the controls in this simulation work, follow these steps:"	"Para ver como todos os controles nesta simulação funcionam, siga essas etapas:"	"question2_1_Q02P2_51940c1020b465.51317902_0"	"PISA_por-BRA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1902"	"Sound-emitting device"	"Dispositivo emissor sonoro"	"S626_stimulus3_device2_515e3a72774942.31411172_0"	"PISA_por-BRA_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2453"	"High"	"Alto"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2111"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Infectada:&lt;/b&gt; Pessoas nessa condição têm a doença e podem infectar outras."	"question000_1_t1tr2td2_5193fde5991bb9.29730595_0"	"PISA_por-BRA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"O botão Executar para exibir os resultados."	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_por-BRA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2451"	"Low"	"Baixo"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Muito bem!&lt;br /&gt; Para continuar, clique na seta PRÓXIMO."	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_por-BRA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Esta questão pode ser respondida por experimentos científicos?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_por-BRA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2245"	"Medium"	"Médio"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 Pneus de Carro Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_por-BRA_SCI_S627-CarTyres_en15_MS2022.xlf"
"2344"	"increase"	"aumentar"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1669"	"2500"	"2&amp;nbsp;500"	"S620_Q2_yq21_51740713a08293.19660593_0"	"PISA_por-BRA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Muito bem!&lt;br /&gt; Para continuar, clique na seta PRÓXIMO."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_por-BRA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2244"	"Low"	"Baixo"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2790"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Execute a simulação para coletar dados com base nas informações abaixo. Clique em uma opção para responder à questão. &lt;/i&gt;"	"question2_1_itemDirections02_51940c10381160.17280342_0"	"PISA_por-BRA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Leia a introdução.  Então clique na seta PRÓXIMO.&lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_por-BRA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Para essa questão você não será solicitado a usar a simulação. Clique em uma opção e então digite uma explicação para responder à questão. &lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_por-BRA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2783"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Essa simulação permite a você observar os resultados de uma reação entre as substâncias A e B. Você vai explorar como os volumes das duas substâncias afetam tanto o tamanho das partículas produzidas quanto o tempo de reação."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_por-BRA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2374"	"select"	"Selecione"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Médio"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Para ver como todos os controles funcionam nesta simulação, siga essas etapas:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_por-BRA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2341"	"decrease"	"diminuir"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2345"	"decrease"	"diminuir"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2231"	"Please click on the NEXT arrow to continue."	"Para continuar, clique na seta PRÓXIMO."	"stimulus_1_automationMsg2_5193fde5a8b6f0.19499830_0"	"PISA_por-BRA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"Nessa simulação você será capaz de ver como funcionam os diferentes tipos de lâmpadas elétricas com diferentes níveis de potência. O testador de lâmpadas mostrará a quantidade de luz emitida (medida em lúmens) bem como a eficiência da lâmpada elétrica (medida em lúmens por watt)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_por-BRA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1577"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Compreendendo os Tsunamis&lt;/b&gt;&lt;br /&gt;Questão"	"question4_1_itemTitle04_5193d3562ce553.23290888_0"	"PISA_por-BRA_SCI_S615-Tsunami_en15_MS2022.xlf"
"1671"	"1500"	"1&amp;nbsp;500"	"S620_Q2_yq23_51740713a087b0.90702267_0"	"PISA_por-BRA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Para excluir qualquer linha de dados clique no botão &quot;Excluir&quot; próximo àquela linha. &lt;br /&gt;"	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_por-BRA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"Nessa simulação você será capaz de explorar como os níveis de pesca do bacalhau e do arenque afetam a biomassa de cada tipo de organismo na baía após um período de cinco anos."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 Tornados Q04"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_por-BRA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2248"	"1000"	"1 000"	"js_translation_data_1000_51940bae34c777.31998533_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Execute a simulação para coletar dados com base nas informações abaixo. Clique em uma ou mais caixas  para responder à questão.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_por-BRA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1744"	"Tornadoes"	"tornados"	"S620_stimulus2_attr_alt_attr_stimulus3_1_51740713ad1472.81375055_0"	"PISA_por-BRA_SCI_S620-Tornadoes_en15_MS2022.xlf"
