"Segment"	"en-ZZ"	"es-MX"	"ID"	"File"
"2111"	"Dans la simulation, chaque personne de la population est toujours dans l’un des trois états suivants."	"En la simulación siempre hay una persona en cada uno de las tres estados siguientes."	"question000_1_q000P2_5193fe2e088997.80484219_0"	"PISA_esp-MEX_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2044"	"Heures d'ensoleillement par jour"	"Horas de luz solar sol por día"	"S629_question3_p32_515e341de03a82.15100962_0"	"PISA_esp-MEX_SCI_S629-SolarCooker_fr15_MS2022.xlf"
"83"	"Proteins"	"Proteinas"	"S326_stimulus2_t2tr2td2_50ec49861c5ee3.38392341_0"	"PISA_esp-MEX_SCI_S326-Milk_en15_MS2022.xlf"
"2309"	"Le bouton « Exécuter » pour afficher les résultats."	"Botón &quot;Ejecutar&quot; para mostrar los resultados."	"menu_1_menuLi3_51940bdd99fbd4.02138962_0"	"PISA_esp-MEX_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2779"	"Pour sélectionner une ligne de données afin de répondre à une question, cliquez n'importe où sur la ligne. La ou les lignes sélectionnées seront marquées d'une étoile."	"Para seleccionar un renglón de datos que responda a la pregunta, da clic en el renglón. El o los renglones quedarán marcados con una estrella."	"menu_1_menuP5_51940c2af0c320.23628403_0"	"PISA_esp-MEX_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"1684"	"Juin"	"Jun"	"S620_Q2_xq26_51730583e8d984.55471758_0"	"PISA_esp-MEX_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"959"	"Banlieue résidentielle"	"Residecial suburbana"	"S602_stimulus1_x7_515e341d7ec3e0.66250524_0"	"PISA_esp-MEX_SCI_S602-UrbanHeatIslandEffect_fr15_MS2022.xlf"
"1365"	"Birds and Caterpillars Introduction"	"Pájaros y orugas Introducción"	"S607_stimulus1_attr_alt_attr_stimulus1_3_51730583b906a0.52598118_0"	"PISA_esp-MEX_SCI_S607-BirdsAndCaterpillars_fr15_MS2022.xlf"
"1366"	"Birds and Caterpillars Introduction"	"Pájaros y orugas Introducción"	"S607_stimulus1_attr_alt_attr_stimulus1_4_51730583b90805.56036077_0"	"PISA_esp-MEX_SCI_S607-BirdsAndCaterpillars_fr15_MS2022.xlf"
"2786"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes :"	"Para ver cómo funcionan los controles de la simulación sigue estos pasos:"	"question1_1_q01p2_51940c2af38010.87579613_0"	"PISA_esp-MEX_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"2331"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes :"	"Para ver cómo funcionan los controles de la simulación sigue estos pasos:"	"question2_1_P22_51940bdd9e2593.21963118_0"	"PISA_esp-MEX_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2124"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;Ejecuta la simulación para obtener datos basados en la información que está a continuación. Para responder a la pregunta, selecciona una o más opciones.&lt;/i&gt;"	"question1_1_itemDirections01_5193fe2e0ae068.29636377_0"	"PISA_esp-MEX_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2548"	"S629 Solar Cooker"	"S638 Derrames de petróleo"	"S629_stimulus0_unknownID_5180500f5dfcb0.57361205_0"	"PISA_esp-MEX_SCI_S638-OilSpills_fr15_MS2022.xlf"
"2236"	"Supprimer une ligne de données pour exécuter une nouvelle simulation."	"Eliminar un renglón de datos para ejecutar una nueva simulación."	"js_translation_deleteMsg_51940bdd960496.54778025_0"	"PISA_esp-MEX_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2110"	"Cette simulation vous permet d’explorer l’effet de la vaccination sur la propagation d’une maladie contagieuse dans une population de personnes exposées à cette maladie."	"Esta simulación te permite explorar el efecto de la vacunación en la propagación de una enfermedad contagiosa en una población de personas expuestas a esta efermedad."	"question000_1_q000P1_5193fe2e088444.76313620_0"	"PISA_esp-MEX_SCI_S634-Vaccination_fr15_MS2022.xlf"
"1683"	"Mai"	"May"	"S620_Q2_xq25_51730583e8d6c3.65245455_0"	"PISA_esp-MEX_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"1592"	"&lt;b&gt;Comprendre les tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comprender los tsunamis&lt;/b&gt;&lt;br /&gt; Pregunta"	"question5_1_itemTitle05_5193d47436fe78.36046518_0"	"PISA_esp-MEX_SCI_S615-Tsunami_fr15_MS2022.xlf"
"1233"	"L'énergie géothermique"	"Energía geotérmica"	"S605_stimulus3_title3_515e341d9cb7d1.41933682_0"	"PISA_esp-MEX_SCI_S605-GeothermalEnergy_fr15_MS2022.xlf"
"1771"	"&lt;i&gt; N'oubliez pas de sélectionner &lt;b&gt;une ou plusieurs&lt;/b&gt; cases.&lt;/i&gt;"	"&lt;i&gt; No olvides seleccionar &lt;b&gt;una o más&lt;/b&gt; opciones.&lt;/i&gt;"	"S625_question3_Reminder_515e341dc83a21.11220802_0"	"PISA_esp-MEX_SCI_S625-WildfiresAndTheFireTriangle_fr15_MS2022.xlf"
"2946"	"Mars"	"Marte"	"S648_stimulus1_le3_517304a6246186.53866235_0"	"PISA_esp-MEX_SCI_S648-HabitableZone_fr15_MS2022.xlf"
"1570"	"&lt;b&gt;Comprendre les tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comprender los tsunamis&lt;/b&gt;&lt;br /&gt; Pregunta"	"question3_1_itemTitle03_5193d47432f118.14493948_0"	"PISA_esp-MEX_SCI_S615-Tsunami_fr15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"El uso de la ciencia para predecir los desastres naturales"	"S514_question3_tr2td1_50ed2967cbac78.63761057_0"	"PISA_esp-MEX_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2211"	"&lt;i&gt;Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;Para responder a la pregunta, selecciona una o más opciones. &lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fe2e13f6f8.89805559_0"	"PISA_esp-MEX_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2579"	"Pour supprimer une ligne de données, cliquez sur le bouton « Supprimer » à côté de cette ligne. &lt;br /&gt;"	"Para eliminar cualquier renglón de datos, da clic en el botón “Borrar” al lado del renglón. &lt;br /&gt;"	"menu_1_menuP4_51940c2ad46e45.39143186_0"	"PISA_esp-MEX_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"1138"	"Expliquez pourquoi.&lt;br /&gt;"	"Explica por qué.&lt;br /&gt;"	"S604_question4_q45_51804f1f878259.64856384_0"	"PISA_esp-MEX_SCI_S604-WaterFromFog_fr15_MS2022.xlf"
"2835"	"&lt;i&gt;Pour cette question, vous n’avez pas besoin d’utiliser la simulation. Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"&lt;i&gt;Para esta pregunta, no tienes que usar la simulación. Para responderla, selecciona una opción y después escribe tu explicación.&lt;/i&gt;"	"question6_1_itemDirections06_51940c2b0bbec8.48107131_0"	"PISA_esp-MEX_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"1602"	"&lt;b&gt;Comprendre les tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comprender los tsunamis&lt;/b&gt;&lt;br /&gt; Pregunta"	"question6_1_itemTitle06_5193d4743919a7.94625425_0"	"PISA_esp-MEX_SCI_S615-Tsunami_fr15_MS2022.xlf"
"1579"	"&lt;b&gt;Comprendre les tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comprender los tsunamis&lt;/b&gt;&lt;br /&gt; Pregunta"	"question4_1_itemTitle04_5193d474352f91.87465042_0"	"PISA_esp-MEX_SCI_S615-Tsunami_fr15_MS2022.xlf"
