"Segment"	"en-ZZ"	"ar-AE"	"ID"	"File"
"2426"	"Herring"	"أسماك الرنجة"	"stimulus2_1_stimulus2_13_51940bae4f4b49.35250034_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"لتشغيل هذا المحاكاة استخدم عناصر التحكم التالية:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"540"	"&lt;b&gt;Experiment&lt;/b&gt;"	"&lt;b&gt;التجربة &lt;/b&gt;"	"S438_stimulus2_p3_50ec56ae9138c4.83930015_0"	"PISA_ara-ARE_SCI_S438-GreenParks_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"احذف صف البيانات لتشغيل محاولة أخرى."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2144"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التطعيم وتفشي الأمراض&lt;/b&gt;&lt;br /&gt; السؤال"	"question2_1_itemTitle02_5193fde59dc0c3.50064933_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2243"	"None"	"لا يوجد"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1572"	"500 m"	"500&amp;lrm;&amp;nbsp;m"	"question3_1_optionLabel1_5193d3562b07c6.63635892_0"	"PISA_ara-ARE_SCI_S615-Tsunami_en15_MS2022.xlf"
"807"	"B"	"ب"	"S514_stimulus2_d2l2_50ed29f23d0004.73155288_0"	"PISA_ara-ARE_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"770"	"C"	"ج"	"S514_question2_question2_3_50ed29f23864a7.68747436_0"	"PISA_ara-ARE_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2455"	"None"	"لا يوجد"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2125"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ تذكر أن تختار مربعاً &lt;b&gt;واحداً أو أكثر&lt;/b&gt;"	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"130"	"&lt;i&gt;Refer to &quot;Wild Oat Grass&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;عشب الشوفان البري&quot; على الجانب الأيسر. انقر على خيار للإجابة عن السؤال.&lt;/i&gt;"	"S408_question4_itemDirections_4_50ec3a68ca1d25.74410277_0"	"PISA_ara-ARE_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"2608"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; مقارنة بين المصابيح الكهربائية &lt;/b&gt;&lt;br /&gt; السؤال"	"question4_1_itemTitle04_51940c1024aa75.90600942_0"	"PISA_ara-ARE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2361"	"Explain your answer."	"فسر إجابتك"	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1397"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الأمونيات&lt;/b&gt;&lt;br /&gt;السؤال"	"S608_question3_itemTitle3_515e3a722cec14.53047179_0"	"PISA_ara-ARE_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2246"	"High"	"مرتفع"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2403"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;حافظوا على الأسماك&lt;/b&gt;&lt;br /&gt; السؤال"	"S662_question7_itemTitle7_51940bae49abf4.68310676_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1165"	"&lt;b&gt;Geothermal Energy&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الطاقة الجيوحرارية &lt;/b&gt;&lt;br /&gt;السؤال"	"S605_question2_itemTitle2_515e3a721777e5.81506785_0"	"PISA_ara-ARE_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"لتشغيل المحاكاة يمكنك استخدام أدوات التحكم التالية:"	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"768"	"A"	"أ"	"S514_question2_question2_1_50ed29f2385d89.61188649_0"	"PISA_ara-ARE_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;الأمونيات&quot; على الجانب الأيسر. استخدم عملية السحب والإفلات للإجابة عن السؤال. &lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_ara-ARE_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2685"	"Please click on the NEXT arrow to continue."	"انقر على سهم التالي للمتابعة."	"sim_1_automationMsg2_51940c102ba4f1.09359315_0"	"PISA_ara-ARE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; اقرأ المقدمة ثم انقر على سهم &quot;التالي&quot;.&lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"839"	"&lt;i&gt;Refer to &quot;Extinction of the Dinosaurs&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;انقراض الديناصورات&quot; على الجانب الأيسر. انقر على الخيارات في الجدول للإجابة عن السؤال.&lt;/i&gt;"	"S527_question2_itemDirections2_50ec1f21df07f9.32785325_0"	"PISA_ara-ARE_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"1377"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الأمونيات&lt;/b&gt;&lt;br /&gt;السؤال"	"S608_question2_QitemTitle2_515e3a722adb27.71829867_0"	"PISA_ara-ARE_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2422"	"Cod"	"أسماك القد"	"S635_stimulus1_cap4_51940bae4c1bb8.21659408_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2207"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التطعيم وتفشي الأمراض&lt;/b&gt;&lt;br /&gt; سؤال"	"CS634_Q05_itemTitle05_5193fde5a48808.24424360_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"769"	"B"	"ب"	"S514_question2_question2_2_50ed29f2386118.44249090_0"	"PISA_ara-ARE_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2372"	"decrease"	"تنقص"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2387"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;حافظوا على الأسماك&lt;/b&gt;&lt;br /&gt; السؤال"	"question6_1_itemTitle06_51940bae4756a1.46889475_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;الرسم البياني 1&quot; على الجانب الأيسر. انقر على الخيار للإجابة عن السؤال.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec51f78c65e9.52334832_0"	"PISA_ara-ARE_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2782"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;جزيئات النانو&lt;/b&gt;&lt;br /&gt; المقدمة"	"question1_1_itemTitle01_51940c1035ac53.75462781_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2371"	"increase"	"تزداد"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2335"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;حافظوا على الأسماك &lt;/b&gt;&lt;br /&gt; السؤال"	"question3_1_itemTitle03_51940bae403424.58984875_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"منخفض"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1818"	"Refer to &quot;Whales and Shipping Noise&quot; on the right. Click on a choice to answer the question."	"ارجع إلى &quot;الحيتان وضجيج السفن&quot; على الجانب الأيسر. انقر على خيار للإجابة عن السؤال."	"S626_question3_question3_1_515e3a726a9369.79882370_0"	"PISA_ara-ARE_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2554"	"Time"	"الوقت"	"S638_stimulus1_stimulus1_3_51804fe1903507.70731024_0"	"PISA_ara-ARE_SCI_S638-OilSpills_en15_MS2022.xlf"
"1573"	"1500 m"	"1500&amp;lrm;&amp;nbsp;m"	"question3_1_optionLabel2_5193d3562b0ad5.96011763_0"	"PISA_ara-ARE_SCI_S615-Tsunami_en15_MS2022.xlf"
"2427"	"Cod"	"أسماك القد"	"stimulus2_1_stimulus2_17_51940bae4f50f0.47687150_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"استغلال العلوم في التنبؤ عن الكوارث الطبيعية"	"S514_question3_tr2td1_50ed29f23a0f87.11779556_0"	"PISA_ara-ARE_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"278"	"Scratch resistance"	"مقاومة الخدش"	"S413_question3_q3t4tr6td1_50ec425ae7ce16.43600644_0"	"PISA_ara-ARE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"لتشغيل هذه المحاكاة، استخدم أدوات التحكم التالية:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2196"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التطعيم وتفشي الأمراض&lt;/b&gt;&lt;br /&gt; سؤال"	"question4_1_itemTitle04_5193fde5a250d0.49857825_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2695"	"Incandescent"	"المتوهج"	"stimulus_1_stimuluslb1label_51940c102e5782.07661572_0"	"PISA_ara-ARE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2344"	"increase"	"تزداد"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1879"	"S626 Sound in Marine Habitats"	"S626الصوت في البيئات البحرية"	"S626_stimulus3_unknownID_515e3a7276cfb5.29733817_0"	"PISA_ara-ARE_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"لاختيار صف من البيانات للإجابة عن السؤال انقر في أي مكان في الصف. ستوضع علامة نجمة على الصف ( الصفوف ) التي قمت باختيارها."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"لترى آلية عمل أدوات التحكم في هذه المحاكاة اتبع الخطوات التالية:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"272"	"Density"	"الكثافة"	"S413_question3_q3t4tr3td1_50ec425ae7b1b7.32976455_0"	"PISA_ara-ARE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2864"	"Please click on the NEXT arrow to continue."	"انقر على سهم التالي للمتابعة."	"sim_1_automationMsg2_51940c104151f1.71258760_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1430"	"Ammonoids"	"الأمونيات (أحافير بحرية)"	"S608_stimulus1_title1_515e3a723278f4.32125142_0"	"PISA_ara-ARE_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2077"	"S629 Solar Cooker"	"S629 موقد الطاقة الشمسية"	"S629_stimulus1_unknownID_515e3a729120f1.15352521_0"	"PISA_ara-ARE_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"يمكنك استخدام هذه المحاكاة للتعرف على مدى تأثر مستويات الصيد لأسماك القد وأسماك الرنجة على الكتلة الحيوية لكل نوع من الكائنات الحية في الخليج بعد مضي فترة خمس سنوات."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2086"	"How to Run the Simulation"	"طريقة تشغيل المحاكاة"	"menu_1_MenuHeading_5193fde595e614.09293724_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"3030"	"Year"	"السنة"	"S657_stimulus1_p25_518050dc49ea96.13591958_0"	"PISA_ara-ARE_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2586"	"To see how all the controls in this simulation work, follow these steps:"	"لترى آلية عمل أدوات التحكم في هذه المحاكاة، اتبع الخطوات التالية :"	"question2_1_Q02P2_51940c1020b465.51317902_0"	"PISA_ara-ARE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"268"	"Medium"	"متوسطة"	"S413_question3_q3t3tr6td2_50ec425ae79bc7.06134230_0"	"PISA_ara-ARE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"671"	"&lt;i&gt;Refer to &quot;Antibiotics&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;المضادات الحيوية على الجانب الأيسر. انقر على الخيارات في الجدول للإجابة عن السؤال.&lt;/i&gt;"	"S478_question3_itemDirections3_50ed1d8ece3171.37059750_0"	"PISA_ara-ARE_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2450"	"None"	"لا يوجد"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2365"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;حافظوا على الأسماك&lt;/b&gt;&lt;br /&gt; السؤال"	"question5_1_itemTitle05_51940bae449ce5.58200238_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt; تعافوا/ تم تطعيمهم:&lt;/b&gt; الأفراد في هذه الحالة إما أن يكونوا مُصابين بالمرض وتعافوا منه أو تم تطعيمهم لمنع المرض. في المحاكاة لا يمكن لهؤلاء الأفراد أن يُصابوا بالمرض."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 الأعاصير السؤال 4"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_ara-ARE_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2590"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;مقارنة بين المصابيح الكهربائية &lt;/b&gt;&lt;br /&gt; السؤال"	"question3_1_itemTitle03_51940c1022cfb2.56540380_0"	"PISA_ara-ARE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1681"	"May"	"أغسطس"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_ara-ARE_SCI_S620-Tornadoes_en15_MS2022.xlf"
"271"	"Medium"	"متوسطة"	"S413_question3_q3t4tr2td2_50ec425ae7ac74.17606125_0"	"PISA_ara-ARE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 إطارات السيارات السؤال 3"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_ara-ARE_SCI_S627-CarTyres_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ تذكر أن تختار مربعاً &lt;b&gt;واحد أو أكثر &lt;/b&gt;"	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"جيد!&lt;br /&gt; انقر على زر &quot;التالي&quot; للمتابعة ."	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1014"	"Species B branches with &lt;u&gt;no&lt;/u&gt; ants"	"أغصان من النوع B &lt;u&gt;لا يوجد &lt;/u&gt; فيها نمل."	"S603_question2_nested21_515e3a72062988.62648612_0"	"PISA_ara-ARE_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1117"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى  &quot;الحصول على الماء من الضباب&quot; على الجانب  الأيسر.  انقر على مربع واحد أو أكثر للإجابة عن السؤال.&lt;/i&gt;"	"S604_question3_itemDirections3_51804e6bc48859.23680107_0"	"PISA_ara-ARE_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2783"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"ستسمح لك هذه المحاكاة معرفة نتائج التفاعل بين المادة A و المادة B. ستستكشف كيف يمكن لحجم مادتين أن تُؤثر على كل من حجم الجزيئات المنتجة وزمن التفاعل."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2345"	"decrease"	"تنقص"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"مرتفع"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"احذف بعض البيانات لإجراء المزيد من المحاولات."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"821"	"A"	"أ"	"S527_question1_tr1th2_1_50ec1f21dd7217.49238152_0"	"PISA_ara-ARE_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"جيد!&lt;br /&gt; انقر على زر &quot;التالي&quot; للمتابعة ."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"976"	"Rural"	"ريف"	"S602_stimulus2_le3_515e3a71f29bc9.05626063_0"	"PISA_ara-ARE_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"لتشغيل هذه المحاكاة، يمكنك استخدام أدوات التحكم التالية:"	"menu_1_menuP2_51940c101d3cd5.29603890_0"	"PISA_ara-ARE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"267"	"Scratch resistance"	"مقاومة الخدش"	"S413_question3_q3t3tr6td1_50ec425ae798a9.01488359_0"	"PISA_ara-ARE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;في هذا السؤال لن تحتاج إلى استخدام المحاكاة. انقر على خيار ثم اطبع توضيحاً للإجابة عن السؤال.&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2354"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;حافظوا على الأسماك&lt;/b&gt;&lt;br /&gt; السؤال"	"question4_1_itemTitle04_51940bae427422.58951946_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2453"	"High"	"مرتفع"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"لحذف أي صف من البيانات انقر على زر &quot;حذف&quot; بجانب هذا الصف."	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2318"	"Herring"	"أسماك الرنجة"	"S635_question1_source3_51940bae3c3c30.86104136_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"هل يمكن الإجابة عن هذه الأسئلة من خلال التجارب العلمية؟"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_ara-ARE_SCI_S638-OilSpills_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;قم بتشغيل المحاكاة لجمع البيانات استناداً إلى المعلومات الواردة أدناه. انقر على خيار ثم اطبع توضيحاً للإجابة عن السؤال.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2505"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;تسرب النفط &lt;/b&gt;&lt;br /&gt; السؤال"	"S638_question3_qitemTitle3_51804fe18524e4.56349804_0"	"PISA_ara-ARE_SCI_S638-OilSpills_en15_MS2022.xlf"
"2459"	"RUN"	"تشغيل"	"stimulus2_1_btn-run_51940bae4fd933.82718489_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1448"	"Species B"	"الأنواع B"	"S608_stimulus2_le22_515e3a72353560.98825786_0"	"PISA_ara-ARE_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"موقد يعمل بالطاقة الشمسية S 629"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_ara-ARE_SCI_S638-OilSpills_en15_MS2022.xlf"
"23"	"&lt;i&gt;Refer to &quot;Milk&quot; on the right.  Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;الحليب&quot; إلى الجانب الأيسر. اطبع إجابتك عن السؤال.&lt;/i&gt;"	"S326_question2_itemDirections2_50ec4a20a90df8.91126262_0"	"PISA_ara-ARE_SCI_S326-Milk_en15_MS2022.xlf"
"275"	"Medium"	"متوسطة"	"S413_question3_q3t4tr4td2_50ec425ae7bdb8.43606387_0"	"PISA_ara-ARE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"249"	"Scratch resistance"	"مقاومة الخدش"	"S413_question3_q3t2tr3td1_50ec425ae74971.70712451_0"	"PISA_ara-ARE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2376"	"decrease"	"تنقص"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_ara-ARE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; اقرأ المقدمة ثم انقر على سهم &quot;التالي&quot;.&lt;/i&gt;"	"question0_1_itemDirections00_51940c10345e61.42502127_0"	"PISA_ara-ARE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
