"Segment"	"en-ZZ"	"sr-RS"	"ID"	"File"
"2546"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"U ovoj simulaciji moći ćeš da vidiš kako rade različite vrste sijalica s različitim nivoima snage. Uređaj za ispitivanje sijalica  prikazivaće izlaznu količinu svetlosti (merenu u lumenima), kao i efikasnost sijalice (merenu u lumenima po vatu)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2592"	"CFL light bulbs"	"Štedljivima sijalicama"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2618"	"Incandescent"	"Sijalica sa užarenim vlaknom"	"sim_1_q02sim2_51940c102b16e1.40689421_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2190"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Odlično!&lt;br /&gt;Da nastaviš, klikni na strelicu DALJE."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_srp-SRB_SCI_S634-Vaccination_en15_MS2022.xlf"
"2960"	"&lt;i&gt;Refer to &quot;Treatment Study&quot; on the right. Click on a choice to answer the question. &lt;/i&gt;"	"&lt;i&gt;Koristi informacije iz teksta „Istraživanje tretmana” sa desne strane. Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora.&lt;/i&gt;"	"S657_question3_itemDirections3_518050dc4491b0.06692657_0"	"PISA_srp-SRB_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"1247"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Ptice i gusenice&lt;/b&gt;&lt;br /&gt; Pitanje"	"S607_question4_itemTitle4_517407134b1c07.62650644_0"	"PISA_srp-SRB_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"847"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Efekat ostrva vreline u gradu &lt;/b&gt;&lt;br /&gt; Pitanje"	"S602_question3_qitemTitle3_515e3a71ea4ab2.35582126_0"	"PISA_srp-SRB_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2187"	"% of Population"	"% populacije"	"stimulus_1_lable_y_5193fde5a89e62.04452002_0"	"PISA_srp-SRB_SCI_S634-Vaccination_en15_MS2022.xlf"
"2332"	"increase"	"povećava"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2419"	"High"	"Visok"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1925"	"S627 Car Tyres Q03"	"S627 Automobilske gume Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_srp-SRB_SCI_S627-CarTyres_en15_MS2022.xlf"
"2070"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"Svaka osoba u simulaciji uvek se nalazi u jednom od sledeća tri stanja:"	"question000_1_q000P2_5193fde5990fa4.58817131_0"	"PISA_srp-SRB_SCI_S634-Vaccination_en15_MS2022.xlf"
"1580"	"Medium"	"Srednji"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_srp-SRB_SCI_S615-Tsunami_en15_MS2022.xlf"
"2416"	"None"	"Nema ulova"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"781"	"&lt;i&gt;Refer to &quot;Extinction of the Dinosaurs&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Koristi informacije iz teksta „Izumiranje dinosaurusa” sa desne strane. Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli. &lt;/i&gt;"	"S527_question2_itemDirections2_56d724da60c389.36005326_0"	"PISA_srp-SRB_SCI_S527-ExtinctionOfTheDinosaurs_en18_MS2022.xlf"
"2414"	"High"	"Visok"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2486"	"Can this question be answered by scientific experiments?"	"Može li se na ovo pitanje odgovoriti pomoću naučnih eksperimenata?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_srp-SRB_SCI_S638-OilSpills_en15_MS2022.xlf"
"1842"	"Whales and Shipping Noise"	"Kitovi i buka s brodova"	"S626_stimulus3_subTitle3_515e3a7276e115.16630132_0"	"PISA_srp-SRB_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1046"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Podsećamo te da možeš izabrati &lt;b&gt;jedno ili više&lt;/b&gt; polja.&lt;/i&gt;"	"S604_question3_q3p2_51804e6bc49453.85399057_0"	"PISA_srp-SRB_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2453"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Odgovori na pitanje koristeći opciju „prevuci i spusti‟.&lt;/i&gt;"	"S638_question2_itemDirections2_51804fe1801be5.09391575_0"	"PISA_srp-SRB_SCI_S638-OilSpills_en15_MS2022.xlf"
"862"	"higher"	"veće"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_srp-SRB_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2207"	"High"	"Visok"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2591"	"Incandescent light bulbs"	"Sijalicama s užarenim vlaknom"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2781"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Da sakupiš podatke koji se zasnivaju na informacijama datim ispod, pokreni simulaciju. Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora, a zatim obrazloži svoj izbor.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_srp-SRB_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2906"	"Uranus"	"Uran"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_srp-SRB_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2204"	"None"	"Nema&amp;#160;ulova"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2172"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔  Ne zaboravi da izabereš &lt;b&gt;jedan ili više&lt;/b&gt; kvadratića."	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_srp-SRB_SCI_S634-Vaccination_en15_MS2022.xlf"
"2205"	"Low"	"Nizak"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2582"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Upoređivanje sijalica&lt;/b&gt;&lt;br /&gt;Pitanje"	"question5_1_itemTitle05_51940c10264665.80289516_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2735"	"The Run button to display the results."	"Dugme „Pokreni” za prikazivanje rezultata."	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_srp-SRB_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1484"	"Medium"	"Srednji"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_srp-SRB_SCI_S615-Tsunami_en15_MS2022.xlf"
"562"	"&lt;i&gt;Refer to &quot;Forest Fires&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Koristi informacije iz teksta „Šumski požari” sa desne strane. Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli.&lt;/i&gt;"	"S466_question2_itemDirections2_56d724d9df4843.31040057_0"	"PISA_srp-SRB_SCI_S466-ForestFires_en18_MS2022.xlf"
"2729"	"Delete some data to run more trials."	"Da pokreneš više simulacija, obriši neke podatke."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_srp-SRB_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2418"	"Medium"	"Srednji"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2337"	"decrease"	"smanjuje"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2420"	"RUN"	"POKRENI"	"stimulus2_1_btn-run_51940bae4fd933.82718489_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2903"	"Venus"	"Venera"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_srp-SRB_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1225"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Ptice i gusenice&lt;/b&gt;&lt;br /&gt; Pitanje"	"S607_question3_itemTitle3_517407134665a3.27903045_0"	"PISA_srp-SRB_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2593"	"LED light bulbs"	"LED sijalicama"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2769"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Da sakupiš podatke koji se zasnivaju na informacijama datim ispod, pokreni simulaciju. Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora.&lt;/i&gt;"	"question4_1_itemDirections04_51940c103b3ee7.77719911_0"	"PISA_srp-SRB_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2300"	"select"	"Izaberi"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2304"	"select"	"Izaberi"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"573"	"&lt;b&gt;Forest Fires&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Šumski požari&lt;/b&gt;&lt;br /&gt; Pitanje"	"S466_question3_itemTitle3_56d724d9e09d72.01420540_0"	"PISA_srp-SRB_SCI_S466-ForestFires_en18_MS2022.xlf"
"2601"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Upoređivanje sijalica&lt;/b&gt;&lt;br /&gt;Pitanje"	"question6_1_itemTitle06_51940c102836a9.96822119_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1538"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Razumeti cunami&lt;/b&gt;&lt;br /&gt;Pitanje"	"question4_1_itemTitle04_5193d3562ce553.23290888_0"	"PISA_srp-SRB_SCI_S615-Tsunami_en15_MS2022.xlf"
"1551"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Razumeti cunami&lt;/b&gt;&lt;br /&gt;Pitanje"	"question5_1_itemTitle05_5193d3562f5950.25689113_0"	"PISA_srp-SRB_SCI_S615-Tsunami_en15_MS2022.xlf"
"2364"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Sasimo ribe&lt;/b&gt;&lt;br /&gt; Pitanje"	"S662_question7_itemTitle7_51940bae49abf4.68310676_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2170"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Odgovori na pitanje tako što ćeš kliknuti na jedan ili više kvadratića.&lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fde5a492d6.48884888_0"	"PISA_srp-SRB_SCI_S634-Vaccination_en15_MS2022.xlf"
"2744"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Ova simulacija omogućava ti da posmatraš rezultate reakcije između supstance A i supstance B. Istraživaćeš na koji način zapremine obe supstance utiču na veličinu proizvedenih čestica i na vreme reakcije."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_srp-SRB_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"46"	"3.4g"	"3,4g"	"S326_stimulus2_t3tr3td2_56d724d8edc4d7.33565489_0"	"PISA_srp-SRB_SCI_S326-Milk_en18_MS2022.xlf"
"2331"	"select"	"Izaberi"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2656"	"Incandescent"	"Sijalica sa užarenim vlaknom"	"stimulus_1_stimuluslb1label_51940c102e5782.07661572_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"863"	"lower"	"niže"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_srp-SRB_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2412"	"Low"	"Nizak"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1779"	"Refer to &quot;Whales and Shipping Noise&quot; on the right. Click on a choice to answer the question."	"Koristi informacije iz teksta „Kitovi i buka s brodova” sa desne strane. Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora."	"S626_question3_question3_1_515e3a726a9369.79882370_0"	"PISA_srp-SRB_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2417"	"Low"	"Nizak"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2466"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Naftne mrlje &lt;/b&gt;&lt;br /&gt; Pitanje"	"S638_question3_qitemTitle3_51804fe18524e4.56349804_0"	"PISA_srp-SRB_SCI_S638-OilSpills_en15_MS2022.xlf"
"2072"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Zaraženi:&lt;/b&gt; Osobe u ovom stanju boluju od bolesti i mogu zaraziti druge."	"question000_1_t1tr2td2_5193fde5991bb9.29730595_0"	"PISA_srp-SRB_SCI_S634-Vaccination_en15_MS2022.xlf"
"560"	"&lt;b&gt;Forest Fires&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Šumski požari&lt;/b&gt;&lt;br /&gt; Pitanje"	"S466_question2_itemTitle2_56d724d9df3f10.40788390_0"	"PISA_srp-SRB_SCI_S466-ForestFires_en18_MS2022.xlf"
