"Segment"	"en-ZZ"	"de-CH"	"ID"	"File"
"936"	"lower"	"tiefer"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_deu-CHE_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"266"	"High"	"hoch"	"S413_question3_q3t3tr5td2_50ec41865fda82.32542867_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2739"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Kohlendioxid in der Erdatmosphäre&lt;/b&gt;&lt;br /&gt; Frage"	"S645_question5_itemTitle5_5180507a837bb1.50024156_0"	"PISA_deu-CHE_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"253"	"Resistance to UV-radiation"	"Beständigkeit gegenüber UV- Strahlung"	"S413_question3_q3t2tr5td1_50ec41865fa552.33325037_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2783"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Mit dieser Simulation kannst du die Ergebnisse einer Reaktion von Substanz A mit Substanz B beobachten. Du wirst untersuchen, wie die Volumen der zwei Substanzen sich sowohl auf die Grösse der erzeugten Partikel als auch auf die Reaktionszeit auswirken."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_deu-CHE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"82"	"Fats"	"Fett"	"S326_stimulus2_t2tr2td1_50ec494e970286.74695649_0"	"PISA_deu-CHE_SCI_S326-Milk_en15_MS2022.xlf"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Genesen/Geimpft:&lt;/b&gt; Personen in diesem Zustand hatten entweder die Krankheit und wurden wieder gesund oder sie wurden zur Vorbeugung geimpft. In der Simulation können diese Personen die Krankheit nicht bekommen."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_deu-CHE_SCI_S634-Vaccination_en15_MS2022.xlf"
"87"	"Fats"	"Fett"	"S326_stimulus2_t3tr2td1_50ec494e9718c3.62231470_0"	"PISA_deu-CHE_SCI_S326-Milk_en15_MS2022.xlf"
"2451"	"Low"	"gering"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"83"	"Proteins"	"Eiweiss"	"S326_stimulus2_t2tr2td2_50ec494e970544.97871345_0"	"PISA_deu-CHE_SCI_S326-Milk_en15_MS2022.xlf"
"256"	"Low"	"gering"	"S413_question3_q3t2tr6td2_50ec41865fb005.50410796_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2456"	"Low"	"gering"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2723"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Kohlendioxid in der Erdatmosphäre&lt;/b&gt;&lt;br /&gt; Frage"	"S645_question3_itemTitle3_5180507a8047c6.16315276_0"	"PISA_deu-CHE_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"242"	"Resistance to UV-radiation"	"Beständigkeit gegenüber UV- Strahlung"	"S413_question3_q3t1tr5td1_50ec41865f7182.49771947_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"252"	"High"	"hoch"	"S413_question3_q3t2tr4td2_50ec41865f9b63.60123450_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"In dieser Simulation kannst du sehen, wie unterschiedliche Arten von Lampen mit unterschiedlicher Leistung funktionieren. Der Lampentester zeigt die Lichtmenge (gemessen in Lumen) sowie die Effizienz der Lampe (gemessen in Lumen pro Watt)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_deu-CHE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"250"	"High"	"hoch"	"S413_question3_q3t2tr3td2_50ec41865f9411.30033486_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1619"	"Medium"	"Mässig"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_deu-CHE_SCI_S615-Tsunami_en15_MS2022.xlf"
"2343"	"select"	"wähle"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"Die Schaltfläche „Start&quot;, um die Ergebnisse anzuzeigen."	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_deu-CHE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"262"	"High"	"hoch"	"S413_question3_q3t3tr3td2_50ec41865fc7e8.60520498_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakterien"	"S478_question1_question1_3_50ed1cd5638e48.19114601_0"	"PISA_deu-CHE_SCI_S478-Antibiotics_en15_MS2022.xlf"
"88"	"Proteins"	"Eiweiss"	"S326_stimulus2_t3tr2td2_50ec494e971b94.41789424_0"	"PISA_deu-CHE_SCI_S326-Milk_en15_MS2022.xlf"
"2453"	"High"	"gross"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"254"	"High"	"hoch"	"S413_question3_q3t2tr5td2_50ec41865fa883.03685800_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2450"	"None"	"keine"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1310"	"stay the same"	"gleich bleiben wird"	"S607_question3_S607Q03SELECT23_5174071346abe7.58595054_0"	"PISA_deu-CHE_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"976"	"Rural"	"Ländlich"	"S602_stimulus2_le3_515e3a71f29bc9.05626063_0"	"PISA_deu-CHE_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2246"	"High"	"gross"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"243"	"Low"	"gering"	"S413_question3_q3t1tr5td2_50ec41865f7447.76314678_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2374"	"select"	"wähle"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2244"	"Low"	"gering"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"264"	"Low"	"gering"	"S413_question3_q3t3tr4td2_50ec41865fd1e4.97486556_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2339"	"select"	"wähle"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"736"	"Yes"	"JA"	"S498_question3_question3_1_50ec5c4d409fa7.76549599_0"	"PISA_deu-CHE_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"1066"	"Elephants and Acacia Trees"	"Elefanten und Akazienbäume"	"S603_stimulus1_title1_515e3a720f0d05.94739019_0"	"PISA_deu-CHE_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2243"	"None"	"keine"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2734"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Kohlendioxid in der Erdatmosphäre&lt;/b&gt;&lt;br /&gt; Frage"	"S645_question4_itemTitle4_5180507a81f077.18602071_0"	"PISA_deu-CHE_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
