"Segment"	"en-ZZ"	"ar-IL"	"ID"	"File"
"2873"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;كليف بالاس&lt;/b&gt;&lt;br /&gt;"	"R550_question07_q07itemTitle_56fc785ce9a365.24704799_0_0"	"PISA_ara-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2404"	"The Red Shadow"	"&lt;div align=&quot;right&quot;&gt;الظلّ الأحمر&lt;/div&gt;"	"R547_question10_question10_16_56fc782e152231.29042580_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"5543"	"False"	"خاطئة"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3164"	"Forum"	"المنتدى"	"page1-stimulus_pg01-li-02_56fc784a57dd55.34619899_0"	"PISA_ara-ISR_REA_R553-HealthForum_en18_MS2022.xlf"
"2423"	"Land of Milk and Honey"	"&lt;div align=&quot;right&quot;&gt;أرض الحليب والعسل&lt;/div&gt;"	"R547_question10_question10_28_56fc782e157a54.70752015_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"3130"	"Alice's Tips"	"نصائح من أليسيا"	"js_translation_tipsLinkTitle_56fd79426baef0.22791933_0"	"PISA_ara-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"1545"	"Tutors for All"	"دروس خصوصيّة للجميع"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1433"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"Q01R542_question_Convp3_56fc782106aec1.50636830_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2930"	"&lt;b&gt;Sent:&lt;/b&gt; 22 March 2015"	"&lt;b&gt;أُرسل في: &lt;/b&gt;22 آذار 2015"	"pg1_stimulus_pg1-li3-3_56fd7942572183.74944699_0"	"PISA_ara-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"&lt;i&gt;استعينوا بالبحث في الإنترنت الموجود على يسار الشاشة."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2417"	"Start Your Own Internet Business"	"&lt;div align=&quot;right&quot;&gt;كيف تَبْني مشروعك التجاريّ على الإنترنت&lt;/div&gt;"	"R547_question10_question10_24_56fc782e1558b7.11086510_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"6054"	"&lt;b&gt;The Favour&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;صُنع المعروف&lt;/b&gt;&lt;br /&gt;"	"R570_question08_q08itemTitle_56fc787985f380.38996213_0_0"	"PISA_ara-ISR_REA_R570-TheFavour_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ثمّ اضغطوا على سهم&quot;التالي&quot;.&lt;/i&gt;"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_ara-ISR_REA_R553-HealthForum_en18_MS2022.xlf"
"1957"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"اضغطوا على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; بالنّسبة لكّل ادّعاء."	"R544_question4_question4_1_56fc78217b0235.67596425_1_0"	"PISA_ara-ISR_REA_R544-Tesla_en18_MS2022.xlf"
"4482"	"About Us"	"مَن نحنُ"	"R563-stimulus-news_stimulus_news_5_56fc786b3a5726.69858954_0"	"PISA_ara-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5577"	"Refer to the Web Search on the right."	"&lt;i&gt;استعينوا بالبحث في الإنترنت الموجود على يسار الشاشة."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات ثم اكتبوا تفسيرًا.&lt;/i&gt;"	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5757"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; حملة التنظيف&lt;/b&gt;&lt;br /&gt;"	"q1R569_question_q01itemTitle_56fc78794dbd99.59291015_0_0"	"PISA_ara-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"5790"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; حملة التنظيف&lt;/b&gt;&lt;br /&gt;"	"q3R569_question_q03itemTitle_56fc7879509845.44676045_0_0"	"PISA_ara-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"1471"	"Don’t remind me!"	"لا تذكّرني!"	"Q02R542_question_Convp5_56fc782107f8c6.37776799_1_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2618"	"No"	"&lt;div align=&quot;right&quot;&gt;لا&lt;/div&gt;"	"R549_question09_q09tr1th3_56fc786ad75711.83888803_0"	"PISA_ara-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1464"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"Q02R542_question_Convp3_56fc782107f394.57451295_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1470"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"Q02R542_question_Convp5_56fc782107f8c6.37776799_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2801"	"Autumn"	"الخريف"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_ara-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"&lt;i&gt;استعينوا بالبحث في الإنترنت الموجود على يسار الشاشة."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_ara-ISR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"&lt;i&gt;استعينوا بالبحث في الإنترنت الموجود على يسار الشاشة."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; مقابل شروة بمبلغ يتراوح ما بين 600 و 1,499 شيكل، كل شيء للمكاتب يعيد إليك &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; شيكل.&lt;br /&gt; &gt; مقابل شروة بمبلغ يتراوح ما بين 1,500 و 2,999 شيكل، كل شيء للمكاتب يعيد إليك 500 شيكل.&lt;br /&gt; &gt; مقابل شروة بمبلغ 3,000 شيكل فما فوق، كل شيء للمكاتب يعيد إليك 1,000 شيكل.&lt;br /&gt;"	"R466_stimulus_line5_50c7c90c20d944.51224692_0"	"PISA_ara-ISR_REA_R466-WorkRight_en15_MS2022.xlf"
"1630"	"Read the information below."	"&lt;i&gt;اقرؤوا المعلومات أدناه،"	"question0b_1_itemDirections00_56fc7821309e26.00768085_0_0"	"PISA_ara-ISR_REA_R543-Nobel_en18_MS2022.xlf"
"1562"	"Thursday"	"الأربعاء"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"301"	"T"	"الأربعاء"	"R219_stimulus_stimulus_7_50c7b7390df787.18633173_0"	"PISA_ara-ISR_REA_R219-Employment_en15_MS2022.xlf"
"2392"	"My Travels to Peru"	"&lt;div align=&quot;right&quot;&gt;رحلاتي إلى البيرو&lt;/div&gt;"	"R547_question10_question10_8_56fc782e14ee91.27889384_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"5804"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; حملة التنظيف&lt;/b&gt;&lt;br /&gt;"	"q4R569_question_q04itemTitle_56fc787951e5f1.30552462_0_0"	"PISA_ara-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"4377"	"About Us"	"مَن نحنُ"	"R563-stimulus-culture_stimulus_culture_5_56fc786b3355c9.89235823_0"	"PISA_ara-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بكلا المَرْجعَيْن الموجودَيْن على يسار الشاشة مِن خلال الضغط على كلّ واحد من التبويبَيْن."	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_ara-ISR_REA_R544-Tesla_en18_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"&lt;i&gt;اقرؤوا المعلومات التالية،"	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_ara-ISR_REA_R590-Sentences01_en18_MS2022.xlf"
"1533"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"Q08R542_question_Conv2p5_56fc7821103d81.28007017_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4729"	"Refer to “Portrait of a Photographer” on the right."	"&lt;i&gt;استعينوا بالمعلومات الواردة في النصّ &quot;لوحة شخصيّة عن المصوّر&quot; الموجود على يسار الشاشة."	"R564_question05_q05itemDirections_56fc783b60b828.68348774_0_0"	"PISA_ara-ISR_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
