"Segment"	"en-ZZ"	"hu-HU"	"ID"	"File"
"4538"	"The information will display in the table."	"Az adatok a táblázatban jelennek meg."	"MA153_questionS3_MA153S3OL1Li3_5c9d2137481759.73524198_1_0"	"PISA_hun-HUN_MAT_MA153-Gears_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével írd be a válaszod!"	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_hun-HUN_MAT_MA141-WaterBill_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Kattints mindegyik állításnál az  &lt;b&gt;Igaz&lt;/b&gt; vagy a  &lt;b&gt;Hamis&lt;/b&gt; válaszra!"	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_hun-HUN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"A kalkulátor használatához kövesd a következő lépéseket:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_hun-HUN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"A kalkulátor használatához kövesd a következő lépéseket:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_hun-HUN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2459"	"mg"	"mg-ig"	"MA128q02_question_question02_13_5c9d21372a79d4.15572906_0"	"PISA_hun-HUN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4578"	"A"	"T"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_hun-HUN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Kattints mindegyik állításnál az &lt;b&gt;Igen&lt;/b&gt; vagy a &lt;b&gt;Nem&lt;/b&gt; gombra!"	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_hun-HUN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3981"	"Litres"	"Liter"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_hun-HUN_MAT_MA146-Fuel_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével gépeld be a válaszod!"	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_hun-HUN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1048"	"65+"	"66+"	"MA113S02_stimulus_T02tr3td7_5c9d214a6674b1.26334003_0"	"PISA_hun-HUN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_hun-HUN_MAT_MA144-Yogurt_en21_MS2022.xlf"
"990"	"65+"	"66+"	"MA113S02_stimulus_tr3td7_5c9d214a662766.11417679_0"	"PISA_hun-HUN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_hun-HUN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4598"	"A"	"T"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_hun-HUN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"jA kérdés megválaszolásához válassz a legördülő menükből!"	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_hun-HUN_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Jelölj meg &lt;b&gt;egy vagy több&lt;/b&gt; négyzetet!"	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_hun-HUN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"A kérdés megválaszolásához válassz a legördülő menükből!"	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_hun-HUN_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4581"	"A"	"T"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_hun-HUN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével gépeld be a válaszod!"	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_hun-HUN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Kattints az egyik válaszlehetőségre és gépeld be az indoklásodat!"	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_hun-HUN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5075"	"Statement"	"Kérdés"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_hun-HUN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével gépeld be a válaszod!"	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_hun-HUN_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Kattints mindegyik állításnál az &lt;b&gt;Igen&lt;/b&gt; vagy a &lt;b&gt;Nem&lt;/b&gt; gombra!"	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_hun-HUN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"A kérdés megválaszolásához kattints két négyzetre!"	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_hun-HUN_MAT_MA137-FootballTournament_en21_MS2022.xlf"
