"Segment"	"en-ZZ"	"tr-TR"	"ID"	"File"
"5578"	"Click on a search result to answer the question."	"Soruyu cevaplamak için araştırma sonucuna tıklayınız."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"313"	"PHONE"	"TELEFONU"	"R219_stimulus_sect3Line2span3_50c7b8105ae8a3.03863183_0"	"PISA_tur-TUR_REA_R219-Employment_en15_MS2022.xlf"
"5244"	"Type your answer to the question."	"Sorunun cevabını yazınız"	"R567_question03_q03itemDirections_56fc78790e6414.00199794_1_0"	"PISA_tur-TUR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2292"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Kitap Anketi&lt;/b&gt;&lt;br /&gt;"	"R547_question01_itemTitle_56fc782e09fa97.18259824_0_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"4033"	"Chat 1"	"1.Sohbet"	"R561_stimulus2_base_stimulus2_4_56fc785d1fbf36.42727177_0"	"PISA_tur-TUR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4944"	"Website"	"İnternet Sitesi"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_tur-TUR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3475"	"Type your answer to the question.&lt;/i&gt;"	"Sorunun cevabını yazınız.&lt;/i&gt;"	"R556_question7_itemDirections_56fc783ad9edc5.41424598_1_0"	"PISA_tur-TUR_REA_R556-Microlending_en18_MS2022.xlf"
"1444"	"Didn’t you tell me you were going to join?"	"Sen bana katılacağını söylememiş miydin?"	"Q01R542_question_Convp6_56fc782106b821.03976464_2_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1687"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R543_question3_itemDirections_56fc78213692b4.63556835_1_0"	"PISA_tur-TUR_REA_R543-Nobel_en18_MS2022.xlf"
"2328"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Kitap Anketi&lt;/b&gt;&lt;br /&gt;"	"R547_question7_itemTitle_56fc782e0f7710.10056702_0_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1993"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız ve sonra bir açıklama yazınız. &lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"1514"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;İlan Panosu&lt;/b&gt;&lt;br /&gt;"	"Q06R542_question_Q06itemTitle_56fc78210ed136.42863307_0_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1842"	"&lt;i&gt;Read the introduction."	"Girişi okuyunuz."	"question0a_1_itemDirections00_56fc782164e353.11298372_0_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"3708"	"Click on a search result to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için arama sonucuna tıklayınız."	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_tur-TUR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4853"	"Type your answer to the question.&lt;/i&gt;"	"Sorunun cevabını yazınız.&lt;/i&gt;"	"R565_question4_itemDirections_56fc785d5db7c6.75871172_1_0"	"PISA_tur-TUR_REA_R565-SittingDisease_en18_MS2022.xlf"
"3425"	"&lt;i&gt;Refer to “What is Microlending?” on the right."	"&lt;i&gt;Sağdaki “Mikrofinans Nedir?”den yararlanınız."	"R556_question3_itemDirections_56fc783ac55ff8.32442383_0_0"	"PISA_tur-TUR_REA_R556-Microlending_en18_MS2022.xlf"
"3674"	"Type your answer to the question.&lt;/i&gt;"	"Sorunun cevabını yazınız.&lt;/i&gt;"	"R558_question4_itemDirections_56fc786b0c9040.22539487_1_0"	"PISA_tur-TUR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3403"	"&lt;i&gt;Refer to “What is Microlending?” on the right."	"&lt;i&gt;Sağdaki “Mikrofinans Nedir?”den yararlanınız."	"R556_question2_itemDirections_56fc783ac2dd82.36710021_0_0"	"PISA_tur-TUR_REA_R556-Microlending_en18_MS2022.xlf"
"4457"	"Date"	"Tarih"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_tur-TUR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Her bir etkinlik için &lt;b&gt;Evet&lt;/b&gt; ya da &lt;b&gt;Hayır&lt;/b&gt; seçeneklerinden birine tıklayınız."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_tur-TUR_REA_R570-TheFavour_en18_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Soruyu cevaplamak için arama sonucuna tıklayınız."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2250"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Kitap Anketi&lt;/b&gt;&lt;br /&gt;"	"R547_question01_itemTitle_56fc782e045468.77144273_0_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1466"	"Maybe I will be sick."	"İnşallah  hasta olurum."	"Q02R542_question_Convp3_56fc782107f394.57451295_2_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2356"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Kitap Anketi&lt;/b&gt;&lt;br /&gt;"	"R547_question9_itemTitle_56fc782e1235b3.18384103_0_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1977"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R544_question5_itemDirections_56fc78217cc282.26999608_1_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"1477"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"Evet öyle bir planım var ama ben özel ders ilanıyla daha çok ilgileniyorum..."	"Q02R542_question_Convp7_56fc782107fe14.69518872_1_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Broşüre göre bu ifadeler doğru mu, yanlış mıdır?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_tur-TUR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4769"	"AS A REMINDER TO TAKE  AN HOURLY BREAK"	"bilgisayarda çalışırken alarm kur."	"Page2_stimulus_pg2p4_56fc785d53c5f9.05246554_0"	"PISA_tur-TUR_REA_R565-SittingDisease_en18_MS2022.xlf"
"5960"	"Refer to the text messages on the right."	"Sağdaki kısa mesajlardan yararlanınız."	"R570_question02_q02itemDirections_56fc787978f2e5.90111872_0_0"	"PISA_tur-TUR_REA_R570-TheFavour_en18_MS2022.xlf"
"3217"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Aşağıdaki bilgileri okuyunuz."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_tur-TUR_REA_R553-HealthForum_en18_MS2022.xlf"
"2268"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R547_question2_itemDirections_56fc782e072020.06902189_1_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız ve sonra bir açıklama yazınız. &lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"Her bir sekmeye tıklayarak sağdaki iki kaynaktan da yararlanınız."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2003"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Sağdaki “Geleceğin Adamı&quot;ndan yararlanınız."	"R544_question8_itemDirections_56fc7821801f42.81584931_0_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"4162"	"Click on the choices in the table to answer the question."	"Soruyu cevaplamak için seçeneklerden birine tıklayınız."	"R561_question04_q04itemDirections_56fc785d2bb824.31060928_1_0"	"PISA_tur-TUR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4942"	"Website"	"İnternet Sitesi"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_tur-TUR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3538"	"Type your answer to the question.&lt;/i&gt;"	"Sorunun cevabını yazınız.&lt;/i&gt;"	"R556_question11_itemDirections_56fc783ae151e7.17163175_1_0"	"PISA_tur-TUR_REA_R556-Microlending_en18_MS2022.xlf"
"304"	"S"	"P"	"R219_stimulus_stimulus_10_50c7b8105a7745.06924642_0"	"PISA_tur-TUR_REA_R219-Employment_en15_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"Her bir sekmeye tıklayarak sağdaki iki kaynaktan da yararlanınız."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5441"	"Web Search"	"İnternet Araması"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5431"	"Web Search"	"İnternet Araması"	"R568_stimulus1_pg01h1_56fc784a9d2fe7.94994728_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1435"	"Maybe I will be sick."	"İnşallah  hasta olurum."	"Q01R542_question_Convp3_56fc782106aec1.50636830_2_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"491"	"Amundsen, the Norwegian"	"bir Norveçli olan Amundsen"	"R220_stimulus_li2_50c7c0da6606b6.26098111_0"	"PISA_tur-TUR_REA_R220-SouthPole_en15_MS2022.xlf"
"5373"	"Read the Introduction."	"Giriş bölümünü okuyunuz."	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_0_0"	"PISA_tur-TUR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1550"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;İlan Panosu&lt;/b&gt;&lt;br /&gt;"	"Q09R542_question_Q09itemTitle_56fc7821123080.43208233_0_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"301"	"T"	"P"	"R219_stimulus_stimulus_7_50c7b8105a6ba2.07608217_0"	"PISA_tur-TUR_REA_R219-Employment_en15_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Her bir sekmeye tıklayarak sağdaki iki kaynaktan da yararlanınız."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_tur-TUR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2013"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R544_question9_itemDirections_56fc782181a288.51990939_1_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"320"	"LOCATION"	"YER"	"R219_stimulus_sect4Line2span2_50c7b8105b14d6.11724222_0"	"PISA_tur-TUR_REA_R219-Employment_en15_MS2022.xlf"
"5173"	"What is a Smokejumper?"	"Paraşütlü İtfaiyeci Nedir?"	"pg1_stimulus_wpTitle-pg1_56fc78790948e6.11608844_0"	"PISA_tur-TUR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Aşağıdaki bilgileri okuyunuz."	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_tur-TUR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1941"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R544_question_itemDirections_56fc7821795366.48145010_1_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"4832"	"Type your answer to the question.&lt;/i&gt;"	"Sorunun cevabını yazınız.&lt;/i&gt;"	"R565_question2_itemDirections_56fc785d5accf1.97912779_1_0"	"PISA_tur-TUR_REA_R565-SittingDisease_en18_MS2022.xlf"
"1481"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;İlan Panosu&lt;/b&gt;&lt;br /&gt;"	"Q03R542_question_Q03itemTitle_56fc7821094da6.50117016_0_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5640"	"Do you have any idea how much space debris is already in orbit?”"	"Yörüngede hâlen ne kadar uzay çöpü olduğundan haberiniz var mı?' diye endişesini dile getirdi."	"R568_question09_q09p1_56fc784aaf54f2.48102179_2_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4916"	"Type your answer to the question.&lt;/i&gt;"	"Sorunun cevabını yazınız.&lt;/i&gt;"	"R565_question9_itemDirections_56fc785d64abb5.53582901_1_0"	"PISA_tur-TUR_REA_R565-SittingDisease_en18_MS2022.xlf"
"5467"	"Image Credit: NASA"	"&lt;br/&gt;Görsel Kaynak: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Sonra İLERİ ok tuşuna tıklayınız. &lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_tur-TUR_REA_R556-Microlending_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Her bir ifade için ya &lt;b&gt;Evet&lt;/b&gt; ya da  &lt;b&gt;Hayır&lt;/b&gt; seçeneklerinden birine tıklayınız."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Sağdaki &quot;İnternet Araması&quot;ndan yararlanınız."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3468"	"Type your answer to the question.&lt;/i&gt;"	"Sorunun cevabını yazınız.&lt;/i&gt;"	"R556_question6_itemDirections_56fc783ad7eec4.09705116_1_0"	"PISA_tur-TUR_REA_R556-Microlending_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Sağdaki Web Araması'ndan yararlanınız."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_tur-TUR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Her bir sekmeye tıklayarak sağdaki iki kaynaktan da yararlanınız."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_tur-TUR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
