"Segment"	"en-ZZ"	"kk-KZ"	"ID"	"File"
"2426"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Сұраққа жауап беру үшін кемшіліктерді тінтуірдің көмегімен жылжытыңыз.&lt;/i&gt;"	"S638_question2_itemDirections2_56f9ce167fd159.06185330_0"	"PISA_kaz-KAZ_SCI_S638-OilSpills_en18_MS2022.xlf"
"1055"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt; &lt;b&gt;Бір немесе бірнеше&lt;/b&gt; жауапты таңдауды ұмытпаңыз.&lt;/i&gt;"	"S604_question3_q3p2_56f9ce15cf1e75.23010892_0"	"PISA_kaz-KAZ_SCI_S604-WaterFromFog_en18_MS2022.xlf"
"2323"	"High"	"Жоғары"	"js_translation_high_56f9ce1673a183.00033910_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1947"	"Yes"	"Ия"	"S629_question2_Q1_tr1th2_56f9ce163e4f02.83502449_0"	"PISA_kaz-KAZ_SCI_S629-SolarCooker_en18_MS2022.xlf"
"2194"	"High"	"Жоғары"	"stimulus2_1_stimulus2_38_56f9ce16668943.49712174_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2198"	"Medium"	"Орташа"	"stimulus2_1_stimulus2_45_56f9ce16669c70.41899028_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2197"	"Low"	"Төмен"	"stimulus2_1_stimulus2_44_56f9ce166699d2.06386417_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2264"	"select"	"таңдаңыз"	"question5_1_o5_0_56f9ce166e3af9.74987360_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2193"	"Medium"	"Орташа"	"stimulus2_1_stimulus2_37_56f9ce166686b3.20376857_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2322"	"Medium"	"Орташа"	"js_translation_medium_56f9ce16739de8.34544565_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2530"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then select data in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Төмендегі ақпаратқа негізделген деректер жинау үшін симуляцияны орындаңыз. Сұраққа жауап беру үшін таңдаған жауабыңыздың үстінен тінтуірмен басып, кестеден деректі таңдаңыз.&lt;/i&gt;"	"question5_1_itemDirections05_56fd8ed92bef83.65603185_0"	"PISA_kaz-KAZ_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2517"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Төмендегі ақпаратқа негізделген деректер жинау үшін симуляцияны орындаңыз. Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз.&lt;/i&gt;"	"question4_1_itemDirections04_56fd8ed92a9a21.01377659_0"	"PISA_kaz-KAZ_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2149"	"To run this simulation, you can use the following controls:"	"Осы симуляцияны орындау үшін келесі басқару құралдарын пайдалана аласыз:"	"menu_1_aMenuP3_56f9ce166216f7.62701289_0"	"PISA_kaz-KAZ_SCI_S634-Vaccination_en18_MS2022.xlf"
"2381"	"To run this simulation, you can use the following controls:"	"Осы симуляцияны орындау үшін келесі басқару құралдарын пайдалана аласыз:"	"menu_1_menuP2_56f9ce1676cb67.08951569_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2237"	"select"	"таңдаңыз"	"question3_1_o3b_0_56f9ce166ae069.51490181_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2912"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Сұраққа жауап беру үшін суртеттерді тінтуірдің көмегімен жылжытыңыз.&lt;/i&gt;"	"S657_question1_itemDirections1_56f9ce16b74424.88807059_0"	"PISA_kaz-KAZ_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"962"	"Species B branches with &lt;u&gt;no&lt;/u&gt; ants"	"Құмырсқалары &lt;u&gt;жоқ&lt;/u&gt; бұтақтардың Б түрі"	"S603_question2_nested21_56f9ce15c4ad34.96723650_0"	"PISA_kaz-KAZ_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2321"	"Low"	"Төмен"	"js_translation_low_56f9ce16739ab6.87831928_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2573"	"To run this simulation, you can use the following controls:"	"Осы симуляцияны орындау үшін келесі басқару құралдарын пайдалана аласыз:"	"menu_1_menuP2_56fd8ed9302e42.75991188_0"	"PISA_kaz-KAZ_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2134"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ &lt;b&gt;Бір немесе бірнеше&lt;/b&gt; жауапты таңдауды ұмытпаңыз."	"CS634_Q05_p52_56f9ce165e2297.87159502_0"	"PISA_kaz-KAZ_SCI_S634-Vaccination_en18_MS2022.xlf"
"2477"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Сұраққа өз жауабыңызды теріп жазыңыз&lt;/i&gt;"	"S638_question5_itemDirections5_56f9ce16840557.63927843_0"	"PISA_kaz-KAZ_SCI_S638-OilSpills_en18_MS2022.xlf"
"2268"	"select"	"таңдаңыз"	"question5_1_o5b_0_56f9ce166e4685.90770887_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2460"	"Yes"	"Иə"	"S638_question4_Q4_tr1th2_56f9ce1682b355.74365753_0"	"PISA_kaz-KAZ_SCI_S638-OilSpills_en18_MS2022.xlf"
"2045"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Төмендегі ақпаратқа негізделген деректер жинау үшін симуляцияны орындаңыз. Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз.&lt;/i&gt;"	"question1_1_itemDirections01_56f9ce16578975.14109978_0"	"PISA_kaz-KAZ_SCI_S634-Vaccination_en18_MS2022.xlf"
"797"	"&lt;i&gt;Refer to &quot;Extinction of the Dinosaurs&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Динозаврлардың құрып бітуі» қараңыз. Сұраққа жауап беру үшін кестедегі жауаптарды тінтуірмен басыңыз.&lt;/i&gt;"	"S527_question3_itemDirections3_56cee1d42f4ca6.60148111_0"	"PISA_kaz-KAZ_SCI_S527-ExtinctionOfTheDinosaurs_en18_MS2022.xlf"
