"Segment"	"en-ZZ"	"lv-LV"	"ID"	"File"
"3270"	"Products made from honey"	"No medus gatavoti produkti."	"R553_question4_question04_4_56fc784a600149.50110116_1_0"	"PISA_lav-LVA_REA_R553-HealthForum_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Aizvelc atbildi pie jautājuma."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_lav-LVA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Autostāvvietā"	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_lav-LVA_REA_R569-TheCleanup_en18_MS2022.xlf"
"3387"	"Click on a choice to answer the question.&lt;/i&gt;"	"Noklikšķini uz atbildes varianta, lai atbildētu uz jautājumu. &lt;/i&gt;"	"R556_question1_itemDirections_56fc783ac17050.91870088_1_0"	"PISA_lav-LVA_REA_R556-Microlending_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Noklikšķini uz atbildes varianta, un tad uzraksti skaidrojumu, lai atbildētu uz jautājumu."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_lav-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1848"	"Click on the NEXT arrow to read the first source."	"Noklikšķini uz bultiņas, lai izlasītu pirmo informācijas avotu."	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_lav-LVA_REA_R544-Tesla_en18_MS2022.xlf"
"4457"	"Date"	"Datums"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_lav-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4029"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_1_0"	"PISA_lav-LVA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2250"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grāmatu aptauja&lt;/b&gt;&lt;br /&gt;"	"R547_question01_itemTitle_56fc782e045468.77144273_0_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"2523"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Vēstule pudelē &lt;/b&gt;&lt;br /&gt;"	"R549_question03_q03itemTitle_56fc786ace3733.75472591_0_0"	"PISA_lav-LVA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4730"	"Type your answer to the question."	"Uzraksti atbildi uz jautājumu."	"R564_question05_q05itemDirections_56fc783b60b828.68348774_1_0"	"PISA_lav-LVA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4738"	"Type your answer to the question."	"Uzraksti atbildi uz jautājumu."	"R564_question06_q06itemDirections_56fc783b61d750.86234618_1_0"	"PISA_lav-LVA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2758"	"Hours"	"&lt;b&gt;Darba laiks&lt;/b&gt;"	"R550_map_map_l7_56fc785cd19538.42274869_0"	"PISA_lav-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"2264"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; Grāmatu aptauja&lt;/b&gt;&lt;br /&gt;"	"R547_question2_itemTitle_56fc782e071323.16058035_0_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"1701"	"Type your answer to the question.&lt;/i&gt;"	"Uzraksti savu atbildi uz jautājumu. &lt;/i&gt;"	"R543_question4_itemDirections_56fc7821381578.06834284_1_0"	"PISA_lav-LVA_REA_R543-Nobel_en18_MS2022.xlf"
"358"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;DIENVIDPOLS&lt;/b&gt;&lt;br /&gt; jautājums"	"R220_question_itemTitle_50d3746bc80de3.34465355_0"	"PISA_lav-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Noklikšķini uz atbildes varianta, un tad uzraksti skaidrojumu, lai atbildētu uz jautājumu."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_lav-LVA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Noklikšķini uz bultiņas, lai izlasītu pasaciņu."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_lav-LVA_REA_R570-TheFavour_en18_MS2022.xlf"
"371"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;DIENVIDPOLS&lt;/b&gt;&lt;br /&gt; jautājums"	"R220_question_itemTitle_50d3746bc9b523.73147292_0"	"PISA_lav-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"5637"	"Type your answer to the question."	"Uzraksti atbildi uz jautājumu."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_lav-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5386"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_1_0"	"PISA_lav-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2004"	"Type your answer to the question.&lt;/i&gt;"	"Uzraksti atbildi uz jautājumu.&lt;/i&gt;"	"R544_question8_itemDirections_56fc7821801f42.81584931_1_0"	"PISA_lav-LVA_REA_R544-Tesla_en18_MS2022.xlf"
"3440"	"Click on a choice to answer the question.&lt;/i&gt;"	"Noklikšķini uz atbildes varianta, lai atbildētu uz jautājumu. &lt;/i&gt;"	"R556_question4_itemDirections_56fc783ac6fbe2.90493965_1_0"	"PISA_lav-LVA_REA_R556-Microlending_en18_MS2022.xlf"
"6148"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_1_0"	"PISA_lav-LVA_REA_R590-Sentences01_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Aizvelc atbildi pie jautājuma."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_lav-LVA_REA_R569-TheCleanup_en18_MS2022.xlf"
"6159"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_1_0"	"PISA_lav-LVA_REA_R590-Sentences01_en18_MS2022.xlf"
"5013"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_1_0"	"PISA_lav-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4664"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00body_q00itemDirections_56fc783b5aea95.72363860_1_0"	"PISA_lav-LVA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2122"	"&lt;b&gt;Machu Picchu&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Maču Pikču&lt;/b&gt;&lt;br /&gt;"	"R545_question02_Q06itemTitle_56fc7821b05023.45904023_0_0"	"PISA_lav-LVA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2374"	"Each nominated book must cost less than 25 zeds"	"Katras nominētās grāmatas cena nedrīkst pārsniegt 25 zedus."	"R547_question10_q10l1i4_56fc782e14a4a6.26695589_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"4920"	"Web Search"	"Meklējumi internetā"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_lav-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Noklikšķini uz &lt;b&gt;Jā&lt;/b&gt; vai &lt;b&gt;Nē&lt;/b&gt;  pie katra apgalvojuma."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_lav-LVA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5312"	"True"	"Pareizs"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_lav-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1955"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Noklikšķini uz atbilžu variantiem tabulā, lai atbildētu uz jautājumu.&lt;/i&gt;"	"R544_question4_itemDirections_56fc78217afe38.91956313_1_0"	"PISA_lav-LVA_REA_R544-Tesla_en18_MS2022.xlf"
"5824"	"Benches"	"Uz soliem"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_lav-LVA_REA_R569-TheCleanup_en18_MS2022.xlf"
"2013"	"Click on a choice to answer the question.&lt;/i&gt;"	"Izvēlies atbildi uz jautājumu un uzklikšķini uz tās.&lt;/i&gt;"	"R544_question9_itemDirections_56fc782181a288.51990939_1_0"	"PISA_lav-LVA_REA_R544-Tesla_en18_MS2022.xlf"
"4294"	"&lt;b&gt;Opening Night&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Pirmizrāde&lt;/b&gt;&lt;br /&gt;"	"R562_question02_q02itemTitle_56fc783b419537.95191742_0_0"	"PISA_lav-LVA_REA_R562-OpeningNight_en18_MS2022.xlf"
"5747"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_1_0"	"PISA_lav-LVA_REA_R569-TheCleanup_en18_MS2022.xlf"
"2930"	"&lt;b&gt;Sent:&lt;/b&gt; 22 March 2015"	"&lt;b&gt; Sūtīts:&lt;/b&gt;2015. gada 22. martā"	"pg1_stimulus_pg1-li3-3_56fd7942572183.74944699_0"	"PISA_lav-LVA_REA_R552-FestiRock_en18_MS2022.xlf"
"519"	"continuous&lt;br /&gt;daylight"	"nepārtraukta
dienas&lt;br /&gt;gaisma"	"R220_stimulus_label6_50d3746bd5dc64.67929071_0"	"PISA_lav-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"3680"	"Click on a choice to answer the question.&lt;/i&gt;"	"Noklikšķini uz atbildes varianta, lai atbildētu uz jautājumu. &lt;/i&gt;"	"R558_question5_itemDirections_56fc786b0dd1f3.21650180_1_0"	"PISA_lav-LVA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2631"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Vēstule pudelē &lt;/b&gt;&lt;br /&gt;"	"R549_question10_q10itemTitle_56fc786ad943c0.06569471_0_0"	"PISA_lav-LVA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2492"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_1_0"	"PISA_lav-LVA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5543"	"False"	"Nepareizs"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_lav-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4944"	"Website"	"Interneta vietne"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_lav-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"520"	"continuous&lt;br /&gt;daylight"	"nepārtraukta
dienas
&lt;br /&gt;gaisma"	"R220_stimulus_label7_50d3746bd5df70.27415238_0"	"PISA_lav-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"5374"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_1_0"	"PISA_lav-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4500"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_lav-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5313"	"False"	"Nepareizs"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_lav-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1708"	"Click on a choice to answer the question.&lt;/i&gt;"	"Noklikšķini uz atbildes varianta, lai atbildētu uz jautājumu. &lt;/i&gt;"	"R543_question5_itemDirections_56fc782139b537.51630220_1_0"	"PISA_lav-LVA_REA_R543-Nobel_en18_MS2022.xlf"
"3019"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_1_0"	"PISA_lav-LVA_REA_R552-FestiRock_en18_MS2022.xlf"
"2298"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; Grāmatu aptauja&lt;/b&gt;&lt;br /&gt;"	"R547_question5_itemTitle_56fc782e0b46d3.09014801_0_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"3745"	"Home Health Journal"	"Uz Veselīgas mājas žurnāla vietni"	"R558_question09_question09_2_56fc786b14f771.92248344_0"	"PISA_lav-LVA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4849"	"&lt;b&gt;Sitting Disease&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Sēdēšanas slimība &lt;/b&gt;&lt;br /&gt;"	"R565_question4_itemTitle_56fc785d5db070.97576174_0_0"	"PISA_lav-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"4810"	"Then click on the NEXT arrow.&lt;/i&gt;"	"tad uzklišķini uz bultiņas.&lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_lav-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"2278"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grāmatu aptauja&lt;/b&gt;&lt;br /&gt;"	"R547_question01_itemTitle_56fc782e08ac82.92618959_0_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Noklikšķini uz &lt;b&gt;Jā&lt;/b&gt; vai &lt;b&gt;Nē&lt;/b&gt; līdzās katram apgalvojumam."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_lav-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5924"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_1_0"	"PISA_lav-LVA_REA_R570-TheFavour_en18_MS2022.xlf"
"4856"	"&lt;b&gt;Sitting Disease&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Sēdēšanas slimība &lt;/b&gt;&lt;br /&gt;"	"R565_question5_itemTitle_56fc785d5ef020.15207260_0_0"	"PISA_lav-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"2378"	"Graphic Novel/ Comics&lt;br/&gt;28%"	"Ilustrētie romāni/komiksi &lt;br/&gt;28%"	"R547_question10_comicsLbl_56fc782e14b486.46787487_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"2802"	"Winter"	"Ziemā"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_lav-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"6171"	"Click &lt;b&gt;YES&lt;/b&gt; if the sentence makes sense."	"Noklikšķini uz &lt;b&gt;JĀ&lt;/b&gt;, ja teikums ir loģisks."	"q3R590_question_q3p1_56fd23111960a4.54446684_1_0"	"PISA_lav-LVA_REA_R590-Sentences01_en18_MS2022.xlf"
"513"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;DIENVIDPOLS &amp;mdash; 2. DOKUMENTS&lt;/b&gt;"	"R220_stimulus_title_50d3746bd5c949.09931296_0"	"PISA_lav-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"3251"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; Pusaudžu veselības forums&lt;/b&gt;&lt;br /&gt;"	"R553_question_q03itemTitle_56fc784a5eb650.18801947_0_0"	"PISA_lav-LVA_REA_R553-HealthForum_en18_MS2022.xlf"
"5927"	"&lt;b&gt;The Favour&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Lūgums&lt;/b&gt;&lt;br /&gt;"	"q00b-body_itemTitle00b_56fc787975ab49.86902513_0"	"PISA_lav-LVA_REA_R570-TheFavour_en18_MS2022.xlf"
"4021"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_1_0"	"PISA_lav-LVA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2328"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grāmatu aptauja&lt;/b&gt;&lt;br /&gt;"	"R547_question7_itemTitle_56fc782e0f7710.10056702_0_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"4814"	"&lt;b&gt;Sitting Disease&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Sēdēšanas slimība &lt;/b&gt;&lt;br /&gt;"	"R565_question01_itemTitle_56fc785d599e01.30040304_0_0"	"PISA_lav-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Vai saskaņā ar brošūru šis apgalvojums ir pareizs vai nepareizs?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_lav-LVA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1068"	"Between £60 and £149.99&lt;br /&gt;"	"No €60 līdz €149,99&lt;br /&gt;"	"R466_stimulus_sect3left_50d37b1d107ea2.30701857_0"	"PISA_lav-LVA_REA_R466-WorkRight_en15_MS2022.xlf"
"4310"	"&lt;b&gt;Opening Night&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Pirmizrāde&lt;/b&gt;&lt;br /&gt;"	"R562_question04_q04itemTitle_56fc783b43af26.64213643_0_0"	"PISA_lav-LVA_REA_R562-OpeningNight_en18_MS2022.xlf"
"2245"	"Then click on the Next arrow."	"tad noklikšķini uz bultiņas."	"q00bbody_question00b_1_56fc782e013a23.58004393_1_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Noklikšķini uz atbildes varianta, un tad uzraksti skaidrojumu, lai atbildētu uz jautājumu."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_lav-LVA_REA_R569-TheCleanup_en18_MS2022.xlf"
"2153"	"Refer to “Visit Majestic Machu Picchu” on the right."	"Izmanto informāciju &quot;Apmeklējiet majestātisko Maču Pikču&quot;, kas atrodas pa labi."	"R545_question04_Q09itemDirections_56fc7821b30c73.16221683_0_0"	"PISA_lav-LVA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"500"	"his disappointment"	"vīlies,"	"R220_stimulus_stimulusH_5_50d3746bd39ba9.85212876_0"	"PISA_lav-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"4750"	"Japan"	"Japānā"	"Page1_stimulus_stimulusTab1_2_56fc785d529ea3.01490218_0"	"PISA_lav-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"5123"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Neaizmirsti atzīmēt &lt;b&gt;vienu vai vairākus &lt;/b&gt;lodziņus.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_lav-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"567"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;DIENVIDPOLS &amp;mdash; 1. DOKUMENTS  &lt;/b&gt;"	"R220_stimulus_title_50d3746bd94eb6.58926019_0"	"PISA_lav-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"5246"	"Give one example."	"Mini vienu piemēru."	"R567_question03_q03p2_56fc78790e6a67.23961686_0"	"PISA_lav-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4740"	"And it was my privilege to listen.”&lt;/i&gt;"	"Un mana privilēģija bija klausīties.&quot;&lt;/i&gt;"	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_lav-LVA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2268"	"Click on a choice to answer the question.&lt;/i&gt;"	"Noklikšķini uz atbildes varianta, lai atbildētu uz jautājumu. &lt;/i&gt;"	"R547_question2_itemDirections_56fc782e072020.06902189_1_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"4106"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_lav-LVA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2097"	"Refer to “Visit Majestic Machu Picchu” on the right."	"Izmanto informāciju &quot;Apmeklējiet majestātisko Maču Pikču&quot;, kas atrodas pa labi."	"R545_question03_Q03itemDirections_56fc7821ad84c2.36903751_0_0"	"PISA_lav-LVA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Izvēlies atbildi uz jautājumu un uzklikšķini uz tās, tad rakstiski paskaidro savu atbildi.&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_lav-LVA_REA_R544-Tesla_en18_MS2022.xlf"
"5144"	"Web Search"	"Meklējumi internetā"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_lav-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3217"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Izlasi zemāk redzamo informāciju."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_lav-LVA_REA_R553-HealthForum_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Tad noklikšķini uz bultiņas.&lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_lav-LVA_REA_R556-Microlending_en18_MS2022.xlf"
"1889"	"Click on a choice to answer the question.&lt;/i&gt;"	"Izvēlies atbildi uz jautājumu un uzklikšķini uz tās. &lt;/i&gt;"	"R544_question11_itemDirections_56fc782169f054.65729882_1_0"	"PISA_lav-LVA_REA_R544-Tesla_en18_MS2022.xlf"
"5644"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_lav-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Izlasi zemāk redzamo informāciju,"	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_lav-LVA_REA_R590-Sentences01_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Uzklikšķini uz bultiņas un izlasi interneta vietni."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_lav-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
