"Segment"	"en-ZZ"	"sl-SI"	"ID"	"File"
"1567"	"5 stars"	"5 zvezdic"	"Page01_stimulus_S01tr2td1_5c9d214aee4117.90212647_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4578"	"A"	"O"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_slv-SVN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Pri vsaki trditvi klikni &lt;b&gt;&quot;Drži&quot;&lt;/b&gt; ali &lt;b&gt;&quot;Ne drži&quot;.&lt;/b&gt;"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_slv-SVN_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4401"	"40%"	"40 %"	"q2MA151_question_question02_7_5c9d216543caf3.85352516_0"	"PISA_slv-SVN_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1703"	"3 stars"	"3 zvezdice"	"Page03_stimulus_S03T2tr4td1_5c9d214af20bc4.48892052_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1629"	"3 stars"	"3 zvezdice"	"Page02_stimulus_S02tr4td1_5c9d214af00d37.39182151_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1574"	"4 stars"	"4 zvezdice"	"Page01_stimulus_S01tr3td1_5c9d214aee4992.95288658_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"845"	"23 September"	"23. septembra"	"Q3M111_question_question3_2_5c9d214a5b1fc7.48412502_0"	"PISA_slv-SVN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1581"	"3 stars"	"3 zvezdice"	"Page01_stimulus_S01tr4td1_5c9d214aee5420.10289396_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Na vprašanje odgovori tako, da klikneš enega ali več okvirčkov."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_slv-SVN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Združeno kraljestvo"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_slv-SVN_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4597"	"D"	"B"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_slv-SVN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1588"	"2 stars"	"2 zvezdici"	"Page01_stimulus_S01tr5td1_5c9d214aee5d63.99362511_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4577"	"D"	"B"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_slv-SVN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"113"	"Click on one or more boxes to answer the question."	"Na vprašanje odgovori tako, da klikneš enega ali več okvirčkov."	"M102_question1_itemDirections1_5c9d21362bedf1.13468059_1_0"	"PISA_slv-SVN_MAT_MA102-BuyingAWardrobe_en21_MS2022.xlf"
"4159"	"C"	"°C"	"MA148_stimulus2_stimulus2_1_5c9d216518d045.04859359_0"	"PISA_slv-SVN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Pri vsaki trditvi klikni &lt;b&gt;&quot;Da&quot;&lt;/b&gt; ali &lt;b&gt;&quot;Ne&quot;&lt;/b&gt;."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_slv-SVN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1633"	"2 stars"	"2 zvezdici"	"Page02_stimulus_S02tr5td1_5c9d214af011e0.10936163_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"844"	"22 September"	"22. septembra"	"Q3M111_question_question3_1_5c9d214a5b1db1.69101916_0"	"PISA_slv-SVN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1932"	"38%"	"38 %"	"MA124_stimulus1_MA124S01PiesLeftLowP4_5c9d214b3ed114.74226948_0"	"PISA_slv-SVN_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4591"	"A"	"O"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_slv-SVN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Pri vsaki trditvi klikni &lt;b&gt;&quot;Drži&quot;&lt;/b&gt; ali &lt;b&gt;&quot;Ne drži&quot;.&lt;/b&gt;"	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_slv-SVN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4727"	"50%"	"50 %"	"MA158_stimulus_r5c5_5c9d216579a840.16385707_0"	"PISA_slv-SVN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1672"	"2 stars"	"2 zvezdici"	"Page03_stimulus_S03tr5td1_5c9d214af1dc84.36748181_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Na vprašanje odgovori tako, da klikneš enega ali več okvirčkov."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_slv-SVN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1748"	"2 stars"	"2 zvezdici"	"question0a_1_Q00tr5td1_5c9d214b005434.43072378_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Skupaj &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_slv-SVN_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1709"	"1 star"	"1 zvezdica"	"Page03_stimulus_S03T2tr6td1_5c9d214af215f3.41082922_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_slv-SVN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4581"	"A"	"O"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_slv-SVN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Pri uporabi kalkulatorja sledi naslednjim korakom:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_slv-SVN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3981"	"Litres"	"Litrov"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_slv-SVN_MAT_MA146-Fuel_en21_MS2022.xlf"
"1734"	"4 stars"	"4 zvezdice"	"question0a_1_Q00tr3td1_5c9d214b004166.24269106_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"5075"	"Statement"	"Vprašanje"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_slv-SVN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4810"	"33%"	"33 %"	"MA160_stimulus_r4td4_5c9d2137747202.69847889_0"	"PISA_slv-SVN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1755"	"1 star"	"1 zvezdica"	"question0a_1_Q00tr6td1_5c9d214b005e11.38011221_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4580"	"D"	"B"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_slv-SVN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Skupaj &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_slv-SVN_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4740"	"50%"	"50 %"	"MA158_stimulus_r7c6_5c9d216579bf74.34054533_0"	"PISA_slv-SVN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1595"	"1 star"	"1 zvezdica"	"Page01_stimulus_S01tr6td1_5c9d214aee6699.36998340_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3903"	"4%"	"4 %"	"q2MA144_question_question02_4_5c9d2164cfd643.79201671_0"	"PISA_slv-SVN_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4590"	"D"	"B"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_slv-SVN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Ne pozabi izbrati &lt;b&gt;enega ali več&lt;/b&gt; odgovorov."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_slv-SVN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4182"	"55%"	"55 %"	"q1MA148_question_question01_6_5c9d21651b1584.71427368_0"	"PISA_slv-SVN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1677"	"1 star"	"1 zvezdica"	"Page03_stimulus_S03tr6td1_5c9d214af1e2f6.66428084_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Ne pozabi izbrati &lt;b&gt;enega ali več&lt;/b&gt; odgovorov."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_slv-SVN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1637"	"1 star"	"1 zvezdica"	"Page02_stimulus_S02tr6td1_5c9d214af016c3.72029338_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1727"	"5 stars"	"5 zvezdic"	"question0a_1_Q00tr2td1_5c9d214b0037c7.14409063_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4131"	"30%"	"30 %"	"MA147q4_question_question04_6_5c9d21650b70f6.04913867_0"	"PISA_slv-SVN_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3952"	"1.7 m"	"1,7 m"	"MA145_question2_question02_4_5c9d2164e0ec68.48314534_0"	"PISA_slv-SVN_MAT_MA145-Shadows_en21_MS2022.xlf"
"1625"	"4 stars"	"4 zvezdice"	"Page02_stimulus_S02tr3td1_5c9d214af008a2.51968565_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1934"	"20%"	"20 %"	"MA124_stimulus1_MA124S01PiesLeftLowP6_5c9d214b3ed3f0.44129781_0"	"PISA_slv-SVN_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
