"Segment"	"en-ZZ"	"zh-MO"	"ID"	"File"
"675"	"No"	"否"	"S478_question3_tr1th3_3_50ed1dc72bc644.93712182_0"	"PISA_zho-MAC_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2450"	"None"	"&amp;nbsp;&amp;nbsp;無"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2527"	"No"	"否"	"S638_question4_Q4_tr1th3_51804fe1884823.16228336_0"	"PISA_zho-MAC_SCI_S638-OilSpills_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"提供援助給自然災害的災民"	"S514_question3_tr4td1_50ed2a2cd5a309.05021319_0"	"PISA_zho-MAC_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2358"	"Yes"	"是"	"question4_1_question4_3_51940bae428733.86561816_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1442"	"Ammonoids"	"A菊石"	"S608_stimulus1_attr_alt_attr_stimulus1_2_515e3a7232d5b5.18443298_0"	"PISA_zho-MAC_SCI_S608-Ammonoids_en15_MS2022.xlf"
"707"	"Yes"	"是"	"S498_question1_tr1th2_50ec5d61769c94.03308843_0"	"PISA_zho-MAC_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"737"	"No"	"否"	"S498_question3_question3_2_50ec5d6179d638.97526687_0"	"PISA_zho-MAC_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2013"	"Yes"	"是"	"S629_question2_Q1_tr1th2_515e3a72815561.18237803_0"	"PISA_zho-MAC_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"這個問題是否可以通過科學實驗來回答？"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_zho-MAC_SCI_S638-OilSpills_en15_MS2022.xlf"
"860"	"Yes"	"是"	"S527_question3_tr1th3_3_50ec1f5f1f5d06.50488198_0"	"PISA_zho-MAC_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"657"	"Yes"	"是"	"S478_question2_tr1th2_2_50ed1dc72a3696.34624327_0"	"PISA_zho-MAC_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2014"	"No"	"否"	"S629_question2_Q1_tr1th3_515e3a72815a71.79521214_0"	"PISA_zho-MAC_SCI_S629-SolarCooker_en15_MS2022.xlf"
"736"	"Yes"	"是"	"S498_question3_question3_1_50ec5d6179d226.62062445_0"	"PISA_zho-MAC_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"602"	"Yes"	"是"	"S466_question2_tr1th2_2_50ed2439f39493.72850190_0"	"PISA_zho-MAC_SCI_S466-ForestFires_en15_MS2022.xlf"
"2850"	"No"	"否"	"question6_1_question6_8_51940c103ef681.03421965_0"	"PISA_zho-MAC_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2818"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;納米粒子&lt;/b&gt;&lt;br /&gt; 問題"	"question5_1_itemTitle05_51940c103ce1e8.32045670_0"	"PISA_zho-MAC_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2696"	"Compact CFL"	"鏗電膽"	"stimulus_1_stimuluslb2label_51940c102e5b47.55394349_0"	"PISA_zho-MAC_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2063"	"No"	"否"	"S629_question4_Q4_tr1th3_515e3a728b0012.40079343_0"	"PISA_zho-MAC_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2831"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;納米粒子&lt;/b&gt;&lt;br /&gt; 問題"	"question6_1_itemTitle06_51940c103eb829.64278463_0"	"PISA_zho-MAC_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"674"	"Yes"	"是"	"S478_question3_tr1th2_3_50ed1dc72bc260.28291136_0"	"PISA_zho-MAC_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"要執行這個模擬試驗，你可以使用下列的控制選項："	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_zho-MAC_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1377"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;菊石&lt;/b&gt;&lt;br /&gt; 問題"	"S608_question2_QitemTitle2_515e3a722adb27.71829867_0"	"PISA_zho-MAC_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;點擊一個選項以回答問題&lt;/i&gt;"	"S603_question4_itemDirections4_515e3a720a7b99.14171118_0"	"PISA_zho-MAC_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1117"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;參考右側的「霧裡取水」，點擊一個或多個方格以回答問題。&lt;/i&gt;"	"S604_question3_itemDirections3_51804e6bc48859.23680107_0"	"PISA_zho-MAC_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2458"	"High"	"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;高"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"320"	"No"	"否"	"S415_question3_tr1th3_2_50ec3dd37f4797.25484419_0"	"PISA_zho-MAC_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"220"	"No"	"否"	"S413_question2_tr1th3_2_50ec429c79ba46.95777702_0"	"PISA_zho-MAC_SCI_S413-PlasticAge_en15_MS2022.xlf"
"117"	"No"	"否"	"S408_question3_tr1th3_50ec3aa58da0f8.25350735_0"	"PISA_zho-MAC_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"2919"	"No"	"不可能"	"S648_question4_question4_2_517407af761f92.59952877_0"	"PISA_zho-MAC_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2359"	"No"	"否"	"question4_1_question4_4_51940bae428b27.01236807_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2245"	"Medium"	"中"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 汽車輪胎 Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_zho-MAC_SCI_S627-CarTyres_en15_MS2022.xlf"
"3030"	"Year"	"年份"	"S657_stimulus1_p25_518050dc49ea96.13591958_0"	"PISA_zho-MAC_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2800"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;納米粒子&lt;/b&gt;&lt;br /&gt; 問題"	"question3_1_itemTitle03_51940c1039b327.36585494_0"	"PISA_zho-MAC_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"116"	"Yes"	"是"	"S408_question3_tr1th2_50ec3aa58d9ee0.31339971_0"	"PISA_zho-MAC_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"1397"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;菊石&lt;/b&gt;&lt;br /&gt; 問題"	"S608_question3_itemTitle3_515e3a722cec14.53047179_0"	"PISA_zho-MAC_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2739"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大氣中的二氧化碳&lt;/b&gt;&lt;br /&gt; 問題"	"S645_question5_itemTitle5_5180507a837bb1.50024156_0"	"PISA_zho-MAC_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"1970"	"Yes"	"是"	"S627_question3_Q3_tr1th2_51740713b4c208.20946014_0"	"PISA_zho-MAC_SCI_S627-CarTyres_en15_MS2022.xlf"
"2526"	"Yes"	"是"	"S638_question4_Q4_tr1th2_51804fe1884406.45077006_0"	"PISA_zho-MAC_SCI_S638-OilSpills_en15_MS2022.xlf"
"2806"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;納米粒子&lt;/b&gt;&lt;br /&gt; 問題"	"question4_1_itemTitle04_51940c103b37b0.54093836_0"	"PISA_zho-MAC_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"861"	"No"	"否"	"S527_question3_tr1th4_3_50ec1f5f1f5fe3.96776668_0"	"PISA_zho-MAC_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"2734"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大氣中的二氧化碳&lt;/b&gt;&lt;br /&gt; 問題"	"S645_question4_itemTitle4_5180507a81f077.18602071_0"	"PISA_zho-MAC_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"要檢視模擬試驗中所有的控制選項是如何起作用的，請遵循這些步驟。"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_zho-MAC_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1834"	"No"	"否"	"S626_question4_question4_3_515e3a726d0f76.55989842_0"	"PISA_zho-MAC_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"利用科學來預測自然災害"	"S514_question3_tr2td1_50ed2a2cd590b2.38522499_0"	"PISA_zho-MAC_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2457"	"Medium"	"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;中"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"658"	"No"	"否"	"S478_question2_tr1th3_2_50ed1dc72a3903.15242331_0"	"PISA_zho-MAC_SCI_S478-Antibiotics_en15_MS2022.xlf"
"1833"	"Yes"	"是"	"S626_question4_question4_2_515e3a726d0711.54933273_0"	"PISA_zho-MAC_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 龍捲風 Q0４"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_zho-MAC_SCI_S620-Tornadoes_en15_MS2022.xlf"
"504"	"Yes"	"是"	"S438_question1_tr1th2q1_50ec56ec5a7925.12641929_0"	"PISA_zho-MAC_SCI_S438-GreenParks_en15_MS2022.xlf"
"2455"	"None"	"&amp;nbsp;&amp;nbsp;無"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
