"Segment"	"en-ZZ"	"ar-MA"	"ID"	"File"
"83"	"Proteins"	"بروتينات"	"S326_stimulus2_t2tr2td2_5134b470af25e4.84656682_0"	"PISA_ara-MAR_SCI_S326-Milk_en15_MS2022.xlf"
"1616"	"Raide"	"حاد"	"sim_1_simSlopeSteep_5193d4743be899.94410340_0"	"PISA_ara-MAR_SCI_S615-Tsunami_fr15_MS2022.xlf"
"2337"	"diminuer"	"تنقص"	"question3_1_o3_2_51940bdda00a90.58191969_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2207"	"✔ N'oubliez pas de sélectionner &lt;b&gt;une ou plusieurs&lt;/b&gt; cases."	"✔  لا تنس أن تختار خانة &lt;b&gt;واحدة  أو أكثر. &lt;/b&gt;"	"CS634_Q05_p52_5193fe2e140478.35885718_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"914"	"&lt;b&gt;L’effet d’îlot de chaleur urbain&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;&lt;/b&gt;ظاهرة الجزر الحرارية الحضرية  &lt;br /&gt;  السؤال"	"S602_question3_qitemTitle3_515e341d7b19a0.41499701_0"	"PISA_ara-MAR_SCI_S602-UrbanHeatIslandEffect_fr15_MS2022.xlf"
"639"	"Bacteria"	"البكتيريا."	"S478_question1_question1_3_5134b476c9ea17.82875027_0"	"PISA_ara-MAR_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2114"	"vaccination"	"التلقيح"	"question000_1_attr_alt_attr_question000_10_5193fe2e08e785.15929095_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2171"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"&lt;i&gt; نفذ المحاكاة لجمع المعطيات بالإعتماد على البيانات أسفله. للإجابة على السؤال، انقر على أحد الاختيارات، ثم ارقن تفسيرك. &lt;/i&gt;"	"question3_1_itemDirections03_5193fe2e0f9e76.77148631_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"266"	"Density"	"الكثافة"	"S413_question3_q3t4tr3td1_5134b472106657.01419816_0"	"PISA_ara-MAR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2814"	"&lt;b&gt;Nanoparticules&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; دقائق متناهية الصغر&lt;/b&gt;&lt;br /&gt; السؤال"	"question5_1_itemTitle05_51940c2b088d00.26378976_0"	"PISA_ara-MAR_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"2105"	"Dans la simulation, chaque personne de la population est toujours dans l’un des trois états suivants."	"في المحاكاة، كل شخص من المجموعة هو دائما في واحدة من ثلاث حالات التالية."	"question000_1_q000P2_5193fe2e088997.80484219_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2325"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes :"	"لمعرفة كيفية اشتغال مختلف الملامس المستعملة في هذه المحاكاة، اتبع هذه المراحل :"	"question2_1_P22_51940bdd9e2593.21963118_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"1647"	"&lt;b&gt;Tornades&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; أعاصير &lt;/b&gt;&lt;br /&gt; السؤال"	"S620_question1_qitemTitle1_51730583e64027.36298407_0"	"PISA_ara-MAR_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"1034"	"&lt;b&gt;Les éléphants et les acacias&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;&lt;/b&gt;الفيلة ونبات الطلح &lt;br /&gt; مقدمة"	"S603_question4_itemTitle4_515e341d898ba7.48319950_0"	"PISA_ara-MAR_SCI_S603-ElephantsAndAcaciaTrees_fr15_MS2022.xlf"
"1113"	"✓ &lt;i&gt;N'oubliez pas de sélectionner &lt;b&gt;une ou plusieurs&lt;/b&gt; cases.&lt;/i&gt;"	"✓ &lt;i&gt;  لا تنس أن تختار خانة &lt;b&gt;واحدة أو أكثر&lt;/b&gt;  .&lt;/i&gt; &lt;br /&gt;"	"S604_question3_q3p2_51804f1f847b87.66385627_0"	"PISA_ara-MAR_SCI_S604-WaterFromFog_fr15_MS2022.xlf"
"2169"	"&lt;b&gt;Vaccination et propagation des maladies&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التلقيح وانتشار الأمراض&lt;/b&gt;&lt;br /&gt;السؤال"	"question3_1_itemTitle03_5193fe2e0f9844.71409587_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"1009"	"comparées aux"	"مقارنة بــ"	"S603_question2_nested11a_515e341d865824.26917756_0"	"PISA_ara-MAR_SCI_S603-ElephantsAndAcaciaTrees_fr15_MS2022.xlf"
"2121"	"✔ N'oubliez pas de sélectionner &lt;b&gt;une ou plusieurs&lt;/b&gt; cases."	"✔  لا تنس أن تختار &lt;b&gt;خانة واحدة أو أكثر &lt;/b&gt; ."	"question1_1_q1p3_5193fe2e0aec40.68561688_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"1701"	"&lt;b&gt;Tornades&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; أعاصير &lt;/b&gt;&lt;br /&gt; السؤال"	"S620_Q5_QitemTitle5_51730583ed7700.98138186_0"	"PISA_ara-MAR_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"2586"	"&lt;b&gt;Comparaison d’ampoules&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;مقارنة المصابيح&lt;/b&gt;&lt;br /&gt;السؤال"	"question3_1_itemTitle03_51940c2ada5e25.84318614_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2501"	"&lt;b&gt;Nappes de pétrole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;البقع النفطية&lt;/b&gt;&lt;br /&gt;السؤال"	"S638_question3_qitemTitle3_5180500f563cb2.46210665_0"	"PISA_ara-MAR_SCI_S638-OilSpills_fr15_MS2022.xlf"
"2653"	"À incandescence"	"متوهج"	"sim_1_q02sim2_51940c2ae6cb98.09085206_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2573"	"Pour supprimer une ligne de données, cliquez sur le bouton « Supprimer » à côté de cette ligne. &lt;br /&gt;"	"لحذف سطر من المعطيات، انقر على الزر &quot;حذف&quot; بجانب هذا السطر&lt;br /&gt;"	"menu_1_menuP4_51940c2ad46e45.39143186_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2340"	"augmenter"	"تزيد"	"question3_1_o3b_1_51940bdda015c0.34173762_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"999"	"&lt;b&gt;Les éléphants et les acacias&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;&lt;/b&gt;الفيلة ونبات الطلح &lt;br /&gt; مقدمة"	"S603_question2_itemTitle2_515e341d862958.33631741_0"	"PISA_ara-MAR_SCI_S603-ElephantsAndAcaciaTrees_fr15_MS2022.xlf"
"71"	"Carbohydrates"	"السكّريات"	"S326_stimulus1_t1tr4td1_5134b470a7dcf8.97873928_0"	"PISA_ara-MAR_SCI_S326-Milk_en15_MS2022.xlf"
"2459"	"Pour continuer, cliquez sur la flèche « SUIVANT »."	"للمواصلة، انقر على السهم &quot;الموالي&quot;"	"stimulus2_1_automationMsg2_51940bddaf0c24.33520854_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"253"	"Melting point"	"نقطة الذّوبان"	"S413_question3_q3t3tr2td1_5134b4720eb559.05737449_0"	"PISA_ara-MAR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2194"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"&lt;i&gt; نفذ المحاكاة لجمع المعطيات بالإعتماد على البيانات أسفله. للإجابة على السؤال، انقر على أحد الاختيارات، ثم ارقن تفسيرك. &lt;/i&gt;"	"question4_1_itemDirections04_5193fe2e11e3f7.73534814_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2118"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt; نفّذ المحاكاة لجمع المعطيات بالاعتماد على المعلومات المقدمة أسفله. للإجابة على السؤال، انقر على خانة واحدة أو أكثر&lt;/i&gt;"	"question1_1_itemDirections01_5193fe2e0ae068.29636377_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"3006"	"&lt;b&gt;Espèce envahissante&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الأنواع الغازية&lt;/b&gt;&lt;br /&gt;  السؤال"	"S657_question4_itemTitleqS4_51805100b4b431.68030345_0"	"PISA_ara-MAR_SCI_S657-InvasiveSpecies_fr15_MS2022.xlf"
"2112"	"vaccination"	"التلقيح"	"question000_1_attr_alt_attr_question000_4_5193fe2e08e0f4.66452214_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2336"	"augmenter"	"تزيد"	"question3_1_o3_1_51940bdda00794.58164835_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2995"	"&lt;i&gt;Référez-vous aux informations fournies sous « Étude des traitements » à droite. Pour répondre à la question, cliquez sur l’un des choix de réponse. &lt;/i&gt;"	"&lt;i&gt;اعتمد على المعلومات الموجودة على اليسار تحت عنوان &quot;دراسة طرق المعالجة&quot;. للإجابة على السؤال، انقر على أحد الاختيارات.&lt;/i&gt;"	"S657_question3_itemDirections3_51805100b262e9.83583655_0"	"PISA_ara-MAR_SCI_S657-InvasiveSpecies_fr15_MS2022.xlf"
"2486"	"&lt;b&gt;Nappes de pétrole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;البقع النفطية&lt;/b&gt;&lt;br /&gt;السؤال"	"S638_question2_itemTitle2_5180500f53a5a0.04987467_0"	"PISA_ara-MAR_SCI_S638-OilSpills_fr15_MS2022.xlf"
"1047"	"&lt;b&gt;Les éléphants et les acacias&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;&lt;/b&gt;الفيلة ونباتات الطلح &lt;br /&gt; مقدمة"	"S603_question5_itemTitle5_515e341d8bc177.08574354_0"	"PISA_ara-MAR_SCI_S603-ElephantsAndAcaciaTrees_fr15_MS2022.xlf"
"2104"	"Cette simulation vous permet d’explorer l’effet de la vaccination sur la propagation d’une maladie contagieuse dans une population de personnes exposées à cette maladie."	"تمكّنك هذه المحاكاة من استكشاف مفعول التّلقيح على انتشار مرض معد في مجموعة من الأشخاص المعرضين لهذا المرض."	"question000_1_q000P1_5193fe2e088444.76313620_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2537"	"&lt;b&gt;Nappes de pétrole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;البقع النفطية&lt;/b&gt;&lt;br /&gt;السؤال"	"S638_question5_itemTitle5_5180500f5bfe77.93922199_0"	"PISA_ara-MAR_SCI_S638-OilSpills_fr15_MS2022.xlf"
"1452"	"Temps (en millions d'années avant l'époque actuelle)"	"الوقت (بمليون سنة قبل  الفترة الحالية)"	"S608_stimulus2_p23_515e341da97a36.31924598_0"	"PISA_ara-MAR_SCI_S608-Ammonoids_fr15_MS2022.xlf"
"2636"	"&lt;b&gt;Comparaison d’ampoules&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;مقارنة المصابيح&lt;/b&gt;&lt;br /&gt;السؤال"	"question6_1_itemTitle06_51940c2ae2b5a1.99446721_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2457"	"Très bien !&lt;br /&gt; Pour continuer, cliquez sur la flèche « SUIVANT »."	"حسن جدا !&lt;br /&gt; للمواصلة، انقر على السهم &quot;الموالي&quot;."	"stimulus2_1_stimulus2_49_51940bddaf0413.17630736_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"1021"	"&lt;b&gt;Les éléphants et les acacias&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;&lt;/b&gt;الفيلة ونبات الطلح &lt;br /&gt; مقدمة"	"S603_question3_itemTitle3_515e341d87e609.79026879_0"	"PISA_ara-MAR_SCI_S603-ElephantsAndAcaciaTrees_fr15_MS2022.xlf"
"2341"	"diminuer"	"تنقص"	"question3_1_o3b_2_51940bdda01877.19485296_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2324"	"Cette simulation vous permet de voir comment les niveaux de pêche au cabillaud et au hareng modifient la biomasse de chaque type d’organisme dans la baie après une période de cinq ans."	"تمكّنك هذه المحاكاة من رؤية كيف أن مستويات صيد سمك القد والرنكة تغير الكتلة الإحيائية لكل كائن في الخليج بعد فترة خمس سنوات."	"question2_1_P21_51940bdd9e2297.69506288_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2297"	"Comment exécuter la simulation"	"كيف يتمّ تنفيذ المحاكاة"	"menu_1_MenuHeading_51940bdd99ea07.71176698_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"1660"	"&lt;b&gt;Tornades&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; أعاصير&lt;/b&gt;&lt;br /&gt; السؤال"	"S620_Q2_QitemTitle2_51730583e89c57.85672241_0"	"PISA_ara-MAR_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"2993"	"&lt;b&gt;Espèce envahissante&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الأنواع الغازية&lt;/b&gt;&lt;br /&gt;  السؤال"	"S657_question3_itemTitleqS3_51805100b25615.40661561_0"	"PISA_ara-MAR_SCI_S657-InvasiveSpecies_fr15_MS2022.xlf"
"1885"	"AVEC son au milieu"	"مع صوت في الوسط"	"S626_stimulus3_graphTitle22_515e341dd79d05.74783605_0"	"PISA_ara-MAR_SCI_S626-SoundInMarineHabitats_fr15_MS2022.xlf"
"2192"	"&lt;b&gt;Vaccination et propagation des maladies&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التلقيح وانتشار الأمراض&lt;/b&gt;&lt;br /&gt;السؤال"	"question4_1_itemTitle04_5193fe2e11ddc2.10970360_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"1288"	"La guêpe"	"الدبور"	"S607_question2_l24_51730583ac1d21.88019906_0"	"PISA_ara-MAR_SCI_S607-BirdsAndCaterpillars_fr15_MS2022.xlf"
"2107"	"&lt;b&gt;Contaminée&lt;/b&gt; : les personnes dans cet état ont cette maladie et peuvent en contaminer d’autres."	"&lt;b&gt;مصاب&lt;/b&gt;: الأشخاص الذين هم في هذه الحالة أصيبوا بهذا المرض ويمكنهم نقل العدوى لآخرين."	"question000_1_t1tr2td2_5193fe2e08af57.33261471_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2088"	"Pour exécuter cette simulation, vous pouvez utiliser les commandes suivantes :"	"لتنفيذ المحاكاة، يمكن استعمال الملامس التالية:"	"menu_1_aMenuP3_5193fe2e052113.46966648_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2691"	"À incandescence"	"متوهجة"	"stimulus_1_stimuluslb1label_51940c2aeb3824.68292874_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2679"	"Très bien !&lt;br /&gt; Pour continuer, cliquez sur la flèche « SUIVANT »."	"حسن جدا! &lt;br /&gt;للمواصلة، انقر على السهم &quot; الموالي&quot;"	"sim_1_dialogMsgText2_51940c2ae78d44.58350318_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2657"	"LED"	"صمام مشع"	"sim_1_q02sim4_51940c2ae6e3e2.25351079_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"1111"	"&lt;i&gt;Référez-vous aux informations fournies sous « L’eau du brouillard » à droite. Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;استند إلى المعلومات الموجودة على اليسار تحت عنوان &quot;ماء الضباب&quot;. للإجابة على السؤال، ضع علامة في خانة واحدة أو اكثر. &lt;/i&gt;"	"S604_question3_itemDirections3_51804f1f846bc2.68506242_0"	"PISA_ara-MAR_SCI_S604-WaterFromFog_fr15_MS2022.xlf"
"1814"	"Référez-vous aux informations fournies sous « Les baleines et le bruit des navires » à droite. Pour répondre à la question, cliquez sur l’un des choix de réponse."	"&lt;i&gt;اعتمد على المعلومات الموجودة على اليسار تحت عنوان &quot;الحيتان وضجيج السفن&quot;. للإجابة على السؤال، انقر على احد الاختيارات.&lt;/i&gt;"	"S626_question3_question3_1_515e341dd05b80.62420104_0"	"PISA_ara-MAR_SCI_S626-SoundInMarineHabitats_fr15_MS2022.xlf"
"919"	"&lt;b&gt;L’effet d’îlot de chaleur urbain&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;&lt;/b&gt;ظاهرة الجزر الحرارية الحضرية&lt;br /&gt;  السؤال"	"S602_question4_qitemTitle4_515e341d7c81d7.67047930_0"	"PISA_ara-MAR_SCI_S602-UrbanHeatIslandEffect_fr15_MS2022.xlf"
"255"	"Density"	"الكثافة"	"S413_question3_q3t3tr3td1_5134b4720ed652.37213178_0"	"PISA_ara-MAR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2568"	"Pour exécuter cette simulation, vous pouvez utiliser les commandes suivantes :"	"لتنفيذ هذه المحاكاة، يمكنك استعمال الملامس التالية :"	"menu_1_menuP2_51940c2ad44d34.93969453_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2938"	"Vénus"	"الزهرة"	"S648_stimulus1_le1_517304a6245c02.08062039_0"	"PISA_ara-MAR_SCI_S648-HabitableZone_fr15_MS2022.xlf"
"2655"	"CFL"	"لاصف"	"sim_1_q02sim3_51940c2ae6d7b5.46339056_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2106"	"&lt;b&gt;À risque&lt;/b&gt; : les personnes dans cet état ne sont pas vaccinées contre la maladie et peuvent donc l’attraper."	"&lt;b&gt;عرضة للإصابة بالمرض&lt;/b&gt;: الأشخاص الذين هم في هذه الحالة ليسوا ملقحين ضد المرض ويمكنهم إذا أن يصابوا به."	"question000_1_t1tr1td2_5193fe2e08a354.64245706_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2566"	"Comment exécuter la simulation"	"كيفية تنفيذ المحاكاة"	"menu_1_menuHeading_51940c2ad43c98.97971722_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2306"	"Pour sélectionner une ligne de données afin de répondre à une question, cliquez n'importe où sur la ligne. La ou les lignes sélectionnées seront marquées d'une étoile. &lt;br /&gt;"	"لاختيار سطر من المعطيات قصد الإجابة على سؤال، انقر في أيّ مكان من ذلك السطر. نجمة تظهر على السطر أو السطور المختارة .&lt;br /&gt;"	"menu_1_menu_3_51940bdd9a0af2.26110027_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"241"	"Melting point"	"نقطة الذّوبان"	"S413_question3_q3t2tr2td1_5134b4720e08a2.45901025_0"	"PISA_ara-MAR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2749"	"Respiration et décomposition microbiennes"	"التنفس والتحلَل الجرثومي"	"S645_stimulus1_le8_51805053db7a41.69902548_0"	"PISA_ara-MAR_SCI_S645-CarbonDioxideInEarthsAtmosphere_fr15_MS2022.xlf"
"2303"	"Le bouton « Exécuter » pour afficher les résultats."	"الزر &quot;تنفيذ&quot; لعرض النتائج."	"menu_1_menuLi3_51940bdd99fbd4.02138962_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2581"	"Cette simulation vous permet d’observer comment différents types d’ampoules fonctionnent à différents niveaux d’énergie. Le testeur d’ampoules indique la quantité de lumière émise (mesurée en lumens) ainsi que l’efficacité lumineuse de l’ampoule (mesurée en lumens par watt)."	"تمكنك هذه المحاكاة من مشاهدة كيف تشتغل أنواع مختلفة من المصابيح بقدرة مختلفة.  يشير جهاز فحص المصابيح إلى كمية الضوء المنبعث (تقاس بالشمعة) والفعالية الضوئية للمصباح (تقاس بالشمعة للواط)"	"question2_1_Q02P1_51940c2ad85628.33325889_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2098"	"&lt;i&gt;Lisez l'introduction, puis cliquez sur la flèche « SUIVANT ».&lt;/i&gt;"	"&lt;i&gt;اقرأ المقدمة، ثم انقر على السهم &quot;التالي&quot;.&lt;/i&gt;"	"CS634_intro_itemDirections0_5193fe2e06b511.24334319_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"786"	"The use of science to predict natural disasters"	"الاستعانة بالعلم للتنبؤ بالكوارث الطبيعيّة."	"S514_question3_tr2td1_5134b4787035e7.14359325_0"	"PISA_ara-MAR_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2403"	"✔ N'oubliez pas de sélectionner &lt;b&gt;une ou plusieurs&lt;/b&gt; cases."	"لا تنس أن تختار ✔&lt;b&gt;خانة واحدة أو أكثر. &lt;/b&gt;"	"S662_question7_q7p3_51940bdda8c697.73459557_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2517"	"&lt;b&gt;Nappes de pétrole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;البقع النفطية&lt;/b&gt;&lt;br /&gt;السؤال"	"S638_question4_itemTitle4_5180500f58e225.35759595_0"	"PISA_ara-MAR_SCI_S638-OilSpills_fr15_MS2022.xlf"
"2300"	"Pour exécuter cette simulation, vous pouvez utiliser les commandes suivantes :"	"لتنفيذ هذه المحاكاة، يمكن أن تستعمل الملامس التالية :"	"menu_1_menuP2_51940bdd99f302.31616004_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
