"Segment"	"en-ZZ"	"da-DK"	"ID"	"File"
"2012"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Tag udgangspunkt i ”En fremtidens mand” til højre."	"R544_question9_itemDirections_56fc782181a288.51990939_0_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"1977"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik på en af svarmulighederne for at besvare spørgsmålet.&lt;/i&gt;"	"R544_question5_itemDirections_56fc78217cc282.26999608_1_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"4147"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R561_question03_q03itemDirections_56fc785d2a1ae0.05518128_1_0"	"PISA_dan-DNK_REA_R561-OlympicFlag_en18_MS2022.xlf"
"567"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;SYDPOLEN - DOKUMENT 1&lt;/b&gt;"	"R220_stimulus_title_50c7c02b201824.95363428_0"	"PISA_dan-DNK_REA_R220-SouthPole_en15_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift i mellem dem ved at klikke på fanerne."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift i mellem dem ved at klikke på fanerne."	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"4536"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_1_0"	"PISA_dan-DNK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Tag udgangspunkt i internetsøgningen til højre."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5975"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R570_question03_q03itemDirections_56fc78797a3fe7.10691677_1_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Klik på NÆSTE-pilen for at se hjemmesiden."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Træk elementerne op for at besvare spørgsmålet.&lt;/i&gt;"	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_dan-DNK_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3028"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R552_question01_q01itemDirections_56fd79425dd6c9.52135901_1_0"	"PISA_dan-DNK_REA_R552-FestiRock_en18_MS2022.xlf"
"513"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;SYDPOLEN - DOKUMENT 2&lt;/b&gt;"	"R220_stimulus_title_50c7c02b1c40a9.26710590_0"	"PISA_dan-DNK_REA_R220-SouthPole_en15_MS2022.xlf"
"5664"	"Who's in the Chat"	"Hvem er på chatten"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_dan-DNK_REA_R569-TheCleanup_en18_MS2022.xlf"
"5557"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R568_question03_q03itemDirections_56fc784aa61dd0.11236281_1_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1760"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift imellem dem ved at klikke på fanerne."	"R543_question9_itemDirections_56fc78213f7142.41939392_0_0"	"PISA_dan-DNK_REA_R543-Nobel_en18_MS2022.xlf"
"4920"	"Web Search"	"Internetsøgning"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5251"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R567_question04_q04itemDirections_56fc78790f8a73.23597526_1_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Tag udgangspunkt i internetsøgningen til højre."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5043"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R566_question03_q03itemDirections_56fc786b848714.63479915_1_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5057"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R566_question04_q04itemDirections_56fc786b86c2c3.21174983_1_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Træk elementerne op for at besvare spørgsmålet.&lt;/i&gt;"	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_dan-DNK_REA_R569-TheCleanup_en18_MS2022.xlf"
"313"	"PHONE"	"TLF.NR."	"R219_stimulus_sect3Line2span3_50c7b7573dd8c0.29529624_0"	"PISA_dan-DNK_REA_R219-Employment_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Ved køb mellem kr. 600 og kr. 1.499,95 refunderer Kon2ret kr. &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;.&lt;br /&gt; &gt; Ved køb mellem kr. 1.500 og kr. 2.999,95 refunderer Kon2ret kr. 500.&lt;br /&gt; &gt; Ved køb på kr. 3.000 eller mere refunderer Kon2ret kr. 1.000.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9274929e2.31854388_0"	"PISA_dan-DNK_REA_R466-WorkRight_en15_MS2022.xlf"
"5230"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R567_question02_q02itemDirections_56fc78790d2db7.39880018_1_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5961"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R570_question02_q02itemDirections_56fc787978f2e5.90111872_1_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"4585"	"Click on one or more boxes to answer the question."	"Klik på én eller flere svarmuligheder for at besvare spørgsmålet."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_dan-DNK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2877"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R550_question07_q07itemDirections_56fc785ce9aa50.47831080_1_0"	"PISA_dan-DNK_REA_R550-CliffPalace_en18_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"GENERELLE BETINGELSER FOR: TILBUD 10 ÅR - KR.1.000 &lt;br /&gt; 1. Dette tilbud gælder ikke for grossister og detailhandlere, der sælger denne produktserie 2. Tilbuddet omfatter kun følgende udvalg af Kon2rets produkter: Brevpapir, tryksager og reklameprodukter, teknisk udstyr. Alle andre produkter fra Kon2ret er ikke omfattet af tilbuddet, heller ikke møbelprodukter."	"R466_stimulus_section4_50c7c927498cf1.22253947_0"	"PISA_dan-DNK_REA_R466-WorkRight_en15_MS2022.xlf"
"578"	"In the southern spring of 1912 the bodies of Scott and his companions, their travel diaries and last letters were found."	"II foråret 1912 fandt man ligene af Scott og hans ledsagere, deres rejsedagbøger og deres sidste breve."	"R220_stimulus_p6_50c7c02b2044a3.00881495_0"	"PISA_dan-DNK_REA_R220-SouthPole_en15_MS2022.xlf"
"5939"	"Then click on the NEXT arrow."	"Klik derefter på NÆSTE-pilen.&lt;/i&gt;"	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_1_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"3042"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R552_question02_q02itemDirections_56fd79425f4d97.71214953_1_0"	"PISA_dan-DNK_REA_R552-FestiRock_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Tag udgangspunkt i internetsøgningen til højre."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5144"	"Web Search"	"Internetsøgning"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2381"	"Historical&lt;br/&gt;10%"	"Historiske romaner&lt;br/&gt;10 %"	"R547_question10_historyLbl_56fc782e14bbe2.76514218_0"	"PISA_dan-DNK_REA_R547-BookSurvey_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Klik på en af svarmulighederne for at besvare spørgsmålet, og skriv derefter din forklaring.&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"2527"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R549_question03_q03itemDirections_56fc786ace3d99.90483432_1_0"	"PISA_dan-DNK_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5104"	"Click on one or more boxes to answer the question."	"Klik på én eller flere svarmuligheder for at besvare spørgsmålet."	"R566_question07_q07itemDirections_56fc786b8bda87.23847372_1_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Klik på svarmulighederne i tabellen for at besvare spørgsmålet.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_dan-DNK_REA_R547-BookSurvey_en18_MS2022.xlf"
"4604"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_1_0"	"PISA_dan-DNK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5386"	"Then click on the NEXT arrow."	"Klik derefter på NÆSTE-pilen.&lt;/i&gt;"	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_1_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5431"	"Web Search"	"Internetsøgning"	"R568_stimulus1_pg01h1_56fc784a9d2fe7.94994728_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2499"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R549_question01_q01itemDirections_56fc786acc1966.50302132_1_0"	"PISA_dan-DNK_REA_R549-MessageInABottle_en18_MS2022.xlf"
"6058"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R570_question08_q08itemDirections_56fc787985fd79.79010288_1_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"5577"	"Refer to the Web Search on the right."	"Tag udgangspunkt i internetsøgningen til højre."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1993"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Klik på en af svarmulighederne for at besvare spørgsmålet, og skriv derefter din forklaring.&lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift i mellem dem ved at klikke på fanerne."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Klik på én af  valgmulighederne, og skriv derefter en forklaring for at besvare spørgsmålet."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_dan-DNK_REA_R569-TheCleanup_en18_MS2022.xlf"
"1737"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift imellem dem ved at klikke på  fanerne."	"R543_question7_itemDirections_56fc78213d9e90.08237523_0_0"	"PISA_dan-DNK_REA_R543-Nobel_en18_MS2022.xlf"
"2375"	"Zedtown High’s favourite fiction genres of books"	"Zedby Skoles foretrukne skønliterære genrer"	"R547_question10_chartTitle_56fc782e14aac4.83822508_0"	"PISA_dan-DNK_REA_R547-BookSurvey_en18_MS2022.xlf"
"2862"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R550_question06_q06itemDirections_56fc785ce7bab6.58395989_1_0"	"PISA_dan-DNK_REA_R550-CliffPalace_en18_MS2022.xlf"
"5163"	"Web Search"	"Internetsøgning"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"321"	"PHONE"	"TLF.NR."	"R219_stimulus_sect4Line2span3_50c7b7573e0731.11892069_0"	"PISA_dan-DNK_REA_R219-Employment_en15_MS2022.xlf"
"2513"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R549_question02_q02itemDirections_56fc786acd2da2.66365134_1_0"	"PISA_dan-DNK_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Er udsagnet sandt eller falsk i følge brochuren?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_dan-DNK_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4008"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R560_question07_q07itemDirections_56fc784a80bb23.32450086_1_0"	"PISA_dan-DNK_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1902"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Tag udgangspunkt i begge kilder til højre og skift i mellem dem ved at klikke på fanerne."	"R544_question12_itemDirections_56fc78216b9a04.98619256_0_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"5022"	"Click on one or more boxes to answer the question."	"Klik på én eller flere svarmuligheder for at besvare spørgsmålet."	"R566_question01_q01itemDirections_56fc786b7efb09.20390208_1_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4618"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_1_0"	"PISA_dan-DNK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2576"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R549_question07_q07itemDirections_56fc786ad40030.43832098_1_0"	"PISA_dan-DNK_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5826"	"Football Field"	"Fodboldbanen"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_dan-DNK_REA_R569-TheCleanup_en18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Tilbud 10 år – kr. 1.000&lt;br /&gt; Svejgård Management&lt;br /&gt; Havnevej 41&lt;br /&gt; Pileby&lt;br/&gt;9988 Hannested&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50c7c927492f08.20829379_0"	"PISA_dan-DNK_REA_R466-WorkRight_en15_MS2022.xlf"
"5441"	"Web Search"	"Internetsøgning"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_dan-DNK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1915"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Klik på  valgmulighederne i skemaet for at besvare spørgsmålet.&lt;/i&gt;"	"R544_question13_itemDirections_56fc7821777325.89058352_1_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"5947"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R570_question01_q01itemDirections_56fc787977c2c5.49256860_1_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"2833"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R550_question04_q04itemDirections_56fc785ce36323.12198026_1_0"	"PISA_dan-DNK_REA_R550-CliffPalace_en18_MS2022.xlf"
"2013"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik på en af svarmulighederne for at besvare spørgsmålet.&lt;/i&gt;"	"R544_question9_itemDirections_56fc782181a288.51990939_1_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"6043"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R570_question07_q07itemDirections_56fc787980d0d7.70659870_1_0"	"PISA_dan-DNK_REA_R570-TheFavour_en18_MS2022.xlf"
"1941"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik på en af svarmulighederne for at besvare spørgsmålet.&lt;/i&gt;"	"R544_question_itemDirections_56fc7821795366.48145010_1_0"	"PISA_dan-DNK_REA_R544-Tesla_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Parkeringspladsen"	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_dan-DNK_REA_R569-TheCleanup_en18_MS2022.xlf"
"4120"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R561_question01_q01itemDirections_56fc785d275c31.65450272_1_0"	"PISA_dan-DNK_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Tag udgangspunkt i internetsøgningen til højre."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_dan-DNK_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5013"	"Then click on the NEXT arrow."	"Klik derefter på NÆSTE-pilen.&lt;/i&gt;"	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_1_0"	"PISA_dan-DNK_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2797"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R550_question01_q01itemDirections_56fc785cdd5b03.75076790_1_0"	"PISA_dan-DNK_REA_R550-CliffPalace_en18_MS2022.xlf"
"3957"	"Click on a choice to answer the question."	"Klik på en af valgmulighederne for at besvare spørgsmålet."	"R560_question04_q04itemDirections_56fc784a7c0426.30672562_1_0"	"PISA_dan-DNK_REA_R560-GarbagePatch_en18_MS2022.xlf"
