"Segment"	"en-ZZ"	"es-ES"	"ID"	"File"
"2111"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Contagiado:&lt;/b&gt; Los individuos en este estado tienen la enfermedad y pueden infectar a los demás."	"question000_1_t1tr2td2_5179d18b0d7b26.45869261_0"	"PISA_esp-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"2458"	"High"	"Alto"	"stimulus2_1_stimulus2_46_517c866cd9ff55.61792598_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Para seleccionar una fila de datos para responder a una pregunta, haz clic en cualquier parte de la fila. Las filas que selecciones se marcarán con una estrella."	"menu_1_menuP5_5179d18c75b138.29008136_0"	"PISA_esp-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"El botón Ejecutar para mostrar los resultados."	"menu_1_menuLi3_5179d18c75a577.37741917_0"	"PISA_esp-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Aportar ayuda a las víctimas de las catástrofes naturales."	"S514_question3_tr4td1_50ed2a11d27ba4.43875750_0"	"PISA_esp-ESP_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"CS634_intro_itemDirections0_5179d18b0b9014.87025385_0"	"PISA_esp-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"2243"	"None"	"Nulo"	"js_translation_none_517c866cc0b129.17051160_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2790"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la información siguiente. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"question2_1_itemDirections02_5179d18c7a3c39.30736929_0"	"PISA_esp-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2457"	"Medium"	"Medio"	"stimulus2_1_stimulus2_45_517c866cd9fbc7.43288021_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"935"	"higher"	"mayores"	"S602_question4_S602Q04SELECT31_5146f1d3220749.32583095_0"	"PISA_esp-ESP_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_5179d18c770887.32162936_0"	"PISA_esp-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2608"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillas&lt;/b&gt;&lt;br /&gt; Pregunta"	"question4_1_itemTitle04_5179d18c3c29d9.69203028_0"	"PISA_esp-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes utilizar los siguientes controles:"	"menu_1_menuP2_5179d18c759b73.95768713_0"	"PISA_esp-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2375"	"increase"	"aumentará"	"question5_1_o5b_1_517c866cce8f65.81474457_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes usar los siguientes controles:"	"menu_1_menuP2_5179d18c3603e7.48672848_0"	"PISA_esp-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes utilizar los siguientes controles:"	"menu_1_aMenuP3_5179d18b0a1a87.78061985_0"	"PISA_esp-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder a la pregunta&lt;/i&gt;"	"S620_Q5_itemDirections5_51543fc5816999.55030035_0"	"PISA_esp-ESP_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2376"	"decrease"	"disminuirá"	"question5_1_o5b_2_517c866cce91e1.21839113_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2523"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Haz clic en las opciones de la tabla para responder a la pregunta siguiente.&lt;/i&gt;"	"S638_question4_itemDirections4_51658351727f06.49231365_0"	"PISA_esp-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"1117"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta la información «Agua de niebla» de la derecha. Haz clic en una o varias casillas para responder a la pregunta.&lt;/i&gt;"	"S604_question3_itemDirections3_51658350eeabb5.95394349_0"	"PISA_esp-ESP_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2456"	"Low"	"Bajo"	"stimulus2_1_stimulus2_44_517c866cd9f842.05399866_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1803"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question2_itemTitle_2_51484257ed0b68.78002511_0"	"PISA_esp-ESP_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2341"	"decrease"	"disminuirá"	"question3_1_o3_2_517c866cca7289.26782965_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2621"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillas&lt;/b&gt;&lt;br /&gt; Pregunta"	"question5_1_itemTitle05_5179d18c3df6d4.51409668_0"	"PISA_esp-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2339"	"select"	"Selecciona"	"question3_1_o3_0_517c866cca6a23.08277732_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2245"	"Medium"	"Medio"	"js_translation_medium_517c866cc0bb10.48262966_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2943"	"Earth"	"Tierra"	"S648_stimulus1_le2_51543fc7166672.48981646_0"	"PISA_esp-ESP_SCI_S648-HabitableZone_en15_MS2022.xlf"
