"Segment"	"en-ZZ"	"sq-MK"	"ID"	"File"
"3036"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Speciet Invazive &lt;/b&gt;&lt;br /&gt; Pyetja"	"S657_question2_itemTitleqS2_57bc4b0957f411.77981653_0"	"PISA_sqi-MKD_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"2465"	"Delete a row of data to run another trial."	"Fshij një rresht të të dhënave për të drejtuar një tjetër test."	"js_translation_deleteMsg_57bc4b091487c9.89003292_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2356"	"High"	"I lartë"	"stimulus2_1_stimulus2_38_57bc4b0907d279.94836897_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1424"	"&lt;b&gt;Geothermal Energy&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Energjia Gjeotermale &lt;/b&gt;&lt;br /&gt; Pyetja"	"S605_question3_itemTitle3_57bc4b08872828.88550250_0"	"PISA_sqi-MKD_SCI_S605-GeothermalEnergy_en18_MS2022.xlf"
"1586"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Referoju &quot;Amonitet&quot; në të djathtë. Përdor  tërhiq dhe lësho për t'ju përgjigjur pyetjes&lt;/i&gt;"	"S608_question2_itemDirections2_57bc4b0898e0e0.26854506_0"	"PISA_sqi-MKD_SCI_S608-Ammonoids_en18_MS2022.xlf"
"1721"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kuptimi i Cunamit&lt;/b&gt;&lt;br /&gt; Pyetja"	"question5_1_itemTitle05_57bc4b08adbaa7.78480916_0"	"PISA_sqi-MKD_SCI_S615-Tsunami_en18_MS2022.xlf"
"27"	"milk (g)"	"njeriu (g)"	"S326_stimulus1_t1tr1td4_5c3f6294835b37.69774064_2_0"	"PISA_sqi-MKD_SCI_S326-Milk_en21_MS2022.xlf"
"2399"	"select"	"Zgjidh"	"question3_1_o3b_0_57bc4b090c7014.78149798_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1978"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus3_attr_alt_attr_stimulus3_3_57bc4b08cc1774.37091879_0"	"PISA_sqi-MKD_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1950"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus2_attr_alt_attr_stimulus2_6_57bc4b08ca60f1.19587672_0"	"PISA_sqi-MKD_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"2680"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Krahasimi i Llambave të Dritës &lt;/b&gt;&lt;br /&gt; Pyetja"	"question6_1_itemTitle06_57bc4b092b6934.14859993_0"	"PISA_sqi-MKD_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2904"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Për të zgjedhur një rresht të të dhënave për t'ju përgjigjur një pyetje, kliko kudo në atë rresht. Reshti(at) që zgjedh do të shënohen me yll."	"menu_1_menuP5_57bc4b09432de0.06798952_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1252"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Kliko një alternativë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"S603_question3_itemDirections3_57bc4b08744d82.77607727_0"	"PISA_sqi-MKD_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2305"	"How to Run the Simulation"	"Si të Drejtosh një Simulim"	"menu_1_MenuHeading_57bc4b09035859.72867722_0"	"PISA_sqi-MKD_SCI_S634-Vaccination_en18_MS2022.xlf"
"2847"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një alternativë dhe më pas jep një shpjegim për t'ju përgjigjur pyetjes. &lt;/i&gt;"	"question5_1_itemDirections05_57bc4b093ecc94.58393907_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2897"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Ky simulim të lejon të vëzhgosh rezultatet e një reaksioni mes substancës A dhe substancës B. Ti do të shqyrtosh se si vëllimet e dy substancave ndikojnë si në madhësinë e grimcave të prodhuara dhe në kohën e reagimit."	"menu_1_menuP1_57bc4b09431877.41153872_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2412"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një alternativë dhe më pas jep një shpjegim për t'ju përgjigjur pyetjes. &lt;/i&gt;"	"question4_1_itemDirections04_57bc4b090db717.16338488_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1265"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Kliko një alternativë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"S603_question4_itemDirections4_57bc4b08760792.19607572_0"	"PISA_sqi-MKD_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"1177"	"higher"	"më të larta"	"S602_question4_S602Q04SELECT31_57bc4b086c22f7.08103214_0"	"PISA_sqi-MKD_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"2395"	"select"	"Zgjidh"	"question3_1_o3_0_57bc4b090c6525.29210411_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2978"	"Uranus"	"Uranit"	"S648_question2_o2_4_57bc4b094f7559.90823986_0"	"PISA_sqi-MKD_SCI_S648-HabitableZone_en18_MS2022.xlf"
"2835"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara në të informacionin e mëposhtëm. Kliko një alternativë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question4_1_itemDirections04_57bc4b093da385.42234379_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2042"	"car tyres"	"gomat e makinave"	"S627_stimulus3_title3_57bc4b08d82df1.74711727_0"	"PISA_sqi-MKD_SCI_S627-CarTyres_en18_MS2022.xlf"
"2809"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;Nanogrimcat&lt;/b&gt;&lt;br /&gt; Hyrje"	"question1_1_itemTitle01_57bc4b093aa144.84022201_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2789"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Dioksidi i Karbonit në Atmosferën e Tokës&lt;/b&gt;&lt;br /&gt; Pyetja"	"S645_question3_itemTitle3_57bc4b09355410.71749306_0"	"PISA_sqi-MKD_SCI_S645-CarbonDioxideInEarthsAtmosphere_en18_MS2022.xlf"
"2475"	"Low"	"I ulët"	"js_translation_low_57bc4b0914d952.57014965_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1497"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Zogjtë dhe Vemjet &lt;/b&gt;&lt;br /&gt; Pyetja"	"S607_question2_itemTitle2_57bc4b088f2d07.39356183_0"	"PISA_sqi-MKD_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1708"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kuptimi i Cunamit&lt;/b&gt;&lt;br /&gt; Pyetja"	"question4_1_itemTitle04_57bc4b08ac7026.74369891_0"	"PISA_sqi-MKD_SCI_S615-Tsunami_en18_MS2022.xlf"
"1584"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Amonitet &lt;/b&gt;&lt;br /&gt; Pyetja"	"S608_question2_QitemTitle2_57bc4b0898da24.30875818_0"	"PISA_sqi-MKD_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2426"	"select"	"Zgjidh"	"question5_1_o5_0_57bc4b090f3300.23249266_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1324"	"&lt;b&gt;Water from Fog&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Uji nga Mjegulla&lt;/b&gt;&lt;br /&gt; Pyetja"	"S604_question4_itemTitle4_57bc4b087dd9e7.02886828_0"	"PISA_sqi-MKD_SCI_S604-WaterFromFog_en18_MS2022.xlf"
"1948"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus2_attr_alt_attr_stimulus2_4_57bc4b08ca5ed4.12624754_0"	"PISA_sqi-MKD_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1178"	"lower"	"më të ulta"	"S602_question4_S602Q04SELECT32_57bc4b086c2815.88823467_0"	"PISA_sqi-MKD_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"2309"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Infektiv:&lt;/b&gt; Individët në këtë gjendje kanë sëmundje dhe mund të infektojnë të tjerët."	"menu_1_aMenutr2td2_57bc4b09036d29.00591530_0"	"PISA_sqi-MKD_SCI_S634-Vaccination_en18_MS2022.xlf"
"2598"	"Can this question be answered by scientific experiments?"	"Mundet që kësaj pyetje t'i përgjigjemi me anë të eksperimenteve shkencore?"	"S638_question4_Q4_tr1th1_57bc4b09211431.45803603_0"	"PISA_sqi-MKD_SCI_S638-OilSpills_en18_MS2022.xlf"
"2860"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt; Për këtë pyetje ti nuk do të duhet të përdorësh simulimin. Kliko një alternativë dhe më pas jep një shpjegimin për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question6_1_itemDirections06_57bc4b09402a02.79643733_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2817"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara të informacionin e mëposhtëm. Kliko një alternativë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question2_1_itemDirections02_57bc4b093b9041.88588595_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1604"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Amonitet &lt;/b&gt;&lt;br /&gt; Pyetja"	"S608_question3_itemTitle3_57bc4b089a5048.30731481_0"	"PISA_sqi-MKD_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2359"	"Low"	"I ulët"	"stimulus2_1_stimulus2_44_57bc4b0907e2d2.59258179_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1263"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Elefantët dhe Pemët e Akacies&lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question4_itemTitle4_57bc4b087601a0.74622182_0"	"PISA_sqi-MKD_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2542"	"S629 Solar Cooker"	"S629 Furra Djellore"	"S629_stimulus0_unknownID_57bc4b091a4596.74894371_0"	"PISA_sqi-MKD_SCI_S638-OilSpills_en18_MS2022.xlf"
"2361"	"High"	"I lartë"	"stimulus2_1_stimulus2_46_57bc4b0907e804.48296224_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2975"	"Venus"	"Venusit"	"S648_question2_o2_1_57bc4b094f6d37.58453146_0"	"PISA_sqi-MKD_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1731"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kuptimi i Cunamit&lt;/b&gt;&lt;br /&gt; Pyetja"	"question6_1_itemTitle06_57bc4b08aee9a9.96471985_0"	"PISA_sqi-MKD_SCI_S615-Tsunami_en18_MS2022.xlf"
"1623"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Amonitet &lt;/b&gt;&lt;br /&gt; Pyetja"	"S608_question4_itemTitle4_57bc4b089bad20.15103351_0"	"PISA_sqi-MKD_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2630"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Krahasimi i Llambave të Dritës&lt;/b&gt;&lt;br /&gt; Pyetja"	"question3_1_itemTitle03_57bc4b09275d79.72903800_0"	"PISA_sqi-MKD_SCI_S643-LightBulbs_en18_MS2022.xlf"
"3049"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Speciet Invazive &lt;/b&gt;&lt;br /&gt; Pyetja"	"S657_question3_itemTitleqS3_57bc4b09590921.26346046_0"	"PISA_sqi-MKD_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"1654"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Robotikët e Kontrolluar nga Truri &lt;/b&gt;&lt;br /&gt; Pyetja"	"S610_question2_QitemTitle2_57bc4b08a3c268.65565786_0"	"PISA_sqi-MKD_SCI_S610-Brain-controlledRobotics_en18_MS2022.xlf"
"3062"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Speciet Invazive &lt;/b&gt;&lt;br /&gt; Pyetja"	"S657_question4_itemTitleqS4_57bc4b095a3ec6.88184288_0"	"PISA_sqi-MKD_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"2901"	"The Run button to display the results."	"Butoni Drejto për të shfaqur rezultatet."	"menu_1_menuLi3_57bc4b09432404.96121677_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2976"	"Earth"	"Tokës"	"S648_question2_o2_2_57bc4b094f6ff8.76389313_0"	"PISA_sqi-MKD_SCI_S648-HabitableZone_en18_MS2022.xlf"
"2258"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Vaksinimi dhe Përhapja e Sëmundjeve&lt;/b&gt;&lt;br /&gt; Pyetja"	"question3_1_itemTitle03_57bc4b08f13cf3.25299573_0"	"PISA_sqi-MKD_SCI_S634-Vaccination_en18_MS2022.xlf"
"24"	"milk (g)"	"ulkonje (g)"	"S326_stimulus1_t1tr1td3_5c3f62948359c1.74000386_2_0"	"PISA_sqi-MKD_SCI_S326-Milk_en21_MS2022.xlf"
"2430"	"select"	"Zgjidh"	"question5_1_o5b_0_57bc4b090f3d74.50391307_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2806"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lexo hyrjen. Pastaj kliko shigjetën TJETR.&lt;/i&gt;"	"question0_1_itemDirections00_57bc4b0939e9b7.36536381_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2355"	"Medium"	"Mesatar"	"stimulus2_1_stimulus2_37_57bc4b0907cfe6.43922134_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2833"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Nanogrimcat&lt;/b&gt;&lt;br /&gt; Pyetja"	"question4_1_itemTitle04_57bc4b093d9bc1.05063582_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2476"	"Medium"	"Mesatar"	"js_translation_medium_57bc4b0914def8.40632781_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2477"	"High"	"I lartë"	"js_translation_high_57bc4b0914e4e2.92126952_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2854"	"Explain your choice."	"Shpjego alternativën tënde."	"question5_1_q05span1_57bc4b093ee291.70506154_0"	"PISA_sqi-MKD_SCI_S646-Nanoparticles_en18_MS2022.xlf"
