"Segment"	"en-ZZ"	"is-IS"	"ID"	"File"
"736"	"Yes"	"JÁ"	"S498_question3_question3_1_50ec5cb11b7629.72564577_0"	"PISA_isl-ISL_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"576"	"No&lt;br /&gt;treatment"	"enginn &lt;br /&gt;áburður"	"S438_stimulus2_chem16_50ec564103ae63.06538562_0"	"PISA_isl-ISL_SCI_S438-GreenParks_en15_MS2022.xlf"
"2456"	"Low"	"Litlar"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2372"	"decrease"	"minni"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2343"	"select"	"Veldu"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2450"	"None"	"Engar"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2371"	"increase"	"meiri"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2943"	"Earth"	"jörð"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_isl-ISL_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2376"	"decrease"	"minni"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Er hægt að svara þessari spurningu með vísindatilraunum?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_isl-ISL_SCI_S638-OilSpills_en15_MS2022.xlf"
"2245"	"Medium"	"Miðlungs"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Miðlungs"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_isl-ISL_SCI_S615-Tsunami_en15_MS2022.xlf"
"273"	"Low"	"Lítill"	"S413_question3_q3t4tr3td2_50ec41e9ee3751.52882342_0"	"PISA_isl-ISL_SCI_S413-PlasticAge_en15_MS2022.xlf"
"737"	"No"	"NEI"	"S498_question3_question3_2_50ec5cb11b9731.70129200_0"	"PISA_isl-ISL_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"935"	"higher"	"hærra"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_isl-ISL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2457"	"Medium"	"Miðlungs"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakteríur"	"S478_question1_question1_3_50ed1d2da2c150.38162413_0"	"PISA_isl-ISL_SCI_S478-Antibiotics_en15_MS2022.xlf"
"262"	"High"	"Mikill"	"S413_question3_q3t3tr3td2_50ec41e9ee0342.88239490_0"	"PISA_isl-ISL_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2370"	"select"	"Veldu"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2556"	"Oil Spills"	"Olíuleki"	"S638_stimulus1_attr_alt_attr_stimulus1_1_51804fe1904d11.47600391_0"	"PISA_isl-ISL_SCI_S638-OilSpills_en15_MS2022.xlf"
