"Segment"	"en-ZZ"	"ms-MY"	"ID"	"File"
"3483"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan jawapan untuk menjawab soalan. &lt;/i&gt;"	"R556_question8_itemDirections_56fc783adbd281.82516807_1_0"	"PISA_msa-MYS_REA_R556-Microlending_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Klik pada anak panah SETERUSNYA untuk membaca risalah tersebut."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_msa-MYS_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Klik pada anak panah SETERUSNYA untuk membaca halaman web tersebut."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5389"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Penerjun Bomba&lt;/b&gt;&lt;br /&gt;"	"R568_question10_q10itemTitle_56fc78791dbdc7.59469592_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5226"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Penerjun Bomba&lt;/b&gt;&lt;br /&gt;"	"R567_question02_q02itemTitle_56fc78790d26c9.15142193_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5293"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Penerjun Bomba&lt;/b&gt;&lt;br /&gt;"	"R567_question07_q07itemTitle_56fc787913c8e8.03622391_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1474"	"Hey, look at this announcement for the chess club."	"Eh, tengok pengumuman tentang Kelab Catur."	"Q02R542_question_Convp6_56fc782107fb61.52791553_1_0"	"PISA_msa-MYS_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Klik pada anak panah &quot;SETERUSNYA&quot; untuk membaca laman web tersebut."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_msa-MYS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5309"	"According to the information in the text, are the statements in the table below true or false?"	"Berdasarkan maklumat dalam petikan, adakah pernyataan di dalam jadual di bawah betul atau salah?"	"R567_question08_q08p1_56fc78791575d5.59175189_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2613"	"Click on the choices in the table to answer the question."	"Klik pada pilihan dalam jadual untuk menjawab soalan."	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_1_0"	"PISA_msa-MYS_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5308"	"Click on the choices in the table to answer the question."	"Klik pada pilihan jawapan di dalam jadual untuk menjawab soalan."	"R567_question08_q08itemDirections_56fc78791571c6.14754122_1_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5543"	"False"	"Salah"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_msa-MYS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1064"	"Post code:"	"Poskod:"	"R466_stimulus_line12_50d37b06ce1cd5.20242098_0"	"PISA_msa-MYS_REA_R466-WorkRight_en15_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Rujuk kedua-dua sumber di sebelah kanan dengan mengklik setiap tab."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_msa-MYS_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"Rujuk kedua-dua sumber di sebelah kanan dengan mengklik setiap tab."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_msa-MYS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Klik pada anak panah SETERUSNYA untuk membaca cerita tersebut."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_msa-MYS_REA_R570-TheFavour_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"Rujuk kedua-dua sumber di sebelah kanan dengan mengklik setiap tab."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_msa-MYS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Kemudian klik pada anak panah SETERUSNYA .&lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_msa-MYS_REA_R556-Microlending_en18_MS2022.xlf"
"1368"	"Refer to the flyer and the webpage on the right by clicking on each of the tabs."	"Rujuk risalah dan laman web di sebelah kanan dengan mengklik pada setiap tab."	"Q11_question_Q11itemDirections_56fc7820daace5.46406594_0_0"	"PISA_msa-MYS_REA_R541-Plastic_en18_MS2022.xlf"
"5393"	"Click on a choice to answer the question."	"Klik pada satu pilihan untuk menjawab soalan."	"R568_question10_q10itemDirections_56fc78791dc480.80691911_1_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5270"	"False"	"Salah"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5312"	"True"	"Betul"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4730"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"R564_question05_q05itemDirections_56fc783b60b828.68348774_1_0"	"PISA_msa-MYS_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2722"	"Dedicated to the preservation of this important landmark"	"Khusus untuk pemeliharaan mercu tanda yang penting"	"R550_hours_hours-tagline_56fc785ccf5622.79476431_0"	"PISA_msa-MYS_REA_R550-CliffPalace_en18_MS2022.xlf"
"5170"	"What is a Smokejumper?"	"Apakah ahli Penerjun Bomba?"	"R567_stimulus4_stimulus4_4_56fc7879084fe1.85942300_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Untuk pembeliaan antara RM300 hingga RM749.99, Daya Efisien akan membayar balik wang anda sebanyak RM&lt;span id=&quot;q3key&quot;&gt;100&lt;/span&gt;.00.&lt;br /&gt; &gt; Untuk pembelian antara RM750.00 hingga RM1499.95, Daya Efisien akan membayar balik wang anda sejumlah RM200.00.&lt;br /&gt; &gt; Untuk pembelian melebihi RM1,500, Daya Efisien akan membayar balik wang anda sejumlah RM500.00.&lt;br /&gt;"	"R466_stimulus_line5_50d37b06cde2e7.58182245_0"	"PISA_msa-MYS_REA_R466-WorkRight_en15_MS2022.xlf"
"5247"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Penerjun Bomba&lt;/b&gt;&lt;br /&gt;"	"R567_question04_q04itemTitle_56fc78790f83e6.53078349_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4585"	"Click on one or more boxes to answer the question."	"Klik pada satu atau beberapa petak untuk menjawab soalan."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_msa-MYS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4567"	"Click on a choice to answer the question."	"Klik pada satu pilihan untuk menjawab soalan."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_1_0"	"PISA_msa-MYS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4178"	"&lt;b&gt;Olympic Flag&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Sukan Olimpik&lt;/b&gt;&lt;br /&gt;"	"R561_question05_q05itemTitle_56fc785d2db558.23201872_0_0"	"PISA_msa-MYS_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2547"	"Click on a choice to answer the question."	"Klik pada satu pilihan untuk menjawab soalan."	"R549_question05_q05itemDirections_56fc786ad175f6.19547762_1_0"	"PISA_msa-MYS_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2711"	"Home"	"Laman Utama"	"R550_general_info_gi_l1_56fc785ccd89f9.96697154_0"	"PISA_msa-MYS_REA_R550-CliffPalace_en18_MS2022.xlf"
"4298"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_msa-MYS_REA_R562-OpeningNight_en18_MS2022.xlf"
"5649"	"Then click on the NEXT arrow."	"Kemudian klik pada anak panah &quot;SETERUSNYA&quot;."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_1_0"	"PISA_msa-MYS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2753"	"Home"	"Laman Utama"	"R550_map_map_l1_56fc785cd177d9.30991384_0"	"PISA_msa-MYS_REA_R550-CliffPalace_en18_MS2022.xlf"
"3262"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan untuk menjawab soalan.&lt;/i&gt;"	"R553_question4_q04itemDirections_56fc784a5fe943.11595551_1_0"	"PISA_msa-MYS_REA_R553-HealthForum_en18_MS2022.xlf"
"304"	"S"	"A"	"R219_stimulus_stimulus_10_50d36d9568b0d6.48613579_0"	"PISA_msa-MYS_REA_R219-Employment_en15_MS2022.xlf"
"4552"	"Click on a choice to answer the question."	"Klik pada satu pilihan untuk menjawab soalan."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_1_0"	"PISA_msa-MYS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1142"	"Refer to “Building a Legend” on the right."	"Rujuk &quot;Membina Legenda&quot; di sebelah kanan."	"R540Q04Body_Q04itemDirections_56fc7820b41a48.49456535_0_0"	"PISA_msa-MYS_REA_R540-BuildingALegend_en18_MS2022.xlf"
"5644"	"Then click on the NEXT arrow."	"Kemudian klik pada anak panah &quot;SETERUSNYA&quot;."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_msa-MYS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan jawapan, kemudian taipkan satu penjelasan untuk menjawab soalan.&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_msa-MYS_REA_R544-Tesla_en18_MS2022.xlf"
"5542"	"True"	"Betul"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_msa-MYS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Klik pada hasil carian untuk menjawab soalan."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_msa-MYS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1062"	"County/ State:"	"Negeri:"	"R466_stimulus_s2line11_50d37b06ce15a9.96734265_0"	"PISA_msa-MYS_REA_R466-WorkRight_en15_MS2022.xlf"
"5952"	"You are the best!"	"Kamu memang yang terbaik!"	"R570_question01_question01_6_56fc787977d633.63836083_0"	"PISA_msa-MYS_REA_R570-TheFavour_en18_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Klik pada anak panah SETERUSNYA untuk membaca laman web tersebut."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_msa-MYS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6175"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Kemudian klik anak panah SETERUSNYA.&lt;/i&gt;"	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_msa-MYS_REA_R590-Sentences01_en18_MS2022.xlf"
"965"	"&lt;i&gt;Refer to &quot;Gulf of Mexico&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Rujuk kepada &quot;Teluk Mexico&quot; di sebelah kanan. Klik pada satu pilihan jawapan untuk menjawab soalan.&lt;/i&gt;"	"R460_question_itemDirections_50d37cb200b274.32704335_0"	"PISA_msa-MYS_REA_R460-GulfOfMexico_en15_MS2022.xlf"
"5229"	"Refer to “What is a Smokejumper?” on the right."	"Rujuk &quot;Apakah itu Penerjun Bomba?&quot; di sebelah kanan."	"R567_question02_q02itemDirections_56fc78790d2db7.39880018_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2723"	"Home"	"Laman Utama"	"R550_hours_hours_l1_56fc785ccf6140.31847109_0"	"PISA_msa-MYS_REA_R550-CliffPalace_en18_MS2022.xlf"
"5403"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Penerjun Bomba&lt;/b&gt;&lt;br /&gt;"	"R567_question11_q11itemTitle_56fc78791fec70.98158498_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4139"	"No"	"Tidak."	"R561_question02_question02_4_56fc785d28db27.52696289_0"	"PISA_msa-MYS_REA_R561-OlympicFlag_en18_MS2022.xlf"
"576"	"The worst has happened"	"Perkara yang paling buruk telah berlaku"	"R220_stimulus_stimulusHQ4_3_50d37454bc16f8.62001395_0"	"PISA_msa-MYS_REA_R220-SouthPole_en15_MS2022.xlf"
"4423"	"About Us"	"Tentang Kami"	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_msa-MYS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5244"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"R567_question03_q03itemDirections_56fc78790e6414.00199794_1_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1518"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"Q06R542_question_Q06itemDirections_56fc78210ed8a8.98737802_1_0"	"PISA_msa-MYS_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2120"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_1_0"	"PISA_msa-MYS_REA_R545-MachuPicchu_en18_MS2022.xlf"
"6072"	"Type your answer to the question."	"Taipkan jawapan anda soalan yang diberi."	"R570_question09_q09itemDirections_56fc7879881e32.81696271_1_0"	"PISA_msa-MYS_REA_R570-TheFavour_en18_MS2022.xlf"
"3454"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan jawapan untuk menjawab soalan. &lt;/i&gt;"	"R556_question5_itemDirections_56fc783ac89735.55151724_1_0"	"PISA_msa-MYS_REA_R556-Microlending_en18_MS2022.xlf"
"2102"	"True"	"Betul"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_msa-MYS_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5043"	"Click on a choice to answer the question."	"Klik pada satu pilihan untuk menjawab soalan."	"R566_question03_q03itemDirections_56fc786b848714.63479915_1_0"	"PISA_msa-MYS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3694"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan untuk menjawab soalan.&lt;/i&gt;"	"R558_question6_itemDirections_56fc786b0f3f55.03223461_1_0"	"PISA_msa-MYS_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1848"	"Click on the NEXT arrow to read the first source."	"Klik pada anak panah SETERUSNYA untuk membaca sumber yang pertama."	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_msa-MYS_REA_R544-Tesla_en18_MS2022.xlf"
"4738"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"R564_question06_q06itemDirections_56fc783b61d750.86234618_1_0"	"PISA_msa-MYS_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Menurut risalah, adakah pernyataan tersebut betul atau salah?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_msa-MYS_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1312"	"True"	"Betul"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_msa-MYS_REA_R541-Plastic_en18_MS2022.xlf"
"2296"	"Type your answer to the question.&lt;/i&gt;"	"Taipkan jawapan anda untuk soalan tersebut.&lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_msa-MYS_REA_R547-BookSurvey_en18_MS2022.xlf"
"4225"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"R561_question09_q09itemDirections_56fc785d33ecc7.05935368_1_0"	"PISA_msa-MYS_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1469"	"You will still see them eventually."	"Keputusan tetap akan diumumkan juga."	"Q02R542_question_Convp4_56fc782107f633.50285251_2_0"	"PISA_msa-MYS_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4355"	"About Us"	"Tentang Kami"	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_msa-MYS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klik &lt;b&gt;Ya &lt;/b&gt; atau &lt;b&gt;Tidak&lt;/b&gt; untuk setiap pernyataan."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_msa-MYS_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3626"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan untuk menjawab soalan.&lt;/i&gt;"	"R558_question01_itemDirections_56fc786b088cb0.75370623_1_0"	"PISA_msa-MYS_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"Antara RM750 sehingga RM1499.95&lt;br /&gt;"	"R466_stimulus_sect3left_50d37b06ce3463.62667661_0"	"PISA_msa-MYS_REA_R466-WorkRight_en15_MS2022.xlf"
"5951"	"I had fun the last time I stayed with them."	"Saya seronok sewaktu bersama mereka dahulu."	"R570_question01_question01_5_56fc787977d263.09341473_0"	"PISA_msa-MYS_REA_R570-TheFavour_en18_MS2022.xlf"
"4919"	"Newspaper Article"	"Artikel Surat Khabar"	"R566_Stimulus01_stimulus1_4_56fc786b72cd07.38862724_0"	"PISA_msa-MYS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5304"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Penerjun Bomba&lt;/b&gt;&lt;br /&gt;"	"R567_question08_q08itemTitle_56fc7879156b05.11566544_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawapan, kemudian taipkan penjelasan untuk menjawab soalan tersebut."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_msa-MYS_REA_R569-TheCleanup_en18_MS2022.xlf"
"5269"	"True"	"Betul"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5005"	"Click on the NEXT arrow to read the article."	"Klik pada anak panah SETERUSNYA untuk membaca artikel tersebut."	"q00a-body_q00a-p2_56fc786b7b5061.84844809_0"	"PISA_msa-MYS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Rujuk kepada Carian Laman web di sebelah kanan."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2527"	"Click on a choice to answer the question."	"Klik pada satu pilihan untuk menjawab soalan."	"R549_question03_q03itemDirections_56fc786ace3d99.90483432_1_0"	"PISA_msa-MYS_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1066"	"What is the total value of the Work Right office supplies* that you have purchased?&lt;br /&gt;"	"Apakah jumlah nilai pembelian bekalan peralatan pejabat Daya Efisyen yang telah anda buat??&lt;br /&gt;"	"R466_stimulus_section3_50d37b06ce24b6.75337955_0"	"PISA_msa-MYS_REA_R466-WorkRight_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"Klik pada satu pilihan, kemudian taipkan penjelasan untuk jawapan anda."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_msa-MYS_REA_R561-OlympicFlag_en18_MS2022.xlf"
"321"	"PHONE"	"NO. TEL."	"R219_stimulus_sect4Line2span3_50d36d95695194.84284186_0"	"PISA_msa-MYS_REA_R219-Employment_en15_MS2022.xlf"
"4167"	"True"	"Betul"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_msa-MYS_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2268"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan jawapan untuk menjawab soalan."	"R547_question2_itemDirections_56fc782e072020.06902189_1_0"	"PISA_msa-MYS_REA_R547-BookSurvey_en18_MS2022.xlf"
"1369"	"Type your answer to the question."	"Taip jawapan untuk soalan tersebut."	"Q11_question_Q11itemDirections_56fc7820daace5.46406594_1_0"	"PISA_msa-MYS_REA_R541-Plastic_en18_MS2022.xlf"
"893"	"Statement"	"Kenyataan"	"R455_question_tr1th1_50d37024129c58.73766627_0"	"PISA_msa-MYS_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"4618"	"Click on a choice to answer the question."	"Klik pada satu pilihan untuk menjawab soalan."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_1_0"	"PISA_msa-MYS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2710"	"Dedicated to the preservation of this important landmark"	"Khusus untuk pemeliharaan mercu tanda yang penting"	"R550_general_info_general-tagline_56fc785ccd8013.79800961_0"	"PISA_msa-MYS_REA_R550-CliffPalace_en18_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan, kemudian taipkan penerangan untuk menjawab soalan."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_msa-MYS_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5371"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Penerjun Bomba&lt;/b&gt;&lt;br /&gt;"	"q0a-body_itemTitle0a_56fc787919bdd8.02380056_0_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2898"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_msa-MYS_REA_R550-CliffPalace_en18_MS2022.xlf"
