"Segment"	"en-ZZ"	"ar-SA"	"ID"	"File"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"انقر على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; لكل عبارة."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_ara-SAU_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1588"	"2 stars"	"نجمتان"	"Page01_stimulus_S01tr5td1_5c9d214aee5d63.99362511_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1595"	"1 star"	"نجمة واحدة"	"Page01_stimulus_S01tr6td1_5c9d214aee6699.36998340_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"انقر على مربع واحد أو أكثر للإجابة عن السؤال."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_ara-SAU_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"انقر على مربع واحد أو أكثر للإجابة عن السؤال."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_ara-SAU_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"استخدم السحب والإفلات للإجابة عن السؤال."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_ara-SAU_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"2348"	"Explain your answer."	"اشرح إجابتك."	"Q2MA122_question_Q2ItmStmP4Id_5c9d214b6c2632.07402001_0"	"PISA_ara-SAU_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"لاستخدام الحاسبة، أتبع هذه الخطوات:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ara-SAU_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2187"	"Then click on the NEXT arrow."	"ثم انقر على سهم &quot;التالي&quot;"	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_1_0"	"PISA_ara-SAU_MAT_MA126-Robot_en21_MS2022.xlf"
"1716"	"Then click on the NEXT arrow."	"ثم انقر على سهم &quot;التالي&quot;"	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_1_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_ara-SAU_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"انقر على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; لكل عبارة."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_ara-SAU_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_ara-SAU_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_ara-SAU_MAT_MA141-WaterBill_en21_MS2022.xlf"
"2818"	"Answer:"	"الجواب"	"MA131_question3_question03_3_5c9d214ba45152.27501247_0"	"PISA_ara-SAU_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"انقر على مريعين للإجابة عن السؤال"	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ara-SAU_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1976"	"Explain your answer."	"اشرح إجابتك."	"Q3MA124_question_MA124Q03P3_5c9d214b42a550.23637236_0"	"PISA_ara-SAU_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"انقر على مربع واحد أو أكثر للإجابة عن السؤال."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_ara-SAU_MAT_MA114-Honey_en21_MS2022.xlf"
"3612"	"Answer:"	"الجواب"	"MA140_question1_asp1_5c9d21649b6482.63836652_0"	"PISA_ara-SAU_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"باستخدام مفاتيح الأرقام، اكتب إجاباتك عن السؤال."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_ara-SAU_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_ara-SAU_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"1485"	"Answer:"	"الجواب"	"MA119_question3_question2_1_5c9d214ad816e2.43037980_0"	"PISA_ara-SAU_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"1715"	"Read the introduction."	"إقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_0_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"استخدم السحب والإفلات للإجابة عن السؤال."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_ara-SAU_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
