"Segment"	"en-ZZ"	"mn-MN"	"ID"	"File"
"4442"	"Refer to the different webpages of the website on the right."	"Баруун талын вебсайтын өөр өөр веб хуудсуудыг уншаад,"	"R563_question06_q06itemDirections_5c9d225ab08fb8.61774619_0_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3511"	"Click on a choice to answer the question.&lt;/i&gt;"	"Aсуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R556_question1_itemDirections_5c9d21a0206c18.88355179_2_0"	"PISA_mon-MNG_REA_R556-Microlending_en21_MS2022.xlf"
"4431"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R563_question05_q05itemDirections_5c9d225aaed320.38553670_1_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5244"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q0a-body_q0a-itemDirections_5c9d225b9c1047.88297843_0_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5196"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R568_question03_q03itemDirections_5c9d225b919bb2.38251586_1_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2921"	"Home"	"Эхлэл"	"R550_hours_hours_l1_5c9d219f6f74e2.38726693_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"4174"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q00body_q00itemDirections_5c9d225a833923.77937199_0_0"	"PISA_mon-MNG_REA_R562-OpeningNight_en21_MS2022.xlf"
"3579"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд хүснэгтийн сонголтууд дээр дарна уу.&lt;/i&gt;"	"R556_question10_itemDirections_5c9d21a02dd603.46615228_1_0"	"PISA_mon-MNG_REA_R556-Microlending_en21_MS2022.xlf"
"4963"	"on the right."	"-г уншаад,"	"R567_question03_q03itemDirections_5c9d225b5d0026.69007205_1_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4792"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q00a-body_q00a-itemDirections_5c9d225b241a05.89342632_0_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5265"	"Who's in the Chat"	"Бүлэг ярианд хэн хэн байна вэ?"	"R569_stimulus1_chatMemberListTitle2_5c9d225bb89a12.88557112_0"	"PISA_mon-MNG_REA_R569-TheCleanup_en21_MS2022.xlf"
"5513"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q00a-body_q00a-itemDirections_5c9d225be27017.66409098_0_0"	"PISA_mon-MNG_REA_R570-TheFavour_en21_MS2022.xlf"
"3956"	"Click on the NEXT arrow to read the article."	"Нийтлэлийг уншихын тулд ДАРААХ гэсэн суман дээр дарна уу."	"q00bbody_q00bp2_5c9d225a325971.00134322_0"	"PISA_mon-MNG_REA_R560-GarbagePatch_en21_MS2022.xlf"
"4466"	"Subject:"	"Гарчиг:"	"R563_question10_r2c1_5c9d225aba44d4.28425682_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4344"	"Date"	"Огноо"	"R563-stimulus-communtity_stimulus_culture_sports_10_5c9d225aa35183.56672884_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2561"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R547_question01_itemDirections_5c9d219f166ae3.43581469_1_0"	"PISA_mon-MNG_REA_R547-BookSurvey_en21_MS2022.xlf"
"3906"	"Click on a search result to answer the question."	"асуултанд хариулахын тулд хайлтын үр дүн дээр дарна уу."	"R560_question01_q01itemDirections_5c9d225a275490.54340907_1_0"	"PISA_mon-MNG_REA_R560-GarbagePatch_en21_MS2022.xlf"
"2332"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Сонголт дээр дараад, асуултад хариулж бичнэ үү.&lt;/i&gt;"	"R544_question6_itemDirections_5c9d219eb685e2.41999055_1_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"4407"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R563_question02_q02itemDirections_5c9d225aa9b1d6.23322413_1_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4184"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R562_question01_q01itemDirections_5c9d225a8485a4.12121265_1_0"	"PISA_mon-MNG_REA_R562-OpeningNight_en21_MS2022.xlf"
"4728"	"Newspaper Article"	"Сонины Нийтлэл"	"R566_Stimulus04_stimulus4_4_5c9d225b1ef5a0.12653615_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"1921"	"Click on a choice to answer the question."	"Асуултад тохирох хариулт дээр дарна уу."	"Q01R542_question_Q01itemDirections_5c9d219e569770.48823427_1_0"	"PISA_mon-MNG_REA_R542-BulletinBoard_en21_MS2022.xlf"
"4458"	"Type your answers to the question."	"асуултад хариулж бичнэ үү."	"R563_question10_q10itemDirections_5c9d225aba3a33.94198593_1_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2291"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд хүснэгтийн сонголтууд дээр дарна уу.&lt;/i&gt;"	"R544_question13_itemDirections_5c9d219eb05504.42221208_1_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"2427"	"Click on a choice to answer the question."	"Асуултад тохирох хариулт дээр дарна уу."	"R545_question02_Q06itemDirections_5c9d219ede3495.87550824_1_0"	"PISA_mon-MNG_REA_R545-MachuPicchu_en21_MS2022.xlf"
"3548"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R556_question5_itemDirections_5c9d21a02610c3.63790339_1_0"	"PISA_mon-MNG_REA_R556-Microlending_en21_MS2022.xlf"
"2589"	"Type your answer to the question.&lt;/i&gt;"	"асуултад хариулж бичнэ үү.&lt;/i&gt;"	"R547_question01_itemDirections_5c9d219f1a9276.29525184_1_0"	"PISA_mon-MNG_REA_R547-BookSurvey_en21_MS2022.xlf"
"5696"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q0cR590_question_q0citemDirections_5c9d225c188e29.39374988_0_0"	"PISA_mon-MNG_REA_R590-Sentences01_en21_MS2022.xlf"
"5685"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q0aR590_question_q0aitemDirections_5c9d225c163889.38571216_0_0"	"PISA_mon-MNG_REA_R590-Sentences01_en21_MS2022.xlf"
"2567"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R547_question2_itemDirections_5c9d219f17c6f8.51935753_1_0"	"PISA_mon-MNG_REA_R547-BookSurvey_en21_MS2022.xlf"
"2595"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R547_question6_itemDirections_5c9d219f1d98c8.80414353_1_0"	"PISA_mon-MNG_REA_R547-BookSurvey_en21_MS2022.xlf"
"4677"	"Type your answer to the question.&lt;/i&gt;"	"асуултад хариулж бичнэ үү.&lt;/i&gt;"	"R565_question4_itemDirections_5c9d225b01d412.72172684_1_0"	"PISA_mon-MNG_REA_R565-SittingDisease_en21_MS2022.xlf"
"2394"	"Click on a choice to answer the question."	"Асуултад тохирох хариулт дээр дарна уу."	"R545_question02_Q02itemDirections_5c9d219ed9e468.02233634_1_0"	"PISA_mon-MNG_REA_R545-MachuPicchu_en21_MS2022.xlf"
"5054"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q0b-body_q0b-itemDirections_5c9d225b6a82b7.29262010_0_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"2578"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R547_question01_itemDirections_5c9d219f193cb0.19049584_1_0"	"PISA_mon-MNG_REA_R547-BookSurvey_en21_MS2022.xlf"
"5424"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"q4R569_question_q04itemDirections_5c9d225bc32b91.09930143_1_0"	"PISA_mon-MNG_REA_R569-TheCleanup_en21_MS2022.xlf"
"4805"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q00c-body_q00c-itemDirections_5c9d225b268d16.70648842_0_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2268"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Баруун талд байгаа хоёр өгүүлэл тус бүрийн гарчиг дээр дарж уншина уу."	"R544_question11_itemDirections_5c9d219ead6f93.72484522_0_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"4430"	"Refer to the different webpages of the website on the right."	"Баруун талын веб сайтын өөр өөр веб хуудсуудыг уншаад,"	"R563_question05_q05itemDirections_5c9d225aaed320.38553670_0_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4494"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q00body_q00itemDirections_5c9d225ad63037.10388777_0_0"	"PISA_mon-MNG_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"414"	"TO"	"ГАРСАН"	"R219_stimulus_sect4Line3span4_5c9d217d855d68.15726277_0"	"PISA_mon-MNG_REA_R219-Employment_en21_MS2022.xlf"
"2771"	"Click on a choice to answer the question."	"Асуултад тохирох хариулт дээр дарна уу."	"R549_question03_q03itemDirections_5c9d219f4a00c1.19843636_1_0"	"PISA_mon-MNG_REA_R549-MessageInABottle_en21_MS2022.xlf"
"3699"	"Click on a choice to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R558_question5_itemDirections_5c9d2259db4ee2.88569696_1_0"	"PISA_mon-MNG_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"3537"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R556_question4_itemDirections_5c9d21a024b0e0.57299231_1_0"	"PISA_mon-MNG_REA_R556-Microlending_en21_MS2022.xlf"
"4113"	"Click on a choice and then type an explanation to answer the question."	"Асуултад хариулахын тулд сонголт дээр дарж, хариулж бичнэ үү."	"R561_question07_q07itemDirections_5c9d225a5fcd11.45735862_1_0"	"PISA_mon-MNG_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4861"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R566_question06_q06itemDirections_5c9d225b2fd044.38681925_1_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2951"	"Home"	"Эхлэл"	"R550_map_map_l1_5c9d219f71ad92.50523067_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"1810"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Тайлбар бүрийн &lt;b&gt;Үнэн&lt;/b&gt; эсвэл &lt;b&gt;Худал&lt;/b&gt; дээр дарна уу."	"Q07_question_Q07p2_5c9d219e3bd593.06084435_1_0"	"PISA_mon-MNG_REA_R541-Plastic_en21_MS2022.xlf"
"4666"	"Click on a choice to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R565_question_itemDirections_5c9d225b006c81.28991002_1_0"	"PISA_mon-MNG_REA_R565-SittingDisease_en21_MS2022.xlf"
"3778"	"Click on the NEXT arrow to read the article."	"Нийтлэлийг уншихын тулд ДАРААХ гэсэн суман дээр дарна уу."	"q00body_q00p2_5c9d225a083717.02980991_0"	"PISA_mon-MNG_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"4499"	"Click on the NEXT arrow to read the brochure."	"Товхимлыг уншихын тулд ДАРААХ гэсэн суман дээр дарна уу."	"q00body_q00p3_5c9d225ad634e6.58888224_0"	"PISA_mon-MNG_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"5063"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R568_question10_q10itemDirections_5c9d225b6c40d0.03274707_1_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3735"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Баруун талд байгаа хоёр эх сурвалжийн гарчиг бүр дээр дарж харна уу."	"R558_question09_itemDirections_5c9d2259e1b900.05466895_0_0"	"PISA_mon-MNG_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"1807"	"Click on the choices in the table to answer the question."	"хүснэгт дэх сонголтууд дээр дарж, асуултад хариулна уу."	"Q07_question_Q07itemDirections_5c9d219e3bd283.68280238_1_0"	"PISA_mon-MNG_REA_R541-Plastic_en21_MS2022.xlf"
"5539"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R570_question01_q01itemDirections_5c9d225be5e855.55796963_1_0"	"PISA_mon-MNG_REA_R570-TheFavour_en21_MS2022.xlf"
"3945"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q00abody_q00aitemDirections_5c9d225a310689.57957911_0_0"	"PISA_mon-MNG_REA_R560-GarbagePatch_en21_MS2022.xlf"
"2342"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R544_question9_itemDirections_5c9d219eb9e0e2.04420842_1_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"4406"	"Refer to the different webpages of the website on the right."	"Баруун талын веб сайтын өөр өөр веб хуудсуудыг уншаад,"	"R563_question02_q02itemDirections_5c9d225aa9b1d6.23322413_0_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4388"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q00-body_q00-itemDirections_5c9d225aa68e90.08981570_0_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3526"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R556_question3_itemDirections_5c9d21a0235112.70152956_2_0"	"PISA_mon-MNG_REA_R556-Microlending_en21_MS2022.xlf"
"4676"	"&lt;i&gt;Refer to the posters on the right by clicking on each of the tabs."	"&lt;i&gt;Баруун талд байгаа гарчиг тус бүр дээр дарж, зурагт хуудсуудыг үзээд,"	"R565_question4_itemDirections_5c9d225b01d412.72172684_0_0"	"PISA_mon-MNG_REA_R565-SittingDisease_en21_MS2022.xlf"
"2972"	"Home"	"Эхлэл"	"R550_tours_tours_l1_5c9d219f73c501.53921291_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"2269"	"Click on a choice to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R544_question11_itemDirections_5c9d219ead6f93.72484522_1_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"374"	"T"	"ПҮРЭВ"	"R219_stimulus_stimulus_7_5c9d217d852330.84258918_0"	"PISA_mon-MNG_REA_R219-Employment_en21_MS2022.xlf"
"2881"	"Home"	"Эхлэл"	"R550_cliff_palace_cp_l1_5c9d219f6c6e76.72621375_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"4848"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R566_question05_q05itemDirections_5c9d225b2e4c18.97287601_1_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2826"	"Click on the choices in the table to answer the question."	"Хүснэгт дэх сонголтууд дээр дарж, асуултад хариулна уу."	"R549_question09_q09itemDirections_5c9d219f52dd35.44656995_1_0"	"PISA_mon-MNG_REA_R549-MessageInABottle_en21_MS2022.xlf"
"2909"	"Home"	"Эхлэл"	"R550_general_info_gi_l1_5c9d219f6ddd90.11128819_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"3720"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Баруун талд байгаа хоёр эх сурвалжийн гарчиг бүр дээр дарж харна уу."	"R558_question8_itemDirections_5c9d2259dff4b4.26787399_0_0"	"PISA_mon-MNG_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4527"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R564_question03_q03itemDirections_5c9d225ad99568.65149557_1_0"	"PISA_mon-MNG_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"4058"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q00b-body_q00b-p1_5c9d225a4fc501.93826266_0_0"	"PISA_mon-MNG_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4973"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R567_question04_q04itemDirections_5c9d225b5e6145.15954865_2_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4516"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R564_question02_q02itemDirections_5c9d225ad871c4.82679481_1_0"	"PISA_mon-MNG_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"5529"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q00c-body_q00c-itemDirections_5c9d225be4b0a6.34337423_0_0"	"PISA_mon-MNG_REA_R570-TheFavour_en21_MS2022.xlf"
"5224"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R568_question06_q06itemDirections_5c9d225b95c7c2.45173392_1_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5041"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q0a-body_q0a-itemDirections_5c9d225b68ba89.64609386_0_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5576"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R570_question05_q05itemDirections_5c9d225beb6572.44466392_1_0"	"PISA_mon-MNG_REA_R570-TheFavour_en21_MS2022.xlf"
"4418"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_1_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"377"	"S"	"НЯМ"	"R219_stimulus_stimulus_10_5c9d217d8526b1.00443229_0"	"PISA_mon-MNG_REA_R219-Employment_en21_MS2022.xlf"
"2625"	"Type your answer to the questions.&lt;/i&gt;"	"асуултын хариултаа бичнэ үү.&lt;/i&gt;"	"R547_question9_itemDirections_5c9d219f211822.28206430_1_0"	"PISA_mon-MNG_REA_R547-BookSurvey_en21_MS2022.xlf"
"3525"	"on the right."	"гэсэн сэдвийг уншаад,"	"R556_question3_itemDirections_5c9d21a0235112.70152956_1_0"	"PISA_mon-MNG_REA_R556-Microlending_en21_MS2022.xlf"
"2280"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Сонголт дээр дараад, асуултад хариулаад, тайлбар  бичнэ үү.&lt;/i&gt;"	"R544_question12_itemDirections_5c9d219eaecf11.08950368_1_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"4457"	"Refer to the different webpages of the website on the right."	"Баруун талын веб сайтын өөр өөр веб хуудсуудыг уншаад,"	"R563_question10_q10itemDirections_5c9d225aba3a33.94198593_0_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2405"	"Click on the choices in the table to answer the question."	"Хүснэгт дэх сонголтууд дээр дарж, асуултад хариулна уу."	"R545_question03_Q03itemDirections_5c9d219edb2657.97091233_1_0"	"PISA_mon-MNG_REA_R545-MachuPicchu_en21_MS2022.xlf"
"2608"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд хүснэгтийн сонголтууд дээр дарна уу.&lt;/i&gt;"	"R547_question7_itemDirections_5c9d219f1f6623.95886149_1_0"	"PISA_mon-MNG_REA_R547-BookSurvey_en21_MS2022.xlf"
"2156"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R543_question6_itemDirections_5c9d219e841e59.06022258_1_0"	"PISA_mon-MNG_REA_R543-Nobel_en21_MS2022.xlf"
"2112"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Сонголт дээр дараад, асуултад хариулж бичнэ үү.&lt;/i&gt;"	"R543_question11_itemDirections_5c9d219e7bf886.70940930_1_0"	"PISA_mon-MNG_REA_R543-Nobel_en21_MS2022.xlf"
"4647"	"Click on a choice to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R565_question01_itemDirections_5c9d225af1ed07.51831905_1_0"	"PISA_mon-MNG_REA_R565-SittingDisease_en21_MS2022.xlf"
"2308"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R544_question_itemDirections_5c9d219eb20160.68433201_1_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"5711"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Дараа нь ДАРААХ гэсэн суман дээр дарна уу.&lt;/i&gt;"	"q00body_q00itemDirections_5c9d225c1daca6.57636802_1_0"	"PISA_mon-MNG_REA_R590-Sentences01_en21_MS2022.xlf"
"2122"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R543_question2_itemDirections_5c9d219e7d71b2.22721691_1_0"	"PISA_mon-MNG_REA_R543-Nobel_en21_MS2022.xlf"
"2133"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R543_question3_itemDirections_5c9d219e7f2af3.30104921_1_0"	"PISA_mon-MNG_REA_R543-Nobel_en21_MS2022.xlf"
"3953"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q00bbody_q00bitemDirections_5c9d225a3256a8.05350415_0_0"	"PISA_mon-MNG_REA_R560-GarbagePatch_en21_MS2022.xlf"
"3806"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R559_question03_q03itemDirections_5c9d225a0bca08.34875790_1_0"	"PISA_mon-MNG_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"3914"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R560_question04_q04itemDirections_5c9d225a2b2482.58661381_1_0"	"PISA_mon-MNG_REA_R560-GarbagePatch_en21_MS2022.xlf"
"3774"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q00body_q00itemDirections_5c9d225a083229.64311247_0_0"	"PISA_mon-MNG_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"1494"	"20"	"20.000"	"R466_stimulus_q3key_5c9d217eb3a336.12358410_0"	"PISA_mon-MNG_REA_R466-WorkRight_en21_MS2022.xlf"
"5074"	"Click on the choices in the table to answer the question."	"Асуултад хариулахын тулд хүснэгтийн сонголтууд дээр дарна уу."	"R567_question11_q11itemDirections_5c9d225b6e1bf5.70371706_1_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3936"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R560_question07_q07itemDirections_5c9d225a2f6d99.11968305_1_0"	"PISA_mon-MNG_REA_R560-GarbagePatch_en21_MS2022.xlf"
"4220"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R562_question05_q05itemDirections_5c9d225a8a72c7.90956094_1_0"	"PISA_mon-MNG_REA_R562-OpeningNight_en21_MS2022.xlf"
