"Segment"	"en-ZZ"	"uk-UA"	"ID"	"File"
"2554"	"Low"	"Малий"	"stimulus2_1_stimulus2_44_5c9d227be14568.23782540_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2555"	"Medium"	"Середній"	"stimulus2_1_stimulus2_45_5c9d227be146a9.40941283_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"678"	"No"	"добрива"	"S438_stimulus2_chem11_5c3f629935a970.96332419_0_0"	"PISA_ukr-UKR_SCI_S438-GreenParks_en21_MS2022.xlf"
"1919"	"Medium"	"Середній"	"sim_1_simSlopeMed_5c9d227b439bf7.99738830_0"	"PISA_ukr-UKR_SCI_S615-Tsunami_en21_MS2022.xlf"
"3095"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"question5_1_itemDirections05_5c9d227c611f47.80605534_1_0"	"PISA_ukr-UKR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"3063"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"question2_1_itemDirections02_5c9d227c5dc4b8.48201619_1_0"	"PISA_ukr-UKR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"1371"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"S604_question4_itemDirections4_5c9d227ac92087.55114583_1_0"	"PISA_ukr-UKR_SCI_S604-WaterFromFog_en21_MS2022.xlf"
"2551"	"High"	"Великий"	"stimulus2_1_stimulus2_38_5c9d227be13d68.33588968_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1010"	"The provision of assistance to victims of natural disasters"	"Надання допомоги жертвам стихійних лих"	"S514_question3_tr4td1_5c3f629c269f98.66601726_0"	"PISA_ukr-UKR_SCI_S514-DevelopmentAndDisaster_en21_MS2022.xlf"
"1263"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"S603_question1_itemDirections1_5c9d227aa98cd8.61789902_1_0"	"PISA_ukr-UKR_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2553"	"None"	"Нуль"	"stimulus2_1_stimulus2_43_5c9d227be143f6.04534828_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2611"	"select"	"Вибрати"	"question3_1_o3b_0_5c9d227be62df9.94958067_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1889"	"Medium"	"Середній"	"js_translation_slopeMedium_5c9d227b3fb996.85405506_0"	"PISA_ukr-UKR_SCI_S615-Tsunami_en21_MS2022.xlf"
"2284"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Виберіть у таблиці відповіді на запитання та клікніть на них.&lt;/i&gt;"	"S629_question2_itemDirections2_5c9d227bac4599.44971614_1_0"	"PISA_ukr-UKR_SCI_S629-SolarCooker_en21_MS2022.xlf"
"3108"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"question6_1_itemDirections06_5c9d227c627d81.36978752_1_0"	"PISA_ukr-UKR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"3102"	"Explain your choice."	"Поясніть Вашу відповідь."	"question5_1_q05span1_5c9d227c6128d6.87427044_0"	"PISA_ukr-UKR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2817"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Клікніть на &lt;b&gt;Так&lt;/b&gt; або &lt;b&gt;Ні&lt;/b&gt; для кожного запитання."	"S638_question4_p41_5c9d227c21dae0.65233789_1_0"	"PISA_ukr-UKR_SCI_S638-OilSpills_en21_MS2022.xlf"
"2818"	"Can this question be answered by scientific experiments?"	"Чи можна на це запитання відповісти за допомогою наукових експериментів?"	"S638_question4_Q4_tr1th1_5c9d227c21dcf7.10199460_0"	"PISA_ukr-UKR_SCI_S638-OilSpills_en21_MS2022.xlf"
"2448"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"question3_1_itemDirections03_5c9d227bc44ae0.03182047_1_0"	"PISA_ukr-UKR_SCI_S634-Vaccination_en21_MS2022.xlf"
"2638"	"select"	"Вибрати"	"question5_1_o5_0_5c9d227be933f2.27989834_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1857"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"question5_1_itemDirections05_5c9d227b3c3211.80677935_1_0"	"PISA_ukr-UKR_SCI_S615-Tsunami_en21_MS2022.xlf"
"2474"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227bc5f702.32317931_1_0"	"PISA_ukr-UKR_SCI_S634-Vaccination_en21_MS2022.xlf"
"2033"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"S625_question2_itemDirections2_5c9d227b6c4dd5.10664341_1_0"	"PISA_ukr-UKR_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"1303"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"S603_question3_itemDirections3_5c9d227aadb029.42295251_0"	"PISA_ukr-UKR_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"1325"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"S603_question5_itemDirections5_5c9d227ab24c25.05100364_0"	"PISA_ukr-UKR_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"1008"	"The use of science to predict natural disasters"	"Використання науки для прогнозування стихійних лих"	"S514_question3_tr2td1_5c3f629c269849.92801084_0"	"PISA_ukr-UKR_SCI_S514-DevelopmentAndDisaster_en21_MS2022.xlf"
"1256"	"Species B"	"Вид В"	"S603_intro_span2_5c9d227aa7d4b7.00858360_0"	"PISA_ukr-UKR_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"3084"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227c5fe8b6.36778135_1_0"	"PISA_ukr-UKR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2642"	"select"	"Вибрати"	"question5_1_o5b_0_5c9d227be93836.04718175_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2607"	"select"	"Вибрати"	"question3_1_o3_0_5c9d227be629b1.76981930_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1957"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"S620_question1_itemDirections4_5c9d227b58ce01.50665487_1_0"	"PISA_ukr-UKR_SCI_S620-Tornadoes_en21_MS2022.xlf"
"1648"	"Species A"	"Вид А"	"S608_stimulus2_le21_5c9d227b14ac74.56530847_0"	"PISA_ukr-UKR_SCI_S608-Ammonoids_en21_MS2022.xlf"
"2245"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Виберіть у таблиці відповіді на запитання та клікніть на них.&lt;/i&gt;"	"S627_question3_itemDirections3_5c9d227b9e55a9.91171542_1_0"	"PISA_ukr-UKR_SCI_S627-CarTyres_en21_MS2022.xlf"
"1649"	"Species B"	"Вид В"	"S608_stimulus2_le22_5c9d227b14ad53.48584981_0"	"PISA_ukr-UKR_SCI_S608-Ammonoids_en21_MS2022.xlf"
"1984"	"May"	"Трав."	"S620_Q2_xq25_5c9d227b5ab2d5.37429741_0"	"PISA_ukr-UKR_SCI_S620-Tornadoes_en21_MS2022.xlf"
"1504"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"S605_question3_itemDirections3_5c9d227add7008.26251355_1_0"	"PISA_ukr-UKR_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"1255"	"Species A"	"Вид А"	"S603_intro_span1_5c9d227aa7d311.55919225_0"	"PISA_ukr-UKR_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2906"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"question6_1_itemDirections06_5c9d227c3849c0.50093527_1_0"	"PISA_ukr-UKR_SCI_S643-LightBulbs_en21_MS2022.xlf"
"24"	"milk (g)"	"вовчиці (г)"	"S326_stimulus1_t1tr1td3_5c3f6294967eb7.62069844_2_0"	"PISA_ukr-UKR_SCI_S326-Milk_en21_MS2022.xlf"
"2339"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Клікніть на &lt;b&gt;Так&lt;/b&gt; або &lt;b&gt;Ні&lt;/b&gt; для кожного запитання."	"S629_question4_itemStem4_5c9d227bb01a64.85309226_6_0"	"PISA_ukr-UKR_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2680"	"None"	"Нуль"	"js_translation_none_5c9d227befa414.60923870_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2621"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227be7c198.62824452_1_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2211"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"S627_question1_itemDirections1_5c9d227b9b9fd6.37142813_1_0"	"PISA_ukr-UKR_SCI_S627-CarTyres_en21_MS2022.xlf"
"2300"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення.&lt;/i&gt;"	"S629_question3_itemDirections3_5c9d227bade634.52894513_1_0"	"PISA_ukr-UKR_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2682"	"Medium"	"Середній"	"js_translation_medium_5c9d227befb367.92304708_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2556"	"High"	"Великий"	"stimulus2_1_stimulus2_46_5c9d227be147e8.45470810_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"337"	"Resistance to UV-radiation"	"Стійкість до ультра-фіололетового випромінювання"	"S413_question3_q3t4tr5td1_5c3f629621cb40.73036824_0"	"PISA_ukr-UKR_SCI_S413-PlasticAge_en21_MS2022.xlf"
"2549"	"Low"	"Малий"	"stimulus2_1_stimulus2_36_5c9d227be13b02.67418193_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2860"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"question3_1_itemDirections03_5c9d227c342cb5.25107598_1_0"	"PISA_ukr-UKR_SCI_S643-LightBulbs_en21_MS2022.xlf"
"27"	"milk (g)"	"людини (г)"	"S326_stimulus1_t1tr1td4_5c3f6294968004.45079000_2_0"	"PISA_ukr-UKR_SCI_S326-Milk_en21_MS2022.xlf"
