"Segment"	"en-ZZ"	"id-ID"	"ID"	"File"
"4391"	"Date"	"Tanggal"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2690"	"Ancestral Puebloans"	"Nenek Moyang  Puebloans"	"R550_map_map_l4_56fc785cd18831.80713295_0"	"PISA_ind-IDN_REA_R550-CliffPalace_en18_MS2022.xlf"
"958"	"20"	"20.000"	"R466_stimulus_q3key_56cee0771f0a84.37461020_0"	"PISA_ind-IDN_REA_R466-WorkRight_en18_MS2022.xlf"
"4518"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2596"	"Ancestral Puebloans"	"&lt;b&gt;Nenek Moyang Puebloans&lt;/b&gt;"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_ind-IDN_REA_R550-CliffPalace_en18_MS2022.xlf"
"5876"	"Click on the NEXT arrow to read the story."	"Klik pada tanda panah SELANJUTNYA untuk membaca cerita itu."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_ind-IDN_REA_R570-TheFavour_en18_MS2022.xlf"
"2308"	"Each nominated book must cost less than 25 zeds"	"Setiap buku yang diusulkan harus dengan harga kurang dari 25 zed"	"R547_question10_q10l1i4_56fc782e14a4a6.26695589_0"	"PISA_ind-IDN_REA_R547-BookSurvey_en18_MS2022.xlf"
"5078"	"Web Search"	"Penelusuran Secara Online"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_ind-IDN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4565"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4469"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5007"	"Refer to the Web Search on the right."	"Perhatikan penelusuran secara online di samping."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_ind-IDN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4485"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5097"	"Web Search"	"Penelusuran Secara Online"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_ind-IDN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4500"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5570"	"Refer to both sources on the right by clicking on each of the tabs."	"Perhatikan kedua sumber informasi di samping dengan cara mengklik masing-masing label."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_ind-IDN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"401"	"20 hours&lt;br /&gt;of darkness"	"Malam sepanjang&lt;br /&gt;20 jam"	"R220_stimulus_label3_56cee076556287.05913595_0"	"PISA_ind-IDN_REA_R220-SouthPole_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5512"	"Click on a search result to answer the question."	"Klik pada satu hasil penelusuran untuk menjawab pertanyaan berikut."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_ind-IDN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3797"	"Web Search"	"Penelusuran Secara Online"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_ind-IDN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5925"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Klik pada pilihan &lt;b&gt;Ya&lt;/b&gt; atau &lt;b&gt;tidak&lt;/b&gt; untuk setiap kegiatan."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_ind-IDN_REA_R570-TheFavour_en18_MS2022.xlf"
"3647"	"Click on a search result to answer the question."	"Klik pada satu hasil penelusuran untuk menjawab pertanyaan berikut."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_ind-IDN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"400"	"16 hours&lt;br /&gt;of darkness"	"Malam sepanjang&lt;br /&gt;16 jam"	"R220_stimulus_label2_56cee076555fd8.68456202_0"	"PISA_ind-IDN_REA_R220-SouthPole_en18_MS2022.xlf"
"402"	"16 hours&lt;br /&gt;of darkness"	"Malam sepanjang&lt;br /&gt;16 jam"	"R220_stimulus_label4_56cee076556519.86868532_0"	"PISA_ind-IDN_REA_R220-SouthPole_en18_MS2022.xlf"
"3204"	"Products made from honey"	"Produk yang terbuat dari Madu"	"R553_question4_question04_4_56fc784a600149.50110116_1_0"	"PISA_ind-IDN_REA_R553-HealthForum_en18_MS2022.xlf"
"4383"	"Posted: Today, 9:33 A.M."	"Diposkan: Hari ini, 09:33"	"R563-stimulus-communtity_sports-post-date_56fc786b381235.39327563_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4243"	"Click on a sentence in the story to answer the question."	"Klik pada satu kalimat di cerita tersebut untuk menjawab pertanyaan."	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_ind-IDN_REA_R562-OpeningNight_en18_MS2022.xlf"
"5515"	"Click on a search result to answer the question."	"Klik pada satu hasil penelusuran untuk menjawab pertanyaan berikut."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_ind-IDN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"912"	"&lt;i&gt;Refer to &quot;Gulf of Mexico&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Perhatikan bacaan &quot;Teluk Meksiko&quot; di samping. Klik pada satu pilihan untuk menjawab pertanyaan berikut. &lt;/i&gt;"	"R460_question_itemDirections_56cee07715bfe3.25676607_0"	"PISA_ind-IDN_REA_R460-GulfOfMexico_en18_MS2022.xlf"
"4442"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3471"	"&lt;i&gt;Refer to all three articles on the right by clicking on each of the tabs."	"&lt;i&gt;Perhatikan ketiga artikel di samping dengan mengklik masing-masing label."	"R556_question11_itemDirections_56fc783ae151e7.17163175_0_0"	"PISA_ind-IDN_REA_R556-Microlending_en18_MS2022.xlf"
"473"	"continuous darkness"	"malam &lt;br /&gt;terus-&lt;br /&gt;menerus"	"R220_stimulus_label8_56cee07659d3e5.42749504_0"	"PISA_ind-IDN_REA_R220-SouthPole_en18_MS2022.xlf"
"406"	"continuous darkness"	"malam &lt;br /&gt;terus-&lt;br /&gt;menerus"	"R220_stimulus_label8_56cee0765570a1.45563450_0"	"PISA_ind-IDN_REA_R220-SouthPole_en18_MS2022.xlf"
"3863"	"Click on a search result to answer the question."	"Klik pada satu hasil pencarian untuk menjawab pertanyaan berikut."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_ind-IDN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3865"	"Click on a search result to answer the question."	"Klik pada satu hasil pencarian untuk menjawab pertanyaan berikut."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_ind-IDN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2621"	"Ancestral Puebloans"	"Nenek Moyang  Puebloans"	"R550_cliff_palace_cp_l4_56fc785ccaf904.58193490_0"	"PISA_ind-IDN_REA_R550-CliffPalace_en18_MS2022.xlf"
"4449"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5375"	"Web Search"	"Penelusuran Secara Online"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_ind-IDN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5221"	"Click on a search result to answer the question."	"Klik pada satu hasil penelusuran untuk menjawab pertanyaan berikut."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_ind-IDN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3483"	"Web Search"	"Penelusuran Secara Online"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_ind-IDN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2903"	"www.DurbuyFestiRock.be/Volunteer_agreement.pdf"	"www.DurbuyFestiRock.be/Perjanjian_Relawan.pdf"	"pg3_stimulus_pg3_faux-url_56fd79425a2289.90665861_0"	"PISA_ind-IDN_REA_R552-FestiRock_en18_MS2022.xlf"
"2660"	"Ancestral Puebloans"	"Nenek Moyang  Puebloans"	"R550_hours_hours_l4_56fc785ccf78f4.09670808_0"	"PISA_ind-IDN_REA_R550-CliffPalace_en18_MS2022.xlf"
"4463"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4333"	"Sports"	"Olah Raga"	"R563-stimulus-communtity_stimulus_culture_community_8_56fc786b34fff2.89460224_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4537"	"Refer to the different webpages of the website on the right."	"Perhatikan berbagai laman dari situs web di samping."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_ind-IDN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2648"	"Ancestral Puebloans"	"Nenek Moyang  Puebloans"	"R550_general_info_gi_l4_56fc785ccd9e25.13125133_0"	"PISA_ind-IDN_REA_R550-CliffPalace_en18_MS2022.xlf"
"469"	"16 hours&lt;br /&gt;of darkness"	"Malam sepanjang&lt;br /&gt;16 jam"	"R220_stimulus_label4_56cee07659c8e4.74922385_0"	"PISA_ind-IDN_REA_R220-SouthPole_en18_MS2022.xlf"
"5401"	"Image Credit: NASA"	"Sumber Gambar: Badan Penerbangan dan Antariksa AS (NASA)"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_ind-IDN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"268"	"T"	"K"	"R219_stimulus_stimulus_7_56cee0764b2922.50476631_0"	"PISA_ind-IDN_REA_R219-Employment_en18_MS2022.xlf"
"271"	"S"	"M"	"R219_stimulus_stimulus_10_56cee0764b3370.09636507_0"	"PISA_ind-IDN_REA_R219-Employment_en18_MS2022.xlf"
"5263"	"Refer to “Requirements” on the right."	"Perhatikan &quot;Syarat Menjadi Pemadam Kebakaran Berparasut&quot; di samping."	"R567_question09_q09itemDirections_56fc7879177010.04490145_0_0"	"PISA_ind-IDN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2670"	"Hours"	"&lt;b&gt;Jam&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_ind-IDN_REA_R550-CliffPalace_en18_MS2022.xlf"
"3642"	"Click on a search result to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan jawaban yang untuk menjawab pertanyaan berikut. &lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_ind-IDN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
