"Segment"	"en-ZZ"	"nn-NO"	"ID"	"File"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"Med denne simuleringa kan du undersøkje korleis nivået på torskefangsten og sildefangsten påverkar biomassen av kvar type organisme i fjorden etter ein femårsperiode."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bra!&lt;br /&gt; Klikk på NESTE-pila for å gå vidare."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1751"	"&lt;b&gt;Wildfires and the Fire Triangle&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Skogbrann og branntrekanten&lt;/b&gt;&lt;br /&gt;Spørsmål"	"S625_question2_qitemTitle2_515e3a725ebb04.25985468_0"	"PISA_nno-NOR_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"82"	"Fats"	"Feitt"	"S326_stimulus2_t2tr2td1_50ec49ba8dfd92.04257068_0"	"PISA_nno-NOR_SCI_S326-Milk_en15_MS2022.xlf"
"2586"	"To see how all the controls in this simulation work, follow these steps:"	"Følg desse trinna for å sjå korleis simuleringa fungerer:"	"question2_1_Q02P2_51940c1020b465.51317902_0"	"PISA_nno-NOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bra!&lt;br /&gt; Klikk på NESTE-pila for å gå vidare."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_nno-NOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"For å slette ei rad med data, klikk på &quot;Slett&quot;-knappen ved sida av rada. &lt;br /&gt; &lt;br /&gt;"	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_nno-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2456"	"Low"	"Lågt"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakteriar"	"S478_question1_question1_3_50ed1d36144fc9.62770523_0"	"PISA_nno-NOR_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Blitt frisk/vaksinert:&lt;/b&gt; Personar i denne tilstanden har anten  hatt  sjukdomen og blitt friske igjen, eller blitt vaksinerte mot sjukdomen. I denne simuleringa kan desse personane ikkje få sjukdomen."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_nno-NOR_SCI_S634-Vaccination_en15_MS2022.xlf"
