"Segment"	"en-ZZ"	"ko-KR"	"ID"	"File"
"4855"	"Give one example."	"차이점 한 가지를 예를 들어 쓰시오."	"R565_question4_q04p2_56fc785d5dbe67.20096851_0"	"PISA_kor-KOR_REA_R565-SittingDisease_en18_MS2022.xlf"
"5467"	"Image Credit: NASA"	"제공: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3377"	"&lt;i&gt;Read the introduction."	"&lt;i&gt;아래의 내용을 읽은  후"	"question00_itemDirections00_56fc783ab76215.52042641_0_0"	"PISA_kor-KOR_REA_R556-Microlending_en18_MS2022.xlf"
"495"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"1911년 12월 14일 아문젠과 그의 동료들은 전설과 같은 남위 90º에 도달했다. 1912년 1월 25일 승리를 거둔 아문젠 팀은 ‘프람하임 기지’로 되돌아갔다. 돌아가는 데는 97일이 걸렸다"	"R220_stimulus_p4_50c7c097603a79.67190089_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
"4771"	"AS A REMINDER TO TAKE  AN HOURLY BREAK"	"&lt;b&gt;한 시간마다 휴식하도록 알려주는 역할&lt;/b&gt;"	"Page2_stimulus_pg2p6_56fc785d53cdf2.75666466_0"	"PISA_kor-KOR_REA_R565-SittingDisease_en18_MS2022.xlf"
"3014"	"Date:"	"날짜:"	"pg3_stimulus_pg3p9_56fd79425aaa51.78520711_0"	"PISA_kor-KOR_REA_R552-FestiRock_en18_MS2022.xlf"
"4020"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_0_0"	"PISA_kor-KOR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"301"	"T"	"목"	"R219_stimulus_stimulus_7_50c7b7cb8dce94.17076639_0"	"PISA_kor-KOR_REA_R219-Employment_en15_MS2022.xlf"
"4943"	"Newspaper Article"	"신문 기사"	"R566_Stimulus04_stimulus4_4_56fc786b760df6.67373249_0"	"PISA_kor-KOR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;오른쪽 화면의 각 탭을 클릭하여 두 자료를 읽고,"	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_kor-KOR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"&lt;i&gt;아래 내용을 읽은 후"	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_kor-KOR_REA_R590-Sentences01_en18_MS2022.xlf"
"6171"	"Click &lt;b&gt;YES&lt;/b&gt; if the sentence makes sense."	"문장이 맞으면 &lt;b&gt;예&lt;/b&gt;를 클릭하고,"	"q3R590_question_q3p1_56fd23111960a4.54446684_1_0"	"PISA_kor-KOR_REA_R590-Sentences01_en18_MS2022.xlf"
"5780"	"Location"	"청소 구역"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_kor-KOR_REA_R569-TheCleanup_en18_MS2022.xlf"
"515"	"16 hours&lt;br /&gt;of darkness"	"16 시간 &lt;br /&gt;계속되는 밤"	"R220_stimulus_label2_50c7c09762dfa6.84117347_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"웹 페이지의 내용을 읽기 위해 [다음 화면] 버튼을 클릭하시오."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4942"	"Website"	"웹 사이트"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_kor-KOR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2543"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;병 속의 편지&lt;/b&gt;&lt;br /&gt;"	"R549_question05_q05itemTitle_56fc786ad16f41.05101647_0_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5373"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_0_0"	"PISA_kor-KOR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"574"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"1911년 12월 14일 아문젠과 그의 동료들은 전설과 같은 남위 90º에 도달했다. 1912년 1월 25일 승리를 거둔 아문젠 팀은 ‘프람하임 기지’로 되돌아갔다. 돌아가는 데는 97일이 걸렸다."	"R220_stimulus_p4_50c7c097694477.23478642_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
"5739"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00a-body_q00a-itemDirections_56fc78794b5369.48599087_0_0"	"PISA_kor-KOR_REA_R569-TheCleanup_en18_MS2022.xlf"
"1014"	"WORK RIGHT"	""	"R466_stimulus_stimulus_1_50c7c991582bf3.32442792_0"	"PISA_kor-KOR_REA_R466-WorkRight_en15_MS2022.xlf"
"516"	"20 hours&lt;br /&gt;of darkness"	"20 시간 &lt;br /&gt;계속되는 밤"	"R220_stimulus_label3_50c7c09762e2f6.49803591_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;오른쪽 화면의 각 탭을 클릭하여 두 자료를 읽고,"	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_kor-KOR_REA_R544-Tesla_en18_MS2022.xlf"
"1007"	"&lt;b&gt;Work Right&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;워크 라이트&lt;/b&gt;&lt;br /&gt; 워크 라이트"	"R466_question_itemTitle_50c7c991567f28.94827947_0"	"PISA_kor-KOR_REA_R466-WorkRight_en15_MS2022.xlf"
"325"	"TO"	"부터&lt;span class=&quot;Line3Extra&quot;&gt;까지&lt;/span&gt;"	"R219_stimulus_sect4Line3span4_50c7b7cb8ea0f3.38441742_0"	"PISA_kor-KOR_REA_R219-Employment_en15_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"각각의 내용에 대해 &lt;b&gt;예&lt;/b&gt; 또는 &lt;b&gt;아니요&lt;/b&gt; 중에서 선택하여 클릭하시오."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_kor-KOR_REA_R552-FestiRock_en18_MS2022.xlf"
"1545"	"Tutors for All"	"과외봉사단"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_kor-KOR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"489"	"Document 1 describes the different stages of the contest between two teams, led by:"	"자료1은 다음의 두 사람 지휘 하에 있던 두 팀 간의 경쟁 양상을 기술하고 있다:"	"R220_stimulus_abstract_50c7c097601a32.95910905_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
"4769"	"AS A REMINDER TO TAKE  AN HOURLY BREAK"	"&lt;b&gt;한 시간마다 휴식하도록 알려주는 역할&lt;/b&gt;"	"Page2_stimulus_pg2p4_56fc785d53c5f9.05246554_0"	"PISA_kor-KOR_REA_R565-SittingDisease_en18_MS2022.xlf"
"5651"	"Click on the NEXT arrow to read the article."	"기사를 읽기 위해 [다음 화면] 버튼을 클릭하시오."	"q0b-body_q0b-p2_56fc784ab20693.68037048_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2609"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;병 속의 편지&lt;/b&gt;&lt;br /&gt;"	"R549_question09_q09itemTitle_56fc786ad73847.51771891_0_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3777"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00body_q00itemDirections_56fc783b2348f3.80349298_0_0"	"PISA_kor-KOR_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"물음에 대해 답이 될 만한 검색 결과 하나를 선택하여 클릭하시오."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"답을 하나 선택하여 클릭한 후 그 이유를 입력하시오."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_kor-KOR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"답을 하나 선택하여 클릭한 후 그 이유를 입력하시오."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_kor-KOR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5246"	"Give one example."	"한 가지 예를 들어 설명하시오."	"R567_question03_q03p2_56fc78790e6a67.23961686_0"	"PISA_kor-KOR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"572"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"아문젠은 자신이 남극을 먼저 정복하 기를 원했다. 1911년 1월 14일 아문젠 은 남극의 ‘웨일즈 만’에 상륙하였다. 그는 ‘로스 장벽’에 세워진 ‘프람하임 기지’ 에서 동료 8명, 개 116마리와 함께 그해 겨울을 지낼 준비를 하였다. 1911년 10 월 20일 아문젠과 그의 동료 4명은 개 12마리가 각각 끄는 썰매에 나누어 타고 ‘프람하임 기지’를 떠나서 남극 대륙의 정복에 나섰다. 11월 17일, 남위 약 85° 지점에서 ‘트랜스앤탁틱 산맥’의 끝자락에 도달하였다. 이제 그들은 산을 넘어 갈 방법을 찾아야 했다. 그들은 갈라진 틈새가 많은 ‘액셀 하이버그 빙산’을 오르기 시작했다."	"R220_stimulus_p2_50c7c097693ce6.68345507_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"물음에 대해 답이 될 만한 검색 결과 하나를 선택하여 클릭하시오."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2374"	"Each nominated book must cost less than 25 zeds"	"추천도서 한 권당 가격은 25제드를 넘지 않을 것"	"R547_question10_q10l1i4_56fc782e14a4a6.26695589_0"	"PISA_kor-KOR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2631"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;병 속의 편지&lt;/b&gt;&lt;br /&gt;"	"R549_question10_q10itemTitle_56fc786ad943c0.06569471_0_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2537"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;병 속의 편지&lt;/b&gt;&lt;br /&gt;"	"R549_question04_q04itemTitle_56fc786ad05194.81153432_0_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5988"	"Refer to the note on the right."	"오른쪽 화면의 메모를 읽고,."	"R570_question04_q04itemDirections_56fc78797ba5c3.15040997_0_0"	"PISA_kor-KOR_REA_R570-TheFavour_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"각각의 활동에 대해 &lt;b&gt;예&lt;/b&gt; 또는 &lt;b&gt;아니요&lt;/b&gt; 중에서 선택하여 클릭하시오."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_kor-KOR_REA_R570-TheFavour_en18_MS2022.xlf"
"493"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"아문젠은 자신이 남극을 먼저 정복하 기를 원했다. 1911년 1월 14일 아문젠 은 남극의 ‘웨일즈 만’에 상륙하였다. 그는 ‘로스 장벽’에 세워진 ‘프람하임 기지’ 에서 동료 8명, 개 116마리와 함께 그해 겨울을 지낼 준비를 하였다. 1911년 10 월 20일 아문젠과 그의 동료 4명은 개 12마리가 각각 끄는 썰매에 나누어 타고 ‘프람하임 기지’를 떠나서 남극 대륙의 정복에 나섰다. 11월 17일, 남위 약 85° 지점에서 ‘트랜스앤탁틱 산맥’의 끝자락에 도달하였다. 이제 그들은 산을 넘어 갈 방법을 찾아야 했다. 그들은 갈라진 틈새가 많은 ‘액셀 하이버그 빙산’을 오르기 시작했다."	"R220_stimulus_p2_50c7c097603278.81869202_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"답을 하나 클릭한 후 그 이유를 입력하시오."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2557"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;병 속의 편지&lt;/b&gt;&lt;br /&gt;"	"R549_question06_q06itemTitle_56fc786ad2b015.09906721_0_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4499"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_0_0"	"PISA_kor-KOR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2098"	"Click on the choices in the table to answer the question."	"물음에 대한 답을 하나 선택하여 클릭하시오."	"R545_question03_Q03itemDirections_56fc7821ad84c2.36903751_1_0"	"PISA_kor-KOR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1146"	"&lt;b&gt;Building a Legend&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;전설을 세우다 &lt;/b&gt;&lt;br /&gt;"	"R540Q05Body_Q05itemTitle_56fc7820b50489.23141718_0_0"	"PISA_kor-KOR_REA_R540-BuildingALegend_en18_MS2022.xlf"
"4944"	"Website"	"웹 사이트"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_kor-KOR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4031"	"Click on the NEXT arrow to read the article."	"기사를 읽기 위해 [다음 화면] 버튼을 클릭하시오."	"q00bbody_q00bp2_56fc784a832d02.66358957_0"	"PISA_kor-KOR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"54"	"&lt;i&gt;Refer to the two-page newspaper article on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;오른쪽 화면의 두 쪽 분량 신문 기사를 읽고, 물음에 대한 답을 입력하시오..&lt;/i&gt;"	"R102_question_itemDirections_50c7aeebb60bf9.00404068_0"	"PISA_kor-KOR_REA_R102-Shirts_en15_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"오른쪽 화면의 각 탭을 클릭하여 두 가지 글을 읽고,"	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5923"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_0_0"	"PISA_kor-KOR_REA_R570-TheFavour_en18_MS2022.xlf"
"4941"	"Newspaper Article"	"신문 기사"	"R566_Stimulus03_stimulus3_4_56fc786b74cf78.80226002_0"	"PISA_kor-KOR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"893"	"Statement"	"문장"	"R455_question_tr1th1_50c7bb11e54472.39449710_0"	"PISA_kor-KOR_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"3708"	"Click on a search result to answer the question.&lt;/i&gt;"	"물음에 답하기 위해 검색 결과를 하나 선택하여 클릭하시오.&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_kor-KOR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"오른쪽 화면의 각 탭을 클릭하여 두 가지 글을 읽고,"	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1343"	"Refer to the webpage on the right."	"오른쪽 화면의 웹 페이지를 읽고"	"Q09_question_Q09itemDirections_56fc7820d7dce5.98398486_0_0"	"PISA_kor-KOR_REA_R541-Plastic_en18_MS2022.xlf"
"509"	"In the southern spring of 1912 the bodies of Scott and his companions, their travel diaries and last letters were found."	"스코트와 그 동료들의 시체와 여행 일 기, 그리고 마지막 편지 등이 발견된 것은 1912년 봄이었다."	"R220_stimulus_p6_50c7c097606ac9.64862728_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"물음에 대한 답을 하나 클릭한 후 그 이유를 입력하시오."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_kor-KOR_REA_R562-OpeningNight_en18_MS2022.xlf"
"1041"	"WORK RIGHT"	""	"R466_stimulus_stimulus2_1_50c7c9915a91c9.41878751_0"	"PISA_kor-KOR_REA_R466-WorkRight_en15_MS2022.xlf"
"1957"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"각각의 내용에 대해 &lt;b&gt;예&lt;/b&gt; 또는 &lt;b&gt;아니요&lt;/b&gt; 중에서 선택하여 클릭하시오."	"R544_question4_question4_1_56fc78217b0235.67596425_1_0"	"PISA_kor-KOR_REA_R544-Tesla_en18_MS2022.xlf"
"320"	"LOCATION"	"회사 소재지"	"R219_stimulus_sect4Line2span2_50c7b7cb8e8178.15318000_0"	"PISA_kor-KOR_REA_R219-Employment_en15_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"각각의 내용에 대해 &lt;b&gt;예&lt;/b&gt; 또는 &lt;b&gt;아니요&lt;/b&gt;를 선택하여 클릭하시오."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2928"	"-----Original Message -----"	"------원본 메시지-----"	"pg1_stimulus_pg1-li3-1_56fd79425717a1.64071273_0"	"PISA_kor-KOR_REA_R552-FestiRock_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"웹 사이트의 내용을 읽기 위해 [다음 화면] 버튼을 클릭하시오."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_kor-KOR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"6158"	"Read the information below."	"아래 내용을 읽은 후"	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_0_0"	"PISA_kor-KOR_REA_R590-Sentences01_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; 6만원에서 15만원 미만을 구입하시면 &lt;span id=&quot;q3key&quot;&gt;2&lt;/span&gt;만원을 돌려드립니다.&lt;br /&gt; &gt; 15만원에서 30만원 미만을 구입하시면 5만원을 돌려드립니다.&lt;br /&gt; &gt; 30만원 이상을 구입하시면 10만원을 돌려드립니다.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9915aaaa1.56044366_0"	"PISA_kor-KOR_REA_R466-WorkRight_en15_MS2022.xlf"
"568"	"Document 1 describes the different stages of the contest between two teams, led by:"	"자료1은 다음의 두 사람 지휘 하에 있던 두 팀 간의 경쟁 양상을 기술하고 있다:"	"R220_stimulus_abstract_50c7c097692710.10320105_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
"1303"	"&lt;b&gt;Plastic&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;플라스틱&lt;/b&gt;&lt;br /&gt;&lt;b&gt;&lt;/b&gt;&lt;br /&gt;"	"Q07_question_Q07itemTitle_56fc7820d46fe6.66796351_0_0"	"PISA_kor-KOR_REA_R541-Plastic_en18_MS2022.xlf"
"5001"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_0_0"	"PISA_kor-KOR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4919"	"Newspaper Article"	"신문 기사"	"R566_Stimulus01_stimulus1_4_56fc786b72cd07.38862724_0"	"PISA_kor-KOR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4457"	"Date"	"날짜"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_kor-KOR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1468"	"Well, that won’t help you."	"그래봐야 소용없어."	"Q02R542_question_Convp4_56fc782107f633.50285251_1_0"	"PISA_kor-KOR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1064"	"Post code:"	"우편번호:"	"R466_stimulus_line12_50c7c9915ae815.57685125_0"	"PISA_kor-KOR_REA_R466-WorkRight_en15_MS2022.xlf"
"990"	"&lt;b&gt;Work Right&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;워크 라이트&lt;/b&gt;&lt;br /&gt; 워크 라이트"	"R466_question_itemTitle_50c7c991549535.05225876_0"	"PISA_kor-KOR_REA_R466-WorkRight_en15_MS2022.xlf"
"3747"	"Explain your answer."	"그렇게 답한 이유를 설명하시오."	"R558_question09_Q09p6_56fc786b1501c7.47953831_0"	"PISA_kor-KOR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4309"	"Click on a sentence in the story to answer the question."	"물음에 대한 답을 하기 위해서 이야기 속의 문장 하나를 선택하여 클릭하시오."	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_kor-KOR_REA_R562-OpeningNight_en18_MS2022.xlf"
"4663"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00body_q00itemDirections_56fc783b5aea95.72363860_0_0"	"PISA_kor-KOR_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
