"Segment"	"en-ZZ"	"es-CR"	"ID"	"File"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Dele clic en &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; para cada afirmación."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_esp-CRI_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Recuerde seleccionar &lt;b&gt;una o varias&lt;/b&gt; casillas&lt;/i&gt;."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_esp-CRI_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_esp-CRI_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Dele clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; en cada afirmación."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_esp-CRI_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4577"	"D"	"G"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_esp-CRI_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4597"	"D"	"G"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_esp-CRI_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Dele clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; en cada una de las opciones según corresponda."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_esp-CRI_MAT_MA113-HeartRate_en21_MS2022.xlf"
"5019"	"Mean"	"Media"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_esp-CRI_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4182"	"55%"	"55 %"	"q1MA148_question_question01_6_5c9d21651b1584.71427368_0"	"PISA_esp-CRI_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_esp-CRI_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Para usar la calculadora, siga estos pasos."	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_esp-CRI_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Justifique su respuesta e incluya datos numéricos."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_esp-CRI_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_esp-CRI_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5278"	"Mean"	"Media"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_esp-CRI_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
