"Segment"	"en-ZZ"	"pt-BR"	"ID"	"File"
"2634"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulte as duas fontes à direita clicando em uma das abas."	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_0_0"	"PISA_por-BRA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Consulte a busca na &lt;i&gt;internet&lt;/i&gt; à direita."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_por-BRA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2103"	"False"	"Falso"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_por-BRA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1313"	"False"	"Falso"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_por-BRA_REA_R541-Plastic_en18_MS2022.xlf"
"590"	"continuous darkness"	"escuridão contínua"	"R220_stimulus_label8_50d375124722d3.74956942_0"	"PISA_por-BRA_REA_R220-SouthPole_en15_MS2022.xlf"
"5577"	"Refer to the Web Search on the right."	"Consulte a busca na &lt;i&gt;Internet&lt;/i&gt; à direita."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Clique em &lt;b&gt;Sim&lt;/b&gt; ou &lt;b&gt;Não&lt;/b&gt; para cada afirmativa."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_por-BRA_REA_R552-FestiRock_en18_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Clique na seta PRÓXIMO para ler a página da &lt;i&gt;Internet&lt;/i&gt;."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4716"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão.&lt;/i&gt;"	"R564_question04_q04itemDirections_56fc783b5f9314.54350838_1_0"	"PISA_por-BRA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5840"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;A  Limpeza&lt;/b&gt;&lt;br /&gt;"	"q7R569_question_xxitemTitle_56fc7879564ca9.15415688_0_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"4320"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão."	"R562_question05_q05itemDirections_56fc783b44e892.36199768_1_0"	"PISA_por-BRA_REA_R562-OpeningNight_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Clique em uma opção e justifique sua resposta."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"2381"	"Historical&lt;br/&gt;10%"	"Romance histórico&lt;br/&gt;10%"	"R547_question10_historyLbl_56fc782e14bbe2.76514218_0"	"PISA_por-BRA_REA_R547-BookSurvey_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulte as fontes à direita clicando em cada uma das abas."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5757"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;A  Limpeza&lt;/b&gt;&lt;br /&gt;"	"q1R569_question_q01itemTitle_56fc78794dbd99.59291015_0_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"3042"	"Click on a choice to answer the question."	"Clique em uma opção para responder à questão.&lt;/i&gt;"	"R552_question02_q02itemDirections_56fd79425f4d97.71214953_1_0"	"PISA_por-BRA_REA_R552-FestiRock_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"Escritório Perfeito reembolsará &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; Reais nas compras entre 60 e 149,99 Reais&lt;br /&gt; Escritório Perfeito reembolsará 50 Reais nas compras entre 150 e 299,99 Reais&lt;br /&gt; Escritório Perfeito reembolsará 100 Reais nas compras de 300 Reais ou mais.&lt;br /&gt;"	"R466_stimulus_line5_50d37bb9c6fb50.34127117_0"	"PISA_por-BRA_REA_R466-WorkRight_en15_MS2022.xlf"
"321"	"PHONE"	"TELEFONE"	"R219_stimulus_sect4Line2span3_50d36e4f732774.49061169_0"	"PISA_por-BRA_REA_R219-Employment_en15_MS2022.xlf"
"3475"	"Type your answer to the question.&lt;/i&gt;"	"Digite sua resposta para a questão. &lt;/i&gt;"	"R556_question7_itemDirections_56fc783ad9edc5.41424598_1_0"	"PISA_por-BRA_REA_R556-Microlending_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Clique em um dos resultados da pesquisa para responder à questão.&lt;/i&gt;"	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1854"	"Click on the NEXT arrow to read the second source."	"Clique na seta PRÓXIMO para ler o segundo texto."	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_por-BRA_REA_R544-Tesla_en18_MS2022.xlf"
"4810"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_por-BRA_REA_R565-SittingDisease_en18_MS2022.xlf"
"567"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;POLO SUL - documento 1&lt;/b&gt;"	"R220_stimulus_title_50d375124461d2.15131939_0"	"PISA_por-BRA_REA_R220-SouthPole_en15_MS2022.xlf"
"3549"	"Web Search"	"Busca na Internet"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3993"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Consulte “A Grande Ilha de Lixo do Pacífico Norte” à direita."	"R560_question06_q06itemDirections_56fc784a7f68d8.83936530_0_0"	"PISA_por-BRA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2102"	"True"	"Verdadeiro"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_por-BRA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5790"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;A  Limpeza&lt;/b&gt;&lt;br /&gt;"	"q3R569_question_q03itemTitle_56fc7879509845.44676045_0_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"4508"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4631"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Clique em &lt;b&gt;Sim&lt;/b&gt; ou &lt;b&gt;Não&lt;/b&gt; para cada afirmativa."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_por-BRA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Reforço para Todos"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_por-BRA_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4617"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"Clique em uma opção e justifique sua resposta."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_por-BRA_REA_R552-FestiRock_en18_MS2022.xlf"
"2613"	"Click on the choices in the table to answer the question."	"Clique nas opções da tabela para responder à questão.&lt;/i&gt;"	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_1_0"	"PISA_por-BRA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"Clique em uma opção e justifique sua resposta."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_por-BRA_REA_R562-OpeningNight_en18_MS2022.xlf"
"2012"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Consulte “Um homem do futuro” à direita."	"R544_question9_itemDirections_56fc782181a288.51990939_0_0"	"PISA_por-BRA_REA_R544-Tesla_en18_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão."	"R562_question01_q01itemDirections_56fc783b408936.21098071_1_0"	"PISA_por-BRA_REA_R562-OpeningNight_en18_MS2022.xlf"
"5804"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;A  Limpeza&lt;/b&gt;&lt;br /&gt;"	"q4R569_question_q04itemTitle_56fc787951e5f1.30552462_0_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"5393"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão."	"R568_question10_q10itemDirections_56fc78791dc480.80691911_1_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2380"	"Classical Literature&lt;br/&gt;10%"	"Literatura&lt;br/&gt;10%"	"R547_question10_classicLbl_56fc782e14b970.74294149_0"	"PISA_por-BRA_REA_R547-BookSurvey_en18_MS2022.xlf"
"1843"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_por-BRA_REA_R544-Tesla_en18_MS2022.xlf"
"301"	"T"	"Q"	"R219_stimulus_stimulus_7_50d36e4f727ff1.86714109_0"	"PISA_por-BRA_REA_R219-Employment_en15_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Clique em uma opção e justifique sua resposta. &lt;/i&gt;"	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_por-BRA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"6175"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_por-BRA_REA_R590-Sentences01_en18_MS2022.xlf"
"639"	"Then click on the NEXT arrow to view the first question."	"Em seguida clique em PRÓXIMO para ver a primeira questão."	"R404_question_introBullet3_50d37ae7d02c64.42746948_0"	"PISA_por-BRA_REA_R404-Sleep_en15_MS2022.xlf"
"3863"	"Web Search"	"Pesquisa na &lt;i&gt;Internet&lt;/i&gt;"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_por-BRA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4457"	"Date"	"Data"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5637"	"Type your answer to the question."	"Digite sua resposta para a questão.&lt;i&gt;"	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4423"	"About Us"	"Quem somos"	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1312"	"True"	"Verdadeiro"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_por-BRA_REA_R541-Plastic_en18_MS2022.xlf"
"5144"	"Web Search"	"Pesquisa &lt;i&gt;on-line&lt;/i&gt;"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5961"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão."	"R570_question02_q02itemDirections_56fc787978f2e5.90111872_1_0"	"PISA_por-BRA_REA_R570-TheFavour_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_por-BRA_REA_R553-HealthForum_en18_MS2022.xlf"
"1902"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulte os dois textos à direita, clicando em cada uma das abas."	"R544_question12_itemDirections_56fc78216b9a04.98619256_0_0"	"PISA_por-BRA_REA_R544-Tesla_en18_MS2022.xlf"
"3956"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Consulte “A Grande Ilha de Lixo do Pacífico Norte” à direita."	"R560_question04_q04itemDirections_56fc784a7c0426.30672562_0_0"	"PISA_por-BRA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4855"	"Give one example."	"Cite um exemplo."	"R565_question4_q04p2_56fc785d5dbe67.20096851_0"	"PISA_por-BRA_REA_R565-SittingDisease_en18_MS2022.xlf"
"4529"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4558"	"About Us"	"Quem somos"	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5832"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;A  Limpeza&lt;/b&gt;&lt;br /&gt;"	"q6R569_question_q06itemTitle_56fc787954a7c8.34539754_0_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"5664"	"Who's in the Chat"	"Quem está no bate-papo"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"4355"	"About Us"	"Quem somos"	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3942"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Consulte “A Grande Ilha de Lixo do Pacífico Norte” à direita."	"R560_question03_q03itemDirections_56fc784a7ad263.50990820_0_0"	"PISA_por-BRA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5467"	"Image Credit: NASA"	"Crédito da imagem: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3468"	"Type your answer to the question.&lt;/i&gt;"	"Digite sua resposta para a questão. &lt;/i&gt;"	"R556_question6_itemDirections_56fc783ad7eec4.09705116_1_0"	"PISA_por-BRA_REA_R556-Microlending_en18_MS2022.xlf"
"3694"	"Click on a choice to answer the question.&lt;/i&gt;"	"Clique na opção correta para responder à questão.&lt;/i&gt;"	"R558_question6_itemDirections_56fc786b0f3f55.03223461_1_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Clique no resultado de busca correto para responder à questão."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_por-BRA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Consulte a busca na &lt;i&gt;Internet&lt;/i&gt; à direita."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Clique em &lt;b&gt;Sim&lt;/b&gt; ou &lt;b&gt;Não&lt;/b&gt; para cada afirmação."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3640"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Clique nas opções na tabela para responder à questão.&lt;/i&gt;"	"R558_question2_itemDirections_56fc786b09be36.87322307_1_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"521"	"continuous darkness"	"escuridão contínua"	"R220_stimulus_label8_50d37512418263.39929919_0"	"PISA_por-BRA_REA_R220-SouthPole_en15_MS2022.xlf"
"4603"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4225"	"Type your answer to the question."	"Digite sua resposta para a questão. &lt;/i&gt;"	"R561_question09_q09itemDirections_56fc785d33ecc7.05935368_1_0"	"PISA_por-BRA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5163"	"Web Search"	"Pesquisa &lt;i&gt;on-line&lt;/i&gt;"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4105"	"Read the Introduction."	"Leia a Introdução."	"q00a-body_q00a-p1_56fc785d252639.73865870_0_0"	"PISA_por-BRA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1630"	"Read the information below."	"Leia a informação abaixo."	"question0b_1_itemDirections00_56fc7821309e26.00768085_0_0"	"PISA_por-BRA_REA_R543-Nobel_en18_MS2022.xlf"
"5270"	"False"	"Falso"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4447"	"About Us"	"Quem somos"	"R563-stimulus-communtity_stimulus_culture_sports_5_56fc786b3809e6.65774760_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1848"	"Click on the NEXT arrow to read the first source."	"Clique na seta PRÓXIMO para ler o primeiro texto."	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_por-BRA_REA_R544-Tesla_en18_MS2022.xlf"
"4007"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Consulte “A Grande Ilha de Lixo do Pacífico Norte” à direita."	"R560_question07_q07itemDirections_56fc784a80bb23.32450086_0_0"	"PISA_por-BRA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"&lt;i&gt;Consulte a pesquisa &lt;i&gt;on-line&lt;/i&gt; à direita."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
