"Segment"	"en-ZZ"	"es-UY"	"ID"	"File"
"4414"	"ZEDTOWN YOUTH MAGAZINE"	"REVISTA JUVENIL DE ZEDLANDIA"	"R563-stimulus-communtity_news-h1_56fc786b364995.78257353_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3813"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Lee el artículo  de &quot;Nalini Nadkarni: Pasión por los árboles&quot; a la derecha."	"R559_question03_q03itemDirections_56fc783b26ca61.80059891_0_0"	"PISA_esp-URY_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Lee las dos fuentes de la derecha haciendo clic en cada pestaña."	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_esp-URY_REA_R544-Tesla_en18_MS2022.xlf"
"3841"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Lee el artículo  de &quot;Nalini Nadkarni: Pasión por los árboles&quot; a la derecha."	"R559_question05_q05itemDirections_56fc783b2928b3.13861690_0_0"	"PISA_esp-URY_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3856"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Lee el artículo  de &quot;Nalini Nadkarni: Pasión por los árboles&quot; a la derecha."	"R559_question06_q06itemDirections_56fc783b2a4803.17940809_0_0"	"PISA_esp-URY_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5013"	"Then click on the NEXT arrow."	"Después haz clic  en la flecha SIGUIENTE."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_1_0"	"PISA_esp-URY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4529"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4715"	"Refer to “Portrait of a Photographer” on the right."	"Lee el artículo  &quot;Retrato de un fotógrafo&quot; a la derecha."	"R564_question04_q04itemDirections_56fc783b5f9314.54350838_0_0"	"PISA_esp-URY_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"Lee las dos fuentes de la derecha haciendo clic en cada pestaña."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_esp-URY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"Lee las dos fuentes de la derecha haciendo clic en cada pestaña."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_esp-URY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5022"	"Click on one or more boxes to answer the question."	"Haz clic  en una o más casillas para responder a la pregunta."	"R566_question01_q01itemDirections_56fc786b7efb09.20390208_1_0"	"PISA_esp-URY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4385"	"ZEDTOWN YOUTH MAGAZINE"	"REVISTA JUVENIL DE ZEDLANDIA"	"R563-stimulus-communtity_news-h1_56fc786b34c693.03457713_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5542"	"True"	"Verdadera"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_esp-URY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1842"	"&lt;i&gt;Read the introduction."	"&lt;i&gt;Lee la introducción."	"question0a_1_itemDirections00_56fc782164e353.11298372_0_0"	"PISA_esp-URY_REA_R544-Tesla_en18_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50d36e02a506e2.05029072_0"	"PISA_esp-URY_REA_R219-Employment_en15_MS2022.xlf"
"1313"	"False"	"Falsa"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_esp-URY_REA_R541-Plastic_en18_MS2022.xlf"
"124"	"£9"	"$300"	"R102_stimulus_tr7td3_50d36744e04ad9.78033449_0"	"PISA_esp-URY_REA_R102-Shirts_en15_MS2022.xlf"
"5557"	"Click on a choice to answer the question."	"Haz clic  en una opción para responder a la pregunta."	"R568_question03_q03itemDirections_56fc784aa61dd0.11236281_1_0"	"PISA_esp-URY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1149"	"Refer to “Building a Legend” on the right."	"Lee  &quot;La construcción de una leyenda&quot; a la derecha."	"R540Q05Body_Q05itemDirections_56fc7820b50ae8.46984171_0_0"	"PISA_esp-URY_REA_R540-BuildingALegend_en18_MS2022.xlf"
"1312"	"True"	"Verdadera"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_esp-URY_REA_R541-Plastic_en18_MS2022.xlf"
"4942"	"Website"	"Sitio Web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_esp-URY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3511"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Haz clic  en las opciones de la tabla para responder a la pregunta.&lt;/i&gt;"	"R556_question10_itemDirections_56fc783adf40b1.80389977_1_0"	"PISA_esp-URY_REA_R556-Microlending_en18_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Haz clic  en la flecha SIGUIENTE para leer el sitio web."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_esp-URY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3970"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Lee la información sobre &quot;La Gran mancha de basura del Pacífico&quot; a la derecha."	"R560_question05_q05itemDirections_56fc784a7dd823.73528927_0_0"	"PISA_esp-URY_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Lee los dos textos de la derecha haciendo clic en cada pestaña."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_esp-URY_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4500"	"Then click on the NEXT arrow."	"Después haz clicen la flecha SIGUIENTE."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5543"	"False"	"Falsa"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_esp-URY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5043"	"Click on a choice to answer the question."	"Haz clic  en una opción para responder a la pregunta."	"R566_question03_q03itemDirections_56fc786b848714.63479915_1_0"	"PISA_esp-URY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4535"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5313"	"False"	"Falsa"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_esp-URY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4567"	"Click on a choice to answer the question."	"Haz clicen una opción para responder a la pregunta."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_1_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4686"	"Refer to “Portrait of a Photographer” on the right."	"Lee el artículo  &quot;Retrato de un fotógrafo&quot; a la derecha."	"R564_question02_q02itemDirections_56fc783b5cfdd4.82081497_0_0"	"PISA_esp-URY_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5312"	"True"	"Verdadera"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_esp-URY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4631"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1902"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Lee las dos fuentes de la derecha haciendo clic en cada pestaña."	"R544_question12_itemDirections_56fc78216b9a04.98619256_0_0"	"PISA_esp-URY_REA_R544-Tesla_en18_MS2022.xlf"
"2267"	"&lt;i&gt;Refer to the School’s Email on the right."	"&lt;i&gt; Lee el correo electrónico del liceo a la derecha."	"R547_question2_itemDirections_56fc782e072020.06902189_0_0"	"PISA_esp-URY_REA_R547-BookSurvey_en18_MS2022.xlf"
"4333"	"Refer to “Opening Night” on the right."	"Lee el texto de &quot;Noche de estreno&quot; a la derecha."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_0_0"	"PISA_esp-URY_REA_R562-OpeningNight_en18_MS2022.xlf"
"1068"	"Between £60 and £149.99&lt;br /&gt;"	"Entre $600 y $1499.90&lt;br /&gt;"	"R466_stimulus_sect3left_50d37b72202f94.56937200_0"	"PISA_esp-URY_REA_R466-WorkRight_en15_MS2022.xlf"
"2877"	"Click on a choice to answer the question."	"Haz clic  en una opción para responder a la pregunta."	"R550_question07_q07itemDirections_56fc785ce9aa50.47831080_1_0"	"PISA_esp-URY_REA_R550-CliffPalace_en18_MS2022.xlf"
"4737"	"Refer to “Portrait of a Photographer” on the right."	"Lee el artículo  &quot;Retrato de un fotógrafo&quot; a la derecha."	"R564_question06_q06itemDirections_56fc783b61d750.86234618_0_0"	"PISA_esp-URY_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4438"	"ZEDTOWN YOUTH MAGAZINE"	"REVISTA JUVENIL DE ZEDLANDIA"	"R563-stimulus-communtity_news-h1_56fc786b37ebb7.47134135_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4167"	"True"	"Verdadera"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_esp-URY_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; En compras de $600 a $1499, Trabajar Bien le reembolsará $&lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;.&lt;br /&gt; &gt; En compras de $1500 a $2999, Trabajar Bien le reembolsará $500.&lt;br /&gt; &gt; En compras de $3000 o más, Trabajar Bien le reembolsará $1000.&lt;br /&gt;"	"R466_stimulus_line5_50d37b721fdb85.60954738_0"	"PISA_esp-URY_REA_R466-WorkRight_en15_MS2022.xlf"
"3942"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Lee la información sobre &quot;La Gran mancha de basura del Pacífico&quot; a la derecha."	"R560_question03_q03itemDirections_56fc784a7ad263.50990820_0_0"	"PISA_esp-URY_REA_R560-GarbagePatch_en18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50d36e02a51338.29456140_0"	"PISA_esp-URY_REA_R219-Employment_en15_MS2022.xlf"
"1054"	"Name:"	"Apellidos:"	"R466_stimulus_s2line7_50d37b721fec03.89706831_0"	"PISA_esp-URY_REA_R466-WorkRight_en15_MS2022.xlf"
"4855"	"Give one example."	"Pon un ejemplo."	"R565_question4_q04p2_56fc785d5dbe67.20096851_0"	"PISA_esp-URY_REA_R565-SittingDisease_en18_MS2022.xlf"
"5269"	"True"	"Verdadera"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_esp-URY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4473"	"ZEDTOWN YOUTH MAGAZINE"	"REVISTA JUVENIL DE ZEDLANDIA"	"R563-stimulus-news_news-h1_56fc786b3a3732.15521540_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3799"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Lee el artículo  de &quot;Nalini Nadkarni: Pasión por los árboles&quot; a la derecha."	"R559_question02_q02itemDirections_56fc783b259b76.36684830_0_0"	"PISA_esp-URY_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"CONDICIONES GENERALES DE LA OFERTA DE LOS $1000 POR LOS 10 AÑOS&lt;br /&gt; 1.  La promoción excluye a mayoristas y minoristas que vendan estos productos 2. La oferta solo se aplica a los siguientes productos de Trabajar Bien: papelería, productos de impresión y promoción, y artículos electrónicos. Cualesquier otros productos de Trabajar Bien están excluidos de la oferta, especialmente los muebles."	"R466_stimulus_section4_50d37b72204440.41043925_0"	"PISA_esp-URY_REA_R466-WorkRight_en15_MS2022.xlf"
"4603"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4584"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Haz clic en la flecha SIGUIENTE para leer la historia."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_esp-URY_REA_R570-TheFavour_en18_MS2022.xlf"
"1056"	"Given Name:"	"Nombre:"	"R466_stimulus_line8_50d37b721ff338.39277697_0"	"PISA_esp-URY_REA_R466-WorkRight_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"Haz clic en una opción y después escribe una explicación para responder a la pregunta."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_esp-URY_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4297"	"Refer to “Opening Night” on the right."	"Lee el texto de &quot;Noche de estreno&quot; a la derecha."	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_0_0"	"PISA_esp-URY_REA_R562-OpeningNight_en18_MS2022.xlf"
"2103"	"False"	"Falsa"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_esp-URY_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3827"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"Lee el artículo  de &quot;Nalini Nadkarni: Pasión por los árboles&quot; a la derecha."	"R559_question04_q04itemDirections_56fc783b27f456.31679060_0_0"	"PISA_esp-URY_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5786"	"Park"	"Parque"	"q2R569_question_source2_56fc78794f5ed5.21217846_0"	"PISA_esp-URY_REA_R569-TheCleanup_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3377"	"&lt;i&gt;Read the introduction."	"&lt;i&gt;Lee la introducción."	"question00_itemDirections00_56fc783ab76215.52042641_0_0"	"PISA_esp-URY_REA_R556-Microlending_en18_MS2022.xlf"
"5270"	"False"	"Falsa"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_esp-URY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4700"	"Refer to “Portrait of a Photographer” on the right."	"Lee el artículo  &quot;Retrato de un fotógrafo&quot; a la derecha."	"R564_question03_q03itemDirections_56fc783b5e5cd1.57939726_0_0"	"PISA_esp-URY_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Oferta de los $1000 por los 10 años&lt;br /&gt; Grupo Acosta&lt;br /&gt; Br. Pedro Figari 1309&lt;br /&gt; Montevideo,&lt;br /&gt; Uruguay&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50d37b721fe0a4.09287340_0"	"PISA_esp-URY_REA_R466-WorkRight_en15_MS2022.xlf"
