"Segment"	"en-ZZ"	"kk-KZ"	"ID"	"File"
"113"	"Click on one or more boxes to answer the question."	"Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз."	"M102_question1_itemDirections1_5c9d21362bedf1.13468059_1_0"	"PISA_kaz-KAZ_MAT_MA102-BuyingAWardrobe_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_kaz-KAZ_MAT_MA114-Honey_en21_MS2022.xlf"
"984"	"Age"	"Жас"	"MA113S02_stimulus_tr2td3_5c9d214a6622b3.32961817_0"	"PISA_kaz-KAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен сұраққа өз жауабыңызды теріп жазыңыз."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_kaz-KAZ_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Сұраққа жауап беру үшін кестеден таңдаған жауабтарыңыздың үстінен тінтуірмен басыңыз."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_kaz-KAZ_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_kaz-KAZ_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3207"	"A"	"А"	"Q1MA134_question_Q01tr4td1SELECT1o1_5c9d21643194f1.20986162_0"	"PISA_kaz-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Сұраққа жауап беру үшін кестеден таңдаған жауабтарыңыздың үстінен тінтуірмен басыңыз."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_kaz-KAZ_MAT_MA151-MovingOut_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Барлығы &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_kaz-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3201"	"A"	"А"	"Q1MA134_question_Q01tr3td1SELECT1o1_5c9d2164318d73.43327422_0"	"PISA_kaz-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3195"	"A"	"А"	"Q1MA134_question_Q01tr2td1SELECT1o1_5c9d2164318520.98922600_0"	"PISA_kaz-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ &lt;b&gt;Бір немесе бірнеше&lt;/b&gt; жауапты таңдауды ұмытпаңыз."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_kaz-KAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_kaz-KAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4850"	"Mean"	"Орташа мән"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_kaz-KAZ_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4598"	"A"	"C"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_kaz-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3329"	"A"	"А"	"CMA135_question3_question03_19_5c9d2164520b42.34486685_0"	"PISA_kaz-KAZ_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Сұраққа жауап беру үшін кестеден таңдаған жауабтарыңыздың үстінен тінтуірмен басыңыз."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_kaz-KAZ_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4578"	"A"	"C"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_kaz-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Сұрақтарға жауап беру үшін жауабыңызды жайылмалы мәзірлерден таңдаңыз."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_kaz-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Сұраққа жауап беру үшін төмендегі ықтималдылықтарды тінтуірдің көмегімен жылжытыңыз."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_kaz-KAZ_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Жауабыңызды түсіндіріңіз және оны дәлелдеу үшін сандық мәндер енгізіңіз."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_kaz-KAZ_MAT_MA146-Fuel_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Сұраққа жауап беру үшін кестеден таңдаған жауабтарыңыздың үстінен тінтуірмен басыңыз."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_kaz-KAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Сұраққа жауап беру үшін әріптерді тінтуірдің көмегімен жылжытыңыз."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_kaz-KAZ_MAT_MA157-Tyres_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Əрбір пайымдау үшін &lt;b&gt;«Дұрыс»&lt;/b&gt; немесе &lt;b&gt;«Дұрыс емес»&lt;/b&gt; сөздерінің бірінің үстінен тінтуірмен басыңыз."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_kaz-KAZ_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ &lt;b&gt;Бір немесе бірнеше&lt;/b&gt; жауапты таңдауды ұмытпаңыз."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_kaz-KAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5019"	"Mean"	"Орташа мән"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_kaz-KAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Әрбір пайымдау үшін &lt;b&gt;Иә&lt;/b&gt; немесе &lt;b&gt;Жоқ&lt;/b&gt; сөздерінің бірінің үстінен тінтуірмен басыңыз."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_kaz-KAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Жауабыңызды түсіндіріңіз және оны дәлелдеу үшін сандық мәндер енгізіңіз."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_kaz-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2454"	"mg"	"мг-ға дейін"	"MA128q02_question_question02_8_5c9d21372a70e0.38805601_0"	"PISA_kaz-KAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Төмендегі кестеде пайымдаулардың әрбірі үшін &lt;b&gt;Дұрыс&lt;/b&gt; немесе &lt;b&gt;Дұрыс емес&lt;/b&gt; сөздерінің бірінің үстінен тінтуірмен басыңыз."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_kaz-KAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Цифрлары бар пернелердің көмегімен өз жауабыңызды теріп жазыңыз."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_kaz-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен сұраққа өз жауабыңызды теріп жазыңыз."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_kaz-KAZ_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_kaz-KAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Цифрлары бар пернелердің көмегімен өз жауабыңызды теріп жазыңыз."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_kaz-KAZ_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен өз жауабыңызды теріп жазыңыз."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_kaz-KAZ_MAT_MA141-WaterBill_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Сұрақтарға жауап беру үшін жауабыңызды жайылмалы мәзірлерден таңдаңыз."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_kaz-KAZ_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4214"	"A"	"А"	"MA149_stimulus1_img1Lbl1_5c9d2165288f09.35660227_0"	"PISA_kaz-KAZ_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Сұраққа жауап беру үшін төмендегі ықтималдылықтарды тінтуірдің көмегімен жылжытыңыз."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_kaz-KAZ_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_kaz-KAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Калькуляторды қолдану үшін келесі қадамдарды орындаңыз:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_kaz-KAZ_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Біріккен Корольдігі"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_kaz-KAZ_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Әрбір пайымдау үшін &lt;b&gt;Иә&lt;/b&gt; немесе &lt;b&gt;Жоқ&lt;/b&gt; сөздерінің бірінің үстінен тінтуірмен басыңыз."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_kaz-KAZ_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен сұраққа өз жауабыңызды теріп жазыңыз."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_kaz-KAZ_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Əрбір пайымдау үшін &lt;b&gt;«Дұрыс»&lt;/b&gt; немесе &lt;b&gt;«Дұрыс емес»&lt;/b&gt; сөздерінің бірінің үстінен тінтуірмен басыңыз."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_kaz-KAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4581"	"A"	"C"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_kaz-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен сұраққа өз жауабыңызды теріп жазыңыз."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_kaz-KAZ_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен сұраққа өз жауабыңызды теріп жазыңыз."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_kaz-KAZ_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2459"	"mg"	"мг-ға дейін"	"MA128q02_question_question02_13_5c9d21372a79d4.15572906_0"	"PISA_kaz-KAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
