"Segment"	"en-ZZ"	"es-MX"	"ID"	"File"
"3288"	"Use drag and drop to answer the question."	"Para responder a la pregunta, usa la función &quot;arrastrar y soltar&quot;."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_esp-MEX_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3981"	"Litres"	"Litros"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_esp-MEX_MAT_MA146-Fuel_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Para responder a la pregunta, escribe tu respuesta con el teclado numérico."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_esp-MEX_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_esp-MEX_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Para responderla, selecciona tu respuesta de las listas desplegables."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_esp-MEX_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4515"	"Click on a choice to answer the question."	"Para responderla, selecciona una opción."	"MA153q02_question_q02itemDirections_5c9d213746bb12.40931470_2_0"	"PISA_esp-MEX_MAT_MA153-Gears_en21_MS2022.xlf"
"4597"	"D"	"G"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_esp-MEX_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3952"	"1.7 m"	"1.7"	"MA145_question2_question02_4_5c9d2164e0ec68.48314534_0"	"PISA_esp-MEX_MAT_MA145-Shadows_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Para responder a la pregunta, da clic en dos casillas."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_esp-MEX_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"5333"	"Click on a choice to answer the question."	"Para responderla, selecciona una opción."	"q1MA162_question_q1itemDirections_5c9d2137d16d37.11041740_2_0"	"PISA_esp-MEX_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_esp-MEX_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Para responder a la pregunta, escribe tu respuesta con el teclado numérico."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_esp-MEX_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"914"	"Using the number keys, type your answer to the question."	"Para responderla, escribe tu respuesta con el teclado numérico."	"MA112_question01_q01itemDirections_5c9d2136e3a9b3.53191528_2_0"	"PISA_esp-MEX_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_esp-MEX_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2478"	"Click on the choices in the table to answer the question."	"Para responderla, selecciona las opciones en la tabla."	"MA128q04_question_q04itemDirections_5c9d21372dbea1.28953696_2_0"	"PISA_esp-MEX_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4850"	"Mean"	"Media"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_esp-MEX_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_esp-MEX_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2056"	"Using the number keys, type your answer to the question."	"Para responderla, escribe tu respuesta con el teclado numérico."	"MA125_question1_q01itemDirections_5c9d2137097aa9.28477226_2_0"	"PISA_esp-MEX_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"581"	"Using the number keys, type your answer to the question."	"Para responderla, escribe tu respuesta con el teclado numérico."	"MA108q01_question_q01itemDirections_5c9d2136c0c0c4.55457410_2_0"	"PISA_esp-MEX_MAT_MA108-Fountains_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_esp-MEX_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"Para responder a la pregunta, escribe tu respuesta usando el teclado numérico."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_esp-MEX_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"442"	"Click on a choice to answer the question."	"Para responderla, selecciona una opción."	"M105_question5_itemDirections5_5c9d2136771724.04274916_2_0"	"PISA_esp-MEX_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_esp-MEX_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Verdadero&lt;/b&gt; o &lt;b&gt;Falso&lt;/b&gt; en cada una de las afirmaciones."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_esp-MEX_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_esp-MEX_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5398"	"Click on the choices in the table to answer the question."	"Para responderla, selecciona las opciones en la tabla."	"q3MA160_question_q3itemDirections_5c9d2137d54ae4.61371872_2_0"	"PISA_esp-MEX_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_esp-MEX_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5134"	"Click on a choice to answer the question."	"Para responderla, selecciona una opción."	"q2MA161_question_q2itemDirections_5c9d2137a35226.15708627_2_0"	"PISA_esp-MEX_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Para responderla, selecciona una opción y después escribe tu explicación."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_esp-MEX_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; para cada afirmación."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_esp-MEX_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
