"Segment"	"en-ZZ"	"ru-LV"	"ID"	"File"
"4597"	"D"	"П"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_rus-LVA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос кликните на один или несколько вариантов ответа:"	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_rus-LVA_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликните на &lt;b&gt;Верно&lt;/b&gt; или &lt;b&gt;Неверно&lt;/b&gt; для каждого утверждения."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_rus-LVA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос кликните на один или несколько вариантов ответа:"	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_rus-LVA_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"525"	"Answer:"	"Ответ (в градусах):"	"MA107Q02_question_Q02MA107AnsId_5c9d2136b04652.63699371_0"	"PISA_rus-LVA_MAT_MA107-FieldOfVision_en21_MS2022.xlf"
"3220"	"&lt;b&gt; Table 2."	"&lt;b&gt; Таблица 2."	"Q2MA134_question_Q02table1CaptionID_5c9d216433bdb5.73727989_0_0"	"PISA_rus-LVA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2818"	"Answer:"	"Ответ (в зедах):"	"MA131_question3_question03_3_5c9d214ba45152.27501247_0"	"PISA_rus-LVA_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4598"	"A"	"Д"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_rus-LVA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4578"	"A"	"Д"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_rus-LVA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Используя цифровые клавиши, напишите ответ на данный вопрос."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_rus-LVA_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"4591"	"A"	"Д"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_rus-LVA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Чтобы использовать этот калькулятор, выполните следующие действия:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_rus-LVA_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните на &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt; «Нет»&lt;/b&gt; для каждого утверждения."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_rus-LVA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5075"	"Statement"	"Вопрос"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_rus-LVA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"586"	"degrees"	"градусов"	"MA108q01_question_degreeLbl_5c9d2136c0c917.91142403_0"	"PISA_rus-LVA_MAT_MA108-Fountains_en21_MS2022.xlf"
"4922"	"Agriculture"	"Сельскохозяйственный"	"q2MA160_question_question02_6_5c9d21377dcfb6.94851687_0"	"PISA_rus-LVA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4902"	"Click on the choices in the table to answer the question."	"Кликните на соответствующие ячейки таблицы ниже, чтобы ответить на вопрос."	"q1MA160_question_q1itemDirections_5c9d21377c33e0.63336318_2_0"	"PISA_rus-LVA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4939"	"Mathematics"	"Матемаческий"	"q2MA160_question_question02_22_5c9d21377de2f4.33135877_0"	"PISA_rus-LVA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Используя цифровые клавиши, напишите ответ на данный вопрос."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_rus-LVA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;i&gt;Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа.&lt;/i&gt;"	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_rus-LVA_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Соединенное Королевство"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_rus-LVA_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4948"	"Agriculture"	"Сельскохозяйственный"	"q3MA160_question_question03_5_5c9d21377f8502.68715278_0"	"PISA_rus-LVA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос кликните на один или несколько вариантов ответа:"	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_rus-LVA_MAT_MA114-Honey_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос кликните на два варианта ответа."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_rus-LVA_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3158"	"&lt;b&gt; Table 2."	"&lt;b&gt; Таблица 2."	"MA134_stimulus3_S03_2table1CaptionID_5c9d21642f2ce6.90234084_0_0"	"PISA_rus-LVA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Чтобы использовать этот калькулятор, выполните следующие действия:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_rus-LVA_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Объясните свой ответ и приведите числовые значения, чтобы подтвердить ваш ответ."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_rus-LVA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4581"	"A"	"Д"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_rus-LVA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
