"Segment"	"en-ZZ"	"az-QZ"	"ID"	"File"
"5075"	"Statement"	"Sual "	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2953"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_1_0"	"PISA_aze-QAZ_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"5116"	"Germany"	"Ölkə D"	"q1MA161_question_question01_46_5c9d2137a11e08.74558694_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin və daha sonra yazdığınız cavabı izah edin."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2568"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_aze-QAZ_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1239"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA115_question01_q01itemDirections_5c9d214a9065d9.24249905_1_0"	"PISA_aze-QAZ_MAT_MA115-Iceberg_en21_MS2022.xlf"
"4383"	"Statement"	"İfadə"	"q1MA151_question_q1tr1th1_5c9d2165424b48.24511318_0"	"PISA_aze-QAZ_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1322"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA116_question1_itemDirections1_5c9d214a99d4f5.42965308_1_0"	"PISA_aze-QAZ_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"5019"	"Mean"	"Ədədi orta"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1435"	"Statement"	"İfadə"	"MA117_question04_Q4tr1th1_5c9d214ab15005.61673470_0"	"PISA_aze-QAZ_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"5174"	"India"	"Ölkə F"	"q3MA160_question_question03_27_5c9d2137a57233.47908983_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5083"	"Greece"	"Ölkə E"	"q1MA161_question_question01_13_5c9d2137a0e932.88946673_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5117"	"Greece"	"Ölkə E"	"q1MA161_question_question01_47_5c9d2137a11fa4.62486581_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"744"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"Q2M110_question_Q2itemDirections_5c9d214a4ad912.55794775_1_0"	"PISA_aze-QAZ_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"827"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"Q2M111_question_Q2itemDirections_5c9d214a59d864.67731521_1_0"	"PISA_aze-QAZ_MAT_MA111-HealthApp_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Kalkulyatordan istifadə etmək üçün aşağıdakı addımları izləyin."	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_aze-QAZ_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Hər bir ifadə üçün &lt;b&gt;Doğru&lt;/b&gt; və ya &lt;b&gt;Yanlış&lt;/b&gt;-ı klikləyin."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_aze-QAZ_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"Rəqəm düymələrindən istifadə edərək suala cavabınızı yazın."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_aze-QAZ_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"5082"	"Germany"	"Ölkə D"	"q1MA161_question_question01_12_5c9d2137a0e814.22619275_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1119"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"Q01MMA113_question_Q01itemDirections_5c9d214a6aa466.58921399_1_0"	"PISA_aze-QAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1915"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA128_question3_q3itemDirections_5c9d214b34d864.30750173_1_0"	"PISA_aze-QAZ_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2537"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"Q1MA129_question_Q1ItmDirP1Id_5c9d214b77ec40.66176260_1_0"	"PISA_aze-QAZ_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ &lt;b&gt;Bir və ya bir neçə&lt;/b&gt; xananı seçməyi unutmayın."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_aze-QAZ_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kC"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_aze-QAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2289"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA126_question03_itemDirectionsQ03_5c9d214b54ba12.68549963_1_0"	"PISA_aze-QAZ_MAT_MA126-Robot_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt;Ümumi&lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_aze-QAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Cavabınızı izah edin və izahınızı əsaslandırmaq üçün ədədi dəyərlərdən istifadə edin."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_aze-QAZ_MAT_MA146-Fuel_en21_MS2022.xlf"
"5100"	"Greece"	"Ölkə E"	"q1MA161_question_question01_30_5c9d2137a10205.73881381_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_aze-QAZ_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt;Ümumi&lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_aze-QAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1471"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA119_question1_itemDirections1_5c9d214ad702a0.84429473_1_0"	"PISA_aze-QAZ_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"5127"	"United States"	"Ölkə O"	"q1MA161_question_question01_57_5c9d2137a12f80.49194124_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2204"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA126_question01_itemDirectionsQ01_5c9d214b506370.60535880_1_0"	"PISA_aze-QAZ_MAT_MA126-Robot_en21_MS2022.xlf"
"5172"	"Germany"	"Ölkə D"	"q3MA160_question_question03_25_5c9d2137a56f90.86616311_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1183"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA114_question1_itemDirections1_5c9d214a82a650.54712226_1_0"	"PISA_aze-QAZ_MAT_MA114-Honey_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Hər bir fikir üçün &lt;b&gt;Bəli&lt;/b&gt; və ya &lt;b&gt;Xeyr&lt;/b&gt; cavabını klikləyin."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_aze-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"2749"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA130_question03_itemDirectionsQ03_5c9d214b8dfe44.39422320_1_0"	"PISA_aze-QAZ_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"Rəqəm düymələrindən istifadə edərək suala cavabınızı yazın."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_aze-QAZ_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Rəqəm düymələrindən istifadə edərək suala cavabınızı yazın."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_aze-QAZ_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"5089"	"Portugal"	"Ölkə K"	"q1MA161_question_question01_19_5c9d2137a0f103.63459738_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2300"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA126_question04_itemDirectionsQ04_5c9d214b568386.90812819_1_0"	"PISA_aze-QAZ_MAT_MA126-Robot_en21_MS2022.xlf"
"5431"	"Colombia"	"Kolumbiya"	"js_translation_country5_5c9d2137d78223.94155001_0"	"PISA_aze-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5179"	"Portugal"	"Ölkə K"	"q3MA160_question_question03_32_5c9d2137a57901.51264932_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5219"	"India"	"Ölkə F"	"js_translation_country6_5c9d2137a9e143.26676805_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓&lt;b&gt;Bir və ya bir neçə&lt;/b&gt; xananı seçməyi unutmayın."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_aze-QAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1145"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"Q03MA113_question_Q03itemDirections_5c9d214a6e0c82.46175181_1_0"	"PISA_aze-QAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"733"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"Q1M110_question_Q1itemDirections_5c9d214a49be54.59438497_1_0"	"PISA_aze-QAZ_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Kalkulyatordan istifadə etmək üçün aşağıdakı addımları izləyin:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_aze-QAZ_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5356"	"Colombia"	"Kolumbiya"	"q2MA161_question_question02_13_5c9d2137d32443.62941631_0"	"PISA_aze-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5106"	"Portugal"	"Ölkə K"	"q1MA161_question_question01_36_5c9d2137a10ad3.79306113_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5217"	"Germany"	"Ölkə D"	"js_translation_country4_5c9d2137a9d1a5.72871813_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_aze-QAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"5173"	"Greece"	"Ölkə E"	"q3MA160_question_question03_26_5c9d2137a570e0.80849226_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5155"	"Germany"	"Ölkə D"	"q3MA160_question_question03_9_5c9d2137a559e3.56875301_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2803"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA131_question2_q2itemDirections_5c9d214ba31f93.93028518_1_0"	"PISA_aze-QAZ_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"5166"	"United States"	"Ölkə O"	"q3MA160_question_question03_20_5c9d2137a566d0.54129229_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1401"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA117_question01_q01itemDirections_5c9d214aacc999.01242355_1_0"	"PISA_aze-QAZ_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"5118"	"India"	"Ölkə F"	"q1MA161_question_question01_48_5c9d2137a12145.09399979_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5228"	"United States"	"Ölkə O"	"js_translation_country15_5c9d2137aa3743.16644633_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1194"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA114_question2_itemDirections2_5c9d214a83b1e3.67009864_1_0"	"PISA_aze-QAZ_MAT_MA114-Honey_en21_MS2022.xlf"
"4767"	"Statement"	"İfadə"	"q2MA158_question_q2tr1th1_5c9d21657cb706.07064036_0"	"PISA_aze-QAZ_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓&lt;b&gt;Bir və ya bir neçə&lt;/b&gt; xananı seçməyi unutmayın."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_aze-QAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Rəqəm düymələrindən istifadə edərək suala cavabınızı yazın."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_aze-QAZ_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"5099"	"Germany"	"Ölkə D"	"q1MA161_question_question01_29_5c9d2137a100a9.69583010_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5370"	"Colombia"	"Kolumbiya"	"q2MA161_question_question02_27_5c9d2137d33800.90193832_0"	"PISA_aze-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1949"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA124_question1_itemDirections1_5c9d214b402246.10061217_1_0"	"PISA_aze-QAZ_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"Rəqəm düymələrindən istifadə edərək suala cavabınızı yazın."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_aze-QAZ_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1251"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA115_question02_q02itemDirections_5c9d214a9187a5.96523157_1_0"	"PISA_aze-QAZ_MAT_MA115-Iceberg_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"Rəqəm düymələrindən istifadə edərək suala cavabınızı yazın."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_aze-QAZ_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Aşağıdakı cədvəldəki ifadələrdən hər biri üçün &lt;b&gt;Doğru&lt;/b&gt; və ya &lt;b&gt;Yanlış&lt;/b&gt; cavabını klikləyin."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_aze-QAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1412"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA117_question02_Q02itemDirections_5c9d214aae26f7.68113286_1_0"	"PISA_aze-QAZ_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Suala cavab vermək üçün iki xananı klikləyin."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_aze-QAZ_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1531"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA120_question1_itemDirections1_5c9d214ae25a25.45268216_1_0"	"PISA_aze-QAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Cavabınızı izah edin və izahınızı əsaslandırmaq üçün ədədi dəyərlərdən istifadə edin."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_aze-QAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5110"	"United States"	"Ölkə O"	"q1MA161_question_question01_40_5c9d2137a110c0.86932285_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5183"	"United States"	"Ölkə O"	"q3MA160_question_question03_36_5c9d2137a57ea9.30690317_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Hər bir ifadə üçün &lt;b&gt;Doğru&lt;/b&gt; və ya &lt;b&gt;Yanlış&lt;/b&gt;-ı klikləyin."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_aze-QAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3915"	"Statement"	"İfadə"	"q3MA144_question_q3tr1th1_5c9d2164d14be7.65905574_0"	"PISA_aze-QAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5093"	"United States"	"Ölkə O"	"q1MA161_question_question01_23_5c9d2137a0f5f8.13056865_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1839"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA121_question03_Q03itemDirections_5c9d214b07d797.77931049_1_0"	"PISA_aze-QAZ_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"5123"	"Portugal"	"Ölkə K"	"q1MA161_question_question01_53_5c9d2137a12917.72235168_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2790"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA131_question1_q1itemDirections_5c9d214ba1ed50.83741588_1_0"	"PISA_aze-QAZ_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"5101"	"India"	"Ölkə F"	"q1MA161_question_question01_31_5c9d2137a10350.40251800_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"Rəqəm düymələrindən istifadə edərək suala cavabınızı yazın."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_aze-QAZ_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"2459"	"mg"	"mq-a qədər"	"MA128q02_question_question02_13_5c9d21372a79d4.15572906_0"	"PISA_aze-QAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"5157"	"India"	"Ölkə F"	"q3MA160_question_question03_11_5c9d2137a55c37.62554622_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5224"	"Portugal"	"Ölkə K"	"js_translation_country11_5c9d2137aa0f66.93665247_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1902"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA128_question2_q2itemDirections_5c9d214b330089.68340793_1_0"	"PISA_aze-QAZ_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"1133"	"Statement"	"İfadə"	"Q02MA113_question_Q02tr1th1_5c9d214a6c3e54.01685511_0"	"PISA_aze-QAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4850"	"Mean"	"Ədədi orta"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_aze-QAZ_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5218"	"Greece"	"Ölkə E"	"js_translation_country5_5c9d2137a9d932.10987867_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Aşağıdakı ifadələr doğrudur ya yanlış?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_aze-QAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
