"Segment"	"en-ZZ"	"fr-CA"	"ID"	"File"
"313"	"PHONE"	"TÉLÉPHONE"	"R219_stimulus_sect3Line2span3_50c7b72762d699.93562593_0"	"PISA_fra-CAN_REA_R219-Employment_en15_MS2022.xlf"
"5839"	"Tapez votre réponse à la question."	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication."	"q7R569_question_q7itemDirections_56fc78d566e609.44343682_1_0"	"PISA_fra-CAN_REA_R569-TheCleanup_fr18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; O-Buro rembourse &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; $ sur des achats entre 60 et 149,99 $.&lt;br /&gt; &gt; O-Buro rembourse 50 $ sur des achats entre 150 et 299,99 $.&lt;br /&gt; &gt; O-Buro rembourse 100 $ sur des achats de 300 $ ou plus.&lt;br /&gt;"	"R466_stimulus_line5_50c7c8f8c07055.86962456_0"	"PISA_fra-CAN_REA_R466-WorkRight_en15_MS2022.xlf"
"2101"	"Cette affirmation est-elle vraie ou fausse ?"	"Selon la brochure, cette affirmation est-elle vraie ou fausse?"	"R545_question03_Q03tr1th1_56fc79295e5649.51517362_0"	"PISA_fra-CAN_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"3123"	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication."	"Pour répondre à la question, cliquez sur l’un des choix de réponse, puis tapez votre explication."	"R552_question08_q08itemDirections_56fd7937c143c6.87632719_1_0"	"PISA_fra-CAN_REA_R552-FestiRock_fr18_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"Entre 150 $ et 299,99 &lt;br /&gt;"	"R466_stimulus_sect3left_50c7c8f8c0c344.09098939_0"	"PISA_fra-CAN_REA_R466-WorkRight_en15_MS2022.xlf"
"2102"	"Vraie"	"Vrai"	"R545_question03_Q03tr1th2_56fc79295e5a36.15591265_0"	"PISA_fra-CAN_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"321"	"PHONE"	"TÉLÉPHONE"	"R219_stimulus_sect4Line2span3_50c7b7276304c2.96794656_0"	"PISA_fra-CAN_REA_R219-Employment_en15_MS2022.xlf"
"5831"	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"Tapez votre réponse à la question.&lt;/i&gt;"	"q6R569_question_q06itemDirections_56fc78d5652cb8.65914329_1_0"	"PISA_fra-CAN_REA_R569-TheCleanup_fr18_MS2022.xlf"
"4133"	"Tapez votre réponse à la question."	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication."	"R561_question02_q02itemDirections_56fc78f05d1325.31880311_1_0"	"PISA_fra-CAN_REA_R561-OlympicFlag_fr18_MS2022.xlf"
"441"	"continuous&lt;br /&gt;daylight"	"Clarté&lt;br /&gt;continue"	"R220_stimulus_label7_50c7bffb7af530.54094046_0"	"PISA_fra-CAN_REA_R220-SouthPole_en15_MS2022.xlf"
"1343"	"Référez-vous à la page web à droite."	"Référez-vous à la page Web à droite."	"Q09_question_Q09itemDirections_56fc79287e5e55.52310944_0_0"	"PISA_fra-CAN_REA_R541-Plastic_fr18_MS2022.xlf"
"392"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Pôle sud&lt;/b&gt;&lt;br /&gt; Question"	"R220_question_itemTitle_50c7bffb6bb742.58643850_0"	"PISA_fra-CAN_REA_R220-SouthPole_en15_MS2022.xlf"
"876"	"&lt;b&gt;Chocolate and Health&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Le chocolat et la santé&lt;/b&gt;&lt;br /&gt; Question"	"R455_question_itemTitle_50c7ba790df0e5.48095466_0"	"PISA_fra-CAN_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"25"	"&lt;b&gt;Drugged Spiders&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Araignées droguées &lt;/b&gt;&lt;br /&gt; Question"	"R055_question_itemTitle_50c7b2b8708270.71123750_0"	"PISA_fra-CAN_REA_R055-DruggedSpiders_en15_MS2022.xlf"
"2103"	"Fausse"	"Faux"	"R545_question03_Q03tr1th3_56fc79295e5cd9.02386534_0"	"PISA_fra-CAN_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"1889"	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"R544_question11_itemDirections_56fd7267087389.47807259_1_0"	"PISA_fra-CAN_REA_R544-Tesla_fr18_MS2022.xlf"
"2932"	"&lt;b&gt;Objet :&lt;/b&gt; RE : Bénévolat – FestiRock"	"&lt;b&gt;Objet :&lt;/b&gt; Bénévolat &amp;ndash; FestiRock"	"pg1_stimulus_pg1-li3-4_56fd7937af7a42.26287821_0"	"PISA_fra-CAN_REA_R552-FestiRock_fr18_MS2022.xlf"
"325"	"TO"	"AU"	"R219_stimulus_sect4Line3span4_50c7b727631a89.65423674_0"	"PISA_fra-CAN_REA_R219-Employment_en15_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b727626517.27125759_0"	"PISA_fra-CAN_REA_R219-Employment_en15_MS2022.xlf"
"180"	"£30"	"38 $"	"R102_stimulus_tr17td3_50c7ae575d2a01.51715801_0"	"PISA_fra-CAN_REA_R102-Shirts_en15_MS2022.xlf"
"4942"	"Site web"	"Site Web"	"R566_Stimulus04_stimulus4_6_56fc78e0ddfb44.22055950_0"	"PISA_fra-CAN_REA_R566-SkelligRocks_fr18_MS2022.xlf"
"4508"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Tapez votre réponse à la question.&lt;/i&gt;"	"R563_question01_q01itemDirections_56fc78e0917043.40115027_1_0"	"PISA_fra-CAN_REA_R563-QuestionOfTheWeek_fr18_MS2022.xlf"
