"Segment"	"en-ZZ"	"es-CR"	"ID"	"File"
"2104"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Vulnerable:&lt;/b&gt; Los individuos en este estado no se han vacunado para prevenir la enfermedad y pueden enfermar."	"question000_1_t1tr1td2_5179d18b0d6e34.82811537_0"	"PISA_esp-CRI_SCI_S634-Vaccination_en15_MS2022.xlf"
"1958"	"S627 Car Tyres Q03"	"S627  LLANTAS PARA CARRO  P03"	"S627_question3_unknownID_51543fc5d8b8f0.79632901_0"	"PISA_esp-CRI_SCI_S627-CarTyres_en15_MS2022.xlf"
"2856"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"¡Bien hecho!&lt;br /&gt; Por favor, dele clic en la flecha SIGUIENTE para continuar."	"sim_1_sim_3_5179d18c865e88.89749465_0"	"PISA_esp-CRI_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2445"	"Low"	"Bajo"	"stimulus2_1_stimulus2_36_517c866cd9c7a6.07608979_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2978"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt;. Pregunta"	"S657_question2_itemTitleqS2_51543fc909a0e9.69032256_0"	"PISA_esp-CRI_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2517"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Dele clic en las opciones de la tabla que respondan la siguiente pregunta.&lt;/i&gt;"	"S638_question4_itemDirections4_51658351727f06.49231365_0"	"PISA_esp-CRI_SCI_S638-OilSpills_en15_MS2022.xlf"
"2634"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillos&lt;/b&gt;&lt;br /&gt; Preguntas"	"question6_1_itemTitle06_5179d18c4009f1.06042925_0"	"PISA_esp-CRI_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2451"	"Medium"	"Medio"	"stimulus2_1_stimulus2_45_517c866cd9fbc7.43288021_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1049"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Dele clic a la opción que responda la pregunta.&lt;/i&gt;"	"S603_question5_itemDirections5_5138b289dbdd91.86400384_0"	"PISA_esp-CRI_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2366"	"decrease"	"disminuirá"	"question5_1_o5_2_517c866cce87d1.86453744_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1810"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question3_itemTitle_3_51484257f14358.64460797_0"	"PISA_esp-CRI_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2768"	"The Run button to display the results."	"El botón Ejecutar para mostrar los resultados."	"menu_1_menuLi3_5179d18c75a577.37741917_0"	"PISA_esp-CRI_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"605"	"&lt;b&gt;Forest Fires&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;INCENDIOS FORESTALES &lt;/b&gt;&lt;br /&gt; Pregunta"	"S466_question3_itemTitle3_5134b994dbd2d7.91725274_0"	"PISA_esp-CRI_SCI_S466-ForestFires_en15_MS2022.xlf"
"2450"	"Low"	"Bajo"	"stimulus2_1_stimulus2_44_517c866cd9f842.05399866_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1823"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question4_itemTitle_4_51484258014321.57686303_0"	"PISA_esp-CRI_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2773"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lea la introducción. Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_5179d18c770887.32162936_0"	"PISA_esp-CRI_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1517"	"Medium"	"Moderada"	"js_translation_slopeMedium_517c866c11dfe4.07185303_0"	"PISA_esp-CRI_SCI_S615-Tsunami_en15_MS2022.xlf"
"2369"	"increase"	"aumentará"	"question5_1_o5b_1_517c866cce8f65.81474457_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1675"	"May"	"May."	"S620_Q2_xq25_51543fc5772841.28789698_0"	"PISA_esp-CRI_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1959"	"&lt;b&gt;Car Tyres&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Llantas para carro  &lt;/b&gt;&lt;br /&gt; Pregunta"	"S627_question3_qitemTitle3_51543fc5d8f1a4.67543487_0"	"PISA_esp-CRI_SCI_S627-CarTyres_en15_MS2022.xlf"
"2237"	"None"	"Nulo"	"js_translation_none_517c866cc0b129.17051160_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"788"	"The provision of assistance to victims of natural disasters"	"Ayudar a las víctimas de los desastres naturales."	"S514_question3_tr4td1_5134b995ae82c6.71158561_0"	"PISA_esp-CRI_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2540"	"S629 Solar Cooker"	"S629 Olla solar"	"S629_stimulus0_unknownID_516e90e7a5e4e1.00682628_0"	"PISA_esp-CRI_SCI_S638-OilSpills_en15_MS2022.xlf"
"1797"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question2_itemTitle_2_51484257ed0b68.78002511_0"	"PISA_esp-CRI_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2519"	"Can this question be answered by scientific experiments?"	"¿Puede responderse esta pregunta por medio de experimentos científicos?"	"S638_question4_Q4_tr1th1_516583517289b0.71320718_0"	"PISA_esp-CRI_SCI_S638-OilSpills_en15_MS2022.xlf"
"929"	"higher"	"mayores"	"S602_question4_S602Q04SELECT31_5146f1d3220749.32583095_0"	"PISA_esp-CRI_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2765"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puede usar los siguientes controles:"	"menu_1_menuP2_5179d18c759b73.95768713_0"	"PISA_esp-CRI_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"919"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; El efecto isla de calor urbana&lt;/b&gt;&lt;br /&gt; Pregunta"	"S602_question4_qitemTitle4_5146f1d321d3e6.33512336_0"	"PISA_esp-CRI_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1613"	"Medium"	"Moderada"	"sim_1_simSlopeMed_517c866c229f33.08839423_0"	"PISA_esp-CRI_SCI_S615-Tsunami_en15_MS2022.xlf"
"307"	"&lt;b&gt;Solar Panels&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;SPANELES SOLARES&lt;/b&gt;&lt;br /&gt; Pregunta"	"S415_question3_itemTitle3_5134b9939bc977.12232288_0"	"PISA_esp-CRI_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"116"	"Yes"	"Si"	"S408_question3_tr1th2_5134b9935f1d79.90206887_0"	"PISA_esp-CRI_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"1701"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Dele clic a la opción que responda la pregunta.&lt;/i&gt;"	"S620_Q5_itemDirections5_51543fc5816999.55030035_0"	"PISA_esp-CRI_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2692"	"Halogen"	"Halógena"	"stimulus_1_stimuluslb4label_5179d18c453fc9.98193859_0"	"PISA_esp-CRI_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2368"	"select"	"Seleccione"	"question5_1_o5b_0_517c866cce8ce4.25365685_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2335"	"decrease"	"disminuirá"	"question3_1_o3_2_517c866cca7289.26782965_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1036"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Dele clic a la opción que responda la pregunta.&lt;/i&gt;"	"S603_question4_itemDirections4_5138b289d66ef2.15561880_0"	"PISA_esp-CRI_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2455"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"¡Bien hecho!&lt;br /&gt; Por favor, dele clic en la flecha SIGUIENTE para continuar."	"stimulus2_1_stimulus2_49_517c866cda1ac1.66827205_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2223"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"¡Bien hecho!&lt;br /&gt; Por favor, dele clic en la flecha SIGUIENTE para continuar."	"stimulus_1_dialogMsgText2_5179d18b1cb917.71631035_0"	"PISA_esp-CRI_SCI_S634-Vaccination_en15_MS2022.xlf"
"2566"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puede usar los siguientes controles:"	"menu_1_menuP2_5179d18c3603e7.48672848_0"	"PISA_esp-CRI_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2677"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"¡Bien hecho!&lt;br /&gt; Por favor, dele clic en la flecha SIGUIENTE para continuar."	"sim_1_dialogMsgText2_5179d18c42fec9.87549879_0"	"PISA_esp-CRI_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2337"	"select"	"Seleccione"	"question3_1_o3b_0_517c866cca7c35.96356868_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1995"	"Car Tyres"	"Llantas para carro."	"S627_stimulus3_attr_alt_attr_stimulus3_1_51543fc5e83a52.31215513_0"	"PISA_esp-CRI_SCI_S627-CarTyres_en15_MS2022.xlf"
"2238"	"Low"	"Bajo"	"js_translation_low_517c866cc0b622.59988102_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2991"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt;. Pregunta"	"S657_question3_itemTitleqS3_51543fc90f3329.53871036_0"	"PISA_esp-CRI_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"930"	"lower"	"menores"	"S602_question4_S602Q04SELECT32_5146f1d3220c05.59682257_0"	"PISA_esp-CRI_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2537"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Escriba la respuesta que se le solicita.&lt;/i&gt;"	"S638_question5_itemDirections5_51658351744252.29613438_0"	"PISA_esp-CRI_SCI_S638-OilSpills_en15_MS2022.xlf"
"2446"	"Medium"	"Medio"	"stimulus2_1_stimulus2_37_517c866cd9cda5.35528622_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2086"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puede usar los siguientes controles:"	"menu_1_aMenuP3_5179d18b0a1a87.78061985_0"	"PISA_esp-CRI_SCI_S634-Vaccination_en15_MS2022.xlf"
"2333"	"select"	"Seleccione"	"question3_1_o3_0_517c866cca6a23.08277732_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2338"	"increase"	"aumentará"	"question3_1_o3b_1_517c866cca8149.85234485_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1505"	"Brain-controlled Prosthetics"	"Robótica controlada por el cerebro"	"S610_stimulus3_attr_alt_attr_stimulus3_1_5165835114fc80.95788113_0"	"PISA_esp-CRI_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"2449"	"None"	"Nulo"	"stimulus2_1_stimulus2_43_517c866cd9f405.42115461_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"591"	"&lt;b&gt;Forest Fires&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;INCENDIOS FORESTALES &lt;/b&gt;&lt;br /&gt; Pregunta"	"S466_question2_itemTitle2_5134b994d63402.82438449_0"	"PISA_esp-CRI_SCI_S466-ForestFires_en15_MS2022.xlf"
"1023"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Dele clic a la opción que responda la pregunta.&lt;/i&gt;"	"S603_question3_itemDirections3_5138b289d1b4e8.95919050_0"	"PISA_esp-CRI_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2240"	"High"	"Alto"	"js_translation_high_517c866cc0c011.23722423_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2584"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillos&lt;/b&gt;&lt;br /&gt; Preguntas"	"question3_1_itemTitle03_5179d18c3a7ea6.89906203_0"	"PISA_esp-CRI_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2339"	"decrease"	"disminuirá"	"question3_1_o3b_2_517c866cca8617.75823500_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2365"	"increase"	"aumentará"	"question5_1_o5_1_517c866cce8576.85368889_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
