"Segment"	"en-ZZ"	"gl-ES"	"ID"	"File"
"2487"	"High"	"Elevado"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2665"	"CFL light bulbs"	"Ás lámpadas compactas fluorescentes (CFL)"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_glg-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1344"	"The researchers did another experiment that involved selecting two similar areas of the savannah that had both species of acacia trees. One of the two areas was enclosed by a fence that is known to keep out elephants but does not keep smaller animals out. The researchers checked the trees in both areas for damage once every six months.&lt;br /&gt;&lt;br /&gt;Which of the following questions is the experiment designed to answer?"	"Os investigadores realizaron outro experimento que consistía en seleccionar dúas zonas semellantes da sabana nas que existiran ambas especies de acacia. Unha desas zonas estaba rodeada por unha cerca que impedía entrar os elefantes sen obstaculizar a entrada para animais de menor tamaño. Unha vez cada seis meses, os investigadores comprobaron os danos sufridos polas árbores en ambas as áreas.&lt;br /&gt;&lt;br /&gt;A cal das seguintes preguntas tenta responder este experimento?"	"S603_question5_p52_517407135410f2.33073972_0"	"PISA_glg-ESP_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1392"	"Species A&lt;br /&gt;branches with ants"	"Pólas da especie A&lt;br /&gt; con formigas"	"S603_stimulus1_le3_5174071361fc03.36887402_0"	"PISA_glg-ESP_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1715"	"May"	"Mai."	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_glg-ESP_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2279"	"Medium"	"Medio"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2410"	"decrease"	"diminúe"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2491"	"Medium"	"Medio"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2405"	"increase"	"aumenta"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2486"	"Medium"	"Medio"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2667"	"Halogen light bulbs"	"Ás lámpadas halóxenas"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_glg-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2278"	"Low"	"Baixo"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2441"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Lémbrate de seleccionar &lt;b&gt;un ou máis&lt;/b&gt; recadros."	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2406"	"decrease"	"diminúe"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1413"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta o artigo &quot;Amonitas&quot; da dereita. Arrastra e solta os elementos correspondentes para responderes a pregunta.&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_glg-ESP_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1575"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Le a introdución e, a continuación, fai clic na frecha de &quot;AVANZAR&quot;.&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_glg-ESP_SCI_S615-Tsunami_en15_MS2022.xlf"
"2245"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;i&gt; ✔ Lémbrate de seleccionar &lt;b&gt;un ou máis&lt;/b&gt; recadros.&lt;/i&gt;"	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_glg-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"2485"	"Low"	"Baixo"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2500"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Le a introdución e, a continuación, fai clic na frecha de &quot;AVANZAR&quot;.&lt;/i&gt;"	"S638_question0_itemDirections0_51804fe179a0d0.36675138_0"	"PISA_glg-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"2490"	"Low"	"Baixo"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2277"	"None"	"Nulo"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2484"	"None"	"Nulo"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2731"	"LED"	"Díodo emisor de luz (LED)"	"stimulus_1_stimuluslb3label_51940c102e6069.74729902_0"	"PISA_glg-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2136"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Le a introdución e, a continuación, fai clic na frecha de &quot;AVANZAR&quot;.&lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_glg-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"2409"	"increase"	"aumenta"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2489"	"None"	"Nulo"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2559"	"Can this question be answered by scientific experiments?"	"Poden os experimentos científicos responder a seguinte pregunta?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_glg-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"2664"	"Incandescent light bulbs"	"Ás lámpadas incandescentes"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_glg-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"315"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Fai clic nas opcións da táboa para responderes a pregunta.&lt;/i&gt;"	"S415_question3_itemDirections3_51065136692406.43564298_0"	"PISA_glg-ESP_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"935"	"higher"	"máis elevadas"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_glg-ESP_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2159"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;i&gt;✔ Lémbrate de seleccionar &lt;b&gt;un ou máis&lt;/b&gt; recadros.&lt;/i&gt;"	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_glg-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
