"Segment"	"en-ZZ"	"be-BY"	"ID"	"File"
"4926"	"Philosophy"	"Філасофскі факультэт"	"q2MA160_question_question02_10_5c9d21377dd3c3.69694845_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Памятайце, што трэба выбраць &lt;b&gt;адзін ці болей&lt;/b&gt; варыянтаў."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_bel-BLR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4935"	"Nursing"	"Медыцынскі факультэт"	"q2MA160_question_question02_18_5c9d21377dde66.88213774_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5075"	"Statement"	"Пытанне"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_bel-BLR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Выберыце варыянт з выпадаючых меню, каб адказаць на пытанне."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_bel-BLR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4597"	"D"	"Д"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4577"	"D"	"Д"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_bel-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Выберыце варыянт з выпадальных меню, каб адказаць на пытанне."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_bel-BLR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Выберыце варыянт з выпадальных меню, каб адказаць на пытанне."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4161"	"C"	"С"	"MA148_stimulus2_stimulus2_2_5c9d216518d1c3.39500236_0"	"PISA_bel-BLR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_bel-BLR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4937"	"Engineering"	"Інжынерны факультэт"	"q2MA160_question_question02_20_5c9d21377de093.24438410_0"	"PISA_bel-BLR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3189"	"A"	"А"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_bel-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
