"Segment"	"en-ZZ"	"it-IT"	"ID"	"File"
"2370"	"select"	"Seleziona"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Per eseguire la simulazione, puoi utilizzare i comandi qui sotto:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_ita-ITA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2450"	"None"	"Assente"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Leggi l'introduzione, poi clicca sulla freccia del pulsante AVANTI.&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_ita-ITA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2457"	"Medium"	"Medio"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Alto"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Leggi l'introduzione, poi clicca sulla freccia del pulsante AVANTI.&lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_ita-ITA_SCI_S634-Vaccination_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Fai riferimento a «Ammoniti» presentato sulla destra. Per rispondere alla domanda, utilizza la funzione di trascinamento selezione.&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_ita-ITA_SCI_S608-Ammonoids_en15_MS2022.xlf"
"935"	"higher"	"superiori"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_ita-ITA_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1681"	"May"	"Mag"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_ita-ITA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Provvedere all’assistenza delle vittime delle catastrofi naturali."	"S514_question3_tr4td1_50ed29529d28a7.84210479_0"	"PISA_ita-ITA_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2374"	"select"	"Seleziona"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"Servirsi della scienza per prevedere le catastrofi naturali."	"S514_question3_tr2td1_50ed29529d1a02.31837905_0"	"PISA_ita-ITA_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2453"	"High"	"Alto"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2243"	"None"	"Assente"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2344"	"increase"	"aumenterebbe"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2245"	"Medium"	"Medio"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"540"	"&lt;b&gt;Experiment&lt;/b&gt;"	"&lt;b&gt;Esperimento&lt;/b&gt;"	"S438_stimulus2_p3_50ec55ff40ab81.97165088_0"	"PISA_ita-ITA_SCI_S438-GreenParks_en15_MS2022.xlf"
"2341"	"decrease"	"diminuirebbe"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"aumenterebbe"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Leggi l'introduzione, poi clicca sulla freccia del pulsante AVANTI.&lt;/i&gt;"	"S648_Q0_itemDirections0_517407af694fe9.03906983_0"	"PISA_ita-ITA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1986"	"car tyres"	"Pneumatici per auto"	"S627_stimulus2_title2_51740713b9bad9.30274559_0"	"PISA_ita-ITA_SCI_S627-CarTyres_en15_MS2022.xlf"
"2521"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Fuoriuscite di petrolio&lt;/b&gt;&lt;br /&gt; Domanda"	"S638_question4_itemTitle4_51804fe18825a5.05447391_0"	"PISA_ita-ITA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2345"	"decrease"	"diminuirebbe"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"Per eseguire la simulazione, puoi utilizzare i comandi qui sotto:"	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_ita-ITA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"È possibile rispondere a questa domanda utilizzando esperimenti scientifici?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_ita-ITA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2451"	"Low"	"Basso"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
