"Segment"	"en-ZZ"	"hu-HU"	"ID"	"File"
"3217"	"&lt;i&gt;Read the information below."	"Olvasd el az alábbi információkat,"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_hun-HUN_REA_R553-HealthForum_en18_MS2022.xlf"
"313"	"PHONE"	"TELEFONSZÁMA"	"R219_stimulus_sect3Line2span3_50c7b79ed87a04.99640998_0"	"PISA_hun-HUN_REA_R219-Employment_en15_MS2022.xlf"
"3744"	"Tyson Electronics"	"A Tyson Elektronikai Vállalat"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_hun-HUN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;10 év 10 000 Ft ajánlat&lt;br /&gt; SOTECH Központ&lt;br /&gt; Budapest&lt;br /&gt; Dorottya u. 8.&lt;br /&gt;1054&lt;b/&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50c7c967775605.45169889_0"	"PISA_hun-HUN_REA_R466-WorkRight_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; 6 000 és 14 999 Ft érték közötti vásárlás esetén a KreatÍv &lt;span id=&quot;q3key&quot;&gt;2 000&lt;/span&gt; Ft-ot térít vissza.&lt;br /&gt; &gt; 15 000 és 29 999 Ft érték közötti vásárlás esetén a KreatÍv 5 000 Ft-ot térít vissza.&lt;br /&gt; &gt; 30 000 Ft érték feletti vásárlás esetén a KreatÍv 10 000 Ft-ot térít vissza.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9677750a6.11672839_0"	"PISA_hun-HUN_REA_R466-WorkRight_en15_MS2022.xlf"
"2802"	"Winter"	"Télen"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_hun-HUN_REA_R550-CliffPalace_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Kattints mindegyik állításnál az &lt;b&gt;Igen&lt;/b&gt; vagy a &lt;b&gt;Nem&lt;/b&gt; válaszra!"	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_hun-HUN_REA_R552-FestiRock_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Kattints a „TOVÁBB” nyílra a szórólap elolvasásához!"	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_hun-HUN_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"567"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;A DÉLI-SARK - 1. DOKUMENTUM&lt;/b&gt;"	"R220_stimulus_title_50c7c06c7c4859.55750644_0"	"PISA_hun-HUN_REA_R220-SouthPole_en15_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Kattints mindegyik tennivalónál az &lt;b&gt;Igen&lt;/b&gt; vagy a &lt;b&gt;Nem&lt;/b&gt; válaszra!"	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_hun-HUN_REA_R570-TheFavour_en18_MS2022.xlf"
"3745"	"Home Health Journal"	"Az Egészség az Otthonunkban Magazin"	"R558_question09_question09_2_56fc786b14f771.92248344_0"	"PISA_hun-HUN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4860"	"Click on a choice to answer the question.&lt;/i&gt;"	"A kérdés megválaszolásához kattints az egyik válaszlehetőségre! &lt;/i&gt;"	"R565_question5_itemDirections_56fc785d5ef754.99956789_1_0"	"PISA_hun-HUN_REA_R565-SittingDisease_en18_MS2022.xlf"
"2175"	"www.zedtownhigh.library.surveyresults.edu"	"www.zedfoldigimnazium.hu/konyvtar/felmeresieredmeny"	"Page2_stimulus_urlTxt_56fc782df090a6.46137641_0"	"PISA_hun-HUN_REA_R547-BookSurvey_en18_MS2022.xlf"
"321"	"PHONE"	"TELEFONSZÁMA"	"R219_stimulus_sect4Line2span3_50c7b79ed8a890.01022015_0"	"PISA_hun-HUN_REA_R219-Employment_en15_MS2022.xlf"
"1854"	"Click on the NEXT arrow to read the second source."	"Kattints a „TOVÁBB&quot; nyílra a második forrás elolvasásához!"	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_hun-HUN_REA_R544-Tesla_en18_MS2022.xlf"
"2012"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;A jobbra látható „A jövő embere&quot; című szöveg alapján válaszolj a kérdésre!"	"R544_question9_itemDirections_56fc782181a288.51990939_0_0"	"PISA_hun-HUN_REA_R544-Tesla_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"A jobbra látható, a fülekre kattintással váltogatható két forrás alapján válaszolj a kérdésre!"	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_hun-HUN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3718"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"A kérdés megválaszolásához kattints a táblázatban található válaszlehetőségekre!&lt;/i&gt;"	"R558_question8_itemDirections_56fc786b1259f5.61081922_1_0"	"PISA_hun-HUN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5217"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt; Ne felejtsd el, hogy &lt;b&gt;egy vagy több&lt;/b&gt; négyzetet ki kell jelölnöd!&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_hun-HUN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3337"	"."	"!"	"Page2_stimulus_pg2p5_56fc783ab47fb7.46624248_0"	"PISA_hun-HUN_REA_R556-Microlending_en18_MS2022.xlf"
"2799"	"Spring"	"Tavasszal"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_hun-HUN_REA_R550-CliffPalace_en18_MS2022.xlf"
"3254"	"Refer to the Teen Health Forum on the right."	"A jobbra látható kamasz egészségügyi fórum alapján válaszolj a kérdésekre!"	"R553_question_q03itemDirections_56fc784a5ebd03.32175063_0_0"	"PISA_hun-HUN_REA_R553-HealthForum_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"A kérdés megválaszolásához kattints a táblázatban szereplő válaszlehetőségekre! &lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_hun-HUN_REA_R547-BookSurvey_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"A jobbra látható, a fülekre kattintással váltogatható két forrás alapján válaszolj a kérdésre!"	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_hun-HUN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"301"	"T"	"Cs"	"R219_stimulus_stimulus_7_50c7b79ed80873.03413067_0"	"PISA_hun-HUN_REA_R219-Employment_en15_MS2022.xlf"
"2004"	"Type your answer to the question.&lt;/i&gt;"	"Gépeld be válaszodat! &lt;/i&gt;"	"R544_question8_itemDirections_56fc7821801f42.81584931_1_0"	"PISA_hun-HUN_REA_R544-Tesla_en18_MS2022.xlf"
"4874"	"Click on a choice to answer the question.&lt;/i&gt;"	"A kérdés megválaszolásához kattints az egyik válaszlehetőségre! &lt;/i&gt;"	"R565_question6_itemDirections_56fc785d6051c6.45976345_1_0"	"PISA_hun-HUN_REA_R565-SittingDisease_en18_MS2022.xlf"
"1545"	"Tutors for All"	"A Korrepetálás mindenkinek program"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_hun-HUN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"488"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;A DÉLI-SARK - 1. DOKUMENTUM&lt;/b&gt;"	"R220_stimulus_title_50c7c06c7603e8.25924911_0"	"PISA_hun-HUN_REA_R220-SouthPole_en15_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Kattints a „TOVÁBB” nyílra a mese elolvasásához!"	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_hun-HUN_REA_R570-TheFavour_en18_MS2022.xlf"
"438"	"16 hours&lt;br /&gt;of darkness"	"16 óra&lt;br /&gt;ötétség"	"R220_stimulus_label4_50c7c06c728841.35200136_0"	"PISA_hun-HUN_REA_R220-SouthPole_en15_MS2022.xlf"
"2634"	"Refer to both sources on the right by clicking on each of the tabs."	"A jobbra látható, a fülekre kattintással váltogatható két forrás alapján válaszolj a kérdésre!"	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_0_0"	"PISA_hun-HUN_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2801"	"Autumn"	"Ősszel"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_hun-HUN_REA_R550-CliffPalace_en18_MS2022.xlf"
"2612"	"Refer to both sources on the right by clicking on each of the tabs."	"A jobbra látható, a fülekre kattintással váltogatható két forrás alapján válaszolj a kérdésre!"	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_0_0"	"PISA_hun-HUN_REA_R549-MessageInABottle_en18_MS2022.xlf"
"304"	"S"	"V"	"R219_stimulus_stimulus_10_50c7b79ed81366.45012456_0"	"PISA_hun-HUN_REA_R219-Employment_en15_MS2022.xlf"
"506"	"courageously"	"bátor"	"R220_stimulus_stimulusH_9_50c7c06c764768.51613672_0"	"PISA_hun-HUN_REA_R220-SouthPole_en15_MS2022.xlf"
"3640"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"A kérdés megválaszolásához kattints a táblázatban található válaszlehetőségekre!&lt;/i&gt;"	"R558_question2_itemDirections_56fc786b09be36.87322307_1_0"	"PISA_hun-HUN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4944"	"Website"	"Webhely"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_hun-HUN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1957"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Kattints mindegyik állításnál az &lt;b&gt;Igen&lt;/b&gt; vagy a &lt;b&gt;Nem&lt;/b&gt; gombra!"	"R544_question4_question4_1_56fc78217b0235.67596425_1_0"	"PISA_hun-HUN_REA_R544-Tesla_en18_MS2022.xlf"
"638"	"Click on &lt;b&gt;2&lt;/b&gt; to look at page &lt;b&gt;2&lt;/b&gt;."	"Kattints a „&lt;b&gt;2&lt;/b&gt;&quot; feliratra a &lt;b&gt;2.&lt;/b&gt; oldal olvasásához!"	"R404_question_introBullet2_50c7c850a98a15.70960676_0"	"PISA_hun-HUN_REA_R404-Sleep_en15_MS2022.xlf"
"5005"	"Click on the NEXT arrow to read the article."	"A cikk elolvasásához kattints a „TOVÁBB&quot; nyílra!"	"q00a-body_q00a-p2_56fc786b7b5061.84844809_0"	"PISA_hun-HUN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"500"	"his disappointment"	"csalódását"	"R220_stimulus_stimulusH_5_50c7c06c763432.40144204_0"	"PISA_hun-HUN_REA_R220-SouthPole_en15_MS2022.xlf"
"576"	"The worst has happened"	"„Megtörtént a legrosz- szabb..."	"R220_stimulus_stimulusHQ4_3_50c7c06c7c6d97.36377414_0"	"PISA_hun-HUN_REA_R220-SouthPole_en15_MS2022.xlf"
"3943"	"Click on a choice to answer the question."	"A kérdés megválaszolásához kattints az egyik keresési eredményre!"	"R560_question03_q03itemDirections_56fc784a7ad263.50990820_1_0"	"PISA_hun-HUN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"A prospektus szerint igaz vagy hamis az állítás?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_hun-HUN_REA_R545-MachuPicchu_en18_MS2022.xlf"
