"Segment"	"en-ZZ"	"bg-BG"	"ID"	"File"
"854"	"&lt;b&gt;Extinction of the Dinosaurs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ИЗЧЕЗВАНЕТО НА ДИНОЗАВРИТЕ&lt;/b&gt;&lt;br /&gt; Въпрос"	"S527_question3_itemTitle3_50ec1f8fb8c219.44331072_0"	"PISA_bul-BGR_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"2406"	"decrease"	"намалява"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1345"	"Is damage to acacia trees caused mainly by elephants?"	"Главно слоновете ли увреждат акациите?"	"S603_question5_question5_1_517407135419e2.14832619_0"	"PISA_bul-BGR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2492"	"High"	"Високо"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2490"	"Low"	"Ниско"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1940"	"Sound in Marine Habitats"	"Звук в естествена морска среда"	"S626_stimulus3_attr_alt_attr_stimulus3_4_515e3a72776ea8.71341202_0"	"PISA_bul-BGR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"379"	"&lt;b&gt;Penguin Island&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ОСТРОВЪТ НА ПИНГВИНИТЕ&lt;/b&gt;&lt;br /&gt; Въпрос"	"S425_question3_itemTitle3_50ec58c16d0279.45446889_0"	"PISA_bul-BGR_SCI_S425-PenguinIsland_en15_MS2022.xlf"
"313"	"&lt;b&gt;Solar Panels&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;СЛЪНЧЕВИ ПАНЕЛИ&lt;/b&gt;&lt;br /&gt;Въпрос"	"S415_question3_itemTitle3_50ec3e07c02047.47330544_0"	"PISA_bul-BGR_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"1119"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Не забравяйте да изберете &lt;b&gt;едно или повече&lt;/b&gt; квадратчета.&lt;/i&gt;"	"S604_question3_q3p2_51804e6bc49453.85399057_0"	"PISA_bul-BGR_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2485"	"Low"	"Ниско"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2484"	"None"	"Без улов"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2994"	"Star 3"	"Звезда3"	"S642_stimulus2_lable2_4_517407af83b3b6.40189277_0"	"PISA_bul-BGR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"104"	"3"	"Г"	"S408_question1_attr_value_attr_S408Q01RADIO_3_50ec3ad4a2d884.09606751_0"	"PISA_bul-BGR_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"2279"	"Medium"	"Средно"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2606"	"To run this simulation, you can use the following controls:"	"За да пуснете тази симулация, можете да използвате следните контроли:"	"menu_1_menuP2_51940c101d3cd5.29603890_0"	"PISA_bul-BGR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2374"	"increase"	"се увеличи"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1344"	"The researchers did another experiment that involved selecting two similar areas of the savannah that had both species of acacia trees. One of the two areas was enclosed by a fence that is known to keep out elephants but does not keep smaller animals out. The researchers checked the trees in both areas for damage once every six months.&lt;br /&gt;&lt;br /&gt;Which of the following questions is the experiment designed to answer?"	"Изследователите направили още един експеримент като избрали два подобни района на саваната, в които имало и от двата вида акации. Те заградили единия район с ограда, за която се знае, че не пропуска слонове, но пропуска по-малки животни. Веднъж на всеки шест месеца изследователите проверявали за увреждания дърветата и в двата района.&lt;br /&gt;&lt;br /&gt;На кой от следните въпроси цели да отговори експериментът?"	"S603_question5_p52_517407135410f2.33073972_0"	"PISA_bul-BGR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1393"	"Species B&lt;br /&gt;branches with ants"	"Клонки от вид B&lt;br /&gt;с мравки"	"S603_stimulus1_le4_51740713620134.49128030_0"	"PISA_bul-BGR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1910"	"Sound in Marine Habitats"	"Звук в естествена морска среда"	"S626_stimulus2_attr_alt_attr_stimulus2_6_515e3a727423c7.35149129_0"	"PISA_bul-BGR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2580"	"S629 Solar Cooker"	"S629 Соларна печка"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_bul-BGR_SCI_S638-OilSpills_en15_MS2022.xlf"
"1937"	"Sound in Marine Habitats"	"Звук в естественаморска среда"	"S626_stimulus3_attr_alt_attr_stimulus3_1_515e3a72776832.81768625_0"	"PISA_bul-BGR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"737"	"No"	"НЕ"	"S498_question3_question3_2_50ec5d91088507.93344940_0"	"PISA_bul-BGR_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2378"	"increase"	"се увеличи"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"560"	"+&lt;br /&gt;ammonium&lt;br /&gt;sulfate"	"+&lt;br /&gt;Амониев &lt;br /&gt;сулфат"	"S438_stimulus2_chem8_50ec571d8883b3.87770239_0"	"PISA_bul-BGR_SCI_S438-GreenParks_en15_MS2022.xlf"
"2559"	"Can this question be answered by scientific experiments?"	"Може ли на този въпрос да се отговори с научни експерименти?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_bul-BGR_SCI_S638-OilSpills_en15_MS2022.xlf"
"1907"	"Sound in Marine Habitats"	"Звук в естествена морска среда"	"S626_stimulus2_attr_alt_attr_stimulus2_3_515e3a72741db3.29356464_0"	"PISA_bul-BGR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2377"	"select"	"изберете"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"128"	"&lt;b&gt;Wild Oat Grass&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ДИВ ОВЕС&lt;/b&gt;&lt;br /&gt;Въпрос"	"S408_question4_itemTitle_4_50ec3ad4a77559.63524572_0"	"PISA_bul-BGR_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"936"	"lower"	"по-ниски"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_bul-BGR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1117"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Използвайте  &quot;Вода от мъглата&quot; вдясно. Кликнете върху едно или повече квадратчета, за да отговорите на въпроса.&lt;/i&gt;"	"S604_question3_itemDirections3_51804e6bc48859.23680107_0"	"PISA_bul-BGR_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"102"	"1"	"Б"	"S408_question1_attr_value_attr_S408Q01RADIO_1_50ec3ad4a2d707.49752625_0"	"PISA_bul-BGR_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"103"	"2"	"В"	"S408_question1_attr_value_attr_S408Q01RADIO_2_50ec3ad4a2d7c9.41062448_0"	"PISA_bul-BGR_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"392"	"&lt;b&gt;Penguin Island&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ОСТРОВЪТ НА ПИНГВИНИТЕ&lt;/b&gt;&lt;br /&gt; Въпрос"	"S425_question4_itemTitle4_50ec58c16e7219.04748028_0"	"PISA_bul-BGR_SCI_S425-PenguinIsland_en15_MS2022.xlf"
"2491"	"Medium"	"Средно"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2373"	"select"	"изберете"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"366"	"&lt;b&gt;Penguin Island&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ОСТРОВЪТ НА ПИНГВИНИТЕ&lt;/b&gt;&lt;br /&gt; Въпрос"	"S425_question2_itemTitle2_50ec58c16abe73.02785548_0"	"PISA_bul-BGR_SCI_S425-PenguinIsland_en15_MS2022.xlf"
"39"	"&lt;b&gt;Milk&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;МЛЯКО&lt;/b&gt;&lt;br /&gt; Въпрос"	"S326_question4_itemTitle4_50ec4a8ebfe6a6.84595846_0"	"PISA_bul-BGR_SCI_S326-Milk_en15_MS2022.xlf"
"2665"	"CFL light bulbs"	"Луминесцентна лампа"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_bul-BGR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2805"	"To run this simulation, you can use the following controls:"	"За да пуснете тази симулация, можете да използвате следните контроли:"	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_bul-BGR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2362"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"В тази симулация ще можете да изследвате как равнищата на улов на моруна и херинга се отразяват върху биомасата на всеки вид организъм в залива след петгодишен период."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1557"	"Medium"	"Среден"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_bul-BGR_SCI_S615-Tsunami_en15_MS2022.xlf"
"1342"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;.&lt;/i&gt;"	"S603_question5_itemDirections5_51740713540214.25491020_0"	"PISA_bul-BGR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2489"	"None"	"Без улов"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1398"	"Time of Exposure (minutes)"	"Време на досег (минути)"	"S603_stimulus1_p25_51740713621ef2.23731047_0"	"PISA_bul-BGR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2495"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Добре!&lt;br /&gt;Моля, кликнете върху стрелката &quot;СЛЕДВАЩ&quot;, за да продължите."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1987"	"&lt;b&gt;Car Tyres&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Автомобилни гуми&lt;/b&gt;&lt;br /&gt;Въпрос"	"S627_question2_qitemTitle2_51740713b25158.06790436_0"	"PISA_bul-BGR_SCI_S627-CarTyres_en15_MS2022.xlf"
"2280"	"High"	"Високо"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2487"	"High"	"Високо"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"101"	"0"	"А"	"S408_question1_attr_value_attr_S408Q01RADIO_0_50ec3ad4a2d5d6.90073052_0"	"PISA_bul-BGR_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"309"	"1"	"Б"	"S415_question2_attr_value_attr_S415Q02RADIO_1_50ec3e07be2999.90832995_0"	"PISA_bul-BGR_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"2410"	"decrease"	"намалява"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2405"	"increase"	"се увеличава"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1908"	"Sound in Marine Habitats"	"Звук в естествена морска среда"	"S626_stimulus2_attr_alt_attr_stimulus2_4_515e3a72742018.23258723_0"	"PISA_bul-BGR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2493"	"RUN"	"Пусни"	"stimulus2_1_btn-run_51940bae4fd933.82718489_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1938"	"Sound in Marine Habitats"	"Звук в естествена морска среда"	"S626_stimulus3_attr_alt_attr_stimulus3_2_515e3a72776ac3.73647720_0"	"PISA_bul-BGR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2408"	"select"	"изберете"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2277"	"None"	"Без улов"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2409"	"increase"	"се увеличава"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"736"	"Yes"	"ДА"	"S498_question3_question3_1_50ec5d91088100.92439814_0"	"PISA_bul-BGR_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2338"	"To run this simulation, you can use the following controls:"	"За да пуснете тази симулация, можете да използвате следните контроли:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2126"	"To run this simulation, you can use the following controls:"	"За да пуснете тази симулация, можете да използвате следните контроли:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_bul-BGR_SCI_S634-Vaccination_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Предоставяне на помощ за жертвите на природни бедствия"	"S514_question3_tr4td1_50ed2a58b40090.07657074_0"	"PISA_bul-BGR_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1347"	"Do elephants play a key role in maintaining the population of ants on the savannah?"	"Слоновете ли играят ключова роля за поддържането на популацията на мравките в саваната?"	"S603_question5_question5_3_51740713542a52.62549962_0"	"PISA_bul-BGR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1348"	"Do elephants have other sources of food besides acacia trees?"	"Имат ли слоновете други източници на храна, освен акациите?"	"S603_question5_question5_4_51740713543249.23750330_0"	"PISA_bul-BGR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1346"	"Are fences the best way to protect acacia trees from elephants?"	"Оградите ли са най-добрият начин да се защитят акациите от слоновете?"	"S603_question5_question5_2_51740713542222.30045207_0"	"PISA_bul-BGR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2404"	"select"	"изберете"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2146"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Оздравели/Ваксинирани: &lt;/b&gt;Хората в това състояние са били болни и са оздравели, или са били ваксинирани срещу болестта. В симулацията тези хора не могат да се разболеят."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_bul-BGR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2278"	"Low"	"Ниско"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2142"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"Симулацията показва влиянието на ваксинацията върху разпространението на несмъртоносна заразна болест сред население, което е изложено на заразата."	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_bul-BGR_SCI_S634-Vaccination_en15_MS2022.xlf"
"1909"	"Sound in Marine Habitats"	"Звук в естествена морска среда"	"S626_stimulus2_attr_alt_attr_stimulus2_5_515e3a727421f4.14084198_0"	"PISA_bul-BGR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
