"Segment"	"en-ZZ"	"ar-JO"	"ID"	"File"
"4580"	"Click on a choice and then type an explanation to answer the question."	"انقرْ على أحد البدائل ثم اطبع تفسير للإجابة عن السؤال."	"R562_question06_q06itemDirections_5c9d225a8c1f27.02066797_1_0"	"PISA_ara-JOR_REA_R562-OpeningNight_en21_MS2022.xlf"
"6219"	"Type your answer to the question."	"اطبع إجاباتك عن السؤال."	"R570_question09_q09itemDirections_5c9d225bf19000.49412663_1_0"	"PISA_ara-JOR_REA_R570-TheFavour_en21_MS2022.xlf"
"4452"	"Click on a choice and then type an explanation to answer the question."	"انقرْ على أحد البدائل ثم اطبع تفسير للإجابة عن السؤال."	"R561_question07_q07itemDirections_5c9d225a5fcd11.45735862_1_0"	"PISA_ara-JOR_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4544"	"Type your answer to the question."	"اطبع إجاباتك عن السؤال."	"R562_question02_q02itemDirections_5c9d225a860108.35234560_1_0"	"PISA_ara-JOR_REA_R562-OpeningNight_en21_MS2022.xlf"
"2261"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R544_question01_itemDirections_5c9d219eaaa0a8.84829825_1_0"	"PISA_ara-JOR_REA_R544-Tesla_en21_MS2022.xlf"
"4218"	"Click on the choices in the table to answer the question."	"انقرْ على البدائل في الجدول للإجابة عن السؤال."	"R560_question05_q05itemDirections_5c9d225a2c7df0.50048329_1_0"	"PISA_ara-JOR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"4368"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q00b-body_q00b-p1_5c9d225a4fc501.93826266_1_0"	"PISA_ara-JOR_REA_R561-OlympicFlag_en21_MS2022.xlf"
"5353"	"Click on a choice and then type an explanation to answer the question."	"انقرْ على أحد البدائل ثم اطبع تفسير للإجابة عن السؤال."	"R566_question09_q09itemDirections_5c9d225b351ba2.97186226_1_0"	"PISA_ara-JOR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5220"	"20 August 2015"	"٢٠ آب، ٢٠١٥"	"pg4_stimulus_date_5c9d225b22d9b2.24361207_0"	"PISA_ara-JOR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2120"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R543_question5_itemDirections_5c9d219e828549.10101766_1_0"	"PISA_ara-JOR_REA_R543-Nobel_en21_MS2022.xlf"
"2040"	"Introduction"	"مقدمة"	"question0a_1_itemTitle00_5c9d219e76fef2.00508979_2_0"	"PISA_ara-JOR_REA_R543-Nobel_en21_MS2022.xlf"
"3787"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R556_question9_itemDirections9_5c9d21a02c1d89.19410594_1_0"	"PISA_ara-JOR_REA_R556-Microlending_en21_MS2022.xlf"
"5050"	"Introduction"	"مقدمة"	"question00a_1_itemTitle00_5c9d225af0b007.24079190_2_0"	"PISA_ara-JOR_REA_R565-SittingDisease_en21_MS2022.xlf"
"5809"	"Click on the NEXT arrow to read the webpage."	"انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt; لقراءة صفحة الإنترنت."	"q0a-body_q0a-p2_5c9d225b9c1346.99722333_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"3776"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R556_question8_itemDirections_5c9d21a02a9c27.07477347_1_0"	"PISA_ara-JOR_REA_R556-Microlending_en21_MS2022.xlf"
"2690"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على البدائل الموجودة في الجدول للإجابة على السؤال.&lt;/i&gt;"	"R547_question7_itemDirections_5c9d219f1f6623.95886149_1_0"	"PISA_ara-JOR_REA_R547-BookSurvey_en21_MS2022.xlf"
"3682"	"Introduction"	"مقدمة"	"question00_itemTitle00_5c9d21a01f0332.56917254_2_0"	"PISA_ara-JOR_REA_R556-Microlending_en21_MS2022.xlf"
"4695"	"About Us"	"مَن نحن؟"	"R563-stimulus-communtity_stimulus_culture_sports_5_5c9d225aa341c8.62700889_0"	"PISA_ara-JOR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5520"	"True"	"صحيحة"	"R567_question08_q08tr1th2_5c9d225b64a6a4.47508929_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"2101"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R543_question3_itemDirections_5c9d219e7f2af3.30104921_1_0"	"PISA_ara-JOR_REA_R543-Nobel_en21_MS2022.xlf"
"6100"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q00a-body_q00a-itemDirections_5c9d225be27017.66409098_1_0"	"PISA_ara-JOR_REA_R570-TheFavour_en21_MS2022.xlf"
"4851"	"Refer to the different webpages of the website on the right."	"ارجع إلى مُختلف صفحات الويب في الموقع على اليسار."	"R563_question09_q09itemDirections_5c9d225ab83649.12366902_0_0"	"PISA_ara-JOR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5531"	"Click on the choices in the table to answer the question."	"انقرْ على البدائل في الجدول للإجابة عن السؤال."	"R567_question09_q09itemDirections_5c9d225b667296.26876893_1_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5272"	"Type your answer to the question."	"اطبع إجاباتك عن السؤال."	"R566_question02_q02itemDirections_5c9d225b29c1c6.33734469_1_0"	"PISA_ara-JOR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5813"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q0b-body_q0b-itemDirections_5c9d225b9d8809.57535043_1_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2644"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R547_question01_itemDirections_5c9d219f193cb0.19049584_1_0"	"PISA_ara-JOR_REA_R547-BookSurvey_en21_MS2022.xlf"
"2058"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R543_question1_itemDirections_5c9d219e7968e9.01052398_1_0"	"PISA_ara-JOR_REA_R543-Nobel_en21_MS2022.xlf"
"4255"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q00abody_q00aitemDirections_5c9d225a310689.57957911_1_0"	"PISA_ara-JOR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"2242"	"Introduction"	"مقدمة"	"question0a_1_itemTitle00_5c9d219ea83d08.42497844_2_0"	"PISA_ara-JOR_REA_R544-Tesla_en21_MS2022.xlf"
"2296"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ومن ثم قم بطباعة تفسير للإجابة عن السؤال.&lt;/i&gt;"	"R544_question12_itemDirections_5c9d219eaecf11.08950368_1_0"	"PISA_ara-JOR_REA_R544-Tesla_en21_MS2022.xlf"
"3737"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R556_question4_itemDirections_5c9d21a024b0e0.57299231_1_0"	"PISA_ara-JOR_REA_R556-Microlending_en21_MS2022.xlf"
"3907"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على بديل للإجابة عن السؤال.&lt;/i&gt;"	"R558_question01_itemDirections_5c9d2259d1f7c1.89172924_1_0"	"PISA_ara-JOR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"2928"	"Click on the choices in the table to answer the question."	"انقر على البدائل الموجودة في الجدول للإجابة على السؤال."	"R549_question08_q08itemDirections_5c9d219f5152d7.03553824_1_0"	"PISA_ara-JOR_REA_R549-MessageInABottle_en21_MS2022.xlf"
"5928"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q00b-body_q00b-itemDirections_5c9d225bbd1911.77188529_1_0"	"PISA_ara-JOR_REA_R569-TheCleanup_en21_MS2022.xlf"
"4263"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q00bbody_q00bitemDirections_5c9d225a3256a8.05350415_1_0"	"PISA_ara-JOR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"5579"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q0b-body_q0b-itemDirections_5c9d225b6a82b7.29262010_1_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5052"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;.&lt;/i&gt;"	"question00a_1_itemDirections00_5c9d225af0b1a4.44659479_1_0"	"PISA_ara-JOR_REA_R565-SittingDisease_en21_MS2022.xlf"
"5618"	"Web Search"	"بحث في الإنترنت"	"R568_stimulus4_pg04h1_5c9d225b8b31b0.83556759_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"3978"	"Click on a search result to answer the question."	"انقرْ على إحدى نتائج البحث للإجابة عن السؤال."	"R558_question7_question07_2_5c9d2259de41a7.64572909_1_0"	"PISA_ara-JOR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5725"	"False"	"خاطئة"	"R568_question02_q02tr1th3_5c9d225b903f14.76154442_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"3798"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على البدائل الموجودة في الجدول للإجابة على السؤال.&lt;/i&gt;"	"R556_question10_itemDirections_5c9d21a02dd603.46615228_1_0"	"PISA_ara-JOR_REA_R556-Microlending_en21_MS2022.xlf"
"2144"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على البدائل الموجودة في الجدول للإجابة على السؤال.&lt;/i&gt;"	"R543_question7_itemDirections_5c9d219e85c454.62402116_1_0"	"PISA_ara-JOR_REA_R543-Nobel_en21_MS2022.xlf"
"5378"	"Web Search"	"بحث في الإنترنت"	"R567_stimulus3_pg03h1_5c9d225b556ae5.21127880_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"1474"	"&lt;b&gt;Important!"	"&lt;b&gt;هام!"	"R466_stimulus_sect3right_5c3f627e66db73.00150211_0_0"	"PISA_ara-JOR_REA_R466-WorkRight_en21_MS2022.xlf"
"5608"	"Web Search"	"بحث في الإنترنت"	"R568_stimulus1_pg01h1_5c9d225b881974.02192114_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"4598"	"About Us"	"مَن نحن؟"	"R563-stimulus-about_stimulus_about_5_5c9d225a9d72b0.18465729_0"	"PISA_ara-JOR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5774"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"انقرْ على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; لكل نشاط."	"R568_question07_q07p1_5c9d225b975136.06697992_1_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"3336"	"Date:"	"التاريخ:"	"pg3_stimulus_pg3p9_5c9d219fa86542.42115572_0"	"PISA_ara-JOR_REA_R552-FestiRock_en21_MS2022.xlf"
"5482"	"True"	"صحيحة"	"R567_question05_q05tr1th2_5c9d225b5ff5e3.85623041_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5246"	"Click on the NEXT arrow to read the website."	"انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt; لقراءة الموقع الإلكتروني."	"q00b-body_q00b-p2_5c9d225b254bc8.65241268_0"	"PISA_ara-JOR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2132"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R543_question6_itemDirections_5c9d219e841e59.06022258_1_0"	"PISA_ara-JOR_REA_R543-Nobel_en21_MS2022.xlf"
"5061"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على بديل للإجابة عن السؤال.&lt;/i&gt;"	"R565_question01_itemDirections_5c9d225af1ed07.51831905_1_0"	"PISA_ara-JOR_REA_R565-SittingDisease_en21_MS2022.xlf"
"1826"	"Introduction"	"مقدمة"	"R542_question00_q00itemTitle_5c9d219e5568a4.56969920_2_0"	"PISA_ara-JOR_REA_R542-BulletinBoard_en21_MS2022.xlf"
"1475"	"Do not forget to attach:&lt;/b&gt;"	"لا تنس أن ترفق:&lt;/b&gt;"	"R466_stimulus_sect3right_5c3f627e66db73.00150211_1_0"	"PISA_ara-JOR_REA_R466-WorkRight_en21_MS2022.xlf"
"5459"	"Give one example."	"أعطِ مثالاً واحدًا."	"R567_question03_q03p2_5c9d225b5d02e3.80293257_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5598"	"Click on the choices in the table to answer the question."	"انقرْ على البدائل في الجدول للإجابة عن السؤال."	"R567_question11_q11itemDirections_5c9d225b6e1bf5.70371706_1_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"2633"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R547_question2_itemDirections_5c9d219f17c6f8.51935753_1_0"	"PISA_ara-JOR_REA_R547-BookSurvey_en21_MS2022.xlf"
"4669"	"About Us"	"مَن نحن؟"	"R563-stimulus-communtity_stimulus_culture_music_5_5c9d225aa172d9.13091423_0"	"PISA_ara-JOR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"6106"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q00b-body_q00b-itemDirections_5c9d225be38126.14757364_1_0"	"PISA_ara-JOR_REA_R570-TheFavour_en21_MS2022.xlf"
"2324"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R544_question_itemDirections_5c9d219eb20160.68433201_1_0"	"PISA_ara-JOR_REA_R544-Tesla_en21_MS2022.xlf"
"4825"	"Refer to the different webpages of the website on the right."	"ارجع إلى مُختلف صفحات الويب في الموقع على اليسار."	"R563_question07_q07itemDirections_5c9d225ab26de4.63200404_0_0"	"PISA_ara-JOR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3933"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على بديل للإجابة عن السؤال.&lt;/i&gt;"	"R558_question_itemDirections_5c9d2259d84ff4.24282581_1_0"	"PISA_ara-JOR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4621"	"About Us"	"مَن نحن؟"	"R563-stimulus-culture_stimulus_culture_5_5c9d225a9eafd1.06861912_0"	"PISA_ara-JOR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2605"	"Introduction"	"مقدمة"	"q00abody_itemTitle00_5c9d219f129b68.68142608_2_0"	"PISA_ara-JOR_REA_R547-BookSurvey_en21_MS2022.xlf"
"3962"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على بديل للإجابة عن السؤال.&lt;/i&gt;"	"R558_question6_itemDirections_5c9d2259dcc4f3.66608503_1_0"	"PISA_ara-JOR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"3983"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;ارجع إلى المصدرين على اليسار وذلك بالنقر على كل علامة تبويب."	"R558_question8_itemDirections_5c9d2259dff4b4.26787399_0_0"	"PISA_ara-JOR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"3386"	"Click on the choices in the table to answer the question."	"انقر على البدائل الموجودة في الجدول للإجابة على السؤال."	"R552_question04_q04itemDirections_5c9d219fb01333.72987489_1_0"	"PISA_ara-JOR_REA_R552-FestiRock_en21_MS2022.xlf"
"3998"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;ارجع إلى المصدرين على اليسار وذلك بالنقر على كل علامة تبويب."	"R558_question09_itemDirections_5c9d2259e1b900.05466895_0_0"	"PISA_ara-JOR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5645"	"Image Credit: NASA"	"حقوق الملكية للصورة: ناسا"	"page2_stimulus_stimulusTab1_2_5c9d225b8c6386.71216999_1_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5799"	"Type your answer to the question."	"اطبع إجاباتك عن السؤال."	"R568_question09_q09itemDirections_5c9d225b9a8f90.71311635_1_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2459"	"Click on the choices in the table to answer the question."	"انقر على البدائل الموجودة في الجدول للإجابة على السؤال."	"R545_question03_Q03itemDirections_5c9d219edb2657.97091233_1_0"	"PISA_ara-JOR_REA_R545-MachuPicchu_en21_MS2022.xlf"
"3710"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على البدائل الموجودة في الجدول للإجابة على السؤال.&lt;/i&gt;"	"R556_question2_itemDirections_5c9d21a021cce3.42172161_2_0"	"PISA_ara-JOR_REA_R556-Microlending_en21_MS2022.xlf"
"5570"	"Click on the NEXT arrow to read the webpage."	"انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt; لقراءة صفحة الإنترنت."	"q0a-body_q0a-p3_5c9d225b68bf31.21236283_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4898"	"Introduction"	"مقدمة"	"q00body_itemTitle00_5c9d225ad62e88.92537742_2_0"	"PISA_ara-JOR_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"4265"	"Click on the NEXT arrow to read the article."	"انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt; لقراءة المقالة."	"q00bbody_q00bp2_5c9d225a325971.00134322_0"	"PISA_ara-JOR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"5478"	"Click on the choices in the table to answer the question."	"انقرْ على البدائل في الجدول للإجابة عن السؤال."	"R567_question05_q05itemDirections_5c9d225b5ff135.78959172_2_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"2080"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ومن ثم قم بطباعة تفسير للإجابة عن السؤال.&lt;/i&gt;"	"R543_question11_itemDirections_5c9d219e7bf886.70940930_1_0"	"PISA_ara-JOR_REA_R543-Nobel_en21_MS2022.xlf"
"5752"	"Click on a search result to answer the question."	"انقرْ على إحدى نتائج البحث للإجابة عن السؤال."	"R568_question05_q05itemDirections_5c9d225b943d37.21487688_1_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5521"	"False"	"خاطئة"	"R567_question08_q08tr1th3_5c9d225b64a7a1.42200519_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"انقر فوق &lt;b&gt; صواب &lt;/ b&gt; أو &lt;b&gt; خطأ &lt;/ b&gt; لكل عبارة."	"R567_question05_q05p1_5c9d225b5ff2e1.78908756_1_0"	"PISA_ara-JOR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"5720"	"Click on the choices in the table to answer the question."	"انقرْ على البدائل في الجدول للإجابة عن السؤال."	"R568_question02_q02itemDirections_5c9d225b903930.97193241_1_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"6306"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q0cR590_question_q0citemDirections_5c9d225c188e29.39374988_1_0"	"PISA_ara-JOR_REA_R590-Sentences01_en21_MS2022.xlf"
"5080"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على بديل للإجابة عن السؤال.&lt;/i&gt;"	"R565_question_itemDirections_5c9d225b006c81.28991002_1_0"	"PISA_ara-JOR_REA_R565-SittingDisease_en21_MS2022.xlf"
"2362"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ومن ثم قم بطباعة تفسير للإجابة عن السؤال.&lt;/i&gt;"	"R544_question6_itemDirections_5c9d219eb685e2.41999055_1_0"	"PISA_ara-JOR_REA_R544-Tesla_en21_MS2022.xlf"
"6008"	"Type your answer to the question."	"اطبع إجاباتك عن السؤال."	"q6R569_question_q06itemDirections_5c9d225bc680a7.13761816_1_0"	"PISA_ara-JOR_REA_R569-TheCleanup_en21_MS2022.xlf"
"3726"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R556_question3_itemDirections_5c9d21a0235112.70152956_2_0"	"PISA_ara-JOR_REA_R556-Microlending_en21_MS2022.xlf"
"3888"	"Introduction"	"مقدمة"	"question00a_1_itemTitle00_5c9d2259cfa087.08935121_2_0"	"PISA_ara-JOR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"1431"	"."	"٢٠ ديناراً."	"R466_stimulus_line5_5c3f627e66b091.46303566_0_0"	"PISA_ara-JOR_REA_R466-WorkRight_en21_MS2022.xlf"
"3825"	"Web Search"	"بحث في الإنترنت"	"R558_stimulus3_spgh1_5c9d2259c470f4.25622277_0"	"PISA_ara-JOR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"2307"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على البدائل الموجودة في الجدول للإجابة على السؤال.&lt;/i&gt;"	"R544_question13_itemDirections_5c9d219eb05504.42221208_1_0"	"PISA_ara-JOR_REA_R544-Tesla_en21_MS2022.xlf"
"4109"	"Web Search"	"بحث في الإنترنت"	"R560_stimulus_pg01h1_5c9d225a248330.25416437_0"	"PISA_ara-JOR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"5132"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على بديل للإجابة عن السؤال.&lt;/i&gt;"	"R565_question8_itemDirections_5c9d225b080195.44434060_1_0"	"PISA_ara-JOR_REA_R565-SittingDisease_en21_MS2022.xlf"
"4900"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q00body_q00itemDirections_5c9d225ad63037.10388777_1_0"	"PISA_ara-JOR_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"5110"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على بديل للإجابة عن السؤال.&lt;/i&gt;"	"R565_question6_itemDirections_5c9d225b04f336.55057763_1_0"	"PISA_ara-JOR_REA_R565-SittingDisease_en21_MS2022.xlf"
"6158"	"Click on the choices in the table to answer the question."	"انقرْ على البدائل في الجدول للإجابة عن السؤال."	"R570_question04_q04itemDirections_5c9d225be9dcc8.06998933_1_0"	"PISA_ara-JOR_REA_R570-TheFavour_en21_MS2022.xlf"
"2272"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R544_question10_itemDirections_5c9d219eac17b0.74855698_1_0"	"PISA_ara-JOR_REA_R544-Tesla_en21_MS2022.xlf"
"2335"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على البدائل الموجودة في الجدول للإجابة على السؤال.&lt;/i&gt;"	"R544_question4_itemDirections_5c9d219eb384a7.09477028_1_0"	"PISA_ara-JOR_REA_R544-Tesla_en21_MS2022.xlf"
"3568"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل للإجابة عن السؤال.&lt;/i&gt;"	"R553_question4_q04itemDirections_5c9d219fde8d53.78783329_1_0"	"PISA_ara-JOR_REA_R553-HealthForum_en21_MS2022.xlf"
"3951"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقرْ على بديل للإجابة عن السؤال.&lt;/i&gt;"	"R558_question5_itemDirections_5c9d2259db4ee2.88569696_1_0"	"PISA_ara-JOR_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4036"	"Introduction"	"مقدمة"	"q00body_itemTitle00_5c9d225a082fb8.85196787_2_0"	"PISA_ara-JOR_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
