"Segment"	"en-ZZ"	"nl-BE"	"ID"	"File"
"4134"	"Type your answer to the question."	"Klik op het juiste antwoord en typ daarna een uitleg."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_nld-BEL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Is de bewering volgens de folder juist of fout?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_nld-BEL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2814"	"No"	"Nee"	"R550_question02_question02_4_56fc785ce00000.60763679_0"	"PISA_nld-BEL_REA_R550-CliffPalace_en18_MS2022.xlf"
"5832"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;De opruimactie&lt;/b&gt;&lt;br/&gt;"	"q6R569_question_q06itemTitle_56fc787954a7c8.34539754_0_0"	"PISA_nld-BEL_REA_R569-TheCleanup_en18_MS2022.xlf"
"4853"	"Type your answer to the question.&lt;/i&gt;"	"Typ je antwoord. &lt;/i&gt;"	"R565_question4_itemDirections_56fc785d5db7c6.75871172_1_0"	"PISA_nld-BEL_REA_R565-SittingDisease_en18_MS2022.xlf"
"5270"	"False"	"Fout"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_nld-BEL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4139"	"No"	"Nee"	"R561_question02_question02_4_56fc785d28db27.52696289_0"	"PISA_nld-BEL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3240"	"Refer to the Teen Health Forum on the right."	"Gebruik het  forum over gezondheid bij tieners hiernaast."	"R553_question2_q02itemDirections_56fc784a5d6452.10662812_0_0"	"PISA_nld-BEL_REA_R553-HealthForum_en18_MS2022.xlf"
"1960"	"No"	"Nee"	"R544_question4_tr1th3_56fc78217b0c68.60025887_0"	"PISA_nld-BEL_REA_R544-Tesla_en18_MS2022.xlf"
"1286"	"No"	"Nee"	"Q04_question_question04_4_56fc7820d18962.74580146_0"	"PISA_nld-BEL_REA_R541-Plastic_en18_MS2022.xlf"
"5313"	"False"	"Fout"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_nld-BEL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1921"	"No"	"Nee"	"R544_question13_tr1th3_56fc7821778bf4.73336568_0"	"PISA_nld-BEL_REA_R544-Tesla_en18_MS2022.xlf"
"5804"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;De opruimactie&lt;/b&gt;&lt;br/&gt;"	"q4R569_question_q04itemTitle_56fc787951e5f1.30552462_0_0"	"PISA_nld-BEL_REA_R569-TheCleanup_en18_MS2022.xlf"
"5605"	"No"	"Nee"	"R568_question07_q07tr1th3_56fc784aaba512.86148732_0"	"PISA_nld-BEL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1744"	"No"	"Nee"	"R543_question7_tr1th3_56fc78213db759.82865381_0"	"PISA_nld-BEL_REA_R543-Nobel_en18_MS2022.xlf"
"5994"	"No"	"Nee"	"R570_question04_tr1th3_56fc78797bb393.12858069_0"	"PISA_nld-BEL_REA_R570-TheFavour_en18_MS2022.xlf"
"5818"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;De opruimactie&lt;/b&gt;&lt;br/&gt;"	"q5R569_question_q05itemTitle_56fc7879533f83.02711490_0_0"	"PISA_nld-BEL_REA_R569-TheCleanup_en18_MS2022.xlf"
"313"	"PHONE"	"TELEFOON"	"R219_stimulus_sect3Line2span3_50c7b75cbd08f6.46932904_0"	"PISA_nld-BEL_REA_R219-Employment_en15_MS2022.xlf"
"1312"	"True"	"Juist"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_nld-BEL_REA_R541-Plastic_en18_MS2022.xlf"
"329"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Kijk naar pagina &lt;b&gt;1&lt;/b&gt;."	"R220_question_introBullet1_50c7c02f9bd792.99929863_0"	"PISA_nld-BEL_REA_R220-SouthPole_en15_MS2022.xlf"
"1348"	"No"	"Nee"	"Q09_question_question09_4_56fc7820d7e8b4.54202926_0"	"PISA_nld-BEL_REA_R541-Plastic_en18_MS2022.xlf"
"4839"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik op het juiste antwoord. &lt;/i&gt;"	"R565_question_itemDirections_56fc785d5c2e04.42459264_1_0"	"PISA_nld-BEL_REA_R565-SittingDisease_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Bij aankopen tussen 60 EUR en 149,99 EUR betaalt Werk Goed u &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; EUR terug.&lt;br /&gt; &gt; Bij aankopen tussen 150 EUR en 299,99 EUR betaalt Werk Goed u 50 EUR terug.&lt;br /&gt; &gt; Bij aankopen van 300 EUR of meer betaalt Werk Goed u 100 EUR terug.&lt;br /&gt;"	"R466_stimulus_line5_50c7c92bc59911.60801397_0"	"PISA_nld-BEL_REA_R466-WorkRight_en15_MS2022.xlf"
"5542"	"True"	"Juist"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_nld-BEL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5840"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;De opruimactie&lt;/b&gt;&lt;br/&gt;"	"q7R569_question_xxitemTitle_56fc7879564ca9.15415688_0_0"	"PISA_nld-BEL_REA_R569-TheCleanup_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Typ je antwoord."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_nld-BEL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1908"	"No"	"Nee"	"R544_question12_question12_2_56fc78216bad52.50684665_0"	"PISA_nld-BEL_REA_R544-Tesla_en18_MS2022.xlf"
"5850"	"No"	"Nee"	"q7R569_question_question07_4_56fc7879566c78.79915723_0"	"PISA_nld-BEL_REA_R569-TheCleanup_en18_MS2022.xlf"
"5269"	"True"	"Juist"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_nld-BEL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3409"	"No"	"Nee"	"R556_question2_tr1th3_56fc783ac2ed60.78885273_0"	"PISA_nld-BEL_REA_R556-Microlending_en18_MS2022.xlf"
"3108"	"No"	"Nee"	"R552_question06_question06_4_56fd794266d381.90512802_0"	"PISA_nld-BEL_REA_R552-FestiRock_en18_MS2022.xlf"
"5757"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;De opruimactie&lt;/b&gt;&lt;br/&gt;"	"q1R569_question_q01itemTitle_56fc78794dbd99.59291015_0_0"	"PISA_nld-BEL_REA_R569-TheCleanup_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Klik op &lt;b&gt;Ja&lt;/b&gt; of &lt;b&gt;Nee&lt;/b&gt; voor elke activiteit."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_nld-BEL_REA_R570-TheFavour_en18_MS2022.xlf"
