"Segment"	"en-ZZ"	"ar-SA"	"ID"	"File"
"1177"	"/"	"\"	"S602_question3_qitemTitle3_5c9d227a91ef43.91644044_0"	"PISA_ara-SAU_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"2683"	"High"	"مرتفع"	"js_translation_high_5c9d227befbe32.99905741_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1484"	"/"	"\"	"S605_question2_itemTitle2_5c9d227adc1647.45474239_0"	"PISA_ara-SAU_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"2556"	"High"	"مرتفع"	"stimulus2_1_stimulus2_46_5c9d227be147e8.45470810_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1577"	"/"	"\"	"S607_question1_itemTitleq1_5c9d227b0001b4.26939369_0"	"PISA_ara-SAU_SCI_S607-BirdsAndCaterpillars_en21_MS2022.xlf"
"2858"	"/"	"\"	"question3_1_itemTitle03_5c9d227c342ad6.01297896_0"	"PISA_ara-SAU_SCI_S643-LightBulbs_en21_MS2022.xlf"
"2633"	"/"	"\"	"question5_1_itemTitle05_5c9d227be92d92.15102042_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2446"	"/"	"\"	"question3_1_itemTitle03_5c9d227bc448d0.89551567_0"	"PISA_ara-SAU_SCI_S634-Vaccination_en21_MS2022.xlf"
"1274"	"/"	"\"	"S603_question2_itemTitle2_5c9d227aab68b0.07060605_0"	"PISA_ara-SAU_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2169"	"/"	"\"	"S626_question3_itemTitle_3_5c9d227b84b299.03804950_0"	"PISA_ara-SAU_SCI_S626-SoundInMarineHabitats_en21_MS2022.xlf"
"2814"	"/"	"\"	"S638_question4_itemTitle4_5c9d227c21d789.71097035_0"	"PISA_ara-SAU_SCI_S638-OilSpills_en21_MS2022.xlf"
"3234"	"/"	"\"	"S648_question1_itemTitleqS1_5c9d227c7aaea4.98565350_0"	"PISA_ara-SAU_SCI_S648-HabitableZone_en21_MS2022.xlf"
"1159"	"/"	"\"	"S602_question2_qitemTitle2_5c9d227a90c8a4.60085944_0"	"PISA_ara-SAU_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"1612"	"/"	"\"	"S607_question3_itemTitle3_5c9d227b02b427.41906835_0"	"PISA_ara-SAU_SCI_S607-BirdsAndCaterpillars_en21_MS2022.xlf"
"2817"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"أنقر على  &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; لكل سؤال من الأسئلة."	"S638_question4_p41_5c9d227c21dae0.65233789_1_0"	"PISA_ara-SAU_SCI_S638-OilSpills_en21_MS2022.xlf"
"1313"	"/"	"\"	"S603_question4_itemTitle4_5c9d227aaff616.14015458_0"	"PISA_ara-SAU_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2773"	"/"	"\"	"S638_question1_itemTitle1_5c9d227c1d6967.81276342_0"	"PISA_ara-SAU_SCI_S638-OilSpills_en21_MS2022.xlf"
"2472"	"/"	"\"	"question4_1_itemTitle04_5c9d227bc5f564.94972905_0"	"PISA_ara-SAU_SCI_S634-Vaccination_en21_MS2022.xlf"
"1314"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;أنقر على أحد الخيارات للإجابة عن السؤال &lt;/i&gt;"	"S603_question4_itemDirections4_5c9d227aaff921.28142495_0"	"PISA_ara-SAU_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2282"	"/"	"\"	"S629_question2_qitemTitle2_5c9d227bac4411.48063117_0"	"PISA_ara-SAU_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2549"	"Low"	"منخفض"	"stimulus2_1_stimulus2_36_5c9d227be13b02.67418193_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1594"	"/"	"\"	"S607_question2_itemTitle2_5c9d227b0160f9.98034557_0"	"PISA_ara-SAU_SCI_S607-BirdsAndCaterpillars_en21_MS2022.xlf"
"3102"	"Explain your choice."	"فسر إجابتك."	"question5_1_q05span1_5c9d227c6128d6.87427044_0"	"PISA_ara-SAU_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"1889"	"Medium"	"متوسط"	"js_translation_slopeMedium_5c9d227b3fb996.85405506_0"	"PISA_ara-SAU_SCI_S615-Tsunami_en21_MS2022.xlf"
"1325"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;أنقر على أحد الخيارات للإجابة عن السؤال &lt;/i&gt;"	"S603_question5_itemDirections5_5c9d227ab24c25.05100364_0"	"PISA_ara-SAU_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"27"	"milk (g)"	"إنسان (غ)"	"S326_stimulus1_t1tr1td4_5c3f6293d23fe6.73553148_2_0"	"PISA_ara-SAU_SCI_S326-Milk_en21_MS2022.xlf"
"2209"	"/"	"\"	"S627_question1_qitemTitle1_5c9d227b9b9e47.64154524_0"	"PISA_ara-SAU_SCI_S627-CarTyres_en21_MS2022.xlf"
"1706"	"/"	"\"	"S608_question3_itemTitle3_5c9d227b187041.56436191_0"	"PISA_ara-SAU_SCI_S608-Ammonoids_en21_MS2022.xlf"
