"Segment"	"en-ZZ"	"da-DK"	"ID"	"File"
"1716"	"Then click on the NEXT arrow."	"Klik dernæst på NÆSTE-pilen"	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_1_0"	"PISA_dan-DNK_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"827"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"Q2M111_question_Q2itemDirections_5c9d214a59d864.67731521_1_0"	"PISA_dan-DNK_MAT_MA111-HealthApp_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Klik på en svarmulighed og skriv så en forklaring for at besvare spørgsmålet."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_dan-DNK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"Skriv dit svar på spørgsmålet med brug af taltasterne."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_dan-DNK_MAT_MA111-HealthApp_en21_MS2022.xlf"
"3674"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q3CMA141_question_q3itemDirections_5c9d2164a87c86.43889590_1_0"	"PISA_dan-DNK_MAT_MA141-WaterBill_en21_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q1MA150_question_q1itemDirections_5c9d216537c7b0.77693579_1_0"	"PISA_dan-DNK_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1264"	"Germany"	"Indien"	"MA116_stimulus1_stimulus1_7_5c9d214a9821d0.98723818_0"	"PISA_dan-DNK_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"733"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"Q1M110_question_Q1itemDirections_5c9d214a49be54.59438497_1_0"	"PISA_dan-DNK_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"1194"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA114_question2_itemDirections2_5c9d214a83b1e3.67009864_1_0"	"PISA_dan-DNK_MAT_MA114-Honey_en21_MS2022.xlf"
"4112"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA147q3_question_q3itemDirections_5c9d21650a0484.20685545_1_0"	"PISA_dan-DNK_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"2300"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA126_question04_itemDirectionsQ04_5c9d214b568386.90812819_1_0"	"PISA_dan-DNK_MAT_MA126-Robot_en21_MS2022.xlf"
"5075"	"Statement"	"Spørgsmål"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_dan-DNK_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Følg disse trin for at bruge beregneren:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_dan-DNK_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA143_question04_q4itemDirections_5c9d2164c0e144.21102801_1_0"	"PISA_dan-DNK_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Begrund dit svar. Inkluder beregninger og tal for at understøtte din begrundelse."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_dan-DNK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1839"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA121_question03_Q03itemDirections_5c9d214b07d797.77931049_1_0"	"PISA_dan-DNK_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_dan-DNK_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3938"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA145_question1_q1itemDirections_5c9d2164dfb137.21186139_1_0"	"PISA_dan-DNK_MAT_MA145-Shadows_en21_MS2022.xlf"
"2204"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA126_question01_itemDirectionsQ01_5c9d214b506370.60535880_1_0"	"PISA_dan-DNK_MAT_MA126-Robot_en21_MS2022.xlf"
"2527"	"Then click on the NEXT arrow."	"Klik dernæst på NÆSTE-pilen"	"question0a_1_itemDirections00_5c9d214b76c282.48085737_1_0"	"PISA_dan-DNK_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_dan-DNK_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"2289"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA126_question03_itemDirectionsQ03_5c9d214b54ba12.68549963_1_0"	"PISA_dan-DNK_MAT_MA126-Robot_en21_MS2022.xlf"
"2790"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA131_question1_q1itemDirections_5c9d214ba1ed50.83741588_1_0"	"PISA_dan-DNK_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Klik på en svarmulighed og skriv så en forklaring for at besvare spørgsmålet."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_dan-DNK_MAT_MA146-Fuel_en21_MS2022.xlf"
"3630"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA140_question3_q3itemDirections_5c9d21649dbe63.73800094_1_0"	"PISA_dan-DNK_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"4850"	"Mean"	"Middelværdi"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_dan-DNK_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3235"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"Q3MA134_question_Q3ItmDirP1Id_5c9d2164359530.23831900_1_0"	"PISA_dan-DNK_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4252"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q2MA149_question_q2itemDirections_5c9d21652c3193.71873749_1_0"	"PISA_dan-DNK_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3444"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"xxCMA137_question_q1itemDirections_5c9d21646f0047.88877228_1_0"	"PISA_dan-DNK_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4616"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q2MA154_question_q2itemDirections_5c9d21655d41c9.81604829_1_0"	"PISA_dan-DNK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3359"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA136_question01_q1itemDirections_5c9d216460bbf5.70131128_1_0"	"PISA_dan-DNK_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"3534"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q1CMA138_question_q1itemDirections_5c9d2164836508.25884822_1_0"	"PISA_dan-DNK_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Klik på en svarmulighed og skriv så en forklaring for at besvare spørgsmålet."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_dan-DNK_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1902"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA128_question2_q2itemDirections_5c9d214b330089.68340793_1_0"	"PISA_dan-DNK_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"3771"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA143_question02_q2itemDirections_5c9d2164be5399.40648831_1_0"	"PISA_dan-DNK_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klik enten på &lt;b&gt;Ja&lt;/b&gt; eller &lt;b&gt;Nej&lt;/b&gt; for hvert udsagn."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_dan-DNK_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Klik på en svarmulighed og skriv så en forklaring for at besvare spørgsmålet."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_dan-DNK_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"3708"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA142_questionq1_q1itemDirections_5c9d2164b33733.31465748_1_0"	"PISA_dan-DNK_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Klik på en svarmulighed og skriv så en forklaring for at besvare spørgsmålet."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_dan-DNK_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Husk at vælge &lt;b&gt;én eller flere&lt;/b&gt; bokse."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_dan-DNK_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3686"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q4CMA141_question_q4itemDirections_5c9d2164a9ca08.40004442_1_0"	"PISA_dan-DNK_MAT_MA141-WaterBill_en21_MS2022.xlf"
"1915"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA128_question3_q3itemDirections_5c9d214b34d864.30750173_1_0"	"PISA_dan-DNK_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"1412"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA117_question02_Q02itemDirections_5c9d214aae26f7.68113286_1_0"	"PISA_dan-DNK_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"Skriv dit svar på spørgsmålet med brug af taltasterne."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_dan-DNK_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Husk at vælge &lt;b&gt;én eller flere&lt;/b&gt; bokse."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_dan-DNK_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1949"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA124_question1_itemDirections1_5c9d214b402246.10061217_1_0"	"PISA_dan-DNK_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Skriv dit svar på spørgsmålet med brug af taltasterne."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_dan-DNK_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4656"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q2MA156_question_q2itemDirections_5c9d21656a4d34.03623252_1_0"	"PISA_dan-DNK_MAT_MA156-Points_en21_MS2022.xlf"
"4131"	"30%"	"30 %"	"MA147q4_question_question04_6_5c9d21650b70f6.04913867_0"	"PISA_dan-DNK_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"Klik dernæst på NÆSTE-pilen"	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_dan-DNK_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"Skriv dit svar på spørgsmålet med brug af taltasterne."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_dan-DNK_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"Skriv dit svar på spørgsmålet med brug af taltasterne."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_dan-DNK_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3578"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"CMA139_question_q1itemDirections_5c9d2164903766.73853823_1_0"	"PISA_dan-DNK_MAT_MA139-TabletCover_en21_MS2022.xlf"
"4753"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q1MA158_question_q1itemDirections_5c9d21657b6927.43068957_1_0"	"PISA_dan-DNK_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1939"	"30%"	"30 %"	"MA124_stimulus1_MA124S01PiesRightLowP2_5c9d214b3edc43.76239355_0"	"PISA_dan-DNK_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4177"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q1MA148_question_q1itemDirections_5c9d21651b0cc9.30517555_1_0"	"PISA_dan-DNK_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3783"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA143_question03_q3itemDirections_5c9d2164bfa911.33589323_1_0"	"PISA_dan-DNK_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_dan-DNK_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1401"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA117_question01_q01itemDirections_5c9d214aacc999.01242355_1_0"	"PISA_dan-DNK_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3613"	"m"	"meter"	"MA140_question1_asp2_5c9d21649b65f5.69764095_0"	"PISA_dan-DNK_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Brug træk og slip til at besvare spørgsmålet."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_dan-DNK_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Begrund dit svar. Inkluder beregninger og tal for at understøtte din begrundelse."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_dan-DNK_MAT_MA146-Fuel_en21_MS2022.xlf"
"3545"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q2CMA138_question_q2itemDirections_5c9d21648472a1.52007146_1_0"	"PISA_dan-DNK_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"3590"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"xxCMA139_question_q2itemDirections_5c9d2164919bd5.42007175_1_0"	"PISA_dan-DNK_MAT_MA139-TabletCover_en21_MS2022.xlf"
"1322"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA116_question1_itemDirections1_5c9d214a99d4f5.42965308_1_0"	"PISA_dan-DNK_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4604"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q1MA154_question_q1itemDirections_5c9d21655bcda0.49975962_1_0"	"PISA_dan-DNK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4189"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q2MA148_question_q2itemDirections_5c9d21651c5dd5.51806474_1_0"	"PISA_dan-DNK_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Følg disse trin for at bruge beregneren:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_dan-DNK_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5345"	"Use the spreadsheet to help you answer the question below."	"Anvend regnearket til at hjælpe dig med at besvare spørgsmålene nedenfor."	"q2MA161_question_q2itemDirections_5c9d2137d316f3.78151292_1_0"	"PISA_dan-DNK_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1145"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"Q03MA113_question_Q03itemDirections_5c9d214a6e0c82.46175181_1_0"	"PISA_dan-DNK_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3383"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA136_question03_q3itemDirections_5c9d2164634b07.90090842_1_0"	"PISA_dan-DNK_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"3760"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA143_question01_q1itemDirections_5c9d2164bd09f7.43448559_1_0"	"PISA_dan-DNK_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"5072"	"Use the spreadsheet to help you answer the question below."	"Anvend regnearket til at hjælpe dig med at besvare spørgsmålene nedenfor."	"q1MA161_question_q1itemDirections_5c9d2137a0db16.80720504_1_0"	"PISA_dan-DNK_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5189"	"Use the spreadsheet to help you answer the question below."	"Anvend regnearket til at hjælpe dig med at besvare spørgsmålene nedenfor."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_1_0"	"PISA_dan-DNK_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"Skriv dit svar på spørgsmålet med brug af taltasterne."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_dan-DNK_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4097"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA147q2_question_q2itemDirections_5c9d216508ba43.16937301_1_0"	"PISA_dan-DNK_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"2537"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"Q1MA129_question_Q1ItmDirP1Id_5c9d214b77ec40.66176260_1_0"	"PISA_dan-DNK_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Brug træk og slip til at besvare spørgsmålet."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_dan-DNK_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"3949"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA145_question2_q2itemDirections_5c9d2164e0e799.91065994_1_0"	"PISA_dan-DNK_MAT_MA145-Shadows_en21_MS2022.xlf"
"2803"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA131_question2_q2itemDirections_5c9d214ba31f93.93028518_1_0"	"PISA_dan-DNK_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klik enten på &lt;b&gt;Ja&lt;/b&gt; eller &lt;b&gt;Nej&lt;/b&gt; for hvert udsagn."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_dan-DNK_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2568"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_dan-DNK_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Klik på en svarmulighed og skriv så en forklaring for at besvare spørgsmålet."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_dan-DNK_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1119"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"Q01MMA113_question_Q01itemDirections_5c9d214a6aa466.58921399_1_0"	"PISA_dan-DNK_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Klik på en svarmulighed og skriv så en forklaring for at besvare spørgsmålet."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_dan-DNK_MAT_MA156-Points_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"‎Klik på to svarmuligheder for at besvare spørgsmålet."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_dan-DNK_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2953"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_1_0"	"PISA_dan-DNK_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"3619"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA140_question2_q2itemDirections_5c9d21649c7fa5.69809185_1_0"	"PISA_dan-DNK_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Klik på én eller flere svarmuligheder for at besvare spørgsmålet."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_dan-DNK_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Klik på en svarmulighed og skriv så en forklaring for at besvare spørgsmålet."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_dan-DNK_MAT_MA158-EyeColour_en21_MS2022.xlf"
