"Segment"	"en-ZZ"	"ru-BY"	"ID"	"File"
"571"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1 июня 1910 года на старом шотландском китобойном судне «Новая Земля» английская команда (шестьдесят пять мужчин, семнадцать пони и тридцать собак) отплыли от Европейского континента. Подготовка к путешествию заняла почти год. Перед экспедицией стояла двойная задача: провести научные исследования и, конечно же, достигнуть Южного полюса. Неожиданно у Скотта обнаружился грозный соперник, норвежец Руаль Амундсен."	"R220_stimulus_p1_50d374ced147d0.34171500_0"	"PISA_rus-BLR_REA_R220-SouthPole_en15_MS2022.xlf"
"1070"	"£300 or more&lt;br /&gt;"	"от 700 руб. и вышеe&lt;br /&gt;"	"R466_stimulus_sect3left_50d37b7b1eac23.24380537_0"	"PISA_rus-BLR_REA_R466-WorkRight_en15_MS2022.xlf"
"2724"	"General Information"	"Общие сведения"	"R550_hours_hours_l2_56fc785ccf6d72.95689156_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2802"	"Winter"	"Зимой"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2658"	"General Information"	"Общие сведения"	"R550_ancestral_ancestral_l2_56fc785cc8da26.81359740_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5312"	"True"	"Верно"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_rus-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"519"	"continuous&lt;br /&gt;daylight"	"непрерыв&lt;br /&gt;ный день"	"R220_stimulus_label6_50d374cece3252.37298149_0"	"PISA_rus-BLR_REA_R220-SouthPole_en15_MS2022.xlf"
"304"	"S"	"Вс"	"R219_stimulus_stimulus_10_50d36e0bd6fab9.33585821_0"	"PISA_rus-BLR_REA_R219-Employment_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Напечатайте свои ответы на вопрос."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_rus-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1312"	"True"	"Верно"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_rus-BLR_REA_R541-Plastic_en18_MS2022.xlf"
"5270"	"False"	"Неверно"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_rus-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2685"	"General Information"	"Общие сведения"	"R550_cliff_palace_cp_l2_56fc785ccaeff5.57842989_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2687"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_cliff_palace_cp_l4_56fc785ccaf904.58193490_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2736"	"Hours"	"&lt;b&gt;Часы работы&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"493"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Амундсен хотел покорить Южный полюс. 14 января 1911 года он высадился в Антарктиде, в Китовой бухте. Он готовился провести зиму с восемью спутниками и 116 собаками на базе Фрамхейм, построенной на Барьере Росса. 20 октября 1911 года Амундсен и четыре его спутника на санях, в каждые из которых было впряжено по двенадцать собак, покинули Фрамхейм, чтобы покорить Южный полюс. 17 ноября они достигли подножия Трансантарктической цепи гор около 85° Южной широты, и теперь им предстояло перейти ее. Они начали вселяющее ужас восхождение на полный расщелин ледник Акселя Хейберга."	"R220_stimulus_p2_50d374cecb7e85.72270101_0"	"PISA_rus-BLR_REA_R220-SouthPole_en15_MS2022.xlf"
"301"	"T"	"Чт"	"R219_stimulus_stimulus_7_50d36e0bd6ed84.58517892_0"	"PISA_rus-BLR_REA_R219-Employment_en15_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Нажмите на стрелку ДАЛЬШЕ, чтобы прочитать сказку."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_rus-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"2754"	"General Information"	"Общие сведения"	"R550_map_map_l2_56fc785cd17d02.68864643_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2894"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Cliff Palace&lt;/b&gt;&lt;br /&gt;"	"R550_question09_q09itemTitle_56fc785ced8fa6.72873403_0_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"4944"	"Website"	"Веб-сайт"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_rus-BLR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем нажмите на стрелку ДАЛЬШЕ.&lt;/i&gt;"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_rus-BLR_REA_R553-HealthForum_en18_MS2022.xlf"
"4942"	"Website"	"Веб-сайт"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_rus-BLR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4167"	"True"	"Верно"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_rus-BLR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5542"	"True"	"Верно"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_rus-BLR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Согласно информации в брошюре, верно или неверно данное утверждение?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_rus-BLR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2799"	"Spring"	"Весной"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Нажмите на стрелку ДАЛЬШЕ, чтобы прочитать брошюру."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_rus-BLR_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3610"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем нажмите на стрелку ДАЛЬШЕ.&lt;/i&gt;"	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_1_0"	"PISA_rus-BLR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Нажмите на &lt;b&gt;Да&lt;/b&gt; или &lt;b&gt;Нет&lt;/b&gt; для каждого из этих дел."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_rus-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"2726"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_hours_hours_l4_56fc785ccf78f4.09670808_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Нажмите на стрелку ДАЛЬШЕ, чтобы прочитать текст веб-страницы."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_rus-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Отметьте выбранный вариант, а потом напечатайте объяснение, чтобы ответить на вопрос."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_rus-BLR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5543"	"False"	"Неверно"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_rus-BLR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"576"	"The worst has happened"	"Случилось самое худшее."	"R220_stimulus_stimulusHQ4_3_50d374ced15c17.95081584_0"	"PISA_rus-BLR_REA_R220-SouthPole_en15_MS2022.xlf"
"2714"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_general_info_gi_l4_56fc785ccd9e25.13125133_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"4457"	"Date"	"Дата"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_rus-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2103"	"False"	"Неверно"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_rus-BLR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5269"	"True"	"Верно"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_rus-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1313"	"False"	"Неверно"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_rus-BLR_REA_R541-Plastic_en18_MS2022.xlf"
"3618"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем нажмите на стрелку ДАЛЬШЕ.&lt;/i&gt;"	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_rus-BLR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2800"	"Summer"	"Летом"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"6045"	"How should Charles respond?"	"Что Косте следует ему ответить?"	"R570_question07_q07p2_56fc787980d795.85902410_0"	"PISA_rus-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"2662"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; За покупку от 100 руб. до 299 руб. «Идеальный офис» возвращает вам &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; руб.&lt;br /&gt; &gt; За покупку от 300 руб. до 699 руб. «Идеальный офис» возвращает вам 50 руб.&lt;br /&gt; &gt; За покупку от 700 руб. и выше «Идеальный офис» возвращает вам 100 руб.&lt;br /&gt;"	"R466_stimulus_line5_50d37b7b1e5a23.62600580_0"	"PISA_rus-BLR_REA_R466-WorkRight_en15_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Нажмите на стрелку ДАЛЬШЕ, чтобы прочитать текст веб-страницы."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_rus-BLR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Нажмите на &lt;b&gt;Да&lt;/b&gt; или &lt;b&gt;Нет&lt;/b&gt; для каждого утверждения."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_rus-BLR_REA_R552-FestiRock_en18_MS2022.xlf"
