"Segment"	"en-ZZ"	"ar-PS"	"ID"	"File"
"3235"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"Q3MA134_question_Q3ItmDirP1Id_5c9d2164359530.23831900_1_0"	"PISA_ara-PSE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA143_question04_q4itemDirections_5c9d2164c0e144.21102801_1_0"	"PISA_ara-PSE_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"تذكّر أن تختار &lt;b&gt;مربعًا أو أكثر&lt;/b&gt;."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_ara-PSE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"اختر &lt;b&gt;صح&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt; لكل عبارة"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_ara-PSE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"تذكر أن تختار إجابة &lt;b&gt;واحدة أو أكثر&lt;/b&gt; ✓."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ara-PSE_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1748"	"2 stars"	"نجمتان"	"question0a_1_Q00tr5td1_5c9d214b005434.43072378_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3207"	"A"	"أ"	"Q1MA134_question_Q01tr4td1SELECT1o1_5c9d21643194f1.20986162_0"	"PISA_ara-PSE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1755"	"1 star"	"نجمة واحدة"	"question0a_1_Q00tr6td1_5c9d214b005e11.38011221_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2978"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA133Q01_question_q1itemDirections_5c9d2164228f81.27626420_1_0"	"PISA_ara-PSE_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3981"	"Litres"	"اللترات"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_ara-PSE_MAT_MA146-Fuel_en21_MS2022.xlf"
"4312"	"Explain your answer."	"فسّر إجابتك."	"q3MA150_question_q3p4_5c9d21653a0672.84676440_0"	"PISA_ara-PSE_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"3195"	"A"	"أ"	"Q1MA134_question_Q01tr2td1SELECT1o1_5c9d2164318520.98922600_0"	"PISA_ara-PSE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_ara-PSE_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"1706"	"2 stars"	"نجمتان"	"Page03_stimulus_S03T2tr5td1_5c9d214af210c7.86669503_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"وضح إجابتك و استعمل قيمًا عددية لتدعم هذا التوضيح"	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_ara-PSE_MAT_MA146-Fuel_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"اطبع إجابة السؤال باستخدام لوحة الأرقام."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_ara-PSE_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"1119"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"Q01MMA113_question_Q01itemDirections_5c9d214a6aa466.58921399_1_0"	"PISA_ara-PSE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"اطبع إجابتك عن السؤال. باستخدام لوحة مفاتيح الأرقام"	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_ara-PSE_MAT_MA141-WaterBill_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"لاستخدام هذه الحاسبة، اتبع هذه الخطوات:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_ara-PSE_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3534"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q1CMA138_question_q1itemDirections_5c9d2164836508.25884822_1_0"	"PISA_ara-PSE_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"1145"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"Q03MA113_question_Q03itemDirections_5c9d214a6e0c82.46175181_1_0"	"PISA_ara-PSE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3989"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA146q1_question_q1itemDirections_5c9d2164eb6c14.66337389_1_0"	"PISA_ara-PSE_MAT_MA146-Fuel_en21_MS2022.xlf"
"3674"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q3CMA141_question_q3itemDirections_5c9d2164a87c86.43889590_1_0"	"PISA_ara-PSE_MAT_MA141-WaterBill_en21_MS2022.xlf"
"3275"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2CMA135_question_q2itemDirections_5c9d2164502f75.93836961_1_0"	"PISA_ara-PSE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"1183"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA114_question1_itemDirections1_5c9d214a82a650.54712226_1_0"	"PISA_ara-PSE_MAT_MA114-Honey_en21_MS2022.xlf"
"1039"	"84+"	"٨٥+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ara-PSE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1902"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA128_question2_q2itemDirections_5c9d214b330089.68340793_1_0"	"PISA_ara-PSE_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"انقر على البدائل في الجدول للإجابة عن السؤال."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_ara-PSE_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4207"	"Explain your answer."	"فسّر إجابتك."	"q3MA148_question_q3p3_5c9d21651da120.58575580_0"	"PISA_ara-PSE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4656"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2MA156_question_q2itemDirections_5c9d21656a4d34.03623252_1_0"	"PISA_ara-PSE_MAT_MA156-Points_en21_MS2022.xlf"
"4252"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2MA149_question_q2itemDirections_5c9d21652c3193.71873749_1_0"	"PISA_ara-PSE_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1471"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA119_question1_itemDirections1_5c9d214ad702a0.84429473_1_0"	"PISA_ara-PSE_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"1672"	"2 stars"	"نجمتان"	"Page03_stimulus_S03tr5td1_5c9d214af1dc84.36748181_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2289"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA126_question03_itemDirectionsQ03_5c9d214b54ba12.68549963_1_0"	"PISA_ara-PSE_MAT_MA126-Robot_en21_MS2022.xlf"
"3590"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"xxCMA139_question_q2itemDirections_5c9d2164919bd5.42007175_1_0"	"PISA_ara-PSE_MAT_MA139-TabletCover_en21_MS2022.xlf"
"3708"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA142_questionq1_q1itemDirections_5c9d2164b33733.31465748_1_0"	"PISA_ara-PSE_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"1588"	"2 stars"	"نجمتان"	"Page01_stimulus_S01tr5td1_5c9d214aee5d63.99362511_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1322"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA116_question1_itemDirections1_5c9d214a99d4f5.42965308_1_0"	"PISA_ara-PSE_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1531"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA120_question1_itemDirections1_5c9d214ae25a25.45268216_1_0"	"PISA_ara-PSE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4097"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA147q2_question_q2itemDirections_5c9d216508ba43.16937301_1_0"	"PISA_ara-PSE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"اختر الإجابة من القوائم المنسدلة في الجدول."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_ara-PSE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_ara-PSE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3864"	"269 kJ"	"٢٧٦ كيلو سعرحراري"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_ara-PSE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q1MA150_question_q1itemDirections_5c9d216537c7b0.77693579_1_0"	"PISA_ara-PSE_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1194"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA114_question2_itemDirections2_5c9d214a83b1e3.67009864_1_0"	"PISA_ara-PSE_MAT_MA114-Honey_en21_MS2022.xlf"
"4395"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2MA151_question_q2itemDirections_5c9d216543c0a5.48560059_1_0"	"PISA_ara-PSE_MAT_MA151-MovingOut_en21_MS2022.xlf"
"3260"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"CMA135_question_q1itemDirections_5c9d21644eed99.25860806_1_0"	"PISA_ara-PSE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"انقر على البدائل في الجدول للإجابة عن السؤال."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_ara-PSE_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"5075"	"Statement"	"السؤال"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ara-PSE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3938"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA145_question1_q1itemDirections_5c9d2164dfb137.21186139_1_0"	"PISA_ara-PSE_MAT_MA145-Shadows_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"انقر على البدائل في الجدول للإجابة عن السؤال."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_ara-PSE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3630"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA140_question3_q3itemDirections_5c9d21649dbe63.73800094_1_0"	"PISA_ara-PSE_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"2537"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"Q1MA129_question_Q1ItmDirP1Id_5c9d214b77ec40.66176260_1_0"	"PISA_ara-PSE_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4650"	"Explain your answer."	"فسّر إجابتك."	"q1MA156_question_q1p2_5c9d2165693a19.29184719_0"	"PISA_ara-PSE_MAT_MA156-Points_en21_MS2022.xlf"
"827"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"Q2M111_question_Q2itemDirections_5c9d214a59d864.67731521_1_0"	"PISA_ara-PSE_MAT_MA111-HealthApp_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"هل العبارات الآتية صحيحة أم خطأ؟"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_ara-PSE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2803"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA131_question2_q2itemDirections_5c9d214ba31f93.93028518_1_0"	"PISA_ara-PSE_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4295"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2MA150_question_q2itemDirections_5c9d216538ee88.41324335_1_0"	"PISA_ara-PSE_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1239"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA115_question01_q01itemDirections_5c9d214a9065d9.24249905_1_0"	"PISA_ara-PSE_MAT_MA115-Iceberg_en21_MS2022.xlf"
"4177"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q1MA148_question_q1itemDirections_5c9d21651b0cc9.30517555_1_0"	"PISA_ara-PSE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"اختر &lt;b&gt;صح&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt; لكل عبارة"	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_ara-PSE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"انقرْ على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt;  لكل عبارة."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_ara-PSE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_ara-PSE_MAT_MA151-MovingOut_en21_MS2022.xlf"
"3783"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA143_question03_q3itemDirections_5c9d2164bfa911.33589323_1_0"	"PISA_ara-PSE_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"3949"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA145_question2_q2itemDirections_5c9d2164e0e799.91065994_1_0"	"PISA_ara-PSE_MAT_MA145-Shadows_en21_MS2022.xlf"
"4086"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA147q1_question_q1itemDirections_5c9d2165076508.53769328_1_0"	"PISA_ara-PSE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"اطبع إجابتك عن السؤال باستخدام مفاتيح الأرقام."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_ara-PSE_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"انقرْ على مربع أو أكثر للإجابة عن السؤال."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_ara-PSE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3377"	"Explain your answer."	"فسّر إجابتك."	"MA136_question02_q2p4_5c9d21646200b3.63337441_0"	"PISA_ara-PSE_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"وضح إجابتك و استعمل قيمًا عددية لتدعم هذا التوضيح"	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_ara-PSE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"انقرْ على مربع أو أكثر للإجابة عن السؤال."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_ara-PSE_MAT_MA114-Honey_en21_MS2022.xlf"
"1251"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA115_question02_q02itemDirections_5c9d214a9187a5.96523157_1_0"	"PISA_ara-PSE_MAT_MA115-Iceberg_en21_MS2022.xlf"
"4270"	"Explain your answer."	"فسّر إجابتك."	"q3MA149_question_q3p4_5c9d21652d7a87.93218968_0"	"PISA_ara-PSE_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3771"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA143_question02_q2itemDirections_5c9d2164be5399.40648831_1_0"	"PISA_ara-PSE_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"4604"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q1MA154_question_q1itemDirections_5c9d21655bcda0.49975962_1_0"	"PISA_ara-PSE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4214"	"A"	"أ"	"MA149_stimulus1_img1Lbl1_5c9d2165288f09.35660227_0"	"PISA_ara-PSE_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1839"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA121_question03_Q03itemDirections_5c9d214b07d797.77931049_1_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2300"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA126_question04_itemDirectionsQ04_5c9d214b568386.90812819_1_0"	"PISA_ara-PSE_MAT_MA126-Robot_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"انقرْ على مربع أو أكثر للإجابة عن السؤال."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_ara-PSE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"اختر من القائمة المنسدلة  للإجابة عن السؤال."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_ara-PSE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4161"	"C"	"س"	"MA148_stimulus2_stimulus2_2_5c9d216518d1c3.39500236_0"	"PISA_ara-PSE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4189"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2MA148_question_q2itemDirections_5c9d21651c5dd5.51806474_1_0"	"PISA_ara-PSE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2953"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"Q2MA132_question_Q2ItmDirP1Id_5c9d214bb5c036.31631569_1_0"	"PISA_ara-PSE_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"3383"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA136_question03_q3itemDirections_5c9d2164634b07.90090842_1_0"	"PISA_ara-PSE_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"2204"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA126_question01_itemDirectionsQ01_5c9d214b506370.60535880_1_0"	"PISA_ara-PSE_MAT_MA126-Robot_en21_MS2022.xlf"
"2568"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_ara-PSE_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1446"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_ara-PSE_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"أجب عن السؤال بالنقر على مربعي إجابة فقط."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ara-PSE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2348"	"Explain your answer."	"اشرح إجابتك."	"Q2MA122_question_Q2ItmStmP4Id_5c9d214b6c2632.07402001_0"	"PISA_ara-PSE_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"4124"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA147q4_question_q4itemDirections_5c9d21650b66f4.19975110_1_0"	"PISA_ara-PSE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"1677"	"1 star"	"نجمة واحدة"	"Page03_stimulus_S03tr6td1_5c9d214af1e2f6.66428084_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1637"	"1 star"	"نجمة واحدة"	"Page02_stimulus_S02tr6td1_5c9d214af016c3.72029338_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1949"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA124_question1_itemDirections1_5c9d214b402246.10061217_1_0"	"PISA_ara-PSE_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"3578"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"CMA139_question_q1itemDirections_5c9d2164903766.73853823_1_0"	"PISA_ara-PSE_MAT_MA139-TabletCover_en21_MS2022.xlf"
"1401"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA117_question01_q01itemDirections_5c9d214aacc999.01242355_1_0"	"PISA_ara-PSE_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1595"	"1 star"	"نجمة واحدة"	"Page01_stimulus_S01tr6td1_5c9d214aee6699.36998340_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"اطبع إجابتك عن السؤال. باستخدام لوحة مفاتيح الأرقام"	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_ara-PSE_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"3686"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q4CMA141_question_q4itemDirections_5c9d2164a9ca08.40004442_1_0"	"PISA_ara-PSE_MAT_MA141-WaterBill_en21_MS2022.xlf"
"1915"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA128_question3_q3itemDirections_5c9d214b34d864.30750173_1_0"	"PISA_ara-PSE_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4753"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q1MA158_question_q1itemDirections_5c9d21657b6927.43068957_1_0"	"PISA_ara-PSE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3201"	"A"	"أ"	"Q1MA134_question_Q01tr3td1SELECT1o1_5c9d2164318d73.43327422_0"	"PISA_ara-PSE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1633"	"2 stars"	"نجمتان"	"Page02_stimulus_S02tr5td1_5c9d214af011e0.10936163_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"استخدم السحب والإفلات للإجابة عن السؤال"	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_ara-PSE_MAT_MA157-Tyres_en21_MS2022.xlf"
