"Segment"	"en-ZZ"	"ja-JP"	"ID"	"File"
"5231"	"Click on the icon again to &lt;b&gt;sort&lt;/b&gt; the column in &lt;u&gt;descending&lt;/u&gt; (high to low) order."	"&lt;u&gt;降順&lt;/u&gt;（多いものから少ないもの）に&lt;b&gt;並べ替える&lt;/b&gt;には、アイコンをもう一度&lt;br/&gt;クリックしてください。"	"menu_1_menu_OL1Li1_5c9d2137ac2f48.28821005_1_0"	"PISA_jpn-JPN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"下の&lt;br/&gt;問いの答えを半角の数字で入力してください。"	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_jpn-JPN_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"下の表の中から、次の問いの&lt;br/&gt;答えをクリックしてください。"	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_jpn-JPN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2978"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA133Q01_question_q1itemDirections_5c9d2164228f81.27626420_1_0"	"PISA_jpn-JPN_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"67"	"Front view"	"正面から見た図"	"MA101_question3_MiddlePuzLabel_5c9d21361dc834.42375523_0"	"PISA_jpn-JPN_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"5333"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"q1MA162_question_q1itemDirections_5c9d2137d16d37.11041740_2_0"	"PISA_jpn-JPN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"下の問いの答えを一つクリックし、その理由を入力してください。"	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_jpn-JPN_MAT_MA146-Fuel_en21_MS2022.xlf"
"3383"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA136_question03_q3itemDirections_5c9d2164634b07.90090842_1_0"	"PISA_jpn-JPN_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4650"	"Explain your answer."	"理由を説明してください。"	"q1MA156_question_q1p2_5c9d2165693a19.29184719_0"	"PISA_jpn-JPN_MAT_MA156-Points_en21_MS2022.xlf"
"5075"	"Statement"	"問い"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_jpn-JPN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"下の問いの答えの中&lt;br/&gt;から、正しいものをすべてクリックしてください。"	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_jpn-JPN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"下の問いの答えの中&lt;br/&gt;から、正しいものをすべてクリックしてください。"	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_jpn-JPN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"960"	"To edit the value in a cell, click anywhere in the cell, delete it, then type in a new value."	"セルの中の値を編集するには、そのセルの中を&lt;br/&gt;クリックして値を削除し、新しい値を入力して&lt;br/&gt;ください。"	"menu_1_aMenu_part1_li2_5c9d2136e912a9.52248706_0_0"	"PISA_jpn-JPN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2468"	"The information will display in the table."	"に示されます。"	"MA128_questionS3_MA128S3OL1Li3_5c9d21372c09e2.91585954_1_0"	"PISA_jpn-JPN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1325"	"18"	"18人"	"MA116_question1_lable11_5c9d214a99da13.48493622_0"	"PISA_jpn-JPN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"5146"	"Use the spreadsheet to help you answer the question below."	"表計算ソフトを使って、&lt;br/&gt;下の問いに答えてください。"	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_1_0"	"PISA_jpn-JPN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"下の問いの答えを&lt;/br&gt;プルダウンメニューから選んでください。"	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_jpn-JPN_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"139"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"M102_question3_itemDirections3_5c9d21362e40b0.67589445_1_0"	"PISA_jpn-JPN_MAT_MA102-BuyingAWardrobe_en21_MS2022.xlf"
"790"	"Isabella uses a Health App that calculates the approximate distance, in kilometres, that she walks per day based on the number of steps she takes."	"いずみさんは、1日に歩いた歩数から1日に歩いたおよその距離（キロ&lt;br/&gt;メートル）を算出する健康アプリを使っています。"	"M111_stimuluS03Body_M111S03P1_5c9d214a573358.63228587_0"	"PISA_jpn-JPN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"下の表の中から、次の問いの答えをクリックしてください。"	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_jpn-JPN_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"ドラッグ＆ドロップを使って、下の問いに答えてください。"	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_jpn-JPN_MAT_MA157-Tyres_en21_MS2022.xlf"
"3708"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA142_questionq1_q1itemDirections_5c9d2164b33733.31465748_1_0"	"PISA_jpn-JPN_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"3864"	"269 kJ"	"276kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_jpn-JPN_MAT_MA144-Yogurt_en21_MS2022.xlf"
"640"	"In this simulation, you will be able to explore how the angle of projection affects the horizontal and the vertical distance travelled by the water in a fountain."	"このシミュレーションでは、噴き出す角度によって、飛ぶ距離と高さがどのような影響を受けるかを確認できます。"	"menu_1_aMenu_part1_p1_5c9d2136c728a6.99409324_0"	"PISA_jpn-JPN_MAT_MA108-Fountains_en21_MS2022.xlf"
"2354"	"Click on a choice to answer the question."	"下の問いの答えを一つ&lt;/br&gt;クリックしてください。"	"Q3MA127_question_Q3ItmDirP1Id_5c9d214b6d48a5.08882176_1_0"	"PISA_jpn-JPN_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"5348"	"Question"	"問い"	"q2MA161_question_q2tr1th1_5c9d2137d31a65.20583341_0"	"PISA_jpn-JPN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"下の問いの答えを一つ&lt;br/&gt;クリックし、その理由を入力してください。"	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_jpn-JPN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3760"	"Click on a choice to answer the question."	"下の問いの答えを一つ&lt;/br&gt;クリックしてください。"	"MA143_question01_q1itemDirections_5c9d2164bd09f7.43448559_1_0"	"PISA_jpn-JPN_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"1446"	"Click on a choice to answer the question."	"下の問いの答えを&lt;br/&gt;一つクリックしてください。"	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_jpn-JPN_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4515"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA153q02_question_q02itemDirections_5c9d213746bb12.40931470_2_0"	"PISA_jpn-JPN_MAT_MA153-Gears_en21_MS2022.xlf"
"1326"	"19"	"19人"	"MA116_question1_lable12_5c9d214a99db97.12062684_0"	"PISA_jpn-JPN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4207"	"Explain your answer."	"理由を説明してください。"	"q3MA148_question_q3p3_5c9d21651da120.58575580_0"	"PISA_jpn-JPN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3674"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"q3CMA141_question_q3itemDirections_5c9d2164a87c86.43889590_1_0"	"PISA_jpn-JPN_MAT_MA141-WaterBill_en21_MS2022.xlf"
"4902"	"Click on the choices in the table to answer the question."	"下の表の中から、次の問いの答えをクリックしてください。"	"q1MA160_question_q1itemDirections_5c9d21377c33e0.63336318_2_0"	"PISA_jpn-JPN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3989"	"Click on a choice to answer the question."	"下の問いの答えを一つクリック&lt;br/&gt;してください。"	"MA146q1_question_q1itemDirections_5c9d2164eb6c14.66337389_1_0"	"PISA_jpn-JPN_MAT_MA146-Fuel_en21_MS2022.xlf"
"2749"	"Click on a choice to answer the question."	"下の問いの&lt;br/&gt;答えを一つクリックしてください。"	"MA130_question03_itemDirectionsQ03_5c9d214b8dfe44.39422320_1_0"	"PISA_jpn-JPN_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"下の表の中から、次の問いの答えをクリックしてください。"	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_jpn-JPN_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3771"	"Click on a choice to answer the question."	"下の問いの答えを一つ&lt;/br&gt;クリックしてください。"	"MA143_question02_q2itemDirections_5c9d2164be5399.40648831_1_0"	"PISA_jpn-JPN_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"182"	"This is the output I obtain:"	"出力結果はこのように&lt;br/&gt;なりました。"	"question00_1_question00_6_5c9d21363c9dd1.39953928_0"	"PISA_jpn-JPN_MAT_MA103-CalculationProgram_en21_MS2022.xlf"
"1327"	"20"	"20人"	"MA116_question1_lable13_5c9d214a99dd05.20574680_0"	"PISA_jpn-JPN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4395"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"q2MA151_question_q2itemDirections_5c9d216543c0a5.48560059_1_0"	"PISA_jpn-JPN_MAT_MA151-MovingOut_en21_MS2022.xlf"
"964"	"To perform more than 6 calculations, you must delete rows from the table."	"7回以上計算&lt;br/&gt;したい場合は、表からデータのある行を削除してください。"	"menu_1_aMenu_part1_p2_5c9d2136e91548.61810962_1_0"	"PISA_jpn-JPN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"43"	"Side view"	"側面から&lt;br/&gt;見た図"	"MA112_question1_tr0td4_5c9d21361a81f2.17903385_0"	"PISA_jpn-JPN_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"下の問いの答えを一つクリックし、その理由を入力してください。"	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_jpn-JPN_MAT_MA156-Points_en21_MS2022.xlf"
"15"	"Front view"	"正面から見た図"	"Page2_stimulus_MidPuzLabel_5c9d21361645e7.60345726_0"	"PISA_jpn-JPN_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"2739"	"Slept more than 8 hours"	"睡眠8時間&lt;br/&gt;超"	"MA130_question02_Q02tr1th3_5c9d214b8c2f62.53994590_0"	"PISA_jpn-JPN_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"16"	"Side view"	"側面から見た図"	"Page2_stimulus_RightPuzLabel_5c9d2136164ed4.97384410_0"	"PISA_jpn-JPN_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"1949"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA124_question1_itemDirections1_5c9d214b402246.10061217_1_0"	"PISA_jpn-JPN_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4866"	"A survey was sent to all students at a university in Zedland at the end of the academic year with the following question:"	"ゼットランド国のある大学の学生全員に、年度末に下の質問が書かれた&lt;br/&gt;アンケートが送られました。"	"q00body_q0p2_5c9d213777a436.20235046_0"	"PISA_jpn-JPN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"744"	"Click on a choice to answer the question."	"下の問いの&lt;br/&gt;答えを一つクリックしてください。"	"Q2M110_question_Q2itemDirections_5c9d214a4ad912.55794775_1_0"	"PISA_jpn-JPN_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"下の問いの答えの中&lt;br/&gt;から、正しいものをすべてクリックしてください。"	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_jpn-JPN_MAT_MA114-Honey_en21_MS2022.xlf"
"733"	"Click on a choice to answer the question."	"下の問いの&lt;br/&gt;答えを一つクリックしてください。"	"Q1M110_question_Q1itemDirections_5c9d214a49be54.59438497_1_0"	"PISA_jpn-JPN_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"2834"	"Price for a One-way Ticket (zeds)"	"片道料金（ゼッド）"	"q04body_t1r2c4_5c9d214ba5ccf1.40220621_0"	"PISA_jpn-JPN_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"419"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"下の表にあるそれぞれの文章について、「&lt;b&gt;正&lt;/b&gt;」または「&lt;b&gt;誤&lt;/b&gt;」のどちらかをクリックしてください。&lt;br /&gt;"	"M105_question4_q4p1_5c9d213673d014.22578819_1_0"	"PISA_jpn-JPN_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"1239"	"Click on a choice to answer the question."	"下の問いの答えを一つクリック&lt;br/&gt;してください。"	"MA115_question01_q01itemDirections_5c9d214a9065d9.24249905_1_0"	"PISA_jpn-JPN_MAT_MA115-Iceberg_en21_MS2022.xlf"
"642"	"Move the slider to set the Angle of Projection."	"スライダーを動かして、噴き出す角度を設定して&lt;br/&gt;ください。"	"menu_1_aMenu_part1_li0_5c9d2136c72b51.99539437_0"	"PISA_jpn-JPN_MAT_MA108-Fountains_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"下の問いの答えを&lt;br/&gt;半角の数字で入力してください。"	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_jpn-JPN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1491"	"Click on a choice and then type an explanation to answer the question."	"下の&lt;br/&gt;問いの答えを一つクリックし、その理由を入力して&lt;br/&gt;ください。"	"Q3MA119_question_Q3itemDirections_5c9d214ad92d07.74285976_1_0"	"PISA_jpn-JPN_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"4270"	"Explain your answer."	"理由を説明してください。"	"q3MA149_question_q3p4_5c9d21652d7a87.93218968_0"	"PISA_jpn-JPN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2348"	"Explain your answer."	"理由を説明してください。"	"Q2MA122_question_Q2ItmStmP4Id_5c9d214b6c2632.07402001_0"	"PISA_jpn-JPN_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"5398"	"Click on the choices in the table to answer the question."	"下の表の中から、次の問いの&lt;br/&gt;答えをクリックしてください。"	"q3MA160_question_q3itemDirections_5c9d2137d54ae4.61371872_2_0"	"PISA_jpn-JPN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"68"	"Side view"	"側面から見た図"	"MA101_question3_bottomPuzLabel_5c9d21361dc999.21576333_0"	"PISA_jpn-JPN_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"ドラッグ＆ドロップを使って、下の問いに答えて&lt;br/&gt;ください。"	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_jpn-JPN_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3949"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA145_question2_q2itemDirections_5c9d2164e0e799.91065994_1_0"	"PISA_jpn-JPN_MAT_MA145-Shadows_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"下の問いの答えを一つ&lt;/br&gt;クリックし、その理由を入力してください。"	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_jpn-JPN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"645"	"To run more tests, change the setting on the slider and click on the “Run” button again."	"別のシミュレーションを実行するには、スライダーで設定を変更し、「実行」ボタンをもう一度クリック&lt;br/&gt;してください。"	"menu_1_aMenu_part1_li2_5c9d2136c72db3.86861617_0"	"PISA_jpn-JPN_MAT_MA108-Fountains_en21_MS2022.xlf"
"2342"	"Click on a choice and then type an explanation to answer the question."	"下の問いの答えを一つ&lt;/br&gt;クリックし、その理由を入力してください。"	"Q2MA122_question_Q2ItmDirP1Id_5c9d214b6c1d02.17010694_1_0"	"PISA_jpn-JPN_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"442"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"M105_question5_itemDirections5_5c9d2136771724.04274916_2_0"	"PISA_jpn-JPN_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"967"	"The row(s) you select will be marked with a star."	"選択した行には星印が&lt;br/&gt;付きます。"	"menu_1_menuP5_5c9d2136e91833.43998594_1_0"	"PISA_jpn-JPN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2568"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_jpn-JPN_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4945"	"Use the spreadsheet to help you answer the question below."	"表計算ソフトを&lt;br/&gt;使って、下の問いに答えてください。"	"q3MA160_question_q3itemDirections_5c9d21377f8251.32216410_1_0"	"PISA_jpn-JPN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4616"	"Click on a choice to answer the question."	"下の問いの答えを&lt;br/&gt;一つクリックしてください。"	"q2MA154_question_q2itemDirections_5c9d21655d41c9.81604829_1_0"	"PISA_jpn-JPN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1324"	"17"	"17人"	"MA116_question1_lable10_5c9d214a99d891.79575350_0"	"PISA_jpn-JPN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"5422"	"Select a column in the area for the Mean, and then click the “Run” button."	"平均値エリアで列を一つ選び、「実行」ボタンを&lt;br/&gt;クリックしてください。"	"js_translation_stepwarning3_5c9d2137d72d94.15799132_0"	"PISA_jpn-JPN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5278"	"Mean"	"平均値"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_jpn-JPN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"下の問いの答えの中&lt;/br&gt;から正しいものを二つクリックしてください。"	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_jpn-JPN_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1251"	"Click on a choice to answer the question."	"下の問いの答えを一つクリック&lt;br/&gt;してください。"	"MA115_question02_q02itemDirections_5c9d214a9187a5.96523157_1_0"	"PISA_jpn-JPN_MAT_MA115-Iceberg_en21_MS2022.xlf"
"3377"	"Explain your answer."	"理由を説明してください。"	"MA136_question02_q2p4_5c9d21646200b3.63337441_0"	"PISA_jpn-JPN_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"下の問いの答えを&lt;br/&gt;プルダウンメニューから選んでください。"	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_jpn-JPN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4112"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA147q3_question_q3itemDirections_5c9d21650a0484.20685545_1_0"	"PISA_jpn-JPN_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"2329"	"Using the number keys, type your answers to the question."	"下の問いの答えを半角の&lt;/br&gt;数字で入力してください。"	"Q1MA122_question_Q1ItmDirP1Id_5c9d214b6b01e6.44403601_1_0"	"PISA_jpn-JPN_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"3783"	"Click on a choice to answer the question."	"下の問いの答えを一つ&lt;/br&gt;クリックしてください。"	"MA143_question03_q3itemDirections_5c9d2164bfa911.33589323_1_0"	"PISA_jpn-JPN_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"この代謝計算ツールの使い方を、以下の手順で確認&lt;br/&gt;してください。"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_jpn-JPN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2497"	"Click on the “Run” button to see the salinity of the mixture."	"「実行」ボタンをクリックすると、混合水の塩分の"	"menu_1_MA128menu_OL1Li3_5c9d213730bac5.31243888_0_0"	"PISA_jpn-JPN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3235"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"Q3MA134_question_Q3ItmDirP1Id_5c9d2164359530.23831900_1_0"	"PISA_jpn-JPN_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2738"	"Slept 8 hours or less"	"睡眠8時間&lt;br/&gt;以下"	"MA130_question02_Q02tr1th2_5c9d214b8c2e46.45049939_0"	"PISA_jpn-JPN_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3534"	"Click on a choice to answer the question."	"下の問いの答えを一つ&lt;/br&gt;クリックしてください。"	"q1CMA138_question_q1itemDirections_5c9d2164836508.25884822_1_0"	"PISA_jpn-JPN_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
